"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","KEGG_RETINOL_METABOLISM",9.1586049822666e-06,0.00105009781215874,0.593325476396405,-0.629510096949951,-2.08613550914552,64,"CYP2C9,CYP2C18,CYP2C19,DHRS9,CYP3A5,UGT2A3,BCO1,ADH1C,CYP3A4,LRAT,UGT2B15,ADH6,CYP2B6,RETSAT,RDH10,UGT2B17,CYP3A7,CYP4A22,ADH1A,DGAT1,UGT1A1,PNPLA4,CYP2C8,DGAT2","Down"
"2","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",1.13748496794797e-05,0.00105009781215874,0.593325476396405,-0.417425141023529,-1.67010271545907,264,"CXCL5,CCL15,CCL24,IL1R2,TNFRSF6B,CXCL3,IL2RG,CCL20,CCL17,CSF2,IL17RB,BMP2,TNFRSF11A,TNFSF11,CXCL11,CXCL9,CCL18,CCL21,CCL7,EDAR,CCR8,CXCL8,CCL13,CCR9,IL18R1,IL18RAP,TNFRSF11B,CXCR1,IL7,IL22RA1,TSLP,CCL22,CXCL10,IFNL1,IL23R,IFNA1,KITLG,TNFRSF14,CXCR2,MET,TNFRSF17,IFNL2,IL24,TNFRSF10A,IFNG,CCL3L1,IL10RB,IL26,CD27,CX3CL1,CSF3R,IL6R,PF4,IL2RB,IL22RA2,LTA,LTB,CCR7,CCL25,IL2RA,IFNGR2,CCL23,CD40LG,TNFSF9,LIF,PPBP,CCR6,XCR1,FASLG,CCR4,CXCL14,IL2,IL7R,CXCL1,CXCR3,IL9R,CCL4L2,TNFRSF9,CSF2RB,FAS,IL15RA,IL15,IL22,IL17RA,INHBE,TNFSF13B,CCR3,CXCL13,IL12B,EPO,CCL8,FLT3,IL1B,CCL3","Down"
"3","KEGG_LINOLEIC_ACID_METABOLISM",1.69370614864313e-05,0.00105009781215874,0.575610261071129,-0.753440818245015,-2.10176250080212,28,"AKR1B10,CYP2C9,PLA2G10,CYP2C18,CYP2C19,PLA2G1B,CYP3A5,PLA2G2F,PLA2G3,CYP2J2,CYP3A4,PLA2G12B,PLA2G2D,CYP3A7,PLA2G4A","Down"
"4","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",3.97739438292614e-05,0.00184948838806066,0.557332238758646,-0.561504408778754,-1.91441920433693,72,"CYP2C9,CYP2C18,CYP2C19,CYP3A5,UGT2A3,FMO5,MAOA,ALDH3A1,MGST2,ADH1C,CYP3A4,UGT2B15,ADH6,CYP2B6,UGT2B17,CYP3A7,ALDH3B1,GSTA1,GSTA2,GSTK1,GSTO2,ADH1A,UGT1A1,MGST3,CYP2C8,MAOB","Down"
"5","KEGG_ARACHIDONIC_ACID_METABOLISM",8.20898543357156e-05,0.00305374258128862,0.538434096309916,-0.600879360822084,-1.9562762736598,57,"CYP2C9,PLA2G10,CYP2C18,GPX2,CYP2C19,PLA2G1B,CYP4F2,PLA2G2F,CYP4F3,PLA2G3,CYP2J2,PLA2G12B,CYP2B6,PLA2G2D,CBR1,CYP4A22,PLA2G4A","Down"
"6","KEGG_FOCAL_ADHESION",0.000180458693334974,0.00559421949338419,0.518848077743792,0.444585870923783,1.63556464675446,199,"PAK6,IGF1,COMP,COL11A2,RASGRF1,LAMA1,RAC3,COL1A1,THBS1,SHC3,CHAD,THBS4,TNC,COL1A2,ITGA11,COL6A2,THBS2,COL3A1,PAK3,COL11A1,COL6A1,PGF,MYL9,COL6A6,MYLPF,FLNA,LAMB1,FN1,COL4A4,PDGFD,CCND1,MYL7,COL5A1,ACTN3,SHC4,IGF1R,PARVA,FLNC,MAPK10,COL4A6,COL6A3,VEGFB,THBS3,PDGFRA,LAMA5,LAMA4,SHC2,VWF,LAMA2,COL5A2,ACTN2,TLN1,LAMC1,VAV2,ARHGAP35,PDGFA,ITGB3,AKT3,TNR,ITGB5,ACTN1,MYLK,ITGA2B,PAK5,PRKCG,FYN,ACTN4,TNXB,COL2A1,FLT4,COL4A2,KDR","Up"
"7","KEGG_PRIMARY_IMMUNODEFICIENCY",0.000230295879037394,0.00611929050013646,0.518848077743792,-0.67173379624867,-1.96253142363001,35,"IL2RG,AIRE,ICOS,BLNK,CD3E,CD3D,TAP1,CD79A,ZAP70,CD8A,CD40LG,IGLL1,RFX5,IL7R,LCK,CD19,DCLRE1C,TAP2,AICDA","Down"
"8","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.000443646660954205,0.0103147848671853,0.49849310876659,-0.53530329758989,-1.82011686250674,70,"CYP2C9,CYP2C18,CYP2C19,CYP3A5,UGT2A3,CYP2S1,ALDH3A1,MGST2,ADH1C,CYP3A4,UGT2B15,ADH6,CYP2B6,UGT2B17,CYP3A7,ALDH3B1,GSTA1,GSTA2,GSTK1,AKR1C3,GSTO2,ADH1A,UGT1A1,MGST3,CYP2C8","Down"
"9","KEGG_RIBOSOME",0.000723870814205173,0.0149599968269069,0.477270815362862,0.503008318577159,1.64777244618418,87,"RPS4Y1,RPS12,RPL6,RPS5,RPL17,RPS26,RPL4,RPS16,RPS6,RPL28,RPL13A,RPL35A,RPLP1,RPL22L1,RPS21,RPL37A,RPL18,RPL10A,RPS10,RPL31,RPL13,RPL24,RPL15,RPLP0,RPL27,RPS17,RPL5,RPL26,RPL12,RPS9,RPL7A,RPS23,RPS29,RPS18,RPL41,RPS7,RPS20,RPL10L,RPL32,RPS15A,RPS11,RPL3,RPL38,RPS2,RPL7,RPL23,RPL37,RPS19,RPS8,RPS13,RPS3,RPL26L1,RPL29,RPLP2,RPL10,RPL18A,UBA52,RPS3A,RPS4X,RPS25,RPS27A,RPS24,RPL11,RPL21,RPSA,RPL39,RPL9,FAU","Up"
"10","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.000843829238984499,0.0156952238451117,0.477270815362862,0.711100759426091,1.793193176888,22,"CHST13,CHST3,DSE,B3GAT2,CHST7,CHST15,CHPF,CHST14,CHST12,CHSY3,UST,B3GALT6,CHST11,CHSY1,CHPF2","Up"
