"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.00397785869420365,0.0894497275630871,0.407017918923954,0.459813934095176,1.51624772079047,93,"TUBB2B,CAMK2A,TUBB3,RASGRF1,NEFL,GRIA1,GRIA2,TUBA1A,GRIN2C,RPS6KA2,DLG2,TUBB6,TUBA3E,ADCY1,CAMK2B,RASGRF2,ADCY8,GRIN1,PRKAG3,LIN7B,GRIN2D,DLG4,ACTN2,GRIA3,TUBB2A,APBA1,NBEA,ERBB4,PPM1E,LRRC7,MAPT,GRIN2B,NRG1","Up"
"2","REACTOME_ACTIVATION_OF_TRKA_RECEPTORS",0.00588013921296746,0.111722645046382,0.407017918923954,0.861553270235607,1.5645568309453,6,"ADCYAP1R1,NTRK2,NGF,ADCYAP1","Up"
"3","REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",0.00861166766032328,0.139078432714221,0.380730400722792,-0.609522126551084,-1.6757559608985,26,"PLA2G10,PLA2G1B,PLA2G2F,LPCAT4,PLA2G3,PLA2G4F,PLA2G2D,PLA2G4A,PLBD1","Down"
"4","REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",0.00706138659652554,0.123958036449878,0.407017918923954,-0.625962670712243,-1.67776235388696,24,"PLA2G10,PLA2G1B,PLA2G2F,LPCAT4,PLA2G3,PLA2G4F,PLA2G2D,PLA2G4A,PLBD1","Down"
"5","REACTOME_ACYL_CHAIN_REMODELLING_OF_PG",0.00532443146201692,0.106159960631572,0.407017918923954,-0.687940717809248,-1.71856741893399,18,"PLA2G10,PLA2G1B,PLA2G2F,LPCAT4,PLA2G3,PLA2G4F,PLA2G2D,PLA2G4A","Down"
"6","REACTOME_ACYL_CHAIN_REMODELLING_OF_PS",0.0156758236347836,0.202531641361404,0.352487857583619,-0.611444407838537,-1.60554894257895,21,"PLA2G10,PLA2G1B,PLA2G2F,LPCAT4,PLA2G4F,PLA2G2D,PLA2G4A","Down"
"7","REACTOME_ADAPTIVE_IMMUNE_SYSTEM",0.0107849549902351,0.167477906819516,0.380730400722792,-0.276872937961799,-1.21340584558739,742,"BTNL8,COL17A1,CTSE,SH2D1B,FGG,FGA,XDH,KIR2DL4,LMO7,SIGLEC12,AP1M2,CD1B,KIR3DL2,FGB,KLRC1,ICOSLG,NCR3LG1,SIGLEC5,DNM2,SLAMF6,TUBAL3,CDH1,CTLA4,ICOS,CENPE,BLNK,TRAT1,TRIM21,PAK1,ERAP2,SH3RF1,LAIR2,CD300LD,TUBA4B,ITGB7,CTSS,TNFRSF14,NCR3,CD3E,DAPP1,CD3D,KIF15,TAP1,HERC6,TRIM63,PSMB9,KIF2C,TREM1,BTLA,CD1A,TRIM69,MYD88,ITK,SH2D1A,CD3G,PSME2,PAG1,KLRK1,KLRB1,PRKACB,PTPN22,CTSC,IFITM1,LCP2,CD79A,KLC4,AP1S1,ZAP70,PSME1,SLAMF7,BTNL9,CD8A,LYN,B2M,GRAP2,CD207,SELL,PPP2R5A,NCR1,CD300LF,NCF2,PSMB10,SH3KBP1,CD101,PPP3CA,UBE2L6,CD40LG,PRKACG,RAC1,CD1C,CXADR,SYK,OSCAR,SIGLEC11,KEAP1,RNF6,IFI30,CD96,VASP,PTPRJ,LNX1,UBA6,VAMP8,KIF11,UBA7,PPL,RNF19B,TIRAP,KIF4A,PSMB8,PILRB,LCK,HERC5,BTN3A2,CD247,JAML,CD80,VCAM1,SOCS1,NCF1,KIR2DL2,ITGAL,NFKB1,HMGB1,BCL10,MRC1,PSMB11,HERC3,MADCAM1,CD19,ICAM3,CDC20,FBXO41,PJA1,PIK3AP1,KBTBD8,TREML4,KBTBD13,TRIM41,TAP2,HECTD1,UBE2L3,VAV1,PSMA5,WWP1,YWHAZ,HECTD3,UBE2D3,CD274,ICAM2,CCNF,UBE2U,NCK1,MKRN1,LILRB4,TUBB4B,AP1S3,DTX3L,CAPZA1,GAN,SEC24B,RASGRP1,PSMA4,PTPRC,NFKBIA,LILRA2,VAMP3,UBE2Q1,KIF18A,PSMD1,CD226,PTPN6,CARD11,BTN3A1,RCHY1,SKP2,UBA1,ERAP1,LRR1,LILRA6,FBXO7,DCAF1","Down"
"8","REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION",0.00562144136565491,0.110211041751555,0.407017918923954,-0.67214806556126,-1.71397249454226,19,"CYP3A5,AKR7A3,AKR7L,MGST2,CYP3A4,ACY3,ACY1,GGT1,MGST3","Down"
"9","REACTOME_ANTIMICROBIAL_PEPTIDES",0.000243919564321331,0.0127074224638371,0.518848077743792,-0.501097455547964,-1.76099002617471,96,"REG3A,PRSS2,REG3G,PI3,BPIFB1,LYZ,BPIFA2,DEFB1,ITLN1,CAMP,LEAP2,LCN2,GNLY,DEFB4A,PRTN3,BPIFB4,BPIFB2,CCR6","Down"
"10","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",0.01114388468594,0.168713091798227,0.380730400722792,-0.438792589444487,-1.51749747676586,80,"KPNA7,OASL,OAS1,FLNB,USP18,MX1,OAS2,MX2,UBE2L6,IFIT1,NDC1,MAPK3,UBA7,HERC5,OAS3,EIF4E,EIF4A2,TRIM25,STAT1,NUP54,NUP58,RNASEL,DDX58","Down"
"11","REACTOME_ARACHIDONIC_ACID_METABOLISM",0.000481711251076944,0.0199477864228017,0.49849310876659,-0.567214566335853,-1.83928517366755,58,"CYP2C9,GPX2,CYP2C19,HPGD,CYP4F2,CYP4F3,CYP2J2,FAAH,ALOXE3,FAAH2,CYP4B1,CBR1,CYP4A22,PLA2G4A,ALOX5AP,AKR1C3,CYP4F11,GGT1,ALOX5,PTGES,CYP2C8,ALOX15B,CYP1A1","Down"
"12","REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS",0.00601449899458816,0.112724393246109,0.407017918923954,0.553859843169603,1.58685125200088,43,"TUBB2B,CAMK2A,TUBB3,NEFL,TUBA1A,GRIN2C,DLG2,TUBB6,TUBA3E,CAMK2B,GRIN1,LIN7B,GRIN2D,DLG4,ACTN2,TUBB2A,APBA1,NBEA,LRRC7,GRIN2B","Up"
"13","REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS",0.012229925965742,0.175907407247083,0.380730400722792,0.595197688811669,1.56131513372554,26,"GPC2,GPC3,VCAN,GPC6,B3GAT2,BGN,DCN,GPC4,CSPG5,SDC2,HSPG2,B3GALT6,GPC1","Up"
"14","REACTOME_BIOLOGICAL_OXIDATIONS",6.07905252962567e-06,0.000981766983534546,0.610526878385931,-0.442297442506302,-1.71302698533654,218,"SULT1B1,CYP2C9,SULT1C2,CYP2C18,CYP2C19,CYP4F12,CYP3A5,SULT1E1,UGT2A3,CYP4F2,AKR7A3,AOC1,AKR7L,CYP4F3,CYP2S1,MAOA,CYP2J2,ALDH3A1,MGST2,ADH1C,CYP3A4,NAT2,UGT2B15,ACSM1,NR1H4,ADH6,CYP2B6,ALDH2,ACY3,BPNT1,ACY1,UGT2B17,SULT1A4,SULT1A3,CYP4B1,CYP3A7,NAT1,CYP4A22,CES2,GSTA1,AADAC,GSTA2,CYP51A1,CMBL,GSTK1,SULT2B1,ACSS2,ACSM2A,CYP4F11,GSTO2,ADH1A,GGT1,SLC35D1,UGT1A1,AHR,UGT2A2,MAT2A,MGST3,ABHD14B,CYP2C8","Down"
"15","REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS",0.00166156058217546,0.0454817006815826,0.45505986738723,-0.794879615206056,-1.78955459994441,12,"BTNL8,XDH,BTNL9,PPL,BTN3A2","Down"
"16","REACTOME_CA2_PATHWAY",0.00722057266204255,0.125389514507513,0.407017918923954,0.501485177562734,1.53050991932935,62,"WNT11,CAMK2A,GNG4,GNGT1,FZD2,GNG3,GNAO1,GNB3,GNG11,NFATC1,PLCB1,TCF7L1,GNB5,TNRC6C,GNAT2,AGO2,PRKG2,ITPR3,GNG2,PPP3CB,MAP3K7,ITPR2,GNB4,FZD4,PRKG1,GNG7,FZD3,FZD6","Up"
"17","REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS",0.0192676348991901,0.226848261182232,0.352487857583619,0.75478580622671,1.5532392004146,10,"CALCR,CALCA,RAMP1,IAPP,CALCB,RAMP2,CALCRL","Up"
"18","REACTOME_CARDIAC_CONDUCTION",0.000887012772286443,0.0292352168825021,0.477270815362862,0.460632306092662,1.58349707829768,126,"CACNG6,KCNK9,KCNJ12,CAMK2A,KCNK2,FGF12,KCNK17,FXYD7,RYR1,KCNIP3,SCN2B,KCNH2,CORIN,PLN,KCNK16,ATP2B2,KCND1,SCN1B,WWTR1,NPR1,SCN3B,KCNE4,SLC8A2,TRPC1,KCNK3,RYR3,NPR2,CACNA2D2,SCN8A,CAMK2B,SCN4A,DMPK,ATP2A1,FXYD1,RYR2,KCNJ14,SCN7A,FGF14,KCND2,KCNE5,CACNA1C,ATP1A2,GATA4,TBX5,CACNG4","Up"
"19","REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES",0.000378258251325815,0.017453916454034,0.49849310876659,-0.572884141027799,-1.85766968861268,58,"CXCL5,CXCL3,CCL20,CCL17,CXCL11,CXCL9,CCRL2,CCL21,CCL7,CCR8,CXCL8,CCL13,CCR9,CXCR1,CCL22,CXCL10,CXCR2,CCL3L1,CX3CL1,PF4,CCR7,CCL25,PPBP,CCR6,XCR1,CCR4,CXCL1,CXCR3","Down"
"20","REACTOME_CHOLESTEROL_BIOSYNTHESIS",0.000322928691166283,0.0153391128303984,0.49849310876659,-0.716910667635369,-1.94529330652795,25,"MSMO1,DHCR24,EBP,HMGCS1,SQLE,CYP51A1,FDFT1,HMGCR,IDI1,FDPS,MVD,NSDHL","Down"
