"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","AKT_UP.V1_DN",0.00111541969166638,0.0200099843216548,0.45505986738723,0.424418818931271,1.55263602251539,188,"KRT5,PADI3,NCAM1,GAS1,FHOD3,TNFRSF19,PPP1R3C,SFRP2,PKP1,EDARADD,CSDC2,ALPL,HTRA1,ACKR3,DPT,IBSP,TPD52L1,FKBP11,PDLIM3,PLTP,SLIT3,EFEMP2,CHAD,TIMP3,AQP5,GNMT,CAP2,MEPE,PDZRN3,ID3,PTGIS,RECK,GRAMD1A,KRT15,SCARA3,SLC39A13,PDGFRA,CBS,CNN2,EFEMP1,LTC4S,SLC7A5,KCNK3,ISLR,SH3BGR,ZNF771,TSPAN4,PDLIM4,FBXO32,TCF21,SATB1,CHST12,HIC1,RMND1,BEX4,TSPYL4,NID1,GSTA4,DRAM1,ASF1A,PLPP3,RAMP1,IFFO1,C1R,FAH,PDIA5,SIX5,G6PC2,TULP3,PAQR7,KCTD12,RTKN,ZC3H12C","Up"
"2","AKT_UP.V1_UP",0.00331397357002457,0.0391463127959152,0.431707695803346,-0.394038398074297,-1.48788359994048,163,"GPX2,VILL,SLC6A14,ANXA13,TJP3,PSCA,LDLR,TMPRSS4,KCNE3,GDPD2,MFSD4A,CTRB1,KCNK5,CD55,HOXB9,S100A14,DHCR24,FAM3B,MSMO1,PARM1,SH3BGRL2,MAL2,SGSM3,TMCC3,BACE2,PAK1,ERO1A,SAA4,LRG1,TFRC,RIPK3,JPT1,GAK,CYP51A1,CLMN,ROPN1L,IDI1,DNAJB13,TESC,ATF3,SEC14L2,GIPC1,CCNG2,WFDC12,PFKP","Down"
"3","BMI1_DN.V1_UP",0.0517529215358932,0.215538132573058,0.257206466468838,0.368668965559095,1.29581432780118,143,"LRRC15,ADAM12,HAPLN1,MFAP5,PTHLH,KRT17,TAGLN,GREM1,ACTA2,VLDLR,PMEPA1,FAP,ACKR3,FJX1,COL7A1,SRPX2,P3H3,STC2,PSG5,INHBA,NT5E,TIMP3,TIE1,PROP1,TNFAIP6,CPA4,B4GALNT1,GAL,VEGFC,TNFRSF8,ITGA5,FKRP,PAPPA,CHST3,MFGE8,SLC7A5,ANPEP,COL16A1,CRISPLD2,FES,GFPT2,LRIG1,TEK,CHST11,FGFR1,FADS3","Up"
"4","BMI1_DN_MEL18_DN.V1_DN",0.0499168053244592,0.215538132573058,0.261663521711573,0.368021817313253,1.29700850093721,145,"EPYC,HOXC13,COL9A3,EYA4,ABCA4,CHL1,PENK,GPR88,PNMA8A,OGDHL,CYTL1,DLK1,REEP2,SLC17A6,SSPN,NR2E1,SOX2,PEG3,ID4,CDH10,DOK5,TCEAL2,MXRA5,PCSK1","Up"
"5","BRCA1_DN.V1_UP",0.0431778929188256,0.209246711837385,0.287857117255149,0.386503727521991,1.33157330320867,125,"CILP,CLDN6,TNC,KCNB2,ETNK2,IQCA1,SLCO1A2,THBS2,DAZL,HMGA2,P3H3,CDH13,GJA5,RCN3,NLGN4Y,PHOX2B,KLK8,SHANK1,RNF122,TRPA1,ISYNA1,SLC43A1,APBB1,THPO,CDX1,CDH22,OSR2,CNTN6,LTC4S,APOH,LDB2,CHRNA6,RAG2,SMN1,ZNF682,ZNF423,IL5,DDX25,PTPRS,HAAO,CHD5,LRTM1,ZNF780B,FCGR2C,EXTL1,GPR6,TTLL7,CYP2U1,ZNF529","Up"
"6","CAHOY_NEURONAL",0.00063657735419891,0.0150391399929493,0.477270815362862,0.495889976672947,1.67110097310816,100,"RGS4,EPHA7,CPNE4,GABRG2,GREM2,PENK,GABRA5,NXPH2,HCN1,PNOC,NELL1,SYT5,HPCA,NEFL,DRD1,CBLN4,SYT4,CRH,MYH3,SLC17A6,DYNC1I1,SLC6A17,MYT1L,RTN4RL1,BCL11A,NEFM,LIN7B,RASL10A,KRT222,CRHBP,CAMK2B,TRHDE,LAMP5,SCG2,GAD2,SH2D5,SYT1,AMER3,CELF4","Up"
"7","CORDENONSI_YAP_CONSERVED_SIGNATURE",0.00890416950903369,0.0833290178817094,0.380730400722792,0.500317330981414,1.53727241961208,56,"ANKRD1,FSCN1,THBS1,PHGDH,BICC1,SCHIP1,GGH,FLNA,PDLIM2,MARCKS,GAS6,AMOTL2,FSTL1,AXL,SERPINE1,GLS,ITGB5,DLC1,COL4A3,STMN1,SGK1,ETV5,TNNT2,HEXB,LHFPL6,PMP22,DAB2,CDKN2C,SLIT2","Up"
"8","CRX_NRL_DN.V1_DN",0.022788711733101,0.142858057494171,0.352487857583619,0.39304348630171,1.35181419386721,123,"GABRA3,TMEM158,TNC,NMBR,HES5,INHBB,FRMD6,GRIK2,KLHL1,CDH20,CNGB3,IL17D,CPLX2,C14orf132,RASGRF2,ENC1,SGCE,CLIC4,GABRA2,RXRG,NTNG2,CHRNA3,CAMK2B,TNFRSF12A,MTNR1A,TSPAN33,ELOVL2,PTPN13,PRMT1,BAMBI,RBP7,KAZN,KIF5C,JAM3,DDX3Y,PAM,GSDME,NR4A1,PDIA3,METRN,RERG","Up"
"9","CTIP_DN.V1_DN",0.0456852791878173,0.215538132573058,0.276500599254472,0.375104011582914,1.30332603258954,130,"KLK5,KRT13,ECE2,MAGEL2,SCGB1A1,RAC3,ZFY,CNTF,RBMXL2,BCAM,TGM1,SYNDIG1,MYH1,CHST15,REEP2,TYR,LCN1,CDKN1C,KCNC1,PI15,RASGRF1,HCN4,CTF1,MAPK11,RGS11,FAM169A,ABCB4,OLFML2A,AMPH,CCNA1,TSPAN7,CDH22,SACS,PTGIR,ACOXL,OR10H1,DIP2C,GPR19","Up"
"10","CYCLIN_D1_KE_.V1_DN",0.00299423783838165,0.0377273967636088,0.431707695803346,0.410155613001114,1.50045745187735,188,"KRT5,CYP24A1,KRT13,HPN,ALPG,CXCL12,KRT17,GJA1,PENK,TUBA1A,ALPL,COL3A1,INHBB,DAZL,NTF4,ACKR3,NELL1,MAPK4,OXT,GRIA1,KCNJ8,CD14,TMSB15A,KIF1A,PRKG2,DNAJB4,EML1,RXRG,ADARB1,HPX,SALL2,LINC01587,MAG,DIO2,GYPA,MYH2,RIT2,PEPD,SERPINA7,PGM5,ATP6V1B1,PSG3,FES,FCER2,CPN1,WTAP,SLC25A11,CRISP2,DPF1,TARBP2,FXR2,UNG,IL1R1,PDYN,NEDD4,CRMP1,TCEA2,PRKCQ,LIMS1","Up"
"11","E2F3_UP.V1_UP",0.00473098236877459,0.0525973922175528,0.407017918923954,0.400147271870506,1.46079038944065,185,"EEF1A2,ZIC2,PEG10,TMEM158,UBE2QL1,HOXA9,INHBB,WNT9A,NEFL,SLC6A2,CYP26A1,EFS,TMEM121,SLC4A3,HEY1,CDKN1C,FGFR3,CDK5R1,CBX2,RTN4RL1,ADGRB2,CHRDL2,FAM222A,GPR137C,FOXD1,MEX3B,CHST7,PLXND1,LIN7B,CHST1,NAT8L,KCNA6,INA,LRP4,RYR1,HSPA2,PYGO1,C11orf96,MSRB1,HBA2,RAB26,ATRNL1,SH3BGR,RAB9B,PDIA2,KCNS3,SNRNP25,RASD1,TAS2R38,CDRT15,SAC3D1,REEP1,ESX1,UNG,MAP6D1,LMO2,E2F7,TIFA,RHOBTB2,DHRS13,TMOD2,TM6SF1,TMEM201,SIX5,FAM43B,L3MBTL3,TMEM106C,CDKN2C,TMEM97,EML6","Up"
