"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_HIGH_IGM_RESPONDERS_3DY_7D_DN",0.0135410310151108,0.225250919868109,0.380730400722792,-0.844280999934592,-1.56798368497098,6,"TBX21,KLRB1,IL2RB,NKG7,SLAMF7","Down"
"2","ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP",0.000170692813362713,0.0121963522534234,0.518848077743792,-0.47555791808604,-1.73344756680084,116,"CEACAM1,IL1RN,GBP4,ISG20,DDX60L,ANKRD22,SAMD9,OASL,DDX60,APOL6,FRMD3,ETV7,BATF2,OAS1,ZBP1,RTP4,SOCS1,SAMD9L,GBP5,IFI27,NUB1,HERC6,GALM,SP140,USP18,PARP12,TDRD7,LAMP3,LY6E,MX2,EPSTI1,LGALS9,LAP3,IFIH1,HELZ2,OAS2,PARP9,NCOA7,XAF1,GBP1,PARP14,TOR1B,CXCL10,IFI35,LIPA,DDX58,TNFSF13B,UBE2L6,CD274,PNPT1,STAT1,BST2,OAS3,IFIT3","Down"
"3","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP",0.00136125019826119,0.056802248273043,0.45505986738723,-0.510599918011186,-1.69500499650323,72,"IL1RN,DDX60L,SAMD9,OASL,DDX60,APOL6,ETV7,OAS1,ZBP1,RTP4,SAMD9L,IFI27,HERC6,TRIM14,USP18,PARP12,CMPK2,LAMP3,LY6E,MX2,EPSTI1,LAP3,IFIH1,OAS2,PARP9,XAF1,GBP1,PARP14,TOR1B,CXCL10,IFI35","Down"
"4","FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP",0.0104490129350888,0.195956638817004,0.380730400722792,-0.39253584448456,-1.43280023677666,123,"MMP1,ASPHD2,VNN1,SERPINB7,CXCL3,CCL20,BATF,GBP4,CSF2,APOL1,IDO1,APOL3,GBP2,SOCS1,SLC7A7,GBP5,RUNX3,IL36G,PSME2,ABTB2,PSMB9,CXCL2,IRF1,CCL22,PIM1,LAMP3,PHLDA2,SERPINB2,BCL2A1,IL12B,EPSTI1,F3,NFKB1,IFIH1,IL1B,D2HGDH,NAMPT,IRF9,PARP9,CD38,C2CD4B,GBP1,CCL1,VNN3,OSM,CXCL10","Down"
"5","FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_1DY_POSITIVE",4.93821157232327e-06,0.000850421713731588,0.610526878385931,-0.519477348959296,-1.90982766963247,127,"CEACAM1,IL1RN,GBP4,ISG20,ANKRD22,CASP5,OASL,SLC6A12,DDX60,APOL3,GBP2,FRMD3,BATF2,OAS1,ZBP1,GBP5,HERC6,P2RY14,PSMB9,STX11,SP140,PARP12,CMPK2,JAK2,TDRD7,PSME1,LAMP3,IL15,CASP1,LY6E,ATF3,SP110,UNC93B1,SBNO2,TAP1,PHF11,SCIMP,MX2,EPSTI1,MLKL,LAP3,PARP10,FGL2,IFIH1,HELZ2,OAS2,DHX58,PARP9,NCOA7,XAF1,GBP1,PARP14,IFI35,TRIM56,CUL1,CASP4,DDX58,TYMP,SAT1,TNFSF13B,AIM2,UBE2L6,STAT1,OAS3,IFIT3","Down"
"6","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_DN",0.0142377731031367,0.228505306172187,0.380730400722792,-0.609725315299426,-1.56440089138358,21,"CCL20,TICAM1,CCR4,ICOS,CCR6,CARD10,CCR7,CCL19,LAMP3,CCL21,TAP2","Down"
"7","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_TO_48HR_EARLY_DN",0.004425358475752,0.117768723517972,0.407017918923954,-0.564507712753698,-1.67387707510349,37,"KLRC3,KLF2,KLRK1,CD3E,CD3G,CD3D,CD96,ZAP70,NKG7,F11R,TRAF1,RHOH,CD37,F2R,CCL5,FASLG,PTPRCAP,NKTR","Down"
"8","GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_DN",0.00550375091012826,0.132292925102438,0.407017918923954,0.36119694503887,1.38209491331855,286,"KRT5,LPA,KLK12,DUSP13,GRPR,FST,HTRA1,VLDLR,IGF1,CA6,CLEC11A,CTSK,MAPK12,CPLX2,TPST2,CD14,APLNR,SPARC,CADM1,ANOS1,CHRNA7,CD99,HMOX1,FLRT2,ID3,STC1,S100A8,TIMP2,ISYNA1,LTBP3,KIFC3,SLC43A1,NAP1L3,EMP3,RUNDC3A,CHST8,BEX3,SRPX,RPS6KA2,F13A1,TPBG,CHST3,PEPD,HOMER3,GABBR2,PDGFC,MAGI2,BASP1,ASCL1,HBA2,PLXNC1,HSF2,ACADVL,TSPAN4,ADORA3,AVPR1A,DRD2,DLG4,SDS,WASF3,VAT1,PLIN2,AR,RNASET2,VPREB3,FARP1,CD9,PLD3,GRB10,PTDSS2,RABAC1,GSDME,DBP,RNASE1,GDF11,RAI2,CELSR1,VPS51,PLPP3,LRP1,TM6SF1,POLD1,CALCB,TENM1,GAS7,PMP22,SCAND1,DAB2,USF2,NUDT3,PCYOX1,PYCARD,MS4A4A,ADORA2B","Up"
"9","GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_UP",0.000512828953942555,0.0284565513166422,0.477270815362862,-0.357681153685948,-1.46388879020996,319,"AKR1B10,TRIM15,CCL24,SHH,IL2,LDLR,MMP12,CCL20,IL1RN,IL1R2,BIRC3,IL17RB,STAP1,GNLY,ISG20,CLIC5,GZMA,CD1B,CSF2,CTLA4,CXCL9,CASP5,APOL1,IDO1,CCL17,MSMO1,SLAMF1,LGALS2,CXCL11,ETS2,SOCS1,PCK2,PDK4,AICDA,GCNT1,IL2RA,CAV3,KMO,GABPB2,BHLHE40,MAL,MKI67,IFNG,CYP27B1,PSMB9,CCL19,CHAF1A,LIMA1,IDI1,GZMB,LAMP3,SERPINA6,IL15,CASP1,IRF2,HRH4,PHLDA2,PROM1,MAD2L1,MLN,CLEC10A,PFKP,CLIC2,JAG1,HBEGF,FANCA,CCL23,ACSL1,CDKN3,RGS1,GNL2,IL1B,NAMPT,PDSS1,NCAPG,CASQ1,TXN,TAP2,EML4,GPD2,CD38,PAICS","Down"
"10","GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_10DY_UP",2.04539261045354e-05,0.00248110880375015,0.575610261071129,-0.449548886605013,-1.73914809037215,192,"PLAC8,DHRS9,GPBAR1,CEACAM1,IL1RN,MT1A,ANKRD22,CDCA7,OASL,DDX60,APOL3,GBP2,FRMD3,BATF2,OAS1,ZBP1,RTP4,SOCS1,PCK2,SAMD9L,GBP5,IFI27,NUB1,HERC6,FLVCR2,RIPK3,PSME2,GALM,REC8,CENPM,SP140,PARP12,TRIM21,ASPRV1,SLC27A3,TDRD7,IL15,PRF1,CASP1,LY6E,ATF3,SP110,NMI,TAP1,PHF11,EPSTI1,TMEM140,LGALS9,LAP3,PARP10,CHMP5,APOBEC3F,IFIH1,HELZ2,IRF9,OAS2,DHX58,PARP9,TAP2,UBA7,NCOA7,JCHAIN,CD38,XAF1,GBP1,PARP14,GNGT2","Down"
