"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_HIGH_IGM_RESPONDERS_3DY_7D_DN",0.00171374763362328,0.0326865925563661,0.45505986738723,-0.917576420744008,-1.70743402778325,6,"NKG7,KLRB1,TBX21,SLAMF7,IL2RB","Down"
"2","CAO_BLOOD_FLUMIST_AGE_05_14YO_CORRELATED_WITH_H3N2_VN_TITER_7DY_POSITIVE",0.00293055221376478,0.0497907503159515,0.431707695803346,-0.839025955504849,-1.74671722862813,9,"OASL,GBP5,OAS1,IFIT3,OAS2,GBP1,IFIT1,RSAD2,IFITM3","Down"
"3","CAO_BLOOD_FLUZONE_AGE_05_14YO_CORRELATED_WITH_H3N1_HI_TITER_1DY_POSITIVE",0.0151091520769113,0.149827637325417,0.380730400722792,-0.853554993315774,-1.58830240972185,6,"OASL,IFIT3,GBP1,IFI44L,IFIT1","Down"
"4","ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP",1.04656415708896e-05,0.000500814554438169,0.593325476396405,-0.336194459387611,-1.4685769379755,660,"LYZ,BIRC3,GBP3,OASL,TPD52,GCOM1,DDX60,KLRC1,OAS1,IFI27,JCHAIN,KLRC2,TRAT1,ERAP2,RTP4,GZMA,CMPK2,USP53,ANK3,SAMD9,MS4A1,KLRC3,CD3D,CMPK1,CD52,GIMAP2,THEMIS,EPSTI1,TNFRSF17,OAS2,C12orf75,ATP8A1,TGFBR3,ITK,CDKN2AIP,SH2D1A,STK39,KLRK1,GZMK,PRKACB,ZWINT,TMEM168,TFRC,XAF1,SAMD9L,GSKIP,LY6E,GBP1,ZNF518A,SLAMF7,MZB1,ZDHHC20,ABCD3,SLC35A3,ANKRD36B,GOLGA4,IFIH1,ZFP62,BCL11B,IFI44L,ETNK1,HMGB2,ABCB10,ZNF721,SCOC,SLC5A3,SDAD1,STAMBPL1,IFIT1,DBI,PNN,RNF6,PPIG,PRELID3B,ARAP2,IFI6,UBA6,IFI44,TM9SF3,IL7R,RRM2,ARHGAP5,AIMP1,PDP1,PPA1,KRCC1,HERC5,OAS3,IMPA1,EIF4E,DNAJC15,NDUFA6,DCK,IFIT5,CKS2,HSPB11,ZCCHC10,ARGLU1,N4BP2L2,CHMP5,HMGB1,SUCLG2,NAA15,ZNF600,GZMH,MRFAP1L1,OMA1,DNAJC10,RBM15,TMEM161B,SAMD3,RAB11A,CD69,AP5M1,PGGT1B,EIF4A2,KTN1,CMTR2,SMIM15,RSAD2,OXR1,LSM7,CMC1,NUP54,COX6C,MITD1,UAP1,PHF14,WWP1,TRIM22,ZNF644,SNRPG,DNTTIP2,NEMF,COX7B,ANKRD13C,RBM25,TMED5,TCERG1,EIF1AX,SLC25A46,CHMP2B,SUN1,RRM1,USP1,RASGRP1,RABGGTB,DIS3,PSMA4,PPP4R3B,THUMPD1,MFSD6,CD2AP,LEPROTL1,ANKRD36,KIAA1109,TIMM17A,CEBPZ,NIFK,RABGAP1L,HNRNPA2B1,C2CD5,NDUFA5,MRPS31,ERAP1,DENND1B,ZBTB8OS,ZRANB2,EMC2,ATAD1,SETDB2,CPEB2,DR1,NOP58,ABCE1,PCLAF,CHML,MICU2,CBWD3,SAR1B,CAMK4,MTREX,ANP32E,SRSF1,CCAR1,GLOD4,DDHD1,PCGF5,LUC7L3,THAP5,CUL4A,TTC14,UPF3A,HSPH1,PCNA,OTUD6B,HINT1,PSMC2,CENPK,MGAT2,USO1,PSMC6,GORAB,RNF138,SMARCA5,SUCLA2,ZNF107,USP16,CLNS1A,PTCH1,TRMT13,ZMYM6,MYSM1,CNIH4,MBNL2,PPA2,PRPS2,ISG15,DBF4,URI1,PNPT1,EXOSC8,LTN1,UQCRB,ATP5PO,SRP9,NRAS,SRSF10,CYCS,RALGAPA1,TMEM209,B3GNT2,CPSF6,RBM34,PRPF40A,MTDH,TMEM123,POU2AF1,CD47,PRPF39,SMC4,ALG13,SREK1,ZNHIT6,SRSF11,GPBP1,BUB3,RAP2C,FBXW7,COPS4,HS3ST3B1,CLIP4,DOCK10,API5,BTN3A3,HNRNPU,DENND4C,CFAP97,TMEM87B,RBAK,CEP57,NUDCD2,ARFGEF2,PLEKHA1,TYMS,BDP1,LRPPRC,PPIL3,PRKCI,ZNF83,UQCRQ,TMEM135,SSB","Down"
"5","ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP",9.03152128688446e-12,2.94427593952433e-09,0.875325132024659,-0.653219750717613,-2.37390185833323,116,"CEACAM1,ANKRD22,IL1RN,BATF2,OASL,GBP4,DDX60L,DDX60,GBP5,OAS1,ISG20,ETV7,IFI27,LAMP3,APOL6,ZBP1,RTP4,CXCL10,SAMD9,USP18,IFIT3,EPSTI1,HERC6,MX1,IFITM2,OAS2,MX2,SP140,LAP3,IFITM1,XAF1,IFI35,BST2,SAMD9L,LY6E,GBP1,LGALS9,FRMD3,IFIH1,GALM,UBE2L6,IFI44L,TDRD7,HELZ2,NUB1,IFIT1,IFI6,IFIT2,IFI44,PARP9,HERC5,OAS3,SOCS1,IFIT5,PARP14,TNFSF13B,SCO2,CCL8,STAT1,RSAD2,TOR1B,TRIM22,DDX58,CD274","Down"
"6","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP",3.46313126313429e-08,3.47378705163624e-06,0.719512826338911,-0.673788363499223,-2.23596594055481,72,"IL1RN,OASL,DDX60L,DDX60,OAS1,ETV7,IFI27,LAMP3,APOL6,ZBP1,RTP4,CXCL10,CMPK2,SAMD9,USP18,IFIT3,EPSTI1,HERC6,MX1,IFITM2,OAS2,MX2,LAP3,IFITM1,XAF1,IFI35,SAMD9L,LY6E,GBP1,IFIH1,UBE2L6,IFI44L,IFIT1,TRIM14,IFI6,IFIT2,IFI44,PARP9,HERC5,OAS3,IFIT5,PARP14,SCO2,RSAD2,TOR1B,TRIM22,DDX58","Down"
"7","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.016112112853423,0.155056790855082,0.352487857583619,-0.514969188821718,-1.54281888874471,39,"HSH2D,CXCL11,TLR3,OAS1,CCL7,LAMP3,IFNA1,OAS2,IFNG,XAF1,SAMD9L,SLAMF7,IFIH1,IFIT2,CD38,OAS3,IL15,STAT1,CCL3,DDX58","Down"
"8","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NON_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.0178510397867677,0.164549839565254,0.352487857583619,-0.634048225772088,-1.58213962655339,18,"HSH2D,CXCL11,TLR3,ATP8A1,XAF1,SAMD9L,PF4,IFIT2,CD38,USF1,DDX58,RASGRP1","Down"
"9","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.000116751326344144,0.00403294647821891,0.538434096309916,-0.679536468286429,-1.96726448838188,34,"HSH2D,CXCL11,TLR3,OAS1,CCRL2,IFNA1,OAS2,XAF1,SAMD9L,LYN,IFIH1,IFIT2,CD38,OAS3,IL15,CD68,NOD2,DDX58,TNF,TNFSF10,EIF2AK2,IFNA4","Down"
"10","FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP",7.07296531108374e-05,0.00261649553635552,0.538434096309916,-0.481481277294937,-1.75584555839545,123,"SERPINB7,ASPHD2,MMP1,VNN1,CXCL3,CCL20,CSF2,BATF,GBP4,GBP2,GBP5,BCL2A1,CXCL8,LAMP3,SERPINB2,CCL22,CXCL10,IDO1,APOL3,AQP9,IFIT3,EPSTI1,PHLDA2,MX1,PSMB9,APOL1,PSME2,CCL3L1,SLC7A7,GBP1,LTA,IFIH1,VNN3,IRF1,UBE2L6,IFI44L,IRF9,LIF,F3,MMP10,CXCL1,CD38,PARP9,OAS3,SOCS1,ACOT7,SERPINA1,NFKB1,IL12B,STAT1,PTGS2,EML2,IL1B,CCL3,PIM2,TRIM22,TRAF4","Down"
"11","FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_UP",0.00210685759914113,0.0377742440530038,0.431707695803346,-0.448822804127726,-1.57103001843592,92,"SERPINB7,CXCL5,MMP1,CXCL3,CCL20,CEMIP,CSF2,BATF,C15orf48,GBP4,GBP2,GBP5,BCL2A1,HCAR3,CXCL8,LAMP3,SERPINB2,CCL22,IDO1,AQP9,PHLDA2,MT1G,CCL3L1,SLC7A7,GBP1,LTA,VNN3","Down"
