"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_ALLOGRAFT_REJECTION",0.00176213698207647,0.0157668199938912,0.45505986738723,-0.398187444597282,-1.51765986080136,187,"ICOSLG,IL2,IL2RG,TRAT1,TPD52,PF4,IL18RAP,GZMA,CD8A,CD3E,CXCL9,ITK,GBP2,CD3G,IL7,CD3D,TLR3,CD2,ACHE,CTSS,CD40LG,EREG,SOCS1,CD96,LY75,CD8B,IRF8,CD247,GCNT1,IL2RA,ITGAL,ZAP70,IL2RB,LCP2,ELF4,STAT4,MAP4K1,IFNG,CCL19,CRTAM,CCL22,JAK2,BCL10,GZMB,CD7,IL15,PRF1,LYN,NCR1,FGR,TAP1,IL12B,IL12RB1,PSMB10,PRKCB,CXCR3,IL1B,LCK,BCL3,TAP2,PRKCG,CCND3,F2R,PTPRC,CCL5","Down"
"2","HALLMARK_ANGIOGENESIS",0.0554621848739496,0.15406162464986,0.248911114434702,0.518989064750063,1.45676482876412,36,"COL3A1,POSTN,COL5A2,KCNJ8,VCAN,LUM,SERPINA5,STC1,JAG2,SPP1,CXCL6,FSTL1,MSX1,APOH,NRP1,FGFR1,APP","Up"
"3","HALLMARK_APICAL_JUNCTION",0.0164545138018462,0.0685604741743593,0.352487857583619,0.380098613371307,1.39799403504046,199,"CLDN9,CDH8,DMP1,CLDN8,DSC3,AMIGO2,CLDN6,MYH10,SPEG,ACTG2,CNTN1,FSCN1,CALB2,MMP2,TGFBI,CDH15,CERCAM,ADAMTS5,MYL9,SHROOM2,THY1,TRO,BMP1,FBN1,KCNH2,VCAN,CDH4,CD99,GAMT,WNK4,CDH11,ICAM4,NEGR1,SGCE,FLNC,MAPK11,PARVA,CLDN5,NECTIN1,ACTN1,THBS3,NEXN,CNN2,CD276,CLDN11,COL16A1,TSPAN4,AMH,AKT3,SLC30A3,ACTG1,MSN,BAIAP2,ITGB1,HRAS,KRT31,NLGN2,LAYN,JAM3,NECTIN2,MAP4K2,ADRA1B,LDLRAP1,CADM3","Up"
"4","HALLMARK_APICAL_SURFACE",0.0185453650776159,0.071063243191073,0.352487857583619,0.508897667816623,1.48904536826471,44,"ATP6V0A4,DCBLD2,LYPD3,GAS1,NTNG1,RHCG,SHROOM2,THY1,RTN4RL1,SRPX,PKHD1,SULF2,AFAP1L2,APP","Up"
"5","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00361534685290089,0.0225959178306305,0.431707695803346,-0.484296260741836,-1.62648811879369,73,"ANXA13,LDLR,PPARG,LPL,SQLE,LGALS3,ANTXR2,SEMA3B,MAL2,SREBF2,ACSS2,CYP51A1,ETHE1,SCD,STARD4,EBP,MVD,IDI1,HMGCS1,ATF3,HSD17B7,JAG1,S100A11,CPEB2,FDPS","Down"
"6","HALLMARK_COMPLEMENT",0.046228660232674,0.135966647743159,0.321775918075361,-0.327258799726175,-1.25322617718848,200,"MMP12,HNF4A,ERAP2,F5,C4BPB,GZMK,CA2,ANG,CD55,GZMA,CP,LGALS3,CASP5,MAFF,CTSS,CD40LG,PLA2G4A,CASP7,GATA3,LCP2,ITIH1,KYNU,APOA4,PSMB9,CBLB,IRF1,CPM,JAK2,PIM1,KLK1,GZMB,PRKCD,CASP1,IRF2,APOC1,SERPINB2,LYN,SIRT6,PDP1,LAP3,DPP4,L3MBTL4,F3,DGKH,CASP10,APOBEC3F,PSEN1,USP14,FCN1,LCK,PCSK9,RASGRP1,GPD2,MMP15,OLR1,CCL5,GNGT2,PIK3R5,KLKB1,CTSC,ACTN2,DOCK10,USP15,GP1BA,PIK3CG,LIPA,TIMP1,WAS,PLA2G7,SPOCK2,CASP4,RABIF,PHEX,RNF4,ANXA5,STX4","Down"
"7","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.6188684873709e-21,1.80943424368545e-19,1.18665095279281,0.669996599675611,2.46481075108139,198,"LRRC15,ADAM12,COL11A1,COL12A1,GAS1,LAMA1,CXCL12,RGS4,TNC,MFAP5,FN1,PTHLH,GJA1,CDH2,TAGLN,GREM1,COL1A2,ACTA2,MMP2,TGFBI,COL3A1,THBS1,PFN2,POSTN,THBS2,EDIL3,HTRA1,CTHRC1,IL6,PMEPA1,FAP,SERPINH1,APLP1,PRRX1,PTX3,MYL9,COL1A1,COL5A2,LOXL2,COL7A1,LGALS1,LOX,LOXL1,COL6A2,THY1,DPYSL3,COL8A2,MMP14,COMP,COL6A3,BMP1,TPM2,FBN1,SLIT3,COL5A3,NID2,FBLN1,PLOD2,EFEMP2,VCAN,SNAI2,SGCD,P3H1,LUM,INHBA,GPX7,SPOCK1,NT5E,SPARC,CADM1,TIMP3,PLOD1,SFRP4,PCOLCE,CDH11,FLNA,CAP2,MYLK,MATN3,COL5A1,ECM2,FERMT2,MXRA5,SPP1,VEGFC,CXCL6,TPM1,NNMT,EMP3,FBLN2,TNFRSF12A,FOXC2,NTM,ITGA5,GLIPR1,FSTL1,CALD1,GPC1,SCG2,IGFBP2,MAGEE1,FBN2,MSX1,VIM,BASP1,ANPEP,CALU,LAMC1,COL16A1,DCN,SERPINE1,PPIB,ITGB5","Up"
"8","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0365660219803438,0.114268818688574,0.321775918075361,-0.330854505919009,-1.26242957343944,198,"TFF1,TFF3,MSMB,MUC1,RAPGEFL1,TJP3,SYBU,KLF4,TMPRSS3,SLC27A2,MYB,IL17RB,KCNK5,AREG,MLPH,ABHD2,OVOL2,FKBP5,SLC1A1,FLNB,KCNK15,SEMA3B,ELF3,RETREG1,AKAP1,CHPT1,BCL11B,DEPTOR,CBFA2T3,SLC37A1,FCMR,TTC39A,RBBP8,OLFM1,ITPK1,BAG1,BHLHE40,FAM102A,ABCA3,TMEM164,JAK2,DHRS3,ALDH3B1,MYC,FOS,SEC14L2,ESRP2,PDZK1,SLC16A1","Down"
"9","HALLMARK_ESTROGEN_RESPONSE_LATE",0.030045855440016,0.10015285146672,0.352487857583619,-0.342248861506556,-1.30844120649743,197,"TFF1,AGR2,TFF3,RAPGEFL1,TNNC1,TRIM29,TJP3,NMU,KLF4,HMGCS2,TMPRSS3,SLC27A2,MYB,IL17RB,BATF,KCNK5,CA2,AREG,ISG20,ABHD2,OVOL2,FKBP5,CDH1,CYP4F11,FLNB,SEMA3B,TST,ZFP36,CHPT1,GJB3,CXCL14,PKP3,RBBP8,OLFM1,ITPK1,BAG1,ASS1,TPSAB1,FAM102A,ABCA3,JAK2,ALDH3B1,FOS,DNAJC1","Down"
"10","HALLMARK_FATTY_ACID_METABOLISM",0.00572455922634154,0.0318031068130085,0.407017918923954,-0.38755845321318,-1.47219670728487,156,"FABP1,VNN1,HPGD,FABP2,XIST,GPD1,HSD17B11,HMGCS2,MAOA,CA2,ADH1C,MGLL,DHCR24,ACSL5,RETSAT,AQP7,CYP1A1,ACSM3,S100A10,ALDH3A1,IDI1,PSME1,HMGCS1,YWHAH,CYP4A22,HSD17B7,ACSL1,DECR1,HCCS,ENO3,D2HGDH,CBR1,CEL,GPD2,CPT2","Down"
"11","HALLMARK_HEDGEHOG_SIGNALING",0.0909090909090909,0.239234449760766,0.191892240384838,0.476980947274649,1.33176870054084,35,"L1CAM,PLG,VLDLR,THY1,NRCAM,HEY1,CDK5R1,SCG2,CDK6,UNC5C,NRP1,SLIT1,CRMP1,MYH9,CELSR1","Up"
"12","HALLMARK_IL2_STAT5_SIGNALING",0.0198977080935004,0.071063243191073,0.352487857583619,-0.348745188983187,-1.335795298065,199,"MUC1,F2RL2,BMP2,IL1R2,BATF,MXD1,CA2,DRC1,ABCB1,GBP4,TNFSF11,HK2,CSF2,CTLA4,EOMES,CCR4,ICOS,MAFF,IL18R1,SH3BGRL2,PNP,COCH,SOCS1,SLC29A2,PTCH1,IL1RL1,PTGER2,IRF8,CDCP1,IL2RA,IL2RB,GALM,BHLHE40,HIPK2,GATA1,ITGA6,PIM1,NDRG1,DHRS3,MYC,CD48,ARL4A,RHOB,TRAF1,RABGAP1L,AHR","Down"
