"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_ALLOGRAFT_REJECTION",0.000104464281411668,0.00104464281411668,0.538434096309916,-0.427055584028314,-1.62353971091407,187,"IL2RG,EREG,TPD52,GZMB,CXCL9,GBP2,ICOSLG,TLR3,CCL7,CCL13,IL18RAP,TRAT1,IL7,GZMA,CCL22,LY75,CTSS,CD3E,CD3D,CD2,CARTPT,TAP1,FGR,ITK,CD3G,IFNG,PRF1,LCP2,CD79A,ZAP70,PF4,IL2RB,CD8A,LYN,B2M,LTB,NCR1,GCNT1,PSMB10,IL2RA,IRF8,IFNGR2,CD40LG,LIF,MAP4K1,JAK2,IGSF6,FASLG,CD96,IL2,CXCR3,LCK,CD247,ELF4,CD80,SOCS1,ITGAL,BCL10,FAS,IL15,CXCL13,IL12B,MTIF2,STAT1,TAP2,IL1B,BRCA1,NCK1,CD7,SIT1,STAT4,IRF4,PTPRC,IL12RB1,PTPN6,CCR1","Down"
"2","HALLMARK_ANDROGEN_RESPONSE",0.0778816199376947,0.149772346034028,0.287857117255149,-0.360566505042742,-1.25851876178102,98,"HPGD,TMPRSS2,TPD52,DHCR24,ABHD2,KRT19,HMGCS1,GPD1L,AZGP1,FKBP5,IQGAP2,STK39,SPDEF,INPP4B,B2M,SCD,SAT1,HMGCR,MYL12A,DBI,IDI1,GSR,RPS6KA3,PTK2B,SORD,KRT8,HERC3,PIAS1,UAP1,XRCC6,GUCY1A1,NGLY1","Down"
"3","HALLMARK_ANGIOGENESIS",0.0571428571428571,0.119047619047619,0.237793834423688,0.514115858838581,1.42842864349311,36,"SLCO2A1,JAG2,KCNJ8,VCAN,COL3A1,LUM,MSX1,FGFR1,APOH,STC1,FSTL1,NRP1,COL5A2,VAV2,PDGFA,POSTN","Up"
"4","HALLMARK_APICAL_JUNCTION",0.0261755107876781,0.0623226447325669,0.352487857583619,0.35484116445337,1.29153520888038,199,"CLDN9,CLDN6,CDH8,CDH15,SPEG,DSC3,AMIGO2,DMP1,MYH10,FSCN1,CERCAM,CLDN11,CNTN1,GAMT,KCNH2,TGFBI,NEGR1,WNK4,ADAMTS5,MMP2,FBN1,CD99,VCAN,CLDN5,SGCE,TRO,SHROOM2,THY1,ADAM23,MYL9,ICAM4,NECTIN1,COL16A1,ACTN3,CDH11,NLGN2,BMP1,CADM3,MAPK11,PARVA,FLNC,TMEM8B,NRXN2,SLIT2,EPB41L2,THBS3,SLC30A3,CDH4,CD34,ACTC1,VWF,JAM3,ACTN2,AMH,VAV2,KRT31,AKT3,NEXN,ACTN1,CD276,SORBS3,TSPAN4,ACTN4,LAYN,CNN2,PKD1,MSN,CLDN8,CRAT,NRAP,EVL,PLCG1,MYH9,ADRA1B,MAP4K2,GNAI1,ACTG2,EGFR,NFASC,LDLRAP1,TIAL1,PARD6G","Up"
"5","HALLMARK_APICAL_SURFACE",0.0239135691083263,0.0597839227708158,0.352487857583619,0.500162504939698,1.44867296097232,44,"DCBLD2,ATP6V0A4,NTNG1,SRPX,GAS1,RTN4RL1,SHROOM2,THY1,RHCG,LYPD3,TMEM8B,PKHD1","Up"
"6","HALLMARK_BILE_ACID_METABOLISM",0.104477611940299,0.18013381369017,0.241339976815091,-0.332763416803046,-1.19622525612701,112,"SULT1B1,NR1I2,SLC27A2,HSD17B11,ACSL5,DHCR24,NR3C2,NR1H4,SLC22A18,RETSAT,NUDT12,TFCP2L1,AQP9,SERPINA6,NR0B2,GSTK1,PEX11A,SULT2B1,SOD1,ABCD3,SCP2,ABCD2,IDI1,HSD3B7,GC,PHYH,LCK,PEX26","Down"
"7","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00816803299703666,0.0255251031157396,0.380730400722792,-0.463049108018879,-1.5581958032393,73,"LDLR,PPARG,ANXA13,LGALS3,SEMA3B,ANTXR2,EBP,ETHE1,HMGCS1,SREBF2,S100A11,SQLE,MAL2,CYP51A1,ACSS2,STARD4,SCD,FDFT1,HMGCR,ALDOC,IDI1,ANXA5,FDPS,MVD,NSDHL,LPL","Down"
"8","HALLMARK_COAGULATION",0.11854103343465,0.197568389057751,0.227987202850442,-0.31142717827504,-1.1718569790919,138,"CTSE,HMGCS2,MMP1,GDA,FGG,FGA,HNF4A,CAPN5,C8G,ANG,MMP7,F12,F2RL2,CPB2,MMP8,F11,SERPINB2,MAFF,KLKB1,C8A,PF4,MMP3,RAC1,DPP4,F3,MMP10","Down"
"9","HALLMARK_COMPLEMENT",0.00756187508694658,0.025206250289822,0.407017918923954,-0.344706268627526,-1.31850094061776,200,"MMP12,KLK1,CP,HNF4A,CD55,CA2,GZMB,ANG,C4BPB,LGALS3,MMP8,ERAP2,SERPINB2,GZMA,CTSS,PLA2G4A,MAFF,KYNU,PSMB9,PLA2G7,KLKB1,CASP1,GZMK,LAP3,CASP7,CTSC,LCP2,MMP13,GATA3,SIRT6,IRF2,F5,LYN,IRF1,FCN1,CD40LG,DPP4,CASP5,JAK2,F3,PRKCD,PDP1,CXCL1,ANXA5,LCK,LTF,PLEK,PSEN1,SERPINA1,APOBEC3F,DGKH,ADAM9,GPD2,CASP3,CD46,CASP4,APOBEC3G,APOC1,CR2","Down"
"10","HALLMARK_E2F_TARGETS",0.000239144907457457,0.00170817791041041,0.518848077743792,-0.411832080899155,-1.57384344963897,198,"CENPE,ASF1B,E2F8,CDCA8,CENPM,SPC24,DLGAP5,POLD3,PLK4,KIF2C,MAD2L1,HMMR,CCNE1,TFRC,BRCA2,UBE2T,MKI67,CDKN3,WEE1,TOP2A,DEPDC1,PHF5A,LYAR,HMGB2,LMNB1,BUB1B,PNN,RRM2,SLBP,CDC25A,KIF4A,JPT1,CDK1,TACC3,PAICS,DCK,RAD50,CKS2,SMC1A,ESPL1,DDX39A,CCP110,CDC20,GINS1,EZH2,RNASEH2A,DCTPP1,HELLS,XRCC6,BRCA1,HNRNPD,PLK1,AK2,RANBP1,USP1,SMC6,MXD3,CKS1B,CCNB2,ING3,SPAG5,BIRC5,CDC25B,BARD1,PTTG1,TMPO,ANP32E,SRSF1,RBBP7,DIAPH3,DNMT1,TK1,LUC7L3,PCNA,CIT,ORC2,RFC3,NASP,EXOSC8,NBN,SUV39H1,POP7,NOLC1,PMS2,SMC4,GINS3,MCM4,TBRG4,CHEK2,POLE,MYC","Down"
