"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",1.29957690902681e-08,2.41721305078986e-06,0.747739663149885,-0.719004008176711,-2.31001436856812,55,"GSTM3,CYP3A5,CYP1B1,AKR1C3,ALDH3A1,EPHX1,CYP2E1,CYP2S1,GSTT2,ALDH1A3,ALDH3B1,CYP2C18,GSTK1,AKR1C4,ADH1C,AKR1C1,GSTT1,CYP1A1,GSTM4,GSTZ1,MGST2,GSTP1,GSTM1","Down"
"2","KEGG_SPLICEOSOME",6.8191586939548e-07,6.34181758537796e-05,0.659444398037935,0.520202700078136,2.01270452838048,116,"SRSF6,HNRNPU,PLRG1,CRNKL1,SRSF7,LSM8,XAB2,EFTUD2,TRA2A,LSM2,SF3B1,NCBP1,SRSF3,PRPF4,THOC1,DHX16,LSM7,TXNL4A,SNRPA1,PRPF19,DHX38,AQR,DDX42,SF3B6,PRPF38A,HNRNPM,DHX8,PRPF3,SF3B3,HNRNPA3,PRPF40A,SNW1,RBM8A,RBM25,EIF4A3,PRPF31,LSM3,HNRNPA1,PRPF38B,SNU13,PUF60,U2SURP,DDX5,CTNNBL1,SNRPB2,BCAS2,USP39,SF3A1,PRPF8,SF3A2,SNRNP200,SYF2,SNRNP70,RBM22,SNRPA,SRSF5,SNRPD2,SART1,SNRPB,WBP11,ALYREF,SRSF1","Up"
"3","KEGG_RNA_DEGRADATION",2.38594791312805e-06,0.000147928770613939,0.627256739718528,0.618810410212679,2.09299389342424,55,"DIS3,LSM8,LSM2,EXOSC7,CNOT1,EXOSC4,PAPOLG,ENO2,LSM7,EDC4,MPHOSPH6,EXOSC3,HSPD1,PATL1,DDX6,CNOT10,SKIV2L,CNOT7,EXOSC8,XRN1,CNOT4,LSM3,DCP1B,LSM1,CNOT6,CNOT3,CNOT9,CNOT2,EXOSC2,EXOSC6,ZCCHC7,PNPT1,XRN2","Up"
"4","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",8.63968746236163e-05,0.00401745466999816,0.538434096309916,-0.599574546852026,-1.94004353749343,58,"GSTM3,CYP3A5,MAOB,ALDH3A1,CYP2E1,GSTT2,ALDH1A3,ALDH3B1,CYP2C18,GSTK1,FMO5,ADH1C,GSTT1,GSTM4,GSTZ1,MGST2,GSTP1,GSTM1,CYP3A4,UGT1A6","Down"
"5","KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.000130906773235662,0.00486973196436661,0.518848077743792,-0.639798308605339,-1.93161325251721,41,"CYP3A5,CYP1B1,HSD17B2,AKR1C3,HSD11B1,SULT2B1,SRD5A3,HSD17B1,AKR1C4,SRD5A1,HSD17B6,HSD17B8,AKR1C1,CYP1A1","Down"
"6","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.000439622938997136,0.0136283111089112,0.49849310876659,-0.39379698795529,-1.55782591958936,250,"CXCL5,CXCL8,IL20RB,TNFSF10,TNFSF15,TGFB2,KITLG,TNFRSF11A,IL1R1,TGFBR2,IL2RG,TNFRSF11B,CD40,CXCL1,IL15RA,TNFSF13,IL15,IL13RA1,CXCL16,EDAR,CXCL6,BMP7,IL22RA1,INHBB,TNFRSF12A,IFNAR2,CCL28,VEGFA,OSMR,IL6R,BMPR2,TNFRSF21,CSF1,TNFSF13B,IL18,LIF,TNFRSF14,IL10RB,PF4V1,CXCL3,TNFRSF1B,IFNGR1,CCL2,CNTFR,IL17RB,IFNGR2,KIT,IFNAR1,MET,IL7,PF4","Down"
"7","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",0.000518901234798707,0.0137879470960799,0.477270815362862,-0.600386502709827,-1.84750131421434,45,"HLA-DMA,HLA-DRA,CD40,IL15RA,TNFSF13,IL15,HLA-DMB,PIGR,HLA-DPA1,CCL28,TNFSF13B,HLA-DRB4","Down"
"8","KEGG_ASTHMA",0.00094984635138969,0.0220839276698103,0.477270815362862,-0.674494675379295,-1.86137245042119,27,"HLA-DMA,HLA-DRA,CD40,HLA-DMB,HLA-DPA1","Down"
"9","KEGG_SULFUR_METABOLISM",0.00161036596626387,0.03328089663612,0.45505986738723,-0.819238373431324,-1.83549534280941,11,"CHST11,SULT1A1,SULT1A2,SULT2B1,PAPSS2,BPNT1,SUOX","Down"
"10","KEGG_HISTIDINE_METABOLISM",0.00189637456395415,0.0333522584216076,0.45505986738723,-0.647959542048039,-1.79447624574592,28,"DDC,AOC1,MAOB,ALDH3A1,ALDH2,ALDH1A3,ALDH3B1,ALDH3A2,AMDHD1,HNMT","Down"
