"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","KEGG_SPLICEOSOME",5.20500074721587e-08,5.40137674141815e-06,0.719512826338911,0.558085904174549,2.11083071742806,116,"AQR,CRNKL1,SRSF7,PLRG1,EFTUD2,U2SURP,HNRNPA1,EIF4A3,LSM2,RBM8A,SRSF6,SNRPA1,HNRNPU,DHX8,LSM7,PRPF4,LSM8,HNRNPM,DHX16,DDX42,CDC5L,PRPF40A,PRPF38A,NCBP2,ALYREF,PRPF31,DHX38,HNRNPA3,SRSF3,SF3B6,SNW1,PRPF3,RBM25,RBM22,SNRPD2,SF3B3,SNRPB2,TRA2A,TXNL4A,THOC1,CWC15,SF3A1,PRPF19,SNRPB,SLU7,SRSF1,BCAS2,SF3B1,SRSF5,SF3A2,XAB2,SRSF10,DDX5,DDX46,PRPF8,SNRNP70,ISY1,CTNNBL1,SNU13,SNRPA,SNRNP200,PUF60,PRPF38B,USP39,SF3B4,WBP11,PHF5A","Up"
"2","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",5.80793198001952e-08,5.40137674141815e-06,0.719512826338911,-0.73160345899988,-2.26178376199996,55,"AKR1C3,AKR1C1,CYP3A5,CYP2S1,ALDH3A1,ALDH1A3,EPHX1,UGT1A6,MGST2,CYP2E1,GSTO2,GSTM4,CYP1B1,GSTK1,AKR1C4,GSTT1,MGST1,CYP2C18,GSTM1,GSTT2,GSTZ1,ADH1C,CYP1A1,CYP3A43,GSTM2,GSTP1,CYP3A4","Down"
"3","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",3.80325433031642e-05,0.00235801768479618,0.557332238758646,-0.441582718768747,-1.65778343026098,250,"TNFSF15,KITLG,TNFRSF11B,IL2RG,IL20RA,TNFRSF1B,TGFBR2,TNFSF10,TNFRSF11A,TNFRSF19,IL15RA,IL15,CXCL8,IL20RB,TNFRSF21,EDAR,MET,CXCL16,EGFR,IL18,IFNAR2,CD40,CCL28,IL22RA1,IL6R,IL10RB,TNFRSF12A,CXCL5,BMP7,IFNGR2,IL17RB,IL13RA1,IL7,IL1RAP,MPL,TNFSF13,VEGFA,ACVR1,IFNGR1,CXCL10,VEGFB,IL1R2,CXCR4,CNTFR,TNF,FAS,IL1R1,BMPR2,IL12RB1,ACVR2A,IFNAR1,TNFRSF10A,CXCL14,CSF2","Down"
"4","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",7.77978296110475e-05,0.00345912446268998,0.538434096309916,-0.635907091782042,-1.98099278851052,58,"CYP3A5,MAOB,ALDH3A1,ALDH1A3,UGT1A6,MGST2,CYP2E1,FMO5,GSTO2,GSTM4,GSTK1,GSTT1,MGST1,CYP2C18,GSTM1,GSTT2,MAOA,GSTZ1,ADH1C,CYP3A43,GSTM2,GSTP1,CYP3A4","Down"
"5","KEGG_ARACHIDONIC_ACID_METABOLISM",0.000104277217382345,0.00345912446268998,0.538434096309916,-0.637721812923461,-1.9317335314839,50,"AKR1C3,ALOX5,PTGIS,CYP4F3,GPX2,CBR1,CYP2E1,PLA2G12A,CYP2C18,GPX1,CYP4F2,CYP2J2","Down"
"6","KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.000111584660086774,0.00345912446268998,0.538434096309916,-0.663046837701146,-1.9307055764712,41,"HSD17B2,AKR1C3,AKR1C1,CYP3A5,HSD11B1,UGT1A6,CYP1B1,AKR1C4,SULT2B1,CYP7B1,HSD17B6","Down"
"7","KEGG_HISTIDINE_METABOLISM",0.000322804874793822,0.00857738667309298,0.49849310876659,-0.70544625649396,-1.89176433210428,28,"MAOB,ALDH3A1,AOC1,ALDH1A3,ALDH2,DDC,ALDH3A2,HEMK1,MAOA,AMDHD1,ACY3,HNMT","Down"
"8","KEGG_RNA_DEGRADATION",0.00124175532933668,0.0283370250801891,0.45505986738723,0.538447591840326,1.81901262425623,55,"ENO2,LSM2,DDX6,EDC4,LSM7,SKIV2L,LSM8,XRN2,EXOSC3,EXOSC4,CNOT3,EXOSC2,XRN1,DIS3,PATL1,PNPT1,EXOSC6,CNOT1,MPHOSPH6,EXOSC5,HSPD1,CNOT7,CNOT2,CNOT6,EXOSC1,ZCCHC7,CNOT4,WDR61,PAPOLG,CNOT9,CNOT8,HSPA9","Up"
"9","KEGG_LINOLEIC_ACID_METABOLISM",0.00137114637484786,0.0283370250801891,0.45505986738723,-0.708610968262102,-1.84051859510627,23,"AKR1B10,CYP3A5,CYP2E1,PLA2G12A,CYP2C18,CYP2J2","Down"
"10","KEGG_GLYCEROLIPID_METABOLISM",0.00166244681507515,0.0309215107603978,0.45505986738723,-0.590336068405816,-1.76896180999826,48,"ALDH2,PLPP3,MGLL,PLPP1,ALDH3A2,DGKH,AGPAT3,DGKA,LIPG,GPAT3,PLPP2,AGPAT2,GLA,DGAT2,GLYCTK,DGKZ,MBOAT1","Down"
