"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",0.0134284675357863,0.1784367782446,0.380730400722792,-0.605424111439816,-1.66455988538644,24,"TUBA1A,PRKAA2,TUBAL3,TUBB6,TUBB2A,PRKAG2,PRKAB1,PRKAA1,CAMKK2","Down"
"2","REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.00408075002840134,0.0891280404623517,0.407017918923954,-0.614972577979691,-1.78007924375478,31,"MMP7,TIMP2,MMP1,COL18A1,PRSS2,TIMP1,MMP13","Down"
"3","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",0.0182089264205931,0.205890421072854,0.352487857583619,0.4630293758109,1.54476890829198,52,"RPS24,EIF3G,RPS15A,EIF3A,EIF4EBP1,EIF2S2,RPS29,EIF3H,EIF1AX,EIF3F,EIF2S3,EIF2S1,EIF3D,RPS27A,RPS28,EIF3K,EIF3J,PABPC1,RPS6,EIF3E,RPS9,RPS19,RPS15,EIF3L,RPS14,RPS17,RPS5,EIF4G1,RPS21,EIF3M","Up"
"4","REACTOME_ANTIMICROBIAL_PEPTIDES",0.00023732537948803,0.013947795067359,0.518848077743792,-0.569781461550489,-1.88656432027806,65,"LYZ,LCN2,DEFB1,CLU,TLR1,PRSS2,PDZD11,ATP7A,BPIFB1","Down"
"5","REACTOME_ARACHIDONIC_ACID_METABOLISM",0.00038582055796214,0.0188701327439665,0.49849310876659,-0.579742456702245,-1.85045788286543,56,"HPGD,CYP4F3,CYP1B1,GPX2,AKR1C3,ALOX5,CBR1,PTGIS,PTGR1,PON2,CYP4F11,CYP4F2,PTGR2,ABCC1,TBXAS1,CYP1A1,PON3,DPEP1","Down"
"6","REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES",0.0248876720243077,0.231822896545726,0.352487857583619,-0.627307213724301,-1.62763901119246,19,"PCSK5,CIDEC,CREB3L3,MBTPS2,ANGPTL4,LPL","Down"
"7","REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS",0.0107609076950645,0.156469414593101,0.380730400722792,0.515470274958689,1.55731655480543,33,"FBXW2,SPHK1,AP3M1,CCNE2,DCAF7,FBXL3,SKIV2L,CCT7,TP53,KIF13A,KIFC3,FBXW9,CCT4,XRN2,FBXW4,HDAC3","Up"
"8","REACTOME_BETA_DEFENSINS",0.00341168411270447,0.083431184210682,0.431707695803346,-0.723045767034694,-1.82451293075572,17,"DEFB1,TLR1","Down"
"9","REACTOME_BIOLOGICAL_OXIDATIONS",1.31451211688758e-09,4.24324511331312e-07,0.788186810800237,-0.537092698531087,-2.05434718173426,188,"ALDH1A1,GSTM3,CYP4F3,CYP3A5,CYP1B1,AOC1,MAOB,ALDH3A1,ALDH2,PTGIS,EPHX1,SULT1A1,CYP2E1,POR,UGDH,CYP2S1,CYP2R1,AHR,SULT1A2,GSTT2,SULT2B1,PAPSS2,AKR7A3,CYP39A1,CYP2C18,PAOX,CYP4F11,CMBL,BPNT1,GSTK1,MAT2A,SLC35D1,CYB5B,CYP4F2,SLC35B3,SMOX,CYP27B1,ADH1C,TBXAS1,CBR3,GSTT1,CYP1A1,AHRR,GSTM4,GSTZ1,DPEP1,MGST2,ABHD14B,GSTP1,BPHL,GSTM1,NAT1,CYP3A4,CNDP2,ACY3,HPGDS,GSS,UGT1A6","Down"
"10","REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS",0.0105045473918918,0.155544398995535,0.380730400722792,-0.655409451737555,-1.68256116579177,18,"HPGD,ALOX5,CYP2E1,PTGR1,CYP1A1,GSTM4","Down"
