"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT",0.00505026177417818,0.0647751843036121,0.407017918923954,-0.892779218950159,-1.64692804991136,5,"SLC22A3,ABCG2","Down"
"2","REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM",0.0126556325023984,0.109230967159738,0.380730400722792,-0.76059798173751,-1.62577617286699,10,"SLC22A3,ABCG2","Down"
"3","REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION",0.0242321869076484,0.158986787272132,0.352487857583619,-0.724094885219535,-1.54775090067363,10,"MARCKS,PRKCA,GNAQ,GNA15,GNA14,PLCB3,PLCB1","Down"
"4","REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.0456942003514939,0.239449478465296,0.282013350011725,-0.543272145649303,-1.50257949600946,31,"MMP7,PRSS2,MMP1,TIMP2,MMP15","Down"
"5","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",0.00250438198697887,0.0392434225920766,0.431707695803346,0.516841015731532,1.73928940601724,52,"EIF2S3,RPS15A,EIF3A,EIF1AX,RPS24,EIF3G,EIF3B,EIF2S2,EIF3D,EIF3J,EIF2S1,EIF3K,RPS28,RPS14,RPS21,RPS6,EIF3H,EIF3L,EIF4G1,RPS5,RPS27A,RPS9,RPS19,EIF3F,RPS7,RPS17","Up"
"6","REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",0.00236732268912841,0.0378302853490421,0.431707695803346,0.594162793690421,1.77619045807425,33,"ORC3,CDT1,MCM5,CDC7,GMNN,MCM8,ORC1,MCM2,CDC6,PRIM2,POLA1,MCM4,ORC6,POLE4,MCM3,MCM6,RPA1,CDC45,POLE","Up"
"7","REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1",0.021013765749406,0.145563167036658,0.352487857583619,-0.600309305800264,-1.58804904569838,25,"GNG11,GNB4,GNB2,GNAQ,GNG12,GNG5,GNA15,P2RY1,SRC,GNB1,GNG4,GNG10,GNA14","Down"
"8","REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12",0.00790888117380589,0.0834309425785798,0.380730400722792,-0.659663031645711,-1.69572365366721,22,"GNG11,GNAI1,GNB4,GNAI2,GNB2,GNG12,GNG5,GNB1,GNG4,GNG10","Down"
"9","REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION",0.00694126258920643,0.0767657085092118,0.407017918923954,-0.63942327771002,-1.72149501649499,28,"GNG11,GNAI1,GNB4,ADCY6,GNAI2,GNB2,GNG12,GNG5,CACNA1D,GNB1,GNG4,GNG10","Down"
"10","REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION",0.00883497716802523,0.0885692742185883,0.380730400722792,-0.676001593167985,-1.64902532285271,18,"CYP3A5,MGST2,MGST1,DPEP1,AKR7A3,ACY3,CYP3A4","Down"
"11","REACTOME_ALPHA_DEFENSINS",0.00010791725037293,0.00497652691719738,0.538434096309916,-0.932675600263151,-1.8575708774372,7,"PRSS3,PRSS2","Down"
"12","REACTOME_ANCHORING_FIBRIL_FORMATION",0.0071104386693496,0.0775422162995287,0.407017918923954,0.666813960631418,1.68419783516862,15,"COL1A1,COL7A1,COL4A6,COL1A2,COL4A1,COL4A2,COL4A5","Up"
"13","REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE",0.00145379723173615,0.0276050439061429,0.45505986738723,0.450454417522605,1.66121082406949,93,"PRKAR2B,HAUS6,CC2D2A,TTBK2,NEDD1,CEP83,CEP192,CEP57,CEP152,CSNK1D,TUBG1,CEP78,OFD1,CEP131,CEP70,CEP76,B9D1,C2CD3,ODF2,TUBA1A,ALMS1,SFI1,HAUS5,CEP89,AHI1,MARK4,HAUS2,TMEM67,CLASP1,YWHAE,PRKACA,CEP290,B9D2,CSNK1E,CKAP5,TUBB,PPP2R1A,HAUS3,TMEM216,PCM1,CDK5RAP2,NEK2,CEP164,CCP110,DCTN1,CEP97,TCTN1,CEP72,HAUS8","Up"
"14","REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",0.00187880508072019,0.0329607760900259,0.45505986738723,0.324310149291028,1.37597499912365,290,"PSMD11,FBXL16,KLHL13,NEDD4L,HACE1,CBLB,ASB9,HECTD2,UBE2M,SKP2,KLHL42,WSB1,CDC27,KLHL11,UBE2L6,SMURF2,RNF182,NEDD4,PSMD12,TRIM11,FBXW2,PSMB3,FBXL12,KLHL9,HERC2,SOCS1,FBXO7,TRIM32,SOCS3,UBE3B,UBE3A,PSMD3,LRRC41,DZIP3,UBE2V2,TRIM37,FBXL20,PSMD9,PSME4,UBR1,PSMD8,RNF115,CDC26,UBE2L3,ASB6,PSME3,FBXL14,FBXO6,CUL5,UBE2O,PSMD2,KEAP1,PSMF1,PSMC5,TRIM9,SIAH1,UBE2S,FBXO11,UBE2G2,PSMB4,ZNRF1,RNF213,UBE2J1,UBAC1,ANAPC5,FBXW11,THOP1,UBE2Z,ANAPC7,UBE2C,ANAPC4,FBXO9,FBXO21,KLHL22,PSMD7,KLHL20,RBBP6,FBXL15,CUL7,CDC16,UBA1,UBE2N,BTBD1,HECTD1,KBTBD6,HERC1,MIB2,FBXO32","Up"
"15","REACTOME_ANTIMICROBIAL_PEPTIDES",9.92752751403023e-07,0.000123254072366498,0.643551836150722,-0.670769150495446,-2.13346910728483,65,"LYZ,PRSS3,PRSS2,LCN2,CLU,DEFB1,TLR1,PI3","Down"
"16","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",0.00670209512686847,0.0761473522841675,0.407017918923954,0.448577968885302,1.58150194008554,69,"PSMD11,SKP2,CDC27,PSMD12,PSMB3,PSMD3,PSMD9,PSME4,PSMD8,AURKB,CDC26,PSME3,PSMD2,PSMF1,PSMC5,UBE2S,PSMB4,ANAPC5,ANAPC7,UBE2C,ANAPC4,PSMD7,AURKA,CDC16,PTTG1,PSMC4,FZR1,PSMB7,RPS27A","Up"
"17","REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",0.0288529369075936,0.177742901407848,0.352487857583619,0.391849388766247,1.4187001628977,83,"PSMD11,SKP2,CDC27,PSMD12,PSMB3,PSMD3,PSMD9,BUB1B,PSME4,PSMD8,AURKB,CDC26,PSME3,PSMD2,PSMF1,PSMC5,UBE2S,BUB3,PSMB4,ANAPC5,ANAPC7,UBE2C,ANAPC4,PSMD7,AURKA,CDC16,FBXO5,PTTG1,PSMC4,FZR1,PSMB7,RPS27A","Up"
"18","REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",0.00160519938741745,0.0294408160374063,0.45505986738723,-0.610126275813728,-1.7508248799081,37,"SATB1,GSN,VIM,DSG2,CDH1,PRKCD,DSP,OCLN,SPTAN1,CASP6,PLEC,APC,STK24,CTNNB1,CLSPN,BCAP31,STK26,CASP7,PRKCQ","Down"
"19","REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS",0.0390008247494457,0.214106568522467,0.321775918075361,-0.691026263500655,-1.50517790976487,11,"DSG2,CDH1,DSP,OCLN","Down"
"20","REACTOME_APOPTOTIC_EXECUTION_PHASE",0.0143614014148313,0.117067181229989,0.380730400722792,-0.529498053308173,-1.57780874925481,45,"SATB1,GSN,VIM,DSG2,CDH1,PRKCD,DSP,PAK2,OCLN,SPTAN1,CASP6,PLEC,APC,STK24,CTNNB1,CLSPN,BCAP31,STK26,CASP7,PRKCQ","Down"
