"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","AKT_UP.V1_DN",0.00227118560483708,0.00933161041987408,0.431707695803346,-0.395338482411796,-1.51711155149663,181,"PROM1,EFEMP1,NID1,COL17A1,GSPT2,IRS1,KCNN4,MRPS6,PTGIS,RAMP1,AQP5,CBS,PLPP3,CAV2,IL13RA1,SATB1,FHOD3,CHN2,AXIN2,CAP2,ZFYVE21,BLVRB,POLI,SLC39A4,SCCPDH,MMAA,MERTK,TPD52L1,FANK1,SH3BGR,ZEB1,C11orf71,ANGPTL4,PADI3,LPL,FUT10,GAS1,TSPYL4","Down"
"2","AKT_UP.V1_UP",0.00102745291117938,0.00500271863257955,0.45505986738723,-0.418901745721069,-1.58083527316631,154,"KRT23,TESC,KCNK5,CLMN,PLAT,GPX2,PSCA,GPX8,IL1R1,SOCS6,ANXA13,EDN1,SLC6A14,SYT17,LGMN,CXCL16,VAMP5,PON2,KLF6,TJP3,PAK1,S100A14,TNFRSF12A,FBXO6,PFKP,SECTM1,PDZD11,VILL,HOXB9,PTPRJ,SPRR1A,ERO1A,RIPK3,BACE2,KCNE3,MAN2B2,LRG1,SLC2A1,PLK2,BID,TMPRSS4,DHCR24,MICU1,C3orf52","Down"
"3","AKT_UP_MTOR_DN.V1_DN",4.85690436510815e-05,0.00045897746250272,0.557332238758646,-0.459643995663385,-1.75634336045512,175,"PROM1,EFEMP1,HPGD,NID1,COL17A1,GSPT2,IRS1,TM4SF1,KCNN4,PSAT1,MRPS6,RAMP1,GNG11,VCAN,AQP5,CBS,PLPP3,STEAP1,CAV2,IL13RA1,SATB1,COL5A2,MLPH,CHN2,ITSN1,BMP7,CAP2,BLVRB,DPYD,POLI,MMAA,MERTK,CENPQ,SH3BGR,TYMP,C11orf71,ANGPTL4,LPL,GAS1,TSPYL4","Down"
"4","AKT_UP_MTOR_DN.V1_UP",0.00447581876139289,0.015272845255718,0.407017918923954,-0.397009318338265,-1.50854524042728,167,"CXCL5,KRT23,TESC,KCNK5,CLMN,PLAT,PSCA,GPX8,IL1R1,SOCS6,ANXA13,EDN1,SYT17,LGMN,CXCL1,CXCL16,VAMP5,RNF19B,PON2,KLF6,MVP,TJP3,ZBTB21,PAK1,EFNB2,TNFRSF12A,FBXO6,HOXB5,PDZD11,VILL,PTPRJ,BACE2,MAN2B2,LRG1,PLK2,ING2,TMPRSS4,DHCR24,MICU1,RNF41,C3orf52,ARRDC4,KCTD9","Down"
"5","ALK_DN.V1_DN",0.000953186741012574,0.00500271863257955,0.477270815362862,-0.443038380288838,-1.642064300307,132,"IFI27,CEACAM6,RTP4,GPX2,KCNN4,DNAJA4,BCO1,IFI44L,OAS1,IRF9,GPA33,MX1,LGR5,USP46,IFI6,UNC93B1,CEP41","Down"
"6","ALK_DN.V1_UP",1.78502243729312e-05,0.000217101689239003,0.575610261071129,-0.500181556520911,-1.85824565763585,134,"EREG,CXCL5,ADAM28,STC2,PSAT1,PCK2,CTH,CBS,KYNU,ARHGAP4,HLA-DMB,VNN2,HMGB3P1,GNA15,BEGAIN,SLAMF7,RIBC2,CH25H,PIK3CG,STEAP4,VEGFA,DDIT4,B3GALT4,ANGPTL4,CLSPN,PYGB,ENTPD3,DECR2,FLVCR2,ETV1,PRDM1,RRAS,SLC6A9,MRAS,SPP1,CHAC1,TBL1Y,GALK1,SLC7A11","Down"
"7","ATF2_S_UP.V1_DN",0.00273563561856412,0.0107715652480962,0.431707695803346,-0.397014645633837,-1.52441796136242,178,"EFEMP1,DPP4,CLMN,SLC7A7,CYP1B1,PNMA2,RARRES1,ANXA10,GPRC5C,CRIP2,IL1R1,PTGIS,ABCC3,ROR1,SERPINA3,PLSCR4,TNFRSF11B,CSGALNACT1,TMEM176A,NXT2,RGS2,TLE3,LTBP3,KBTBD11,KLHL3,HSD17B1,KRT8","Down"
"8","ATF2_UP.V1_DN",0.0269313386544029,0.058506011559565,0.352487857583619,-0.360699559918367,-1.37143168175242,170,"EFEMP1,HKDC1,CYP1B1,PNMA2,RARRES1,ANXA10,GPRC5C,PLS1,IL1R1,PTGIS,ABCC3,ROR1,SERPINA3,SERPINB9,PLSCR4,TNFRSF11B,CTH,CSGALNACT1,ERAP2,ARHGEF3,RNASE4,HS2ST1,GSR,ERO1A,PC,SMAD6,CA9,SCD,CEMIP,MRPL44,AFF1,PTER,GAS1,CYBRD1,GSTT1,CCL2,BHLHE40","Down"
"9","ATM_DN.V1_DN",0.000995592465281934,0.00500271863257955,0.45505986738723,-0.436869153789407,-1.63191779552681,141,"IFI27,CEACAM6,MIA2,TMPRSS2,MAGEA4,ITGB4,CD14,XIAP,STK17B,NTRK2,FGFBP1,GPSM2,ST3GAL1,GPR65,FMO5,BMPR2,GRIN2D,DSG3,LSM5,KCNC4,PRSS21,SPTLC2,CXCL3","Down"
"10","ATM_DN.V1_UP",0.139344262295082,0.217653434493971,0.197822021315103,0.295056562360767,1.180188066734,143,"S100A2,SLCO1B3,PPL,DYSF,SLC7A5,ACACA,FGF5,BDNF,APBA2,FSTL3,HRK,ULBP2,SULT1C2,CST4,PLTP,QTRT1,PIDD1,NFKBIL1,CCR10,RECQL4,ADAM18,CD8A","Up"
