"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","AKT_UP.V1_DN",0.0161099944582153,0.0434969850371813,0.352487857583619,-0.381936648077575,-1.37974317068783,181,"PROM1,COL17A1,SATB1,PTGIS,PLPP3,AXIN2,FHOD3,CHN2,TNFRSF19,KCNN4,RAMP1,GSPT2,MRPS6,MERTK,PLEK2,SCCPDH,IRS1,MMAA,TPD52L1,CBS,NID1,HMGCS2,SLC39A4,PDE9A,ASS1,IL13RA1,ZFYVE21,CDC42BPA,BLVRB,FUT10,SLCO3A1,IRS2,TSPYL4,HEBP1,MOCOS,FAH,SPCS3,HPS1,RPS6KB2,RCE1,FAS","Down"
"2","AKT_UP.V1_UP",0.0145480597889427,0.0404350485310318,0.380730400722792,-0.398124367396965,-1.41001698174474,154,"PLAT,TESC,CLMN,KCNK5,SPRR1A,GPX2,LGMN,PSCA,KCNE3,CXCL16,ANXA13,MYO5B,BACE2,SOCS6,VILL,TJP3,GPX8,PAK1,SH3BGRL2,EDN1,UGT8,SYT17,KLF6,ERO1A,TNFRSF12A,MMP15,KRT23,SLC6A6,VAMP5,DHCR24,PFKP,INSIG2,C3orf52,RASSF1,MAN2B2,MICU1,PDK3,BID,SECTM1,RIPK3,FAM3B,IL1R1,TMPRSS4,PDK1,GPD2,DLG4,PLK2,UNC5B","Down"
"3","AKT_UP_MTOR_DN.V1_DN",0.000130411479389054,0.0015404856002832,0.518848077743792,-0.474391670205193,-1.70251074595314,175,"PROM1,HPGD,COL17A1,PSAT1,SATB1,VCAN,STEAP1,PLPP3,CHN2,TNFRSF19,KCNN4,RAMP1,GNG11,TM4SF1,GSPT2,ITGA6,MRPS6,MERTK,PLEK2,IRS1,MMAA,MLPH,DPYD,LRRC1,BMP7,CBS,NID1,ASS1,IL13RA1,BDH1,IL7,MGAT4B,CDC42BPA,BLVRB,SLCO3A1,ITSN1,TSPYL4,MOCOS,SPCS3,PHLDA2,RPS6KB2,FAS,HAUS1","Down"
"4","AKT_UP_MTOR_DN.V1_UP",0.0359116022099447,0.0848411602209945,0.282013350011725,-0.376210535145608,-1.34343320059429,167,"PLAT,TESC,CLMN,EFNB2,KCNK5,SPINK4,LGMN,PSCA,CXCL16,ANXA13,MYO5B,BACE2,MVP,SOCS6,VILL,TJP3,GPX8,ARRDC4,PAK1,SH3BGRL2,EDN1,SYT17,KLF6,TNFRSF12A,CXCL5,ZBTB21,RNF19B,KRT23,SLC6A6,VAMP5,DHCR24,C3orf52,RASSF1,MAN2B2,MICU1,PDK3,RNF41,NOL12,IL1R1,DAGLB,TMPRSS4,TRAF3,GPD2,PLK2","Down"
"5","ALK_DN.V1_DN",0.000294139214206782,0.00264725292786104,0.49849310876659,-0.493564480504021,-1.71141465339502,132,"CEACAM6,LGR5,OAS1,IFI27,AQP3,GPX2,GPA33,KCNN4,CST4,UNC93B1,EFNA2,FOS,RTP4,USP46,THSD4,ZBED2,BCO1,LDLRAD4,DPEP1,CEP41,FOXA1,VAV2,AP1G2,MX1,MTHFR,GCKR,ABHD8,VPS37B,GRB7,IFI6,PTK2B,LPAR2,CIDEB,DNAJA4,TEX13A,CNTNAP2,KCNC3,PTPRF,TRIM17","Down"
"6","ATF2_S_UP.V1_DN",0.00572193158302515,0.0212048052782697,0.407017918923954,-0.398790915368728,-1.43429056126901,178,"RARRES1,DPP4,TNFRSF11B,PLSCR4,PTGIS,RGS2,SLC7A7,SMAD6,CLMN,ROR1,PNMA2,TMEM176A,PARD6B,CEMIP,GPRC5C,ANXA10,DAPK1,PLEK2,FOS,PTER,SPINT2,CYP1B1,ERO1A,NXT2,GALNT12,PLXNB1,IL1RAP,CCK,KLHL3,RNF39,LTBP3,TLE3,KBTBD11,VAV2,ABCC3,SLC29A3,MYO1D,MN1,IL1R1,SLC4A2","Down"
"7","ATF2_S_UP.V1_UP",0.103021978021978,0.187222633136095,0.160801401070022,-0.333171582454109,-1.20985957622895,188,"SCIN,IL20RA,EFNB2,MMP1,B3GNT3,CLDN1,CXCL8,IL32,CST1,CD24,ITGA6,NIPAL3,S100A4,PRKCD,GPER1,CENPU,PITX1,UPP1,IL17RB,TMEM156,FGFBP1,N6AMT1,STEAP1B,TBC1D19,CEP41,ARNTL,SLC13A3,CHCHD7,HTR2B,CLCN2,GSTT2,SPDEF,ETS2,DECR2,RASGRP1,GNA15","Down"
"8","ATF2_UP.V1_DN",0.00474353922188117,0.0190750832539477,0.407017918923954,-0.413035324730869,-1.47872177888825,170,"RARRES1,HKDC1,TNFRSF11B,PLSCR4,PTGIS,PLS1,SMAD6,ROR1,PNMA2,CYBRD1,CEMIP,ARHGEF3,GPRC5C,ERAP2,ANXA10,RAB11FIP1,FRY,PLEK2,FOS,PTER,AFF1,SPINT2,CYP1B1,SLCO4A1,ERO1A,GSTT1,GALNT12,IL1RAP,GPRC5B,CA9,CCK,IRS2,NUP58,PKP2,ABCC3,MRPL44,PPP4R2,MYO1D,MN1,GSR,PIM1,PIGN,IL1R1,HS2ST1,ADAM15,ACVR2A","Down"
"9","ATF2_UP.V1_UP",0.111111111111111,0.196261682242991,0.154190966581424,-0.332350459403607,-1.20251133429176,182,"HPGD,DNAJC15,ICAM2,INPP4B,MMP1,FOXL2,FAM102A,CLDN1,IL32,S100A4,RNF43,PRKCD,TCIRG1,CENPU,PITX1,UPP1,FGFBP1,STEAP1B,PLBD1,CEP41,GSTT2,DIP2A,STRA6,NEDD9,ATP13A2,DGKZ,GNA15","Down"
"10","ATM_DN.V1_DN",0.0109699127181254,0.0318971308265493,0.380730400722792,-0.411473598729284,-1.44088222404257,141,"CEACAM6,IFI27,PRSS21,MIA2,NTRK2,TMPRSS2,ST3GAL1,ITGB4,FMO5,STK17B,XIAP,PLXNB1,FGFBP1,LSM5,CYP2J2,GRIN2D,GMIP,WASL,GPSM2,RASSF9,BMPR2,KCNC4,AZI2","Down"
"11","BCAT.100_UP.V1_UP",0.086677367576244,0.165474974463739,0.191892240384838,-0.466504707867509,-1.37376361954947,45,"BMP4,DUSP6,DUSP4,IRS1,ENC1,EEF1A2,DKK1,ARHGEF5,MICU1,DNAJC3,ETV5,BIK,FGF20,CD9,CDX2","Down"
"12","BMI1_DN.V1_DN",0.000415574732188319,0.00341494019059097,0.49849310876659,-0.488589892093899,-1.6800179583464,127,"TFF2,TMEM176B,IFI27,PLS1,SCNN1A,TSPAN1,MAOB,TMEM176A,ARHGAP12,SLPI,CHMP2B,EGR1,S100A4,SSBP2,MVP,FOS,CREM,DPYD,TSPO,MSX2,TRAF3IP2,EPHA4,CAB39,DYNLT3,TRIM2,EHHADH,DDX60,EEF1A2,TRPS1,BLVRB,ISOC1,DOK5,SH3BGRL,BST2,IL1R1,IDH1,SUCLG2,GPD1L,ABHD8,WDR25,HOXB13,IFI6,CA2,ETFB,MSRB2","Down"
"13","BMI1_DN.V1_UP",0.00641154491279408,0.0222969576688817,0.407017918923954,-0.433336680198996,-1.51388764408741,140,"MMP7,PLAT,VNN1,BMP4,PMEPA1,CHST3,CHST11,CTSS,ITGB8,STC2,LRP5,GPRC5A,CLDN1,NT5E,LHFPL2,FLNB,SLC29A2,ASPH,DHRS3,FZD5,GAL,CDCP1,EDN1,SLCO4A1,TMEM51,MMP15,DKK1,VANGL1,EPHA2,ADGRE5,CCND1,CD82,SLC19A1,PLXNA2,KCNC4,ATP13A2,CSPG4,NRP2,SLC2A6,CSF2","Down"
"14","BMI1_DN_MEL18_DN.V1_DN",0.00099234964188755,0.00590262443597885,0.45505986738723,-0.461835971429337,-1.61723921950525,141,"PROM1,SLC16A4,TMEM176B,CTSH,IFI27,SCNN1A,TSPAN1,MAOB,AQP3,TMEM176A,MAP7,SLPI,PDLIM5,S100A4,OSBPL10,FOS,CREM,SPINT2,ACOX2,DPYD,RBP4,ASPHD1,SPAG16,EPHA4,DYNLT3,TRIM2,EHHADH,DDX60,CH25H,KLHL2,DOK5,SLC4A4,SECTM1,NUDT9,BST2,PIGN,LY6E,IL1R1,IDH1,TSFM,CXCL14","Down"
"15","BMI1_DN_MEL18_DN.V1_UP",0.00437076942284211,0.017958161324286,0.407017918923954,-0.431748454066502,-1.51187992290017,141,"MMP7,PLAT,VNN1,PSAT1,PMEPA1,CHST3,C2CD2,CHST11,MGLL,ITGB8,STC2,KCNN4,CLDN1,CXCL8,NT5E,LHFPL2,ASPH,GAL,HTR1D,EHD1,FOSL1,EDN1,ARL4C,TMEM51,SLC7A11,BIRC3,VEGFA,CDC42EP2,ADGRE5,CCND1","Down"
