"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","CAO_BLOOD_FLUMIST_AGE_05_14YO_30DY_DN",0.0196324387404748,0.116080689378204,0.352487857583619,-0.783663570478362,-1.59913760920783,7,"CBR1,SERPINA1,VPS41","Down"
"2","CAO_BLOOD_FLUMIST_AGE_05_14YO_CORRELATED_WITH_H3N2_VN_TITER_7DY_POSITIVE",0.0316367954130776,0.146134533285385,0.321775918075361,-0.727323094420483,-1.55944045062176,9,"GBP1,OAS1,RSAD2,OASL","Down"
"3","CAO_BLOOD_FLUZONE_AGE_05_14YO_CORRELATED_WITH_H3N1_HI_TITER_1DY_POSITIVE",0.0248865966146242,0.129009544080781,0.352487857583619,-0.817774190655547,-1.62386367211366,6,"GBP1,IFI44L,OASL,ISG15,IFIT1,IFIT3","Down"
"4","COLE_BLOOD_FLUMIST_QUADRIVALENT_AGE_03_17YO_7DY_UP",0.018175288014437,0.111273691119321,0.352487857583619,-0.857132562133418,-1.59670951764273,5,"TNFSF10,MX1,IFI6","Down"
"5","ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP",0.0139067615741898,0.0994838979552808,0.380730400722792,0.258081310821071,1.20537285065051,629,"FYN,CUL4A,DDHD1,GCH1,RPS24,PDP1,CBLB,LEF1,UPF3A,GIMAP6,FAM169A,DDHD2,IL7R,PCGF5,CRBN,PM20D2,ZNF83,TMEM168,LRPPRC,HNRNPU,TBC1D4,CREBZF,C2CD5,FABP5,TAF1D,CD69,AK3,LSM14A,AQP3,AEBP2,N4BP2L2,DIS3,NAA16,RCBTB1,BAG4,HSPH1,PSIP1,NUDT21,SACS,RECQL,GBP3,CLIP4,SPIN1,UQCRB,ANKRD28,PYROXD1,MTDH,C12orf29,TCF12,SRSF11,AGPAT5,DDX18,ARGLU1,CHML,EED,CPOX,CDK17,ZNF207,UAP1,OXR1,FKBP11,SRSF3,URI1,FUBP3,NR1D2,XPOT,ZNHIT3,SLC25A32,MTHFD2,PNISR,UTP23,TM9SF3,GOLT1B,ICE2,ARPP19,ICE1,RFX7,LSM7,RANBP6,CCNG1,MTR,WWP1,CCDC117,PCMTD2,ZMYM2,SREK1,SUB1,KLF12,C21orf91,HSPD1,SYNCRIP,IFIT5,COX6C,TMX3,ETNK1,EIF1AX,TBL1XR1,ESF1,OTUD6B,NR2C1,CEP57,RORA,NAE1,PPP4R3B,ATP8A1,EDRF1,HNRNPA3,FASTKD1,CHORDC1,CACYBP,PRPF40A,UBA2,ZNF146,ZNF639,DCAF13,SETDB2,NIFK,SLC44A1,CHD2,EXOSC8,RSL24D1,PCNP,FGFR1OP2,RBM25,NOC3L,SMC4,DUT,MATR3,TIA1,CPSF6,SENP6,VPS54,SLC38A1,FAM98B,EMC2,RPS6KB1,RANBP2,TFRC,SLC39A8,BCLAF1,TPD52,SRP72,COPS2,COG6,CSE1L,GOLGA8A,U2SURP,SMC3,G3BP1,SUCLA2,ZBTB11,HMGN3,CMTR2,RRM1,AASDHPPT,CHMP5,METAP2,UBXN4,LANCL1,TIFA,DOCK10,TMEM126B,ZFP62,CLNS1A,CLK4,TRMT13,TRMT11,RPL22L1,COX11,DENR,ZCCHC7,LUC7L3,SHPRH,HMGB2,MITD1,API5,PPP4R2,PNPT1,KLHL14,KLHL28,TMEM87B,CUL5,ANK3,TFAM,TYMS,EEA1,EIF1AY,TPP2,EIF2AK3","Up"
"6","ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP",1.88287250445371e-05,0.00239492197822587,0.575610261071129,-0.530462191600354,-1.89988901093093,110,"IFI27,TNFSF10,MX2,BST2,IFITM1,RTP4,GBP1,FRMD3,RNF213,IFI44L,USP18,OAS1,MX1,SAMD9L,EPSTI1,IFI6,CEACAM1,NEXN,PARP9,FBXO6,RSAD2,IRF7,ZCCHC2,OASL,IFI35,LGALS9,KIAA0319L,DDX60,SPATS2L,TNFSF13B,MOV10,DRAP1,GALM,ISG20,TRIM22,CCL2","Down"
"7","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP",5.75818719017612e-07,0.000272990419970622,0.659444398037935,-0.637525296969584,-2.13871730380905,72,"IFI27,TNFSF10,MX2,IFITM1,RTP4,GBP1,RNF213,IFI44L,USP18,OAS1,MX1,SAMD9L,EPSTI1,IFI6,NEXN,PARP9,FBXO6,RSAD2,IRF7,ZCCHC2,OASL,IFI35,DDX60,SPATS2L","Down"
"8","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.00598311299521115,0.0619085997421154,0.407017918923954,-0.545945532101627,-1.6536221578693,38,"TNFSF10,OAS1,TLR3,IL15,HSH2D,SAMD9L,NEXN,SLAMF7,IRF7,EIF2AK2,IFIH1,TNF,CD38","Down"
"9","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.000976926371794006,0.0225862875693266,0.45505986738723,-0.637663214116866,-1.87417699683215,33,"TNFSF10,OAS1,EPDR1,TLR3,IL15,HSH2D,SAMD9L,NEXN,IRF7,TCN2,EIF2AK2,IFIH1,TNF,CD38","Down"
"10","FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN",0.00018719658346418,0.00903916835894167,0.518848077743792,-0.411853650060028,-1.64196387907153,245,"LYZ,ANXA4,VWA5A,GSN,CYP1B1,S100A4,ASPHD1,METTL7B,DPYSL2,KCNN4,HSD3B7,TMEM158,CAPG,ABCC3,INF2,VIPR1,DHRS9,ABCG1,TIMP2,TNS3,CLIP2,NCEH1,CTSS,CXCL16,FBP1,GLA,PTGR1,ALDH3B1,LHFPL2,VIM,LGALS3,SCARB2,GPR35,SHTN1,TGFBI,PDXK,ZMIZ1,ANXA2,GLMP,RHOC,MPP1,PACSIN2,SDSL,TSPO,SIRPA,CD63,TNFRSF21,C3,GLIPR1,KCNE3,S100A10,LPL,TBXAS1,S100A11,ATP6AP2,ANXA11","Down"
"11","FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN",4.01757752884719e-06,0.000997698419663719,0.610526878385931,-0.483398475929723,-1.85224131282392,170,"LYZ,ANXA4,VWA5A,GSN,S100A4,ASPHD1,METTL7B,DPYSL2,HSD3B7,ABCC3,INF2,DHRS9,ABCG1,TIMP2,TNS3,CLIP2,NCEH1,CTSS,SPINK1,IL13RA1,FBP1,GLA,ALDH3B1,LHFPL2,VIM,LGALS3,SCARB2,RNASE1,SHTN1,TGFBI,ZMIZ1,GLMP,RHOC,MPP1,PACSIN2,SDSL,TSPO,SIRPA,CD63,TNFRSF21,GLIPR1,KCNE3,S100A10","Down"
"12","FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_DN",0.000187132757629956,0.00903916835894167,0.518848077743792,-0.331007656803164,-1.42645819283961,641,"IFI27,CEACAM6,TCN1,LCN2,CDH17,RHOU,TNFSF10,MX2,EPB41L4A,LOXL4,S100A4,REEP3,TNFAIP2,CAPG,FAM114A1,P2RY2,INF2,PFKFB3,FUOM,RPS4Y1,VCAN,SLC22A18,NUDT12,ATP8B3,CBS,PAQR5,IFI44L,OAS1,PIK3R3,CD109,IRF9,THBS1,APLP2,CALML4,FGD4,SYNE4,ALDH3B1,MX1,RERE,CD14,PCBD2,SCARB2,AKR7A3,TIRAP,IFI6,UNC93B1,KLHDC9,PIK3AP1,HS2ST1,KLK10,CORO2A,SLC20A2,RSPH3,RBM47,NR2F2,PARP9,TNPO1,BAZ2B,HOXB-AS3,TMEM53,EMC9,SSH3,BOD1L1,GCNT2,RSAD2,IRF7,EPS8L1,OASL,KPNA6,GLMP,TMEM44,APP,SLC22A18AS,BEND7,KIAA0319L,SCCPDH,COL4A1,SLC35A2,ABHD2,TKT,ZFY,CD63,CDCA8,SLPI,TNFSF13B,CH17-340M24.3,PSAP,SCD,TYMP,TM7SF3,KCNQ2,AFF1,KIF5B,TPP1,BAK1,TCN2,PLXNB3,ETV6,SLC6A8,HLA-DRB4,ARHGEF10L,HNMT,OTUD4,TMED6,LZTS3,ST6GALNAC4,PYGB,TRIM66,SAP30,ZFYVE1,ERBB2,ERMAP,PIWIL2,SZT2,MET,KIAA2013,HCN2,CTNNA1,HELZ2,ARL11,SLC17A5,TK2,GRK3,INSR,THRA,FCHSD1,FYTTD1,SH3RF1,HS3ST5,STRIP2,GAB1,EPHB2,BEAN1,IKBKG,STK11IP,SERPINB6,ADCY9,KTN1,WBP2NL,CUX1,FGD6,DDX3Y,FAM3B,ISG15,CENPE,MKI67,S100A13,HPGDS,SYN2,LFNG,PML,LINGO2,GNG4,ATP11A-AS1,BAHCC1,NAAA,ATF7","Down"
"13","FOURATI_BLOOD_TWINRIX_AGE_65_81Y0_RESPONDERS_VS_POOR_RESPONDERS_TRAINING_SET_0DY_NETWORK_INFERENCE_UP",0.0027004514514748,0.0387987863513527,0.431707695803346,-0.846839279775767,-1.7280534559202,7,"SPTBN1,TSPAN13,AMMECR1","Down"
"14","FOURATI_BLOOD_TWINRIX_AGE_65_83YO_POOR_RESPONDERS_VS_RESPONDERS_0DY_NETWORK_INFERENCE_UP",0.0010835001578079,0.0233599666086285,0.45505986738723,-0.944987446197991,-1.67297091278346,4,"OAS1,IL15,IRF9,IRF7","Down"
"15","FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_1DY_POSITIVE",0.000220397490433199,0.00949889647327068,0.518848077743792,-0.470600655357626,-1.72840635689711,125,"CD74,MX2,IFITM1,GBP2,GBP1,FRMD3,SAT1,IFI44L,OAS1,IL15,LHFPL2,MX1,SCARB2,EPSTI1,IFI6,UNC93B1,CEACAM1,PSMB9,PARP9,FBXO6,RSAD2,IRF7,OASL,IFI35,TRIM6,DDX60,LPGAT1,TNFSF13B,MOV10,TYMP,DRAP1,DYNLT1,DHX58,TCN2,ZNF684,ISG20,TRIM22,C1GALT1C1,ANKRD22,APOL3,HELZ2,EIF2AK2,TRIM56,IFIH1,ISG15,RPAP3,TOR1A,PSME1,GBP4,IFIT1,MYOF,STAT1,TRIM5,TMEM123,IFIT3","Down"
"16","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_UP",0.0030279155908357,0.0415648839534492,0.431707695803346,-0.52764785297336,-1.69593171405329,56,"HLA-DMA,CD74,TLR1,IRAK2,TLR3,CD58,TLR6,HLA-DMB,TIRAP,ICAM2,CDC42","Down"
"17","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_UP",0.00260628533228955,0.0379658603572346,0.431707695803346,-0.552769507638236,-1.70608252441659,44,"HLA-DMA,TLR1,IRAK2,TLR3,TLR6,HLA-DMB,TIRAP,ICAM2,CDC42","Down"
"18","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_48HR_UP",0.00421880399165242,0.0492193799026116,0.407017918923954,-0.506144662837402,-1.64244239272258,58,"HLA-DMA,CD74,TLR1,IRAK2,TLR3,CD58,TLR6,HLA-DMB,TIRAP,ICAM2,CDC42","Down"
"19","GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_DN",0.0246578124972349,0.128205874549432,0.352487857583619,-0.325072113917887,-1.30962838986809,269,"BEX3,DPP4,EMP3,VNN1,TCEAL9,CHST3,RARRES1,GPRC5C,ALOX5,DHRS9,TIMP2,PHLDA1,HPCAL1,DHRS3,SORL1,PLPP3,LGMN,HS3ST1,PON2,HPSE,GRB10,CD14,RNASE1,PYCARD,ALDH3A2,LTBP3,GCHFR,PRKCZ,WASF3,ADD3,BLVRB,RTN3,NME3,EHHADH,PDK4,MERTK,B3GALT4","Down"
"20","GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_DN",0.00482416188336307,0.0534140217022047,0.407017918923954,-0.412296459805788,-1.51995696268699,132,"ALDH1A1,BEX3,AKR1B10,RARRES1,ABCC3,EFNA5,SORL1,STEAP1,RCAN3,RNASE4,PAPSS2,CYP2C18,ALDH3A2,ATXN1,SLC2A11,CLIC5,COL1A2,ITGAV,SMAD6,ENC1,GLIPR1,SCD","Down"
