"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","CAO_BLOOD_FLUMIST_AGE_05_14YO_30DY_DN",0.0133695755355986,0.0834998040935889,0.380730400722792,-0.821942803060734,-1.61512741095176,7,"SERPINA1,CBR1","Down"
"2","CAO_BLOOD_FLUZONE_AGE_05_14YO_1DY_UP",0.0792079207920792,0.22796319367036,0.224966093540314,0.721205910777857,1.42353130464568,6,"SERPING1,IFIT3,IDO1,BATF2","Up"
"3","ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP",0.0502312770752004,0.180659386170462,0.321775918075361,0.248515088259268,1.13076149035297,629,"FYN,AGPAT5,CBLB,GCH1,ANKRD28,CD69,SRSF11,FAM169A,TBL1XR1,IFIT1,XPOT,EIF1AX,LRPPRC,TM9SF3,ELL2,IFIT5,CREBZF,GOLGA8A,CCDC117,NUDT21,SREK1,RPS24,SACS,ZNF207,LSM14A,PDP1,DDHD1,TRIM22,TMX3,GBP3,ARGLU1,FABP5,PM20D2,MTHFD2,TAF1D,U2SURP,TCF12,IL7R,BIRC2,TIA1,CRBN,HSPH1,EED,NSMCE4A,CCNG1,METAP2,ESF1,PSIP1,C2CD5,CEP57,ZNF83,EDRF1,MTR,AK3,UAP1,UPF3A,HNRNPU,ATM,RFX7,HMGN3,NR2C1,LSM7,LEF1,SYNCRIP,RPS6KB1,C12orf29,MATR3,UBE3A,PMS1,FUBP3,FAM98B,LANCL1,ARPP19,HLTF,ZNHIT3,NAE1,AASDHPPT,AEBP2,HNRNPA2B1,RSL24D1,PPP4R3B,ZNF644,SPIN1,PRPF40A,CPSF6,DOCK10,SMC4,HNRNPA3,UBR1,FKBP11,FGFR1OP2,EEA1,SRSF3,UTP23,MRPL47,CPOX,CHD2,COPS2,ATAD1,COX11,DDX18,CUL5,ICE2,UBA2,MTDH,DIS3,PPIB,XAF1,ZNF146,IFT80,RPL22L1,RBM25,G3BP1,ZNF22,SNRPD2,RCBTB1,PNPT1,SHPRH,NAA16,ANP32E,USP47,TTC14,CAND1,BCLAF1,BUB3,CCDC91,VTA1,EIF2AK3,TRMT13,HSPD1,CLIP4,PTAR1,CLNS1A,SENP6,RCN2,CUL4A,ZRANB2,PRDX4,CCT2,ZFP62,MTX3,FASTKD1,CLK4,ANKRD36B,BTAF1,ACTR6,PNISR,RECQL,KLF12,RBAK,NIFK,NME1,KRR1,C4orf46,ZNF639,RANBP6,N4BP2L2,TFAM,SRSF1,NUDCD2,USP1,DCAF13,CAAP1,TMEM126B,ZNF770,PCNP,URI1,ICE1,CSGALNACT2,SRSF10,PNN,CKS2,ZCCHC7,API5,JMY,UQCRB,PCGF5,SLC44A1,RAN,IKZF5,SMC3,EMC2,OTUD6B,FUBP1,RABGGTB,TXNDC15,CDK17,RPL24,COX6C,ZMYM2,RANBP2,ITGA4,LUC7L3,SLC25A32,IFI44,CACYBP,NOC3L,PRKCI,PRPS2,IFI44L,NPM1,VPS54","Up"
"4","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_DN",0.0796610169491525,0.228888266330485,0.206587922696891,-0.507744478213367,-1.37144666113107,30,"CXCL8,CD24,RNF141,FRY,PDZD8,LINC01215,BRI3BP,IRS2,FCHO2,ABAT,PIGX,DIP2A","Down"
"5","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.0588235294117647,0.196266606450642,0.245041785430996,-0.50335964620244,-1.42180440800376,38,"OAS1,TNFSF10,IL15,TLR3,HSH2D,IRF7,SAMD9L,SLAMF7,TNF","Down"
"6","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NON_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_DN",0.0143591544902702,0.0862707265746073,0.380730400722792,-0.686785021734201,-1.58937602438002,15,"CXCL8,TLR4,FOS,RXRA","Down"
"7","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.0249767777889589,0.114358117795804,0.352487857583619,-0.547579516381307,-1.50323770761569,33,"OAS1,TNFSF10,IL15,TLR3,HSH2D,IRF7,SAMD9L,TNF,TCN2,NEXN,OAS2,CCRL2,CXCL11","Down"
"8","FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN",1.25819450569049e-06,0.000703505866103999,0.643551836150722,-0.478458380766113,-1.77796651190745,245,"LYZ,ABCG1,VIPR1,ANXA4,GSN,FBP1,DHRS9,CAPG,PTGR1,VIM,CTSS,METTL7B,KCNN4,VWA5A,INF2,NT5E,LHFPL2,TNFRSF21,RGCC,KCNE3,CXCL16,CLDN23,CLIP2,TIMP2,S100A4,GLIPR1,FOS,DPYSL2,ARHGAP18,PDXK,SH3BGRL3,PLIN2,CYP1B1,GCLC,CD151,TSPO,CTSD,ANXA11,ASPHD1,RHOC,GLMP,NCEH1,SCARB2,CD63,SHTN1,LGALS3,GPR35,HSD3B7,PPARG,SLC37A2,MGST1,SLCO3A1,RXRA,ANXA2,PLBD1,TMEM158,GLA,HEBP1,ABCC3,RPS6KA1,IL1R2,S100A11,IGF2R,S100A10","Down"
"9","FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN",1.61489324315735e-06,0.000703505866103999,0.643551836150722,-0.523754971008728,-1.87372540712655,170,"LYZ,ABCG1,ANXA4,GSN,FBP1,DHRS9,VIM,CTSS,METTL7B,VWA5A,INF2,LHFPL2,TNFRSF21,RGCC,KCNE3,CLIP2,TIMP2,S100A4,GLIPR1,DPYSL2,SPINK1,PLIN2,GCLC,CD151,TSPO,CTSD,ANXA11,ASPHD1,RHOC,GLMP,NCEH1,SCARB2,CD63,IL13RA1,SHTN1,LGALS3,HSD3B7,PPARG,SLC37A2,MGST1,SLCO3A1,PLBD1,GLA,ABCC3,RPS6KA1,IL1R2,IGF2R,FHL3,S100A10,S100A6,SLC17A5,CAPN2,ATP6V1A,DAGLA,SDCBP,PLBD2,SPINT1","Down"
"10","FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_DN",0.00090411259003478,0.0210488712367472,0.477270815362862,-0.339693908268197,-1.36757389028121,641,"CEACAM6,CDH17,LCN2,TCN1,LOXL4,RHOU,OAS1,IFI27,VCAN,CAPG,EPB41L4A,TNFSF10,NAAA,SERINC2,FGD4,P2RY2,SHROOM3,SLPI,CALML4,ABHD2,SLC22A18,STRIP2,INF2,PAQR5,NUDT12,MET,SH3RF1,PFKFB3,REEP3,MX2,FAM114A1,SSH3,RERE,S100A4,BOD1L1,UNC93B1,CORO2A,TIRAP,SCCPDH,EPS8L1,UNC5A,GAB1,TNPO1,APLP2,AFF1,BAZ2B,MICAL2,THBS1,PIK3AP1,TKT,RBM47,PPARA,CBS,BEND7,CUX1,PGPEP1,GLMP,KIF5B,SCARB2,CD63,TMEM44,TMEM53,PCBD2,TNFAIP2,KPNA6,IRF7,PDE12,SLC26A3,CDC42BPA,ETV6,APP,PPARG,SYNE4,TPP1,ARHGEF10L,LACC1,SLC22A18AS,RSPH3,KIAA0319L,TPMT,SLC20A2,OTUD4,KIF9,NR2F2,FCHSD1,LARP4B,FUOM,FAH,OASL,PARP9,BAZ2A,GRK3,PPP4R2,NISCH,INSR,ERMAP,ST6GALNAC4,PSAP,KLHDC9,FAM3B,LFNG,HLA-DRB4,TK2,AKR7A3,DAGLB,ARF5,HS2ST1,CTNNA1,SLC17A5,GPD2,DLG4,ANXA5,MX1,PIWIL2,ATP8B3,HNMT,TCN2,HOXB-AS3,APOL6,RNF208,DUSP7,SAP30,S100A13,SZT2,MND1,STK11IP,PLSCR1,CEP63,NPRL3,RIN1,TEP1,RELL1,NFIC,RREB1,IFI6,CTSB,CLPS,SLC35A2,DENND1A,KCTD20,TNFSF13B,DCLRE1C,ATF7,DLEU2","Down"
"11","FOURATI_BLOOD_TWINRIX_AGE_65_83YO_POOR_RESPONDERS_VS_RESPONDERS_0DY_NETWORK_INFERENCE_UP",0.00826246920588832,0.0656721713776299,0.380730400722792,-0.909887755158009,-1.61012763998992,4,"OAS1,IL15,IRF7","Down"
"12","FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_14DY_POSITIVE",0.0289054049690991,0.12731561394751,0.352487857583619,0.563713947227906,1.54413928136672,23,"ANKRD10,PRKAB2,HERC2,ZNF514,SWSAP1,ABCF2,ANAPC5,PNKD,ZNF558,ECHDC2,DHCR7,TRMT10B,CD19","Up"
"13","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_TO_336HR_SUSTAINED_UP",0.0779467680608365,0.225703717622022,0.222056046145248,-0.704072164609157,-1.45186787827411,9,"ARRB1,TXNIP,VAMP8,MAPKAPK3,ATL3,SPN,LRP1","Down"
"14","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_TO_48HR_EARLY_UP",0.0483005366726297,0.17711750272769,0.276500599254472,-0.633254300187781,-1.52764290853242,18,"SKAP2,IL18,GLIPR1,IL13RA1,LAMP2,NCF2","Down"
"15","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_UP",0.00269772758517153,0.0387566097979876,0.431707695803346,-0.537801384384285,-1.63582702730852,56,"ICAM2,HLA-DMA,TLR4,TLR3,TLR1,CD74,TIRAP,RBMS1,MYD88,CD58,IRAK2,TLR6,HLA-DMB,CDC42","Down"
"16","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_192HR_UP",0.0437828371278459,0.166419457450231,0.287857117255149,-0.492443332405971,-1.42506655686149,44,"ICAM2,HLA-DMA,TLR4,TLR3,TLR1,TIRAP,MYD88,IRAK2,TLR6","Down"
"17","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_UP",0.000515266199878926,0.0155215653902083,0.477270815362862,-0.624955087445756,-1.80853823384734,44,"ICAM2,HLA-DMA,TLR4,TLR3,TLR1,TIRAP,MYD88,IRAK2,TLR6,HLA-DMB,CDC42,FAS","Down"
"18","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_48HR_UP",0.00733087322488815,0.0628791182036048,0.407017918923954,-0.5181564613095,-1.59223414524646,58,"ICAM2,HLA-DMA,TLR4,TLR3,TLR1,CD74,TIRAP,MYD88,CD58,IRAK2,TLR6,HLA-DMB,CDC42,FAS","Down"
"19","GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_12MO_CORRELATED_WITH_ANTIBODY_RESPONSE_NEGATIVE",0.0676156583629893,0.206282229706385,0.231126709673834,-0.592958144693867,-1.45779513335718,19,"SORL1,HS3ST1,ADD3,RBMS2,HPCAL1,FUCA1,PLIN2,IMPA2","Down"
"20","GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_DN",0.0031514217913845,0.0419251649032403,0.431707695803346,-0.380494583579698,-1.42761013800788,269,"RARRES1,DPP4,VNN1,TCEAL9,BEX3,ALOX5,HPSE,SORL1,CHST3,EMP3,DHRS9,PLPP3,GPRC5C,LGMN,GRB10,HS3ST1,ITGA6,ADD3,DHRS3,MERTK,TIMP2,HPCAL1,SCARB1,FUCA1,PLIN2,CTSD,RTN3,CUX1,ALDH3A2,GCHFR,PDK4,IMPA2,EHHADH,MGAT4B,RPS6KA2,BLVRB,IRS2,RXRA,PHLDA1,RNASET2,AGPAT2,RNASEL,LTBP3","Down"
"21","GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_DN",0.0015039461789757,0.0280109975834224,0.45505986738723,-0.460347809712525,-1.5867163651812,132,"AKR1B10,RARRES1,BEX3,SORL1,SMAD6,STEAP1,ALDH1A1,PAPSS2,CPM,EFNA5,BCL11B,RCAN3,GLIPR1,PLEK2,ATXN1,ITGAV,ENC1,PLIN2,NRCAM,WNT7A,ALDH3A2,IMPA2,GPRC5B,CYP2C18,IRS2,CLIC5","Down"
"22","GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_14DY_UP",0.0113079253227117,0.0761897035632321,0.380730400722792,0.46026286653244,1.55137404750361,56,"DUSP5,SLC7A5,CDK12,CRELD2,NUSAP1,TK1,TUBG1,ACOT7,FKBP11,RTCB,PPIB,CCNB2,UBE2S,PRDX4,MCM4,UBE2C,NME1,CDCA7,UHRF1,PTTG1,MAGED1","Up"
"23","GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_28DY_DN",0.0637362637362637,0.204238329238329,0.266350657088526,0.650572821339254,1.45921639741092,11,"STMN3,NAP1L1,IL7R,ATM","Up"
"24","GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_28DY_UP",0.0538194444444444,0.18791386368865,0.257206466468838,-0.550464633149004,-1.44129656919178,26,"MYD88,EPSTI1,SHISA5,OASL,RIPK3,SIL1,LY6E,MX1,CSRNP1","Down"
"25","GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_3DY_UP",0.0679611650485437,0.20662057489253,0.20207170902116,-0.339183602444459,-1.235484047571,207,"PLAC8,OAS1,IFI27,DHRS9,TNFSF10,CEACAM1,LHFPL2,CDKN1A,MX2,PCK2,DPYSL2,RTP4,SUSD1,DRAP1,RRAS,GLMP,SCARB2,MYD88,IRF7,DDX60,EPSTI1,IDH2,SLC37A2,SAMD9L,KIAA0319L,SNTB1,TTYH3,SHISA5,OASL,PARP9,RIPK3,SIL1,BST2,CNDP2,LY6E,GNA15,SLC2A6,MX1,MOV10,GALM,TCN2,NUB1,GORASP1,SRC,TDRD7,PSME1,PLSCR1,PARP12,SPATS2L,MICB,CSRNP1,IFI6","Down"
"26","GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_UP",0.00827611757064739,0.0656721713776299,0.380730400722792,-0.353470732507965,-1.33100565088057,280,"PLAC8,FRMD3,OAS1,IFI27,DHRS9,TNFSF10,CEACAM1,GBP2,IL15,LHFPL2,CDKN1A,MX2,CD74,PCK2,UNC93B1,DPYSL2,RTP4,SUSD1,ANKRD22,PIK3AP1,HSH2D,TMEM51,DRAP1,RRAS,GLMP,MARCKS,SCARB2,MYD88,IRF7,DDX60,EPSTI1,CAP1,IDH2,SLC37A2,VAMP5,SAMD9L,PHACTR2,KIAA0319L,SNTB1,TTYH3,CXCL10,SHISA5,OASL,PARP9,CUL1,TXNDC11,RIPK3,SIL1,DYNLT1,BST2,CNDP2,HLA-DRB4,LY6E,GNA15,SLC2A6,MX1,MOV10,GALM,TCN2,NUB1,GORASP1,SRC,TDRD7,PSME1,PLSCR1,PARP12,SAT1,MOB3C,SPATS2L,MICB,ISG20,CSRNP1,IFI6","Down"
"27","GIAROLA_SILVA_BLOOD_INFLUENZA_A_AGE_21_51YO_3DY_UP",0.00126037353836557,0.025617755340996,0.45505986738723,-0.92172760478963,-1.71853308612408,5,"TLR4,TLR3","Down"
"28","GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN",0.0136849007611086,0.08445770114696,0.380730400722792,-0.380858842782103,-1.37581924162519,190,"PLAT,NRP1,TNFRSF1B,CAPG,IL15RA,IL15,HSD17B11,IFITM10,PRSS12,SKAP2,ITGB1,MAPRE2,S100A4,F2R,TMEM37,NBEAL2,AHNAK,IL10RB,CYP4V2,TRAF3IP2,GGH,DNAJC5,LGALS3,GATA3,CCND3,LPGAT1,PRKCA,GCAT,ANXA2,PLBD1,GLRX,LITAF,BCL2L2,CHCHD7,STX7,S100A10,GPC1,FHIT,CTNNA1,S100A6,IRF8,PBX3,CAPN2,MAP3K8,BHLHE40,IER3,DENND5A,DENND4C,ERRFI1,S100A13,MDFIC,PLSCR1,CLDND1,ANTXR2,MCOLN2","Down"
"29","GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP",0.0157427443330384,0.0892992439506675,0.352487857583619,-0.377581299852165,-1.36597134228941,193,"PLAC8,SATB1,GSN,EPHX1,MAP7,TSPAN13,ST3GAL1,RAMP1,RGCC,SPTBN1,EGR1,MGST2,RCAN3,PPIC,SLC12A7,NFKBIZ,EHD1,DNAJC1,ZDHHC14,TKT,CYTIP,AMPD3,ADCY6,MARCKS,RPRD1A,TALDO1,PPA2,DGKA,IRF7,CXXC5,ELOVL6,RPS6KA2,IDH2,TMEM245,ATP1A1,ADK,SEC11C,PDK3,SPRED2,EIF4G2,TMEM50B,HSPB11,ATP6V1D,PDK1,GUCD1,MX1,RALGPS2,STT3B,MARK2,PPDPF,ISG20,EZR,NSMCE1,CYB5A,TEC,MYB,ADGRL1,BZW2,RMND5A,PSMA5,CD5,MINPP1,CNGA1,RNF19A","Down"
"30","GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN",0.0803858520900322,0.229579528285607,0.287857117255149,0.317414920139866,1.23744040664013,142,"CD81,L1CAM,PDGFC,NEDD4L,GCH1,MEX3B,PDK2,MYO10,CEP83,HEATR6,HSD17B1,RAB3D,ILF3,MRPS26,TXNL4B,RSF1,RDH11,GRAMD1A,RAVER1,EIF3B,TUBG1,FMNL3,PDP2,ADRB2,NAA25,TRMT10C,TNS1,SIN3A,RBM22,PAG1,MAVS,USP30,SAP30BP,TAF8,ZFP64,RCN2,UBE2Z,SAP130,NRG4,ANKRD27,CHD4,RIT1,UBA1,GPANK1,POLE4,ZYG11B,RAD52,GYPC,MED13L","Up"
"31","GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP",0.00716355649743804,0.0623671905411342,0.407017918923954,-0.414432628043586,-1.44110834975817,139,"RHOU,TMC5,CYP2R1,CPM,KLK11,PSCA,ARL6IP5,PDLIM1,MERTK,BTBD11,ARMCX1,CIDEC,PDK4,WWTR1,MNS1,SH3BP2,KIF21A,PIH1D2,TTYH3,PLBD1,LAMB2,RHBDF1,OXR1,GALNT10,ERN2,UBTD1,NEK11,TLE1,SDHA,ST6GALNAC5,CCDC120,ANKIB1,ANXA7","Down"
"32","GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN",0.0632183908045977,0.203760140943125,0.213927855492356,-0.365399181344513,-1.28304603104586,147,"FRMD4B,EPCAM,ATP9A,MARVELD2,SERINC5,CBLC,S100A4,ZDHHC4,IRS1,ARRDC4,CDCP1,ITGAV,AHNAK,BMP7,TMEM134,SPRY1,PDK4,MYC,ENDOD1,PPP2R3A,SFN,LEPROT,NADK,MGMT,IGF2R,FARP1,PTGER4,IRF8,CAST,RAD51B,INPP5F,IRF1,BHLHE40,LAPTM4B,MAPKAPK3,NAGLU","Down"
