"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_ALLOGRAFT_REJECTION",0.0192869698949171,0.043834022488448,0.352487857583619,-0.377937288133287,-1.37502261448237,193,"EREG,IL2RG,CAPG,CTSS,GBP2,HLA-DMA,IL15,TLR3,TLR1,CD74,EGFR,IL18,F2R,LY75,IFNAR2,GALNT1,CD40,BCL10,IFNGR2,HLA-DRA,CD47,IL7,IKBKB,IRF7,CCND3,ITGB2,TLR6,HLA-DMB,ETS1,IFNGR1,TIMP1,ABI1,UBE2D1,TNF,FAS,IL12RB1,IRF8,AKT1,ACVR2A","Down"
"2","HALLMARK_COAGULATION",0.0378157239815227,0.0675280785384334,0.321775918075361,-0.398678457618475,-1.3936064269465,136,"MMP7,PLAT,DPP4,SERPINA1,CTSH,GSN,DUSP6,CAPN5,MMP1,CLU,HNF4A,LGMN,ITGA2,GDA,CTSE,ACOX2,THBS1,HMGCS2,MMP15,ARF4,GNB2,TIMP1,GNG12,RAC1,LAMP2,CFI,CAPN2,PEF1,P2RY1,KLK8,S100A13,MAFF","Down"
"3","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0427892234548336,0.0731822474032106,0.276500599254472,-0.419736935910543,-1.40428301501119,92,"OAS1,IFI27,GBP2,TXNIP,IL15,CD74,PROCR,RTP4,CD47,IL7,IRF7,DDX60,EPSTI1,SAMD9L,ELF1,USP18,CXCL10,OASL,PARP9,BST2,LY6E,IRF1,MX1,MOV10,NUB1,TDRD7,PSME1,PLSCR1,PARP12,ISG20,IL4R,NCOA7,CCRL2,CXCL11,TRIM21,RSAD2,MVB12A,HELZ2,IFIH1,DHX58","Down"
"4","HALLMARK_INFLAMMATORY_RESPONSE",0.0132069251981525,0.0347550663109277,0.380730400722792,-0.391313225185431,-1.43159593879651,199,"EREG,TNFSF15,EMP3,TNFRSF1B,TNFSF10,P2RY2,ITGB8,AHR,IL15RA,IL15,CXCL8,TLR3,MET,TLR1,AXL,SGMS2,CDKN1A,FZD5,IL18,RTP4,MXD1,CD40,EDN1,PCDH7,KLF6,IFNGR2,MYC,IRAK2,IRF7,PSEN1,SLC4A4,CXCL10,NAMPT,CD82,TIMP1,ABI1,BST2,LY6E,IL1R1,HRH1,PTGER4,RASGRP1,ACVR2A,IFNAR1,GNA15,IRF1,SLC7A1,RELA","Down"
"5","HALLMARK_IL2_STAT5_SIGNALING",0.00636974292578103,0.0199054466430657,0.407017918923954,-0.40165416892382,-1.46500400962865,196,"ANXA4,NRP1,TNFRSF1B,CAPG,TNFSF10,AHR,RABGAP1L,CDC42SE2,NT5E,TNFRSF21,SLC29A2,MUC1,ITGA6,PLPP1,DHRS3,WLS,FAM126B,SELP,MXD1,CDCP1,SH3BGRL2,NFKBIZ,ITGAV,AHNAK,PLIN2,KLF6,MYC,HIPK2,CCND3,PLEC,SPRY4,PHLDA1,SNX9,IFNGR1,CXCL10,SPRED2,FAH,IL1R2,IGF2R,BATF,PIM1,UMPS,MYO1E,BMPR2,IRF8,ARL4A,CTSZ,MAP3K8,CSF2,BHLHE40,GALM,DENND5A,MAFF,IKZF4,PLSCR1,P2RX4,ETFBKMT,CA2","Down"
"6","HALLMARK_PEROXISOME",0.0123080724575359,0.0341890901598218,0.380730400722792,-0.442753039841534,-1.49445315817785,101,"SEMA3C,ACSL5,ALDH1A1,HSD17B11,DHRS3,ACAA1,MVP,NR1I2,PEX13,ATXN1,BCL10,TSPO,FIS1,GSTK1,SCP2,EHHADH,HSD3B7,IDH2,ACOX1,SULT2B1,DHCR24,CRABP2,PEX11B,ISOC1,ABCD3,CTBP1,HMGCL,IDH1,DLG4,RETSAT,CRAT,ACOT8,SOD1,SLC23A2,VPS4B,SMARCC1,ELOVL5","Down"
"7","HALLMARK_PROTEIN_SECRETION",0.0242961862140596,0.0506170546126241,0.352487857583619,-0.446141499041004,-1.49459952165183,95,"TSPAN8,BNIP3,EGFR,PAM,SEC24D,GALC,CD63,BET1,STX12,SCAMP1,CLCN3,RPS6KA3,ATP1A1,YIPF6,GLA,STAM,STX7,IGF2R,ARFGEF2,VAMP3,ARFGAP3,COPB1,YKT6,AP3B1,CAV2,LAMP2,RER1,ATP7A,SGMS1,SOD1,GOLGA4,VPS4B,TPD52,SEC31A,NAPG","Down"
"8","HALLMARK_ANDROGEN_RESPONSE",0.0167705454293331,0.0399298700698406,0.352487857583619,-0.448068258055628,-1.4950079077488,94,"HPGD,PMEPA1,INPP4B,AZGP1,ALDH1A3,MAP7,TMPRSS2,ABHD2,AKAP12,PDLIM5,PLPP1,MERTK,STK39,SEC24D,ITGAV,CDC14B,CCND3,DHCR24,RPS6KA3,CCND1,TNFAIP8,KRT19,DNAJB9,PTPN21,SPCS3,SPDEF,GSR,ELK4,TMEM50A,AKT1,GPD1L,KRT8","Down"
"9","HALLMARK_GLYCOLYSIS",0.00223154803079344,0.00929811679497269,0.431707695803346,-0.412431347168532,-1.50322546311461,195,"IGFBP3,ELF3,VCAN,DSC2,CAPN5,GNE,B3GNT3,STC2,NT5E,MET,B4GALT4,CHST4,TGFA,MERTK,CITED2,EGFR,PAM,GAL3ST1,GCLC,BPNT1,ERO1A,TFF3,EGLN3,SDC1,KDELR3,IL13RA1,TALDO1,PGLS,SDHC,CHPF,GALE,VEGFA,SOX9,PFKP,IRS2,CASP6,GLRX,ALG1,GFPT1,PKP2,PDK3,SLC35A3,B4GALT7,CXCR4,CHST6,P4HA2,KIF2A,GPC1,PGK1,HS2ST1,IDH1,IER3,AGL,GALK2,ALDOA,BIK,FAM162A,SAP30,LDHA,GMPPA,SOD1,ISG20,PC,NDUFV3","Down"
"10","HALLMARK_APICAL_SURFACE",0.0329282326014228,0.0609782085211533,0.321775918075361,-0.510005201608875,-1.51130040365039,43,"IL2RG,ATP8B1,SULF2,LYPD3,EFNA5,GATA3,SHROOM2,APP","Down"
"11","HALLMARK_PANCREAS_BETA_CELLS",0.025308527306312,0.0506170546126241,0.352487857583619,-0.516182780229759,-1.51507916900806,40,"DPP4,SYT13,ISL1,VDR,FOXO1,FOXA2,SRPRB,SPCS1","Down"
"12","HALLMARK_FATTY_ACID_METABOLISM",0.0040507280827034,0.0155797233950131,0.407017918923954,-0.430666253289033,-1.52842697531312,153,"HPGD,VNN1,ACSL5,ALDH3A1,ALDH1A1,ACSM3,CBR1,MGLL,EPHX1,UGDH,HSD17B11,ACAA2,ACAA1,PPARA,PCBD1,CPT1A,HMGCS2,ALDH3A2,HADH,SDHC,EHHADH,ACOX1,DHCR24,CRYZ,RAP1GDS1,ETFDH,SLC22A5,MAOA,HSDL2,GSTZ1,HMGCL,S100A10,BPHL,IDH1,SERINC1,SUCLG2,ADH1C,GPD2,RETSAT,CRAT,CYP1A1,ALDOA,ACOT8,PSME1,LDHA,SDHA,PDHB,CA2,CPT2,ELOVL5,OSTC,UROD,CBR3,GPD1,BCKDHB,HAO2","Down"
