"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_ADIPOGENESIS",8.84590570744006e-05,0.000552869106715004,0.538434096309916,-0.452468432216939,-1.66598747881607,197,"29103,217,4638,11343,58472,3910,134147,8780,5209,5447,10449,5264,130814,10010,949,604,7263,334,6817,123,977,7086,64859,10313,6342,112,3033,9908,6888,56894,6391,400916,79071,5468,51,10140,5495,7905,6453,10162,3459,7423,4189,2184,11176,204,128338,23344,5211,6573,51727,483,29979,3417,10124,11194,2820,54884,1384,226,369,2632,6239,6647,3991,2109,2101,3679,1376","Down"
"2","HALLMARK_ALLOGRAFT_REJECTION",0.0105257559541222,0.023922172623005,0.380730400722792,-0.375653727231006,-1.38324794178016,198,"2069,3561,822,1520,2634,3108,3600,7098,7096,972,1956,3606,2149,4065,3455,2589,958,8915,3460,3122,961,3574,3551,3665,896,3689,10333,7453,3109,2113,3459,7076,10006,7321,7124,355,3594,3394,207,92","Down"
"3","HALLMARK_ANDROGEN_RESPONSE",0.00768695762964127,0.020228835867477,0.407017918923954,-0.443101463617818,-1.46652444700918,97,"3248,56937,8821,563,220,9053,7113,11057,9590,10611,8611,10461,27347,9871,3685,8555,896,1718,6197,595,25816,3880,4189,11099,60559,25803,2936,2005,23585,207,23171,3856","Down"
"4","HALLMARK_APICAL_JUNCTION",0.096551724137931,0.137931034482759,0.166933848713193,-0.336223827606258,-1.23224920562479,194,"347902,1308,51474,4982,3384,1462,3691,2037,1364,3673,999,8935,3688,1956,3667,2770,54509,6850,6237,3033,2771,1024,10487,357,8910,7408,51208,55742,8976,7410,5819,4192,1495,8751,147,5291,6251,1384,1366,9019,6714,1265,2886,5097,10109,7791,3914,60412,91624","Down"
"5","HALLMARK_APICAL_SURFACE",0.0442622950819672,0.071390798519302,0.276500599254472,-0.494528077552038,-1.41942023877076,44,"3561,5205,55959,27076,1946,2625,357,351,202","Down"
"6","HALLMARK_APOPTOSIS",0.000216375886450495,0.00108187943225247,0.518848077743792,-0.467451258917737,-1.66171430036885,161,"2069,5327,6304,2934,8743,1191,10628,10950,8837,1026,7077,3606,2149,5058,1806,8915,706,51330,4060,5366,7049,331,4092,330,3958,351,5526,5534,6709,2876,839,5663,595,5914,6041,3459,10018,599,637,4255,5611,2944,7076,3482,2936,7124,355,4739,8878,835,2769,3659,54884,5970,8870,638,3725,6303,6647,3669,1499","Down"
"7","HALLMARK_BILE_ACID_METABOLISM",0.00412400767971136,0.0123004655649704,0.407017918923954,-0.467644030939831,-1.5792244133937,109,"51703,216,5002,83594,51302,51170,10133,5264,8856,5194,6310,373156,6342,5191,55670,80270,3418,6820,1718,6256,9420,51015,8630,9023,5825,55825","Down"
"8","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.139430284857571,0.188419303861583,0.142901149386948,-0.387654993937169,-1.23013536171385,72,"1191,5641,58191,312,132864,493869,2770,51330,875,23474,3958,10654,5468,1119,5165,116496,6282,5833,308,54206,2946,5359,1499,118429,4047","Down"
"9","HALLMARK_COAGULATION",0.0141319926893834,0.0289476358349868,0.380730400722792,-0.398678457618475,-1.38852068505132,136,"4316,5327,1803,5265,1512,2934,1848,726,4312,1191,3172,5641,3673,9615,1510,8309,7057,3158,4324,378,2783,7076,55970,5879,3920,3426,824,553115,5028,11202,6284,23764","Down"
"10","HALLMARK_COMPLEMENT",0.0151643053219689,0.0291621256191709,0.380730400722792,-0.375004385542783,-1.38085458660625,196,"5327,5646,1803,5265,1512,1848,978,1520,1191,3172,1368,64167,5641,23348,7077,725,5580,7128,10938,966,1509,59345,160851,2153,2771,4324,3958,3665,2625,1356,5663,10600,2783,25801,7076,4179,9986,3796,5292,3920,10125,3659,2820,308,2764,7511,6284,6714,23764","Down"
"11","HALLMARK_DNA_REPAIR",0.00249027767282908,0.00889384883153244,0.431707695803346,0.380731813794842,1.49628657434999,146,"7157,3059,50484,5142,11051,9013,8731,2067,6431,4059,10623,50808,2958,5432,2962,5424,5433,8480,1479,22916,5437,10189,6749,2237,4799,5984,2071,4090,5429,4882,10978,5985,5422,7508,5983,353,6827,51160,2068,5888,4830,9883","Up"
"12","HALLMARK_E2F_TARGETS",3.17350266839067e-08,5.28917111398445e-07,0.719512826338911,0.493374031757458,1.99775926172787,195,"7157,11051,4673,10615,147841,10797,79677,7153,3149,8726,29893,4361,3609,11168,10535,332,4174,7083,9700,10492,64858,5424,10527,1786,79075,7283,11200,146909,7514,6749,10051,701,54962,9972,9212,4171,23468,9221,9133,84312,5558,5591,27338,84296,81611,4683,10664,57122,3838,5983,3070,5810,6941,10549,81624,10274,1965,3014,672,4173,10212,23594,4830,6628,6790,64785,6426,4436,7398,5411,1164,29028,5902,5901,56655,4172,9126,4175,79077,51747,6117,9232,9125,29089,203068,5426,7374,6241,55723,9837,2547,7913,4678,55646,5889,23047,84844,9918,4085,6434,3148,7037,1031,898,5981,10714,9738,29127,8243,7112,1029,9787,83461,6118","Up"
