"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","KEGG_FOCAL_ADHESION",7.19618924888516e-18,1.33849120029264e-15,1.0864405425825,0.56044684458581,2.57903608078223,195,"SPP1,ITGB1,COL3A1,PIK3R5,PARVB,COL11A2,THBS1,TNN,IGF1R,PAK3,FYN,RELN,ITGA6,LAMC3,MYLK,CRK,RAC2,CCND2,FLNA,TNXB,ROCK1,COL1A2,SHC1,COL5A1,COL4A6,COL6A1,PDGFC,DOCK1,VAV2,FLNC,LAMA5,MET,AKT3,ITGB7,PTEN,SOS2,COL4A2,PDGFA,ROCK2,PDGFRB,HRAS,PPP1R12A,RASGRF1,GRB2,ACTN4,COL1A1,ITGB3,FN1,ITGA8,PAK2,ACTB,PARVG,COL4A4,PIK3CD,THBS3,LAMA4,KDR,SRC,MAPK1,PRKCB,PDGFB,ACTN1,MYL7,BCL2,VEGFA,ELK1,PAK1,ILK,COL5A3,TLN1,PDPK1,RAP1A,PIK3R2,CAV3,PDGFRA,XIAP,PIK3CB,PGF,DIAPH1,ACTN3,ITGA4,ITGB4,AKT2,TLN2,COL6A3,MAPK9,HGF,MAPK8,PARVA,TNC,ITGA1,PRKCA,CTNNB1,GSK3B,MYL10,LAMB4,VWF,PIP5K1C,RAC3,CHAD,RHOA,ARHGAP35,CDC42,FLT1,ITGA9,COL11A1,PIK3R1","Up"
"2","KEGG_PATHWAYS_IN_CANCER",1.07745167901369e-16,1.00203006148273e-14,1.05746357275086,0.470673625002446,2.27242111029013,318,"FGFR2,ITGB1,AR,HSP90B1,HIF1A,PIK3R5,MMP9,CTBP2,IGF1R,CDK6,KLK3,ITGA6,PAX8,LAMC3,STAT1,RUNX1T1,CRK,JAK1,RAC2,CCNE1,CTBP1,DAPK1,IL6,FGF11,FZD4,PPARD,COL4A6,TRAF1,HDAC2,MMP2,LAMA5,MET,WNT6,AKT3,SPI1,PIAS2,SMAD4,PTEN,GLI3,SOS2,PML,PLCG1,TPR,COL4A2,PDGFA,LEF1,PDGFRB,HRAS,RELA,RXRA,GRB2,IKBKG,CSF1R,WNT7B,FGFR1,DVL2,STAT3,FN1,STAT5B,FGF23,CSF3R,HSP90AB1,RALB,COL4A4,TP53,PIK3CD,FGF6,SMO,LAMA4,FGF14,MAPK1,SMAD2,RARA,TPM3,PRKCB,PLD1,PDGFB,BCR,TGFB3,CASP9,FGF21,NFKBIA,RXRB,WNT9A,TFG,IKBKB,RALGDS,APC2,AXIN2,RASSF5,BCL2,VEGFA,PTCH1,SMAD3,WNT2,PIAS4,HSP90AA1,CEBPA,PIK3R2,PDGFRA,XIAP,PIK3CB,PGF,WNT9B,TRAF5,SUFU,CBL,BCL2L1,NKX3-1,TCF7L2,RASSF1,HHIP,STK4,MLH1,CREBBP,AKT2,FZD2,MAPK9,HGF,RARB,FGF1,FGF18,MAPK8,WNT8B,CDH1,BRCA2,PRKCA,CTNNB1,GSK3B,BMP4,LAMB4,APC,TRAF3,RAC3,DAPK2,E2F1,RHOA,TRAF4,WNT8A,WNT10B,TCF7L1,MSH3,BIRC5,FZD1,CDC42,EGLN2,PIK3R1,TGFA,TGFB1,FOXO1,TGFBR2,FGF7,MTOR,BAX,KRAS,WNT16,CCNA1,TGFB2,ETS1,LAMC1","Up"
"3","KEGG_CALCIUM_SIGNALING_PATHWAY",3.66805545738173e-15,2.27419438357667e-13,0.996986217533181,0.551963435735082,2.49989872307354,172,"ITPR2,SLC25A6,CAMK2A,PTGER1,ADCY7,MYLK,P2RX7,CCKAR,HRH2,GNAQ,VDAC1,SLC8A3,ADCY3,AVPR1A,NTSR1,PLCB1,PPP3CA,PLCG1,PHKB,ATP2A2,PDGFRB,PTAFR,P2RX2,ADCY1,GRM1,ATP2A1,CHRM3,GRIN2C,SLC8A2,PPP3CC,P2RX5,CACNA1E,PDE1A,HTR5A,BST1,CACNA1S,NOS1,CACNA1F,CACNA1H,PRKCB,SPHK1,GNAL,PLCB2,PTGER3,ADRA1D,GRIN1,ATP2B1,HTR6,CAMK2G,HTR4,PLCE1,LTB4R2,PLCD3,CACNA1I,GRIN2A,ATP2B2,PDGFRA,CAMK2B,ADCY4,CCKBR,ATP2B3,ADRB1,TBXA2R,P2RX1,ADCY2,P2RX4,CHP1,AVPR1B,PHKG1,CACNA1C,ITPR3,PDE1C,TACR1,CD38,ATP2A3,CAMK4,PRKCA,CYSLTR2,GNA15,ITPR1,EDNRA,ITPKA,HTR7,HTR2A,PRKX,SLC8A1,MYLK3,CACNA1G","Up"
"4","KEGG_CELL_ADHESION_MOLECULES_CAMS",6.72708194120887e-15,3.12809310266212e-13,0.996986217533181,0.597080749875846,2.56088792901198,129,"L1CAM,ITGB1,VCAN,ALCAM,CLDN10,ITGAM,ITGA6,PECAM1,CLDN5,CD58,ICAM1,ITGAL,SELL,SELPLG,HLA-DRB4,NLGN2,CLDN2,PTPRC,CD99,GLG1,CD2,SDC3,ITGB7,ICOSLG,HLA-DOA,CD8A,CDH4,HLA-DPA1,CD6,NLGN3,CLDN20,SIGLEC1,SPN,ITGA8,NECTIN2,HLA-DQA1,CLDN14,CD86,CD22,NRCAM,CLDN17,SDC2,CTLA4,PVR,CD276,CDH15,PDCD1,ICAM2,MPZL1,CNTNAP1,NCAM2,HLA-DRA,NFASC,ITGA4,JAM3,HLA-DOB,CLDN19,CLDN9,NECTIN1,CD40LG,NEO1,CDH1,NEGR1,NCAM1","Up"
"5","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",1.82458579537652e-14,6.78745915880067e-13,0.97599468306432,0.513256770272309,2.39294171111862,209,"FGFR2,ITGB1,PIK3R5,ITGAM,PAK3,PIP4K2B,ITGA6,CSK,MYLK,FGD3,ITGAL,CRK,FGFR4,RAC2,RDX,ROCK1,FGF11,CD14,PDGFC,DOCK1,VAV2,ITGB7,DIAPH3,CYFIP2,WAS,LIMK2,SOS2,MRAS,PDGFA,TIAM2,ROCK2,PDGFRB,HRAS,PPP1R12A,ACTN4,FGFR1,PFN4,CHRM3,GSN,ITGB3,FN1,ITGA8,FGF23,NCKAP1L,PAK2,ACTB,PIK3CD,FGF6,EZR,FGF14,ITGAX,MAPK1,ARHGEF7,PDGFB,FGF21,RRAS2,APC2,ACTN1,MYL7,PAK1,INS,GIT1,TMSB4Y,ARHGEF4,PIP4K2A,MYH14,PIK3R2,PDGFRA,PIK3CB,SSH1,DIAPH1,ACTN3,ITGA4,ITGB4,CFL2,TIAM1,LIMK1,FGF1,FGF18,ITGA1,IQGAP3,MYL10,APC,ABI2,PIP5K1C,RAC3,ARHGEF12,RHOA,WASL,DIAPH2,PIP5K1A,ARHGAP35,BAIAP2,CDC42,ITGA9,PIK3R1,WASF1,ACTN2,ITGAD,FGF7,MYLK3,KRAS,ARPC5","Up"
"6","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",2.94710691371922e-13,9.13603143252959e-12,0.932595211336209,0.462510506571064,2.21038164578561,262,"F2RL2,PTGER1,S1PR3,PRSS3,CNR2,GRIK1,P2RX7,CCKAR,HRH2,GRIK5,GHRHR,GABBR2,GRM2,APLNR,AVPR1A,NTSR1,ADCYAP1R1,CHRNB2,MCHR1,PTH1R,CHRNA4,PTAFR,P2RX2,GRM1,NPY1R,P2RY6,OPRD1,S1PR5,PTGER4,CHRM3,FPR1,GRIN2C,P2RX5,C3AR1,DRD2,HTR5A,SSTR3,SSTR1,CHRNA1,KISS1R,PTGIR,PTGER3,ADRA1D,GRIN1,HRH3,LTB4R,HTR6,HTR4,GRIN3B,GABRA2,ADORA1,LTB4R2,GH2,NR3C1,P2RY1,SCTR,CHRNB1,GRIN2A,HTR1F,NTSR2,GLP1R,HCRTR2,CHRNA2,CCKBR,ADRB1,TBXA2R,GABRQ,P2RX1,LPAR3,TSHB,GPR156,CNR1,P2RX4,AVPR1B,PTGDR,CALCRL,CGA,GCGR,SSTR2,GLRA2,TACR1,GRID1,CHRNA3,CALCR,TSHR,CYSLTR2,MCHR2,NPFFR1,FPR3,HTR1D,SSTR4,EDNRA,GLP2R,HTR7,HTR2A,FPR2,CHRND,PARD3,MAS1,PRLR,MC2R,BRS3,ADRA2B,AVPR2,GZMA,VIPR2,CHRNE,GRIA3,GRIN2B,GABRA1,GALR2,GH1,GLRB,GABRG2,PLG,CHRNB4,F2R,GABRR1,GABRB1,NPY2R,SSTR5,P2RY10,HTR1E,GRPR,GHSR,GRM3,TAAR2,P2RX3,MC3R,CHRNA10,CRHR2,CYSLTR1,GABRA6,ADORA3,F2,GRM8,P2RX6,GRIN2D,GRIK3,LEPR,AGTR1,DRD3,GNRHR,TAAR5,TACR3,CHRNB3,S1PR2,GABRA5","Up"
"7","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",4.58481282917635e-13,1.21825026603829e-11,0.921426003494898,0.465671170351905,2.22427372811333,250,"IL7R,IL12RB1,IL24,IFNGR1,TNFSF13B,IL17RA,TNFRSF25,PLEKHO2,CCL5,CCL20,BMPR1B,CCL18,INHBC,IL6,CSF1,IL6ST,CCR1,ACVRL1,CCR10,PDGFC,GDF5,MET,IL2RA,IL23A,TNFRSF10A,TNFSF4,INHBB,PDGFA,PDGFRB,CSF1R,CXCR6,IL9R,ACVR2B,TNFSF18,IL2RG,CSF3R,IL21,BMPR1A,CCR5,EPOR,RELT,KDR,CCL13,CCL2,CCR7,TNFRSF9,PDGFB,IL4,TNFSF10,TGFB3,CCL19,CSF2RB,TNFRSF10D,LTBR,CCL8,VEGFA,IL11,BMP7,TNFSF8,EDA2R,CXCL6,GH2,TNFRSF13B,IFNLR1,CCL21,TNFRSF10B,PDGFRA,CX3CR1,TNFRSF4,CCL28,TNFSF14,CXCL12,CXCL14,IL5RA,IL21R,IL13,IL2,HGF,PF4,CD40LG,MPL,CSF2,TNFRSF13C,IL1B,IL1A,CRLF2,IFNB1,IFNA8,CCL16,TNFRSF18,IL6R,FLT1,CD27,TGFB1,TGFBR2,IL17RB,PRLR,TNFRSF10C,TGFB2,IL23R,CXCL13,BMPR2,CSF2RA,TNF,EGF,GH1,LTB,IFNW1,IL22RA2,VEGFC,INHBE,CXCL2,TNFSF11,CNTFR,IL13RA1","Up"
"8","KEGG_PROSTATE_CANCER",1.56423357166522e-11,3.63684305412163e-10,0.863415391606693,0.616380498857161,2.46869988038187,89,"FGFR2,AR,HSP90B1,PIK3R5,IGF1R,KLK3,CCNE1,CREB3L2,PDGFC,AKT3,PTEN,SOS2,PDGFA,LEF1,PDGFRB,HRAS,RELA,GRB2,IKBKG,FGFR1,HSP90AB1,TP53,PIK3CD,MAPK1,CREB3L1,PDGFB,CASP9,NFKBIA,IKBKB,BCL2,INS,HSP90AA1,PDPK1,PIK3R2,PDGFRA,PIK3CB,NKX3-1,TCF7L2,CREBBP,AKT2,CTNNB1,GSK3B,E2F1,TCF7L1,PIK3R1,TGFA,FOXO1,MTOR,KRAS,SRD5A2,EGF,CREB3,PIK3CG,MDM2","Up"
"9","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",4.15027273909362e-11,8.57723032746016e-10,0.851339057116899,0.571075966431389,2.35864446159269,113,"ITGB1,PIK3R5,CLDN10,PTPN11,ITGAM,MMP9,PECAM1,CLDN5,ICAM1,ITGAL,RAC2,CLDN2,CD99,ROCK1,SIPA1,NCF1,MAPK11,AFDN,CYBB,THY1,VAV2,MMP2,PLCG1,CLDN20,ROCK2,ACTN4,ACTB,PIK3CD,CLDN14,EZR,PRKCB,CLDN17,NOX1,MAPK12,GNAI2,ACTN1,MYL7,RASSF5,RAP1A,ITK,PIK3R2,PIK3CB,CXCL12,ACTN3,ITGA4,RHOH,JAM3,CLDN19,CLDN9,PRKCA,CTNNB1,MYL10,NCF2,RHOA,ARHGAP35,CDC42,PIK3R1,ACTN2,CLDN15,MAPK14,CLDN18,PXN,CYBA,PLCG2,PIK3CG,MAPK13,CTNNA3,VCL,CLDN4,RAPGEF4,PRKCG,CLDN8,CLDN6","Up"
"10","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",1.3716221044092e-10,2.55121711420111e-09,0.826657301178302,0.535869567951192,2.28897241908403,128,"PIK3R5,PTPN11,FYN,MICB,IFNGR1,ICAM1,ITGAL,RAC2,SH3BP2,NCR2,NFATC1,FCGR3B,SHC1,VAV2,KIR2DL4,PPP3CA,SOS2,TNFRSF10A,PLCG1,ZAP70,LCP2,HRAS,CD244,NFATC2,GRB2,PPP3CC,SH2D1A,PRF1,PIK3CD,MAPK1,PRKCB,LAT,TNFSF10,TNFRSF10D,PAK1,ICAM2,KIR2DL2,TNFRSF10B,PIK3R2,PIK3CB,CHP1,SH2D1B,PRKCA,NFATC4,CSF2,ULBP3,RAC3,NCR3,IFNB1,NFATC3,HLA-B,IFNA8,PIK3R1,KIR2DL3,KRAS,TNFRSF10C,NCR1,KIR2DL1,SHC3,TNF,PLCG2,PIK3CG,HLA-G","Up"
