"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","KEGG_RIBOSOME",5.80807836110148e-16,1.06868641844267e-13,1.02766987054358,-0.797887767465206,-2.3151223721412,69,"RPL30,RPL15,RSL24D1,RPS16,RPL35A,RPL7,RPS23,RPS21,RPL31,RPS11,RPS15,RPS19,RPS15A,RPL36AL,RPLP0,RPL9,RPS18,RPL8,RPLP1,RPL41,RPS27,RPS12,RPL22,RPL38,RPL22L1,RPS10,RPL27A,RPL35,RPS27L,RPL18,RPL24,RPS3,RPS29,RPL11,RPL32,RPS7,RPL14,RPL29,RPL36,RPS25,RPL10A,RPL34,RPL12,RPS17,RPS4X,RPS24,UBA52,RPL37,RPS9,RPL37A,RPL27,RPL23A,RPS27A,MRPL13,RPL39,RPL3","Down"
"2","KEGG_PARKINSONS_DISEASE",1.11535062275558e-09,9.70710933262816e-08,0.788186810800237,-0.670269634469282,-1.99063055853932,93,"COX6C,NDUFB2,NDUFB1,NDUFA5,COX7C,CYCS,UQCRQ,SLC25A5,UQCR11,NDUFA1,NDUFA4,UQCRC2,NDUFC1,APAF1,NDUFB9,COX5A,COX6B1,COX7A2L,NDUFB4,COX6A1,NDUFA6,SDHC,VDAC3,NDUFA3,NDUFA2,PARK7,UBE2J1,NDUFB8,NDUFB5,UQCRB,VDAC1,COX5B,UQCRFS1,CASP3,VDAC2,NDUFS1,NDUFB6,COX7A2,UBE2G1,UBB,COX7B,NDUFA7,UQCR10,NDUFAB1,SDHD,UQCRC1","Down"
"3","KEGG_OXIDATIVE_PHOSPHORYLATION",1.58268086945024e-09,9.70710933262816e-08,0.788186810800237,-0.668368694717999,-1.99397288389503,95,"COX6C,PPA1,NDUFB2,NDUFB1,NDUFA5,COX7C,UQCRQ,UQCR11,NDUFA1,NDUFA4,UQCRC2,NDUFC1,ATP6V0E1,ATP6V1A,NDUFB9,COX5A,COX6B1,COX7A2L,NDUFB4,ATP6V1C1,COX6A1,NDUFA6,SDHC,NDUFA3,NDUFA2,NDUFB8,NDUFB5,UQCRB,ATP6V1E1,ATP6V1G1,ATP6V1H,COX5B,UQCRFS1,NDUFS1,PPA2,NDUFB6,ATP6V1D,COX7A2,COX7B,COX11,NDUFA7,UQCR10,ATP6V0B,NDUFAB1,SDHD,ATP6AP1,UQCRC1","Down"
"4","KEGG_HUNTINGTONS_DISEASE",2.91693469780245e-09,1.34178996098913e-07,0.774939030136436,-0.60579614081475,-1.85187855455609,152,"COX6C,HDAC1,NDUFB2,NDUFB1,NDUFA5,COX7C,CLTC,SOD1,CYCS,GNAQ,UQCRQ,SLC25A5,CREB3L1,UQCR11,DCTN4,NDUFA1,NDUFA4,POLR2K,IFT57,UQCRC2,NDUFC1,APAF1,CLTA,NDUFB9,COX5A,POLR2B,COX6B1,COX7A2L,NDUFB4,TAF4,COX6A1,NDUFA6,SDHC,VDAC3,NDUFA3,NDUFA2,RCOR1,NDUFB8,NDUFB5,UQCRB,VDAC1,COX5B,UQCRFS1,CASP3,VDAC2,NDUFS1,GPX1,NDUFB6,COX7A2,COX7B,TFAM,NDUFA7,UQCR10,CREB1,REST,POLR2C,NDUFAB1,SDHD,UQCRC1,CREBBP,PLCB4,SP1,POLR2H,POLR2L,NDUFA8,NDUFB3,NDUFS2,AP2B1,SDHA,SLC25A4,PPID,COX8A,SLC25A6,POLR2I,NDUFV2,DCTN2,COX4I1,POLR2E,PPARGC1A","Down"
"5","KEGG_ALZHEIMERS_DISEASE",3.01364109945302e-07,1.10901992459871e-05,0.674962860011025,-0.585261675480688,-1.77757941513344,138,"COX6C,ADAM10,NDUFB2,NDUFB1,NDUFA5,COX7C,CYCS,GNAQ,APP,UQCRQ,CAPN2,BACE2,UQCR11,CASP7,NDUFA1,NDUFA4,UQCRC2,NDUFC1,APAF1,NDUFB9,COX5A,EIF2AK3,COX6B1,COX7A2L,NDUFB4,COX6A1,NDUFA6,SDHC,NDUFA3,NDUFA2,APH1A,NDUFB8,BID,IDE,ATF6,NDUFB5,UQCRB,PPP3CA,COX5B,UQCRFS1,CASP3,NDUFS1,NDUFB6,COX7A2,COX7B,CHP1,NDUFA7,UQCR10,PSEN1,NAE1,GAPDH,NDUFAB1,PPP3CB,SDHD,UQCRC1,ADAM17,FADD,GSK3B,PLCB4,HSD17B10,NDUFA8,NDUFB3,NDUFS2","Down"
"6","KEGG_LYSOSOME",3.01425508461015e-06,9.24371559280445e-05,0.627256739718528,-0.579687517526574,-1.74711616258243,116,"CTSE,LAPTM4B,LGMN,AP1S3,GALC,LAPTM4A,GNS,CLTC,CD164,CTSC,CTSB,IDS,HGSNAT,CLTA,CTSS,LAMP1,NPC2,HEXB,CD63,SCARB2,PPT1,LIPA,LAMP2,SORT1,ATP6V1H,GUSB,SLC11A2,SUMF1,HYAL1,AP3S1,FUCA1,AP3M1,CTSA,PSAP,CTSK,NAGA,ASAH1,ATP6V0B,MFSD8,AP1M2,CTSO,ATP6AP1","Down"
"7","KEGG_SPLICEOSOME",3.67702573988002e-06,9.66532480197033e-05,0.627256739718528,-0.576990946452028,-1.73898898584419,116,"SNRPG,HNRNPK,SNRPE,HNRNPM,HNRNPC,SMNDC1,DHX15,HNRNPA1,SRSF1,SNRPB,BCAS2,LSM4,TCERG1,SNRPA1,SF3A3,SNRNP27,LSM5,SRSF7,RBM22,SF3B1,SNRPF,SRSF10,SRSF3,SF3A1,TRA2A,DDX42,SYF2,LSM3,DDX46,SNRPD1,ZMAT2,LSM6,U2SURP,HNRNPA3,SNW1,PPIL1,SRSF8,HNRNPU,AQR,SNRPD2,SRSF4,EIF4A3,LSM7,RBM25,SNRPD3,SNU13,PRPF38B,PPIH,SLU7","Down"
"8","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",1.4863883723614e-05,0.000341869325643121,0.593325476396405,-0.663730755497713,-1.86822996646569,51,"CDH1,EZR,YWHAZ,TUBB2A,NCK1,ACTB,WASL,OCLN,ITGB1,YWHAQ,ARPC2,RHOA,KRT18,ARPC5L,NCL,CTTN,CTNNB1,CDC42,CLDN1,ARPC3,TUBA1B,ROCK2","Down"
"9","KEGG_TIGHT_JUNCTION",9.85620934908441e-05,0.00183990528687129,0.538434096309916,-0.53296237109934,-1.6123831642181,128,"CLDN18,CLDN23,PRKCI,PPP2CB,F11R,TJP2,CTNNA1,KRAS,ACTB,PATJ,GNAI3,OCLN,MYL12B,RRAS2,MYL12A,ACTN1,ASH1L,TJP1,EPB41,RHOA,CGN,PARD6B,CLDN2,TJP3,CTTN,CTNNB1,CDC42,CASK,EXOC4,MAGI3,CLDN1,VAPA,PPP2R2A,CLDN4,YES1,MAGI1,MYH11,MYH14,PPP2CA,RAB13,LLGL2,EPB41L1,NRAS,CSNK2A1,CLDN7,MYH10,CRB3,PRKCZ,MYH9","Down"
"10","KEGG_PROTEIN_EXPORT",9.99948525473525e-05,0.00183990528687129,0.538434096309916,-0.742189138610397,-1.86811463191918,23,"SPCS1,SRP9,SPCS2,SEC61B,SRPRB,SEC62,SEC61G,SRP72,SPCS3,SRP14,SRP54,SEC11A,SRP19,IMMP1L,SRP68","Down"
