"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.0397739807582205,0.103553940194137,0.321775918075361,0.318360174505414,1.31111733329787,97,"CFTR,ABCB9,VCP,DERL2,ABCG1,ABCB8,ABCA7,DERL3,ABCA2,ABCA8,PSMD2,ABCG5,PSMA3,PSMB1,PSMA1,PSMD4,PSMD3,ABCC11,ABCC4,PSMD11,ABCC9,PSMD13,ABCG8,PSME3,SEL1L,EIF2S3,PSMB2,ABCA4,UBA52,EIF2S2,ABCB5,ERLIN2,ABCA3,PSMB7,UBB,ABCB7,RNF5,PSMC2,APOA1,KCNJ11,PSMC5,ABCA6","Up"
"2","REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.0568147027577926,0.133257808654939,0.321775918075361,0.525466711519352,1.49148311107134,17,"ABCG1,ABCA7,ABCA2,ABCG5,ABCG8,ABCA3,APOA1,ABCA6,PEX3","Up"
"3","REACTOME_ABC_TRANSPORTER_DISORDERS",0.129166666666667,0.232729692200879,0.257206466468838,0.311512354789122,1.21502505874782,73,"CFTR,VCP,DERL2,DERL3,PSMD2,ABCG5,PSMA3,PSMB1,PSMA1,ABCC8,PSMD4,PSMD3,PSMD11,ABCC9,PSMD13,ABCB11,ABCG8,PSME3,LMBRD1,SEL1L,PSMB2,UBA52,ERLIN2,ABCA3,ABCA1,PSMB7,UBB,RNF5,PSMC2,APOA1,KCNJ11,PSMC5","Up"
"4","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.126984126984127,0.229669932911828,0.204294756516886,0.456627598565443,1.32577851433,19,"ANAPC5,CDC27,ANAPC15,FZR1,ANAPC16,ANAPC11","Up"
"5","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.0263448149679378,0.0758297089148694,0.352487857583619,0.56389876762189,1.60056854187806,17,"CDK6,CCNE1,CCND2,CDKN1C,TFDP2,E2F1","Up"
"6","REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS",0.0364850605695786,0.0968720502581716,0.321775918075361,0.605522155884428,1.62372454576725,13,"CHRNB2,CHRNA4,CHRNA1,CHRNA2,CHRNA3,CHRND,CHRNE,CHRNB4,CHRNB3","Up"
"7","REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS",0.0635593220338983,0.143231021222048,0.261663521711573,0.748865823488752,1.47136783238519,5,"KCNMB1,KCNN2,KCNMA1,CHRNA10","Up"
"8","REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION",0.0898345153664303,0.179780765204709,0.231126709673834,0.572609073408983,1.41377625723126,10,"GNAQ,PLCB1,CHRM3,PLCB2,PRKCA,GNA15","Up"
"9","REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING",0.0847457627118644,0.173260396700622,0.224966093540314,0.725614155743173,1.42568307164826,5,"IZUMO2,IZUMO4,ACR","Up"
"10","REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.0294120988319166,0.0818755484784667,0.352487857583619,0.465037885393924,1.5147378705947,30,"DTX1,DLK1,NOTCH1,MIB2,JAG1,DLL4,NCSTN,PSEN2,JAG2,APH1B,ARRB1,PSEN1,UBA52,ARRB2,NEURL1,UBB,ITCH","Up"
"11","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3",0.0643324472814638,0.144366677372211,0.287805130535564,0.607157693775901,1.49907706971063,10,"PTPN11,HRAS,GRB2,NTRK2,KRAS,BDNF","Up"
"12","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN",0.126086956521739,0.228461613787701,0.184706471207739,0.62710166661556,1.38799500902094,7,"FYN,SRC,NTRK2,GRIN2B,BDNF","Up"
"13","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K",0.143790849673203,0.249309781383818,0.172324344900946,0.629467458581329,1.32105571711482,6,"GRB2,NTRK2,PIK3R1,BDNF","Up"
"14","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS",0.0671140939597315,0.148333210413747,0.261663521711573,0.646674724391021,1.49551215902227,8,"SHC1,HRAS,GRB2,NTRK2,KRAS,BDNF","Up"
"15","REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS",0.0782997762863535,0.164042109433259,0.241339976815091,0.622950026905921,1.44064597634982,8,"SHC1,HRAS,GRB2,KRAS","Up"
"16","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",0.00374539993735981,0.0181847402778159,0.431707695803346,0.825088087807593,1.82620810762673,7,"AR,KLK3,KDM4C,KLK2","Up"
"17","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.00684124134309349,0.028224505951378,0.407017918923954,0.593053810428885,1.77271114246538,21,"MAPKAPK2,MAPK11,TAB2,NOD1,IKBKG,MAP3K7,IRAK2,MAP2K6,UBE2N,NOD2,IRAK1,MAPK14,UBA52,UBB,TAB3","Up"
