"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.000268187271419977,0.00382107528306339,0.49849310876659,-0.55200611627243,-1.65231866917935,97,"ABCG1,ABCC3,DERL1,PSMA2,PSMF1,PSMA5,ERLEC1,EIF2S3,ABCD3,UBC,ERLIN2,ABCC1,PSMA1,PSMB4,PSMC2,ERLIN1,PSME4,ABCC5,UBB,ABCC10,PSMD14,PSMD10,PSMD5,PSME1,UBA52,PSMD7,PSMB1,PSMB8,RPS27A,ABCF1,PSMD1,SEL1L,PSMD12,PSMD6,PSMA4,EIF2S2,PEX19,PSMD9,EIF2S1,PSMC5,PSMB7,PSMB10,PSMC1,OS9,PSMB5,PSMB6","Down"
"2","REACTOME_ABC_TRANSPORTER_DISORDERS",0.00226391903454533,0.0194914954311122,0.431707695803346,-0.557724865211981,-1.64624926409528,73,"DERL1,PSMA2,PSMF1,PSMA5,ERLEC1,UBC,ERLIN2,PSMA1,PSMB4,PSMC2,ERLIN1,PSME4,UBB,PSMD14,PSMD10,PSMD5,PSME1,UBA52,PSMD7,PSMB1,PSMB8,RPS27A,PSMD1,SEL1L,PSMD12,PSMD6,PSMA4,LMBRD1,PSMD9,PSMC5,PSMB7,PSMB10,PSMC1,OS9,PSMB5,PSMB6,ABCC2,PSMC4,PSMA7,PSMA3","Down"
"3","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.048689138576779,0.158299576125155,0.227987202850442,-0.61617240904699,-1.51270902406575,19,"RB1,UBE2E1,ANAPC16,SKP2,ANAPC10,CDC16,CDC26,CDC23,UBE2D1,UBE2C,ANAPC7","Down"
"4","REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",0.0528541226215645,0.166150670794634,0.199915231309662,-0.477896447328924,-1.38335795218369,61,"HOXA3,HOXC4,POLR2K,PBX1,POLR2B,YY1,JUN,NCOA3,KMT2C,RBBP7,NCOA6,CNOT6,NCOR1,POLR2C,CREBBP,HOXA1,CNOT9,RBBP4,POLR2H,POLR2L,EGR2,EED,POLR2I,POLR2E,HOXB2,CTCF,EP300","Down"
"5","REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.0749014454664915,0.2066940020225,0.186432558434075,-0.610292417100875,-1.42758504824758,15,"YWHAZ,SFN,YWHAQ,YWHAB,BID,YWHAG,YWHAE","Down"
"6","REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.058411214953271,0.176770782095425,0.199915231309662,-0.551534966795259,-1.44293328658905,29,"YWHAZ,SFN,YWHAQ,YWHAB,BID,BCL2L11,PPP1R13B,DYNLL1,YWHAG,TFDP1,YWHAE,TFDP2,DYNLL2,TP53BP2","Down"
"7","REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",0.00622208585197518,0.0413948686846283,0.407017918923954,-0.864322931083145,-1.66541426085257,6,"CYCS,CASP7,XIAP,APAF1,CASP3","Down"
"8","REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",0.0010270997544951,0.0105315220209566,0.45505986738723,-0.631247955019954,-1.75041928198021,41,"NCOA2,SCD,FDFT1,HMGCR,FDPS,ELOVL6,HMGCS1,TGS1,CHD9,IDI1,NFYB,SC5D,TBL1XR1,NCOA6,GGPS1,PPARA,CREBBP,MTF1,SP1,SREBF1","Down"
"9","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",1.17975768903875e-08,6.54968923914619e-07,0.747739663149885,-0.743503767536552,-2.11691693437174,52,"RPS16,RPS23,PABPC1,RPS21,RPS11,RPS15,RPS19,RPS15A,EIF3E,RPS18,EIF4E,EIF3H,RPS27,RPS12,EIF3K,EIF2S3,RPS10,RPS27L,RPS3,RPS29,RPS7,EIF3M,RPS25,RPS17,RPS4X,RPS24,EIF4H,EIF3L,EIF3J,RPS9,EIF3A,EIF3F,EIF4B,RPS27A,EIF3C","Down"
"10","REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",0.062807881773399,0.185202728306177,0.197822021315103,-0.591510403332141,-1.47292798486049,21,"PLBD1,LPCAT4,PNPLA8,PLA2G4A,PLA2G12A,MBOAT1","Down"
"11","REACTOME_ACYL_CHAIN_REMODELLING_OF_PG",0.055198973042362,0.170249706126825,0.216542836735348,-0.619817515564328,-1.46924776237993,16,"LPCAT4,CRLS1,PLA2G4A,PLA2G12A,LPGAT1","Down"
"12","REACTOME_ADAPTIVE_IMMUNE_SYSTEM",4.72192602845678e-08,2.23597085465159e-06,0.719512826338911,-0.455731086257291,-1.42783258673364,731,"CTSE,HLA-DQB1,LGMN,CDH1,AP1S3,SH3RF1,YWHAZ,RAC1,COL3A1,PPP2CB,COL1A2,SNAP23,SEC31A,RAP1B,UBR1,BTNL9,PPIA,RAB7A,WWP1,B2M,FBXL5,RNF19A,CAPZA2,PIK3CB,HLA-B,PTPRJ,UBE2E1,TUBB2A,UBE2K,CLTC,HMGB1,BLNK,KIF5B,XDH,SEC61B,LNX1,PAG1,KRAS,CTSC,HLA-E,CTSB,NCK1,ITGB5,RASGRP1,LYN,PJA2,HLA-C,UBE2D3,DCTN4,UBE2A,BCL10,SKP1,HECTD1,UBE2H,ANAPC13,RNF7,HLA-DPA1,UBE2B,PSMA2,CLTA,MKRN1,CTSS,IKBKB,PSMF1,UBE3C,UBA6,CUL3,ITGB1,AHCYL1,IFITM1,SH3KBP1,SIAH1,PPP2R5C,SEC61G,PSMA5,LMO7,MYLIP,RNF114,CALR,UBE4A,UBE2W,RCHY1,DYNC1I2,FBXO9,HLA-A,MYD88,UBR2,SAR1B,ERAP2,CXADR,RAP1GAP2,HERC4,PIK3R1,LNPEP,RNF6,UBA3,UBE2J1,YWHAB,UBC,KLHL3,PPL,RBX1,PAK1,DYNC1H1,CDC42,PPP3CA,SEC23A,ITGAV,PSMA1,HERC6,RNF138,PSMB4,PSMC2,WSB1,ERAP1,PAK2,BTBD1,RBCK1,RNF220,SKP2,RBBP6,PPP2R5A,PPP2R5E,RICTOR,ACTR10,SYK,FBXW7,DYNC1LI2,UBE2D2,PSME4,UBE2G1,CTSA,DYNLL1,UBB,FBXL14,HLA-F,KLHL2,PSMD14,PSMD10,KLC1,CTSK,TUBA1B,TRIP12,PSMD5,YES1,ANAPC10,SOS1,PSME1,UBA52,CAPZB,ARIH2,SOCS3,SEC13,HLA-DPB1,UBE2N,CDC16,PPP2CA,PSMD7,UBA5,KIF2A,AP1M2,NPEPPS,PDIA3,CAPZA1,RNF111,PSMB1,PPP3CB,CDC26,CTSO,ZNRF1,CDC23,SEC22B,SEC24D,VAMP8,FBXO32,PSMB8,CD81,RPS27A,UBE2V2,UBE2D1,KIF3B,SEC24B,VAMP3,ZNRF2,DTX3L,RACGAP1,FBXL20,PSMD1,PSMD12,TRIM4,RELA,NRAS,BTNL8,TUBA1C,FBXO4,FBXO31,CTSH,HERC2,PSMD6,SEC24A,FBXW11,PSMA4,GAN,BTN2A1,RAF1,RNF4,PRKG1,DYNLL2,REL,FBXO11,TUBA4A,AREL1,PJA1,AP2B1,RNF14","Down"
"13","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",0.0916473317865429,0.234657420494361,0.156312403073186,-0.514050799424227,-1.36299742900662,31,"CDH1,CTNNA1,CDH17,ACTB,CDH11,CTNNB1,ANG,NECTIN3,CDH3","Down"
"14","REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION",0.0317549282080442,0.129431479531522,0.321775918075361,0.245034708467684,1.22733808586855,127,"GCG,GPR27,ADCY3,GHRHR,PTH1R,HTR4,GNAZ,GPR45,GPR150,GNAS,GNB4,HTR6,VIPR2,PRKAR2A,IL6,GNAI2,ADCY4,GNG7,POMC,DRD5,GNG2,ADRB1,ADCY5,ADCY1,PTGIR,HRH2,GLP1R,ADCY7,GNG4,PTGDR,PTHLH,RXFP1,GNB3,CYSLTR2,ADCYAP1R1,CALCRL,MC2R,INSL3,AVPR2,GPBAR1,GPHA2,SCTR,FSHB,PRKAR1B,GNG3,HTR7,CGA,GPR32,ADCY2,GIP,GPR39,MC3R,CRH,GPR83,GNGT2,TSHB,RLN3,GPR20,GNG8,GPR176,GPR84","Up"
"15","REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING",0.00837787031117136,0.0518415058128293,0.380730400722792,-0.749271699079232,-1.66728869607051,12,"CAPZA2,LGALS3,HMGB1,APP","Down"
"16","REACTOME_AGGREPHAGY",0.0109811510522361,0.0635958747989215,0.380730400722792,-0.589377913620155,-1.61804346371665,37,"HSP90AA1,TUBB2A,DYNC1I2,PARK7,UBC,DYNC1H1,DYNC1LI2,DYNLL1,UBB,TUBA1B,UBA52,UBE2N,RPS27A,TUBA1C,DYNLL2,TUBA4A","Down"
"17","REACTOME_ALK_MUTANTS_BIND_TKIS",0.0354841333637327,0.136184210526316,0.321775918075361,-0.695293600154799,-1.54717595955226,12,"PPM1B,CLTC,STRN,PRKAR1A,EIF2AK3,BIRC6","Down"
"18","REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM",0.0024117872063876,0.020436723169916,0.431707695803346,-0.787201310033927,-1.71022513444958,11,"ACSL1,SCP2,HSD17B4,ACAA1,ELOVL5,ACOX1","Down"
"19","REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY",0.074792243767313,0.2066940020225,0.191892240384838,-0.658977312325994,-1.43165356587551,11,"TAB3,UBC,UBB,UBA52,RPS27A,ALPK1,TIFA,TRAF6","Down"
"20","REACTOME_AMINO_ACIDS_REGULATE_MTORC1",0.0104917749800737,0.0614245735197041,0.380730400722792,-0.555383995743592,-1.5751182981604,51,"LAMTOR5,RHEB,LAMTOR3,ATP6V0E1,FNIP2,ATP6V1A,SEH1L,ATP6V1C1,ATP6V1E1,ATP6V1G1,RRAGC,ATP6V1H,FNIP1,SLC38A9,ATP6V1D,SH3BP4,SEC13,ATP6V0B","Down"
"21","REACTOME_AMYLOID_FIBER_FORMATION",0.0155404599582599,0.0817651651398642,0.380730400722792,-0.544480142226744,-1.54081343423145,49,"LYZ,ITM2B,ADAM10,SORL1,B2M,APP,SIAH1,APH1A,UBC,USP9X,UBB,UBA52,TSPAN15,ODAM,RPS27A,CST3","Down"
"22","REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",0.00103633599264349,0.0105315220209566,0.45505986738723,-0.699299263858726,-1.78651982450349,25,"SEC31A,B2M,HLA-B,HLA-E,HLA-C,CALR,HLA-A,SAR1B,ERAP2,SEC23A,ERAP1,HLA-F,SEC13,PDIA3,SEC24D,SEC24B,SEC24A","Down"
"23","REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",8.2469229612217e-05,0.00152615470891574,0.538434096309916,-0.572710082567986,-1.71822309293581,102,"SNAP23,B2M,HLA-B,HMGB1,SEC61B,HLA-E,ITGB5,HLA-C,PSMA2,CTSS,IKBKB,PSMF1,SEC61G,PSMA5,CALR,HLA-A,MYD88,LNPEP,UBC,ITGAV,PSMA1,PSMB4,PSMC2,PSME4,UBB,HLA-F,PSMD14,PSMD10,PSMD5,PSME1,UBA52,PSMD7,PDIA3,PSMB1,SEC22B,VAMP8,PSMB8,RPS27A,VAMP3,PSMD1,PSMD12,PSMD6,PSMA4","Down"
"24","REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",1.38244512953892e-05,0.000377243501450451,0.593325476396405,-0.489172637613029,-1.51396902075205,290,"SH3RF1,UBR1,WWP1,FBXL5,RNF19A,UBE2E1,UBE2K,LNX1,PJA2,UBE2D3,UBE2A,SKP1,HECTD1,UBE2H,ANAPC13,RNF7,UBE2B,PSMA2,MKRN1,PSMF1,UBE3C,UBA6,CUL3,SIAH1,PSMA5,LMO7,MYLIP,RNF114,UBE4A,UBE2W,RCHY1,FBXO9,UBR2,HERC4,LNPEP,RNF6,UBA3,UBE2J1,UBC,KLHL3,RBX1,PSMA1,HERC6,RNF138,PSMB4,PSMC2,WSB1,BTBD1,RBCK1,RNF220,SKP2,RBBP6,FBXW7,UBE2D2,PSME4,UBE2G1,UBB,FBXL14,KLHL2,PSMD14,PSMD10,TRIP12,PSMD5,ANAPC10,PSME1,UBA52,ARIH2,SOCS3,UBE2N,CDC16,PSMD7,UBA5,NPEPPS,RNF111,PSMB1,CDC26,ZNRF1,CDC23,FBXO32,PSMB8,RPS27A,UBE2V2,UBE2D1,ZNRF2,DTX3L,FBXL20,PSMD1,PSMD12,TRIM4,FBXO4,FBXO31,HERC2,PSMD6,FBXW11,PSMA4,GAN,RNF4,FBXO11,AREL1,PJA1,RNF14,HECTD3,SPSB1,UBE2Q2,PSMD9,FBXO7,UBE2C,CDC20,UBE2D4,PSMC5,PSMB7,KBTBD7,PSMB10,FBXO21,ANAPC7,UBE2E3,SMURF2","Down"
"25","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",3.54066475462118e-05,0.000802883134498606,0.557332238758646,-0.605598093320421,-1.79015263273134,77,"EIF4G2,PPM1B,KPNA3,UBE2E1,KPNA2,EIF4E2,NUP153,EIF4E,SEH1L,MX2,NUP133,EIF2AK2,JAK1,UBC,KPNA4,RNASEL,UBB,KPNA1,UBA52,ABCE1,TRIM25,SEC13,UBE2N,NUP58,MX1,NUP54,RPS27A,NUP35,RANBP2,EIF4A3,OAS1,FLNB,PDE12,NDC1,OAS2,NUP107,NUP85,DDX58,ISG15","Down"
"26","REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A",0.0119006254226387,0.0677032047012306,0.380730400722792,-0.633949719246195,-1.61956947433675,25,"UBE2E1,ANAPC16,UBC,MAD2L1,UBB,ANAPC10,UBA52,CDC16,NEK2,CDC26,CDC23,RPS27A,UBE2D1,UBE2C,CDC20,ANAPC7","Down"
"27","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B",0.00475996447956543,0.0342122446968765,0.407017918923954,-0.665713100921123,-1.68420932725773,23,"UBE2E1,ANAPC16,UBC,CDK1,UBB,ANAPC10,UBA52,CDC16,CCNB1,CDC26,CDC23,RPS27A,UBE2D1,UBE2C,CDC20,ANAPC7","Down"
"28","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",7.83499225404119e-05,0.00149403505333716,0.538434096309916,-0.618116711926554,-1.80451841479178,69,"RB1,UBE2E1,ANAPC16,PSMA2,PSMF1,PSMA5,UBC,PSMA1,PSMB4,PSMC2,SKP2,PSME4,UBB,PSMD14,PSMD10,PSMD5,ANAPC10,PSME1,UBA52,CDC16,PSMD7,PSMB1,CDC26,CDC23,PSMB8,RPS27A,UBE2D1,PSMD1,PSMD12,PSMD6,PSMA4,AURKA,PSMD9,UBE2C,CDC20,PSMC5,PSMB7,PSMB10,ANAPC7,PSMC1,PSMB5,PSMB6","Down"
"29","REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",3.29627587275574e-05,0.00078044178752011,0.557332238758646,-0.596962400652411,-1.76604423739892,83,"RB1,UBE2E1,ANAPC16,SKP1,PSMA2,PSMF1,PSMA5,UBC,MAD2L1,PSMA1,PSMB4,PSMC2,SKP2,CDK1,PSME4,UBB,PSMD14,PSMD10,PSMD5,ANAPC10,PSME1,UBA52,CDC16,PSMD7,NEK2,CCNB1,PSMB1,CDC26,CDC23,PSMB8,RPS27A,UBE2D1,PSMD1,CCNA2,PSMD12,PSMD6,PSMA4,AURKA,PSMD9,UBE2C,CDC20,PSMC5,PSMB7,PSMB10,ANAPC7,PSMC1,PSMB5,PSMB6","Down"
"30","REACTOME_APOPTOSIS",3.59757908169897e-07,1.44802558038384e-05,0.674962860011025,-0.570043966413909,-1.73642257740441,164,"CDH1,YWHAZ,TJP2,HMGB2,DSG2,CYCS,HMGB1,STK24,DSP,STK26,SFN,CASP7,XIAP,PTK2,DAPK1,OCLN,APAF1,PSMA2,PSMF1,PSMA5,YWHAQ,TJP1,C1QBP,CASP6,YWHAB,UBC,BID,CTNNB1,APIP,FNTA,BCL2L11,CASP3,PSMA1,PSMB4,PSMC2,TNFRSF10A,CDKN2A,PAK2,PPP1R13B,PSME4,DYNLL1,UBB,ADD1,KPNA1,PSMD14,PSMD10,PSMD5,PSME1,UBA52,YWHAG,PSMD7,MAGED1,PSMB1,TFDP1,YWHAE,PSMB8,TFDP2,APPL1,RPS27A,FADD,PSMD1,PSMD12,PSMD6,CARD8,PSMA4,DFFA,DYNLL2,TP53BP2,AVEN,PSMD9,PSMC5,UACA,PSMB7,PSMB10,YWHAH,PSMC1,LMNB1,RIPK1,PSMB5,PSMB6,OPA1,BIRC2,TICAM1,PPP3R1,DIABLO,PSMC4,BAK1,FAS,PSMA7,PSMA3,GSDMD,MAPK3","Down"
"31","REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION",0.0452488687782805,0.153421002477606,0.261663521711573,-0.74150440921972,-1.47323699350448,7,"HMGB2,HMGB1,CASP3,KPNA1,DFFA","Down"
"32","REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",0.000189128205512834,0.00292785010457368,0.518848077743792,-0.680567943163039,-1.86839120808952,37,"CDH1,TJP2,DSG2,STK24,DSP,STK26,CASP7,PTK2,OCLN,TJP1,CASP6,CTNNB1,FNTA,CASP3,ADD1","Down"
"33","REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS",0.000135283981508901,0.00222252255336052,0.518848077743792,-0.85717677443386,-1.86224952323825,11,"CDH1,TJP2,DSG2,DSP,OCLN,TJP1,CTNNB1,CASP3","Down"
"34","REACTOME_APOPTOTIC_EXECUTION_PHASE",1.24988771001132e-05,0.00034695158846866,0.593325476396405,-0.684996708649514,-1.91817303125612,45,"CDH1,TJP2,HMGB2,DSG2,HMGB1,STK24,DSP,STK26,CASP7,PTK2,OCLN,TJP1,CASP6,CTNNB1,FNTA,CASP3,PAK2,ADD1,KPNA1","Down"
"35","REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE",0.00593063084679234,0.0399511115620739,0.407017918923954,-0.68775295639683,-1.6677016555089,18,"CYCS,CASP7,XIAP,APAF1,C1QBP,APIP,CASP3,CDKN2A,CARD8,AVEN,UACA,DIABLO,BAK1,GSDMD,MAPK3","Down"
"36","REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING",0.0414982113855452,0.146517807742824,0.321775918075361,-0.761934111222922,-1.51382716718809,7,"AHR,PTGES3","Down"
"37","REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",6.52271214690892e-09,3.75055948447263e-07,0.761460801445585,-0.537629905591421,-1.66377620085654,287,"ST6GALNAC1,CD55,GFPT1,SPTBN1,RAB1A,B4GALT4,SEC31A,RNF103,SERPINA1,B4GALT5,ANK3,CAPZA2,USO1,TUBB2A,DPM1,CD59,SRD5A3,ARF4,SLC35A1,CTSC,UAP1,ARFGAP3,MAGT1,GNE,DCTN4,TGFA,DERL1,MAN2A1,NANS,ANKRD28,MGAT2,ST6GAL1,GMDS,KDELR2,ALG5,EDEM3,CALR,TMED10,DYNC1I2,SAR1B,F5,GOLGB1,DPM3,TMED2,FUT8,DAD1,UBC,TRIM13,PPP6C,DYNC1H1,RPN1,MGAT4B,SEC23A,COG5,STX17,GOSR1,FUCA1,ACTR10,CNIH1,RPN2,GNPNAT1,DYNC1LI2,CTSA,DYNLL1,UBB,KDELR3,SEC23IP,RNF139,TUBA1B,UBA52,CSNK1D,CAPZB,SEC13,ENGASE,GOSR2,RAD23B,COPB2,PDIA3,MAN1A1,SEC22A,CAPZA1,TRAPPC9,DHDDS,SEC22B,SEC24D,COPZ1,RPS27A,ST6GALNAC2,SEC24B,COPB1,SEL1L,ARCN1,NAPG,TUBA1C,FUT3,SEC24A,BET1,DYNLL2,COPG1,TUBA4A,KDELR1,DDOST,PREB,MIA3,PPP6R3,SLC35C1,TMED9,MAN2A2,COG2,TRAPPC3,TRAPPC6B,AMFR,DCTN2,NGLY1,DCTN6,SCFD1,NANP,YKT6,PSMC1","Down"
"38","REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES",0.0454545454545455,0.153421002477606,0.216542836735348,-0.486209113789592,-1.40742047308437,61,"COL3A1,COL11A1,COL1A2,COL12A1,COL4A1,COL8A1,MMP7,CTSB,COL5A2,CTSS,COL6A3,LAMB3,COL4A2,PXDN,ITGA6,COL5A1","Down"
