"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","AKT_UP.V1_DN",1.54446567264526e-09,1.49283801052554e-08,0.788186810800237,0.469935323326536,2.10748963418131,181,"PDLIM4,FBXO32,EFEMP2,C1R,GALNT16,ZC3H12C,MSRB2,PNLIPRP1,FAM20C,ADGRL1,S1PR3,TSPAN4,UPB1,LIMD1,SATB1,ZNF771,ZNF385A,GRAMD1A,KRT5,FMO2,ACKR3,EFEMP1,AQP5,SLC7A5,ANGPTL4,DPT,CNN2,TP53I13,FUT10,MERTK,CSDC2,SASH1,ISLR,TCF3,HPS1,RCE1,TPD52L1,NID1,CD248,GNMT,PLPP3,GATAD2B,RXRB,PDE4B,SMARCD3,HIC1,IL17RC,AXIN2,GSTA4,CBS,ZEB1,PHF1,IFFO1,CELA1,PDGFRA,SLCO3A1,SIRT3,POLI,PM20D1,LPL,SCARA3,SERPINF2,SPCS3,RPS6KB2,FMO3,NCAM1,FHOD3,NT5DC3,SCARA5,SLC22A12,SLC39A13,CHAD,MEPE,TCF21,ALPL,RORC,OGN,SIX5,SLIT3,CDH16,TNS2,LTC4S,IRS1,RPAP3,ESR2,ITPKB,PKP1,EXOSC1,PTGIS,STAT5A,EIF4E3,C1S,FKBP11,CHST12,PLTP","Up"
"2","AKT_UP_MTOR_DN.V1_DN",1.12382810996295e-09,1.1800195154611e-08,0.788186810800237,0.471814599039791,2.12109019865436,175,"VCAN,CAMKK2,C1R,TIPIN,GALNT16,ITGA6,SARS2,MSRB2,TYMP,PNLIPRP1,FAM20C,MSX1,S1PR3,TSPAN4,LIMD1,SATB1,JPH3,ZNF771,PMPCB,BDH1,EFEMP1,AQP5,SLC7A5,ANGPTL4,DPT,STAB1,TP53I13,MERTK,SASH1,NID1,CD248,GNMT,PLPP3,GATAD2B,ITSN1,ISYNA1,SMARCD3,HIC1,IL17RC,ACY1,WEE1,ADORA1,GSTA4,BMP7,CBS,SFRP5,CELA1,RGS19,RTN1,SLCO3A1,POLI,PSAT1,KRBA1,LPL,CPLX2,LANCL2,SERPINF2,MYO1G,SPCS3,CBY1,RPS6KB2,FEZ2,FMO3,ITLN1,SLC22A12,VPS33B,CHAD,MEPE","Up"
"3","ALK_DN.V1_DN",0.00910918453068824,0.0119558046965283,0.380730400722792,0.331134947685396,1.42342572355998,132,"OLFM4,CEACAM7,CAMK2A,SLA,CST4,CTRC,LDLRAD4,USP46,GRM2,NMNAT2,CMKLR1,CEP41,UNC93B1,VAV2,TEX13A,PRDM14,PRELID3A,P2RX2,OPRD1,GPR45,DIO2,MTHFR,HSPA1L,HPX,PROZ,KAZN,GRB7,KCNC3,NDRG2,FGL2,SLC28A2,AQP3,SEMA7A,DNASE1L2,DOK3,DLGAP2,RHO,PAX1,ATP2C2,STUB1,ADCY2,UTY,TIAM1,PPP2R1A,CASQ2,OR10J1,SERPINI2,SERPINF2,ITIH2,MYL10,INPP5D","Up"
"4","ALK_DN.V1_UP",2.17917463541328e-11,4.12817386821572e-10,0.863415391606693,0.552247080731144,2.39217059534073,134,"SPP1,CSTA,CFTR,TBX2,VNN2,CTRB2,SLC1A3,AIF1,STC2,CHI3L1,PRDM1,SCN9A,ARHGAP4,LYL1,CHAC1,CCL20,TREM1,BMPR1B,IL6,FMO1,FLVCR2,GDF5,SLC1A5,SLC7A5,ANGPTL4,ANGPT2,ENTPD3,PYY2,MRAS,GRM1,DDIT4,TDO2,ADAM12,BST1,RBM17,SLAMF7,FOXP3,VSTM4,CCR7,MT1H,FGF21,CCL19,VEGFA,CBS,SLC12A8,FJX1,ENPP2,IGLL1,OPRPN,NOD2,PSAT1,CCNK,THAP3,SCGB1D1,CTH,BEGAIN","Up"
"5","ATF2_S_UP.V1_DN",0.000552143389276777,0.000940136041200998,0.477270815362862,0.350571203598995,1.57572595306152,178,"COL15A1,CSTA,RARRES1,SERPINA3,SNCAIP,CSGALNACT1,CELF2,ATF5,EVC,SLC1A3,CHI3L1,LTBP3,CDIP1,TREM1,BMPR1B,NPIPA1,DAPK1,SFRP4,VASH1,CPTP,SDC3,VAV2,EFEMP1,ANGPTL4,PADI2,SERPING1,STXBP2,NPFF,TLE3,TNNT2,TNFAIP6,SORBS1,ABCA8,PNMA2,OSGEPL1,CLDN14,SBNO2,CCL2,PID1,C1RL,AIRE,COL16A1,NDUFA4L2,ENO2,ID4,CLMN,SLC12A8,ADAM22,SLC39A8,SLC4A2,HCRTR2,SVEP1,NFIB,ADH1B,PDE4DIP,COBLL1,ADARB1,PLXNB1,TENM4,GLRA2,IQCG","Up"
"6","ATF2_S_UP.V1_UP",2.82177463174574e-06,8.74287549835977e-06,0.627256739718528,0.399902083442146,1.80634767248904,188,"MAP1B,TOP2A,KIF23,GPER1,RELN,ITGA6,HSPA6,DDX6,PLEKHA2,FSD1,PTGDS,POMT2,USP9Y,ARHGAP22,CEP41,PLAU,CD8A,SPDEF,PML,MYO7A,TNFSF4,MRAS,DYSF,FOXG1,TK1,ALX3,ANKRD11,C3AR1,ITGA8,TNFSF18,NFE2L3,CD24,FAM107A,CUBN,LAS1L,DLEC1,CST5,ARNTL,SLC9A2,STEAP1B,RDH16,TRPC4,SLCO1B1,C1orf115,TNFRSF13B,PMEL,ATP2B2,FOXH1,LHX2,UPP1,PAX1,KLHL1,ZNF324B,MMP8,PIR,NIPAL3,HSD3B1,ADAMTSL4,HOXD10,SSPN,CDKN3,S100A9,B3GALT2,LHX6,GNA15,ASB4,COQ4,IL17RB,MAS1,PCNT,INSL6,SYNGR3,RPL39L,N6AMT1,CLCN2,RSPH6A,FOXM1,GALR2,ANGPTL3,KCNB1,APOL6,SEMA5A,FANCF,NNAT,SLC13A3,BAALC","Up"
"7","ATF2_UP.V1_DN",0.0568317145939853,0.0675546796117184,0.321775918075361,0.276737774071377,1.24185794620106,170,"RARRES1,GOLGA8A,SERPINA3,PTX3,SNCAIP,CSGALNACT1,CELF2,EVC,CHI3L1,REV3L,TREM1,POGZ,NPIPA1,SLC25A28,SFRP4,TP73-AS1,SDC3,SCD,EFEMP1,CDH13,STXBP2,CFH,ABCA8,PC,PNMA2,GUCA1B,NUP58,CCL2,CDK5RAP2,PID1,BHLHE40,C1RL,AIRE,PDPN,NDUFA4L2,ID4","Up"
"8","ATF2_UP.V1_UP",2.08538634512919e-07,8.75862264954262e-07,0.690132458796796,0.423702852887823,1.91268362129918,182,"TCIRG1,STRA6,PTGER1,ABCB9,HSPA6,FSD1,DTL,MAP2,DIP2A,CBX5,TSPAN32,ARHGAP22,CEP41,PLAU,CNTN5,GUCA1A,GRAP,CD8A,G0S2,FOXG1,AKAP4,CD3D,TK1,ALX3,ANKRD11,FGR,C3AR1,ITGA8,ISLR,NEDD9,TNFSF18,APOD,PTDSS2,LAS1L,CST5,NES,TRIM14,BRAP,STEAP1B,ICAM2,GINS2,ADM2,TNFRSF13B,ASPN,C2CD2L,APBA1,SLC5A2,DGKZ,UPP1,PAX1,ZNF324B,PAFAH1B3,NCAPG,HSD3B1,SCUBE3,PLXNB3,NEO1,FABP4,PELP1,DENND2A,NEUROG1,KRT7,PRMT8,NRXN2,GNA15,ADAM28,TRIM9,KCNAB3,FRMD1,MAS1,CLDN15,LIG1,PCDH1,SMARCAL1,DCAF4,VIPR2,PCP4,RSPH6A,FOXM1,SPRR2C,GALR2,LTB,EMILIN2,LIPE,STAT5A,RBP1,LILRA5,FANCF,ANKRD34C,GINS3,NNAT,BAALC,KRT81,LRTM1,NFKBIL1,KCNK3,AMELY,DNAJC15,KIR2DS1,COL2A1,IL32,HOXD1,GZMK,PACS1","Up"
"9","ATM_DN.V1_DN",0.000717781323272036,0.00116948853533116,0.477270815362862,0.361988069940251,1.5536371127416,141,"FMO5,PTPN11,GPR68,ZFP36L1,RDX,CTRC,OPCML,KCNIP2,CLCN4,CD14,ACVRL1,CYBB,TSPAN32,CLEC4E,MRAS,NLGN3,KCNG1,ALX3,CFH,ADCY10,IL21,SSX3,FER,ST3GAL1,NEUROD1,AP4S1,CSF2RB,DSG3,NTRK2,TCAP,LILRA2,WNT2,TLR7,CRYBA1,PMEL,XIAP,DNAH9,PRDM11,PAX1,LPAR3,PPARGC1A,ITGB4,PI15,TAGLN,ANGPT4,AVPR1B,SPAG11A,TEK,PPIL2,PLXNB1,CRYGC,F10,HHLA2,SLC24A2,ITPKA,WASL,GPSM2,CYP1A2,STX2,EPHA1,SRD5A2,BMPR2,FCN2,FAM215A,HS3ST3B1,GPR65,RAPGEF4,STK17B,NNAT,MAG,FBXO24,SETD4,KCNE1,SEMA3A,ARSF,RETN,KCNQ4,RASSF9,GRM8,FCN1,GRIN2D","Up"
"10","ATM_DN.V1_UP",8.3123020883734e-08,4.24601376946641e-07,0.704975715167238,0.47079027945131,2.02084205194707,143,"NFIC,NPC1L1,IL24,CD36,CST4,GRIK1,CIITA,TREM1,GHRHR,SIPA1,PIDD1,CCR10,TRAF1,VAV2,SLC7A5,H6PD,SULT1C2,CD8A,APBA2,DYSF,TIAM2,RGS12,SPAG4,DNAI1,PRODH2,ABCA8,CSF3R,ECM2,CLDN14,BCL2L11,ABCG5,IGFBP4,AKAP5,F13A1,VEGFA,P2RY1,PDE6G,SLC5A2,OPRPN,TNNT3,CAV3,FCGR2A,SLCO1B3,CLIC2,IL2,FSTL3,PHKG1,ADARB1,RECQL4,HRK,ENO3,PARVA,ME3,GLRA2,XAF1,EPN1,CEBPE,SYN1,ZNF214,LHPP,SLC22A6,DLX6,SARDH,TAT,BCHE,FLT1,BEST1,GDF2,CYP2C9,REL,NDRG4,N6AMT1,RSPH6A","Up"
