"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","AKT_UP.V1_UP",1.71403537983937e-09,2.37108227544446e-08,0.788186810800237,-0.611076771963841,-1.87166635960155,154,"SPRR1A,TACSTD2,SLC6A14,MAL2,CD55,KCNE3,LGMN,MSMO1,FDFT1,ADAM10,MPZL2,GPX2,SLC6A6,PTPRJ,CXCL16,ERO1A,KLF6,LDLR,PLSCR1,BACE2,PSCA,ATF3,CCNG2,GDE1,SYT17,KCNQ1,SGPL1,GPD2,SGSM3,TOM1L1,CLMN,PLAT,VILL,BID,TMPRSS4,TJP3,IDI1,PDK3,PAK1,GUSB,GCH1,MICU1,C3orf52,ADGRG1,FAM3B,INSIG2,FABP5,UGT8,FLT1,LRG1,CDKN2B,PDK1,PREP","Down"
"2","AKT_UP_MTOR_DN.V1_UP",1.94663445792689e-05,0.000107713773338621,0.575610261071129,-0.529312443739048,-1.62580199736185,167,"TACSTD2,MAL2,CD55,LGMN,ADAM10,MPZL2,SLC44A1,CXCL5,SLC6A6,DUSP1,PTPRJ,CXCL16,KLF6,PLSCR1,BACE2,PSCA,ATF3,GDE1,BCAS2,SYT17,KCNQ1,SGPL1,GPD2,EFNB2,CLMN,PLAT,VILL,TMPRSS4,TJP3,PDK3,PAK1,SPINK4,ZBTB21,GUSB,GCH1,MICU1,C3orf52,ADGRG1","Down"
"3","ATF2_S_UP.V1_DN",0.0961923847695391,0.224900505235824,0.140406238523342,-0.394108085416915,-1.21203026372175,178,"ANXA10,TPD52,COL11A1,SPINT2,GALNT12,ERO1A,ITGBL1,DENND4C,FOS,ABCC3,DAPK1,RGS2,OSMR,CEMIP,SERPINA3,CYP1B1,CLMN,PARD6B,KLHL28,KLHL3,PPL,PTGS2,PLSCR4,GCH1,NFIB,TMEM176A,PTER,A2M,RARRES1,SORBS1","Down"
"4","ATF2_UP.V1_DN",4.75214274601775e-05,0.000246517404949671,0.557332238758646,-0.51491181576936,-1.58224056256327,170,"ANXA10,RNASE4,SCD,PLS1,TPD52,SPINT2,RAB11FIP1,GALNT12,GPRC5B,FRY,ERO1A,ITGBL1,DENND4C,FOS,ABCC3,RBL2,BHLHE40,AFF1,EIF2AK3,CEMIP,SERPINA3,CYP1B1,PLA2G4A,ERAP2,PPP4R2,CYBRD1,PPL,PTGS2,ZNF432,SERPINB9,PLSCR4,SLCO4A1,GCH1,NFIB,GSR,PTER,CTH,DENND2D,RARRES1,STON1,SLC24A3,UBXN2B,IRS2,KCTD12,PIM1,HS2ST1,NUP58,PNMA2,AADAC,DGKD,RPS6KB1,ST6GALNAC2,ARHGEF3,SP1,KCNJ2,POGZ,PLEK2,ACVR2A,CFB,COMP,MYO1D","Down"
"5","BCAT.100_UP.V1_DN",0.0436653366405328,0.115054696544896,0.321775918075361,0.369279585045886,1.45458759823344,32,"SNAI2,EXOC3,FZD4,PMCH,PRELID3A,CHRNA2,GLRA2,TBX5,PIP,IGHM,DSG3,C22orf46","Up"
"6","BCAT_BILD_ET_AL_DN",0.0505494505494506,0.129095519864751,0.208955027549354,-0.521873384415355,-1.4491579520429,43,"SORL1,EFR3A,SRSF1,ANKRD28,ASH1L,ARPC2,PUM1,RIF1,SMAD5,LNPEP,OSBPL10,ISCU,TUG1,ARHGEF18,ATP10D,FRYL,SECISBP2,COPB1,CTBP2,PRPF38B,CLK1,IL1RAP,SMURF2","Down"
"7","BCAT_GDS748_DN",0.0340659340659341,0.092710010184303,0.257206466468838,-0.543943174883072,-1.50514092852069,41,"PBLD,ARL6IP1,SLC35E3,LAP3,VPS13B,DDIT4,PABPC3,BMPR1A,SKP2,RPS6KA5,PDHA1,HSDL2","Down"
"8","BCAT_GDS748_UP",2.25033050945561e-05,0.00012050156921601,0.575610261071129,-0.677856705599914,-1.88143230520337,44,"DDAH1,CA2,SLC39A14,COTL1,FAM3C,PHLDA2,MSX2,MYB,NEDD9,PLEKHB2,CEBPB,GCH1,C3orf52,BAG3,GAD1,UBE2N,KCTD12,LEF1,QPCT,FZD7","Down"
"9","BMI1_DN.V1_DN",0.00020601080719334,0.000924264702543092,0.518848077743792,-0.528566521996283,-1.61432710656732,127,"PLS1,CHMP2B,CA2,ESRP1,CAB39,METTL7A,IDH1,TRIM2,SCNN1A,SH3BGRL,FOS,DYNLT3,LANCL1,DDX60,MSX2,IFITM1,SNX4,IFI27,MSRB2,SUCLG2,WFDC2,SLPI,PRDX2,S100A4,EHHADH,GPD1L,TMEM176A,DOK5,ISOC1,ETFB,TSPO,ARHGAP12,IFI44L,STON1,IFI6,SFXN1,EGR1","Down"
"10","BMI1_DN_MEL18_DN.V1_DN",0.000731785294059347,0.00296283801985004,0.477270815362862,-0.500632135784858,-1.52904222178604,141,"CA2,SPINT2,ESRP1,METTL7A,IDH1,TRIM2,SCNN1A,CXCL14,PROM1,PDLIM5,FOS,DYNLT3,GPR137B,DDX60,IFITM1,DPM3,IFI27,MXRA5,MSRB2,OSBPL10,WFDC2,SLPI,PRDX2,SLC16A4,MIA,S100A4,EHHADH,NUDT9,TMEM176A,DOK5,ETFB,A2M,KLHL2,STON1,OLFM4,IFI6,MAOB,PEG3,TSPAN1,CFAP20,CTSH,SSPN,IRF9,API5,LY6E,CH25H,PIGN,BST2","Down"
