"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN",2.15838514617179e-06,8.04601454203295e-06,0.627256739718528,0.521831784083398,2.07548331148629,81,"YWHAZ,ARF3,PGD,ARID3A,KAT6A,DPP8,MTMR3,LAPTM5,SPEN,WAS,GRK6,TBC1D22A,ADD1,ARHGAP30,FBXL18,AFF4,UBA1,GRK2,UPF1,ACTB,CACNA1S,SORL1,ARAP1,CLASP1,ZAN,RASSF5,IDH3B,KMT2D,FLII,RCSD1,CBL,RABGEF1,SF3B2,STK4,CREBBP,MAST3,SRRM1,ARHGAP1,PRRC2C,ACD,STK24,GALNT10,STX2,VPS8,ANTXR2,ARPC4,SH2D3C","Up"
"2","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_DN",0.000232976236605164,0.000421267663409755,0.518848077743792,0.519098379930065,1.90005943041914,52,"MED1,PMEPA1,SLC25A39,LYL1,FKBP5,EXOG,MEGF10,IGHMBP2,DDIT4,FGF23,TSC22D3,GFRA4,RELL1,IDH3B,PTPN7,ART1,LSP1,HOXB6,KCNJ10,SLC39A13,CRLF2,ATP6AP1L,ITPRIPL1,R3HDM4,SAP30,BDNF,CMTM3","Up"
"3","BUCASAS_PBMC_FLUARIX_FLUVIRIN_CAUCASIAN_MALE_AGE_18_40YO_LOW_RESPONDERS_1DY_POSITIVE_PREDICTIVE_OF_TITER",0.0108285614256968,0.0133598467660801,0.380730400722792,0.836441431998695,1.58960934911316,5,"ITGB1,PRDX2,PTEN,PRDX3","Up"
"4","CAO_BLOOD_FLUMIST_AGE_05_14YO_1DY_DN",0.00331196906341955,0.00449308837487887,0.431707695803346,0.79358647170227,1.76266685817454,8,"PCGF3,RORA,MSRB3,PRDM10,MFSD12,ATP9B","Up"
"5","CAO_BLOOD_FLUZONE_AGE_05_14YO_1DY_UP",0.0214416440804438,0.0252106452315024,0.352487857583619,0.762636655349091,1.53942184958215,6,"FCGR1B,IFIT3,SERPING1,BATF2","Up"
"6","DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_DN",0.0234786200822821,0.0274444606712031,0.352487857583619,0.56321723447723,1.60265761850378,19,"GCLM,OPCML,RCVRN,PDK3,CBS,HGF,APPBP2,ERBB3,RBP1,ARHGAP11A,DHPS,ABCB4,NOTCH3,MOXD1,RBM6","Up"
"7","ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP",8.43374896326035e-09,9.39812197105072e-08,0.747739663149885,0.312635550268979,1.58577625107351,629,"JCHAIN,SMC3,DDX3Y,LDHB,ITGB1,PNISR,LTN1,CCNC,LUC7L3,GOLGA8A,IL7R,ZNF207,HSP90B1,POU2AF1,BCLAF1,ZBTB38,HMGB1,NPM1,SLC38A1,IGHM,TBC1D4,NIFK,PHTF2,MAF,USP47,RECQL,SUB1,SYNCRIP,FYN,PTAR1,BDP1,SREK1,NUCB2,ZC3H15,RPS24,DNAJC10,SACS,COX11,RPS17,SEC11C,PRPF4B,CACYBP,MTDH,TMEM209,HSPD1,UBXN4,U2SURP,GOLGA4,DDX18,CEP57,RWDD1,GLS,SENP6,HNRNPA3,SLC33A1,TBL1XR1,SRP72,DDHD1,RACGAP1,C5orf24,IL6ST,N4BP2L2,PYROXD1,RPS7,TMX3,SLC5A3,PPP4R3B,RORA,PCMTD1,HSPH1,SRSF3,TIFA,FASTKD1,IGKC,GIMAP6,FGFR1OP2,ICE2,VTA1,G3BP1,PRPF40A,MRPS31,SDAD1,MYBL1,COX7A2,RPL24,KRR1,LEF1,ATM,CHMP5,TFRC,CD3D,BCL11B,TRMT11,PIK3C2A,UBA2,UBE3A,SH2D1A,TFAM,CBX3,CREBZF,N4BP2L1,CD52,SLAMF7,MTR,EEA1,MTO1,ANK3,AQP3,PCGF5,PSMA3,BORCS7,PNN,ALG13,CENPK,RRAS2,RCN2,TMEM168,KPNA5,SCOC,UBA6,SLC30A1,ZNF721,ZMYM2,KLF12,B3GNT2,METAP2,IER3IP1,KIAA1109,PTCH1,EIF4E,SEC31A,MEX3C,SEC24A,HSP90AA1,OAS2,URI1,ZNF655,CEP120,HLTF,COMMD8,NAA15,ATP11C,NUP54,ITK,SMC4,SLC39A8,FUBP3,ARGLU1,TIA1,AIMP1,TRA2B,OSTC,CRTAM,CNIH4,C12orf29,FAM20B,ATF2,IGLJ3,MRPL47,RABGAP1L,TPP2,MAP4K5,PRPF39,CUL5,ITGA4,SRSF11,TLK1,CSGALNACT2,ARID4B,RANBP2,CUL4A,TAF1D,EIF2AK3,TMEM64,RTCA,CLEC2D,MYSM1,CLEC2B,FBXO3,RCBTB1,TWF1,PCMT1,PM20D2,CAMK4,IGLV1-44,XAF1,TMED5,DIS3,OAS3","Up"
"8","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_DN",0.0018671915729525,0.00266800245624515,0.45505986738723,0.894615754936234,1.70016633981468,5,"SLC4A1,TNS1,PI3,EPB42","Up"
"9","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_DN",0.00570693959848508,0.00740067621991437,0.407017918923954,0.86072233791161,1.63575382924954,5,"IGF1R,SLC4A1,PI3,EPB42","Up"
"10","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.0162079112952365,0.0194300784105991,0.352487857583619,0.472005243666922,1.60355084271403,38,"STAT1,IL6,IFIT2,SLAMF7,HSH2D,TNFSF10,NEXN,OAS2,ENPP2,CD38,XAF1,OAS3,IFNB1,IFNA8","Up"
