"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN",0.0065611181207238,0.013140051535026,0.407017918923954,-0.51566959131374,-1.53118061188264,81,"YWHAZ,WLS,CAP1,SORL1,HNRNPK,WDR1,FOXJ3,STK24,ACTB,AFF4,KAT6A,SRRM1,LAMP1,SEC23B,TAF4,PRRC2C","Down"
"2","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_UP",0.00479355295050783,0.0100852134814474,0.407017918923954,-0.533429756001164,-1.56023986335907,71,"RASSF6,ITM2B,ENSA,TMSB4X,C9orf64,HLA-C,RPS18,RNF7,ATAD1,FAM162A,SUMO1,PCYOX1,IER3IP1,TMEM106B,PRDX4,C4orf3,RBMX2,CAPZA1,ING3,IGFBP1,ZNF320,CRB3,MRPL15,SRGAP2C,MTX2,GIMAP2,TMEM70","Down"
"3","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_3DY_DN",0.0125563611273612,0.0227628133780077,0.380730400722792,-0.587614252477574,-1.56664391577157,31,"WLS,RAB7A,AFF4,ATP6V1A,MAEA,PGAM1,MAPRE1,NUDT5,S100A4,PARN","Down"
"4","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_UP",0.00211115105662088,0.00498850018550736,0.431707695803346,-0.636276648005091,-1.70156884298777,34,"RASSF6,TMSB4X,PCYOX1,RAB18,SPTY2D1,NFKBIZ,IPP,MYOF,ATG3,RPN2,C4orf3,CREB1,AP1M2,PTPRO,ING3","Down"
"5","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_7DY_UP",0.0416171224732461,0.065902054273159,0.241339976815091,-0.550391832154147,-1.46537040232218,32,"RASSF6,ITM2B,TMSB4X,C9orf64,RPS6KA3,PCYOX1","Down"
"6","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_LOW_IGM_RESPONDERS_6HY_1DY_UP",0.0759075907590759,0.110207850948592,0.208955027549354,-0.775247243810613,-1.43451942878054,5,"SLC44A1,KRTCAP2,TXNDC15","Down"
"7","BUCASAS_PBMC_FLUARIX_FLUVIRIN_CAUCASIAN_MALE_AGE_18_40YO_LOW_RESPONDERS_1DY_POSITIVE_PREDICTIVE_OF_TITER",0.118811881188119,0.16151283374783,0.16440575583821,-0.734014527048846,-1.3582223070966,5,"PRDX3,ITGB1,PRDX2","Down"
"8","COLE_BLOOD_FLUZONE_FLUARIX_AGE_03_17YO_7DY_DN",0.00630917570060314,0.0126846861924509,0.407017918923954,-0.832211896405503,-1.67251329295661,7,"CXCR4,CXCL8","Down"
"9","DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_UP",0.00627043815214466,0.0126363279389238,0.407017918923954,-0.563836440225358,-1.58906598239184,47,"ABCG1,TST,ADAM9,COL8A1,BCAS2,HNRNPAB,PLS3,SLC11A2,EPM2AIP1,MATN3,YES1,UBE2N,MAGI1,SRSF8,UBE2V2,GIGYF2,SGK1,SMARCD2,RNASE1,COBL,PROCR,PFN1","Down"
"10","ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP",1e-50,5.163e-47,NA,-0.65348556544191,-2.04054440298461,629,"TRAM1,LYZ,CD2AP,PCMTD1,C12orf75,TPD52,HSP90AA1,STK39,PRKCI,CHMP2B,COX6C,SNRPG,TM9SF3,RSL24D1,PXYLP1,PPA1,SLIRP,SEC31A,RAP1B,SRP9,UBR1,LEPROTL1,USP53,WWP1,SLC44A1,MRPL3,CCNG1,HMGB2,SNRPE,CMPK1,PRELID3B,ANK3,USO1,PDP1,EFR3A,NDUFA5,MTHFD2,ATP8A1,CRBN,ARID4B,GSKIP,CYCS,HMGB1,SUN1,DPM1,C11orf58,PGGT1B,CPEB2,UQCRQ,CD47,HS3ST3B1,DCAF13,IMPA1,CHMP5,UAP1,MTDH,CNIH4,DENND4C,PNRC2,ARHGAP5,TIMM17A,RASGRP1,DBI,CBX3,SLC35A3,HSPH1,GBP3,RRM2,BZW1,FAM3C,ADD3,FBXO3,CFAP97,COPS2,SRSF1,ETNK1,EIF3E,TOMM5,ZRANB2,DERL1,POLR2K,IL6ST,RALGAPA1,LSM14A,LANCL1,PSMA2,MICU2,ATAD1,DNAJC15,MAN2A1,DDX60,RRAS2,TSNAX,PPP4R3B,ANKRD28,SLC30A1,MGAT2,TMEM123,UBA6,ITGB1,HIBCH,ZNF600,HMGN3,NFU1,LRPPRC,EIF4E,SEC61G,FAM98B,PLEKHA1,EIF2AK3,ERLEC1,CKS2,ARAP2,USP1,YWHAQ,IER3IP1,TCERG1,TMEM106B,SRP72,TIA1,DENR,PREPL,NDUFA6,UBR3,AMIGO2,ZNF518A,MFSD6,PCNA,DNAJC10,CCT2,ARPP19,VBP1,AK3,DNAJB9,DR1,SAR1B,SLC35B3,VPS54,RPL22L1,PNN,PCGF5,ZCCHC10,ERAP2,B3GNT2,SUB1,ABCD3,VEZT,RAB11A,PRDX4,CREBL2,LSM5,RPL35,SMARCA5,JMY,CLNS1A,EMC2,HSPB11,AGL,CHD2,ZMYM2,KLHL28,PCNP,KIAA1109,DEK,SAMD9,IFI27,NIPSNAP3A,RNF6,RPS27L,RAP2A,PRPS2,SLC5A3,PPP4R2,XAF1,RPL24,ZCCHC7,UQCRB,CAND1,ACTR6,OXR1,TMEM87B,UPF3A,SUCLG2,ACADM,TGFBR3,ZBTB21,SRSF10,MOB4,SERP1,HINT1,DCK,SRSF3,TCF12,SEC23A,SLC25A32,C2CD5,ITGAV,COPS4,XPOT,RPS7,GCH1,PIGK,RNF138,BTAF1,PSMC2,CUL4A,MBNL2,ERAP1,BAG4,SUCLA2,TBL1XR1,NRIP1,SPIN1,FKBP11,CMC1,METTL5,ZNF207,PRRC1,ZZZ3,ATF1,PPA2,ZBTB41,ARMCX3,AIMP1,DDHD2,ARMC1,CPSF6,RAP2C,RBAK,SARNP,CCDC14,POU2AF1,FBXW7,ANKRD36B,FDX1,COX7A2,MIB1,N4BP2L2,RPL34,COX7B,SMIM15,DUT,CMPK2,COX11,TMX1,SLC39A6,BDP1,TMEM126A,RPS17,PSMD14,IFI44L,TNFAIP8,VTA1,KRCC1,HSPE1,TFAM,RPS24,ZFP62,FABP5,TDG,TMEM263,RSAD2,KTN1,ZNF721,ANKRD13C,N4BP2,ABCE1,IFI6,PHF10,DDX18,ZWINT,NAE1,SRP19,ERH,RRM1,PPIB,CLK4,EPSTI1,U2SURP,DMXL1,HNRNPA3,IBTK,STT3B,LEF1,RANBP6,EXOC5,KIF2A,MDFIC,CLDND1,TMEM181,ASNS,CLIP4,CACYBP,NUP54,C2orf69,TMEM243,CETN3,HNRNPU,THAP5,CAAP1,ZNF451,PHC3,MOB1B,NOP58,RPS6KB1,SNRPD2,PCMTD2,CMTR2,GOLT1B,RABGAP1L,RANBP2,BCL11B,ARHGEF3,PPIG,TXNDC15,PHF14,UBA2,OAS1,AP5M1,SLC18B1,RACGAP1,NSA2,CDKN2AIP,DENND1B,CCAR1,HAT1,PPIL3,CENPK,ARFGEF2,SUCO,SLC25A46,PNPT1,NRAS,LSM7,GBP1,UBXN4,ZDHHC20,CRY1,GPBP1,OTUD6B,SEC24A,CSE1L,THUMPD1,RBM25,PSMA4,TMF1,RAN,TMEM126B,FUBP1,NOC3L,GOLGA4,CHORDC1,EDRF1,ZNF146,CD69,NAA16","Down"
