"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_ADIPOGENESIS",0.0011235999522703,0.00510727251031955,0.45505986738723,-0.401408210904029,-1.54475452034183,191,"DNAJC15,ALDH2,BCL6,SULT1A1,PFKFB3,POR,APLP2,CDKN2C,SSPN,TOB1,TST,ITSN1,TANK,CMBL,CHCHD10,SDHC,AGPAT3,G3BP2,SCP2,PHYH,PPM1B,RTN3,ADCY6,REEP5,DNAJB9,COL4A1,ARAF,TKT,AIFM1,AK2,CMPK1,RNF11,C3,DRAM2,ANGPTL4,IDH1,COX7B,ARL4A,LPL,UQCR10,ALDOA,IFNGR1,BCL2L13,COQ5,CPT2,SOD1,ATL2,CRAT,RMDN3,ABCB8,ITGA7,SLC19A1,YWHAG,PEX14,ESYT1,CD151,IDH3G,RREB1,ECH1,PGM1,ACADM,ACADS","Down"
"2","HALLMARK_ALLOGRAFT_REJECTION",0.00990615083538849,0.0247653770884712,0.380730400722792,-0.376622197923881,-1.45138073623881,193,"EREG,HLA-DMA,CD74,TGFB2,GBP2,F2R,CAPG,HLA-DRA,ITGB2,IL2RG,CD40,TLR1,TLR3,CTSS,IL15,TLR6,HLA-DMB,BCL10,INHBB,BCAT1,IFNAR2,CCND3,ELF4,IRF7,LY75,GPR65,TIMP1,CD47,CSF1,IL18,NCK1,LIF,UBE2D1,IFNGR1,CCL2","Down"
"3","HALLMARK_ANDROGEN_RESPONSE",0.01044607418582,0.0248716052043334,0.380730400722792,-0.440472528808105,-1.5285857332574,94,"HPGD,AZGP1,TMPRSS2,PMEPA1,PLPP1,INPP4B,SAT1,PDLIM5,AKAP12,ALDH1A3,ZMIZ1,KRT8,GSR,KRT19,CCND3,STEAP4,DNAJB9,RPS6KA3,ABHD2,SEC24D,ITGAV,MERTK,SPDEF,SCD,INSIG1,ELK4,HMGCR,DHCR24,HOMER2,FKBP5,STK39,SRP19,KLK3,PTPN21","Down"
"4","HALLMARK_ANGIOGENESIS",0.0321208133141336,0.0617707948348724,0.321775918075361,-0.505731028020203,-1.49057919785807,35,"NRP1,S100A4,SERPINA5,VCAN,COL5A2,CXCL6,APP,VEGFA,TIMP1,LUM,ITGAV,TNFRSF21,LPL,PF4,LRPAP1","Down"
"5","HALLMARK_APICAL_SURFACE",0.00957228874448073,0.0247653770884712,0.380730400722792,-0.546344070418999,-1.68481940339783,43,"GSTM3,IL2RG,EFNA5,LYPD3,HSPB1,GATA3,APP,SULF2,PKHD1,SHROOM2,GAS1","Down"
"6","HALLMARK_APOPTOSIS",0.000788882218771554,0.0043826789931753,0.477270815362862,-0.431034316798518,-1.61444908560609,160,"EREG,TNFSF10,CLU,TGFB2,GSN,PLAT,F2R,TIMP2,SAT1,CTH,TXNIP,BTG3,BIRC3,SATB1,BCL10,CD14,XIAP,LGALS3,PAK1,CFLAR,GNA15,SMAD7,TNFRSF12A,HSPB1,GSR,PPP3R1,BNIP3L,APP,DPYD,TIMP1,MGMT,LUM,TSPO,PPP2R5B,IL18,CD44,IRF1,CAV1,BID,ISG20,PSEN1,IFNGR1,CDC25B,IGF2R,ERBB2,CASP9,CASP2,ERBB3,KRT18,CASP7,SOD1,BCL2L11,EBP,BCL2L2,GSTM1,EGR3,TNF,CD38,CASP6","Down"
"7","HALLMARK_BILE_ACID_METABOLISM",0.000274360435063785,0.00195971739331275,0.49849310876659,-0.495936935715411,-1.7618436343113,109,"ALDH1A1,ACSL5,RBP1,HSD3B7,PECR,HSD17B11,SLC22A18,NUDT12,SULT2B1,CYP39A1,IDH2,PAOX,ATXN1,OPTN,GSTK1,PEX13,CH25H,SCP2,PEX7,PHYH,ABCD3,EFHC1,HSD17B6,IDH1,SLC23A1,DHCR24,NR1I2,ALDH8A1,SOD1,ISOC1,ABCA3","Down"
"8","HALLMARK_COAGULATION",0.0233470660589232,0.0507544914324418,0.352487857583619,-0.373946704909044,-1.36665935955887,136,"MMP7,DPP4,CLU,CAPN5,GSN,PLAT,CRIP2,KLK8,CTSH,HNF4A,CFI,PRSS23,MMP1,LGMN,THBS1,ACOX2,PROS1,TIMP1,ADAM9,C3,SERPINA1,PEF1,TFPI2,CFD,USP11,RAPGEF3,RAC1,LAMP2,CAPN2,CASP9,WDR1,ANG,ITGA2,PF4,PLAU","Down"
"9","HALLMARK_DNA_REPAIR",0.0182481725915051,0.041473119526148,0.352487857583619,0.353681386090988,1.41522304588435,143,"HCLS1,SRSF6,RNMT,RRM2B,AK3,NFX1,NUDT21,SNAPC4,TAF1C,XPC,POLD1,VPS28,GTF2H1,POLR1D,RAE1,SMAD5,APRT,FEN1,ERCC1,SSRP1,POLR2C,DGUOK,IMPDH2,ERCC3,DDB2,POLR3C,CLP1,GTF2F1,POLE4,RFC3,GTF3C5,GTF2H3,DUT,BCAM,NELFCD,POM121,TP53,RFC5,POLR2D,GTF2A2,POLR2I,BRF2,NELFB,ERCC2,TYMS,CSTF3,ERCC5,POLH,POLR2H,POLD3,NPR2,RAD51","Up"
"10","HALLMARK_E2F_TARGETS",7.17488628328381e-05,0.000717488628328381,0.538434096309916,0.405354352855977,1.7101237175863,191,"DSCC1,ILF3,PSIP1,NUDT21,DIAPH3,POLD1,NBN,NAP1L1,SPC24,RAD1,TCF19,EED,RNASEH2A,DDX39A,MTHFD2,ING3,ATAD2,SMC6,SPAG5,XPO1,SSRP1,ORC2,BRCA2,SYNCRIP,DNMT1,GINS4,KIF18B,MCM5,CDC25A,AURKB,POLE4,BIRC5,RFC1,RFC3,EXOSC8,EIF2S1,SMC4,DUT,TP53,CTCF,RAD21,BARD1,TOP2A,TFRC,ORC6,MCM2,PRKDC,NOLC1,TK1,DCLRE1B,CSE1L,GINS3,SMC3,CNOT9,LYAR,NCAPD2,TRIP13,SMC1A,WEE1,TUBG1,NUP153,PAICS,HELLS,CHEK2,LUC7L3,MELK,PSMC3IP,HMGB2,RANBP1,WDR90,UBE2T,BRCA1,BRMS1L,STAG1,MLH1,IPO7,POLD3,TIPIN,POP7,TUBB,BUB1B,CCNB2,MCM6,CDKN1B,DCTPP1,SNRPB,SRSF1,MCM4,CDK4,MCM3,AURKA,LIG1,CDKN3,CDKN2A,RPA1,UNG,MSH2,PDS5B,KPNA2","Up"
"11","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00383799711220186,0.012655531590151,0.431707695803346,-0.387550881158636,-1.49082115995618,194,"MUC1,CA12,KCNK5,FRK,AREG,SLC1A1,ANXA9,STC2,SYBU,TMPRSS3,FAM102A,P2RY2,ELF3,SLC37A1,RAB31,TGM2,PRSS23,DHRS3,TTC39A,SYT12,GLA,MLPH,SULT2B1,TOB1,ALDH3B1,PAPSS2,TJP3,KLK10,NBL1,INHBB,KRT8,ENDOD1,KRT19,ADD3,BLVRB,LAD1,HES1,ABHD2,RHOD,TPD52L1,TBC1D30,CD44,ABAT,OPN3,TFF3,AFF1,SLC2A1,ITPK1,CALB2,WFS1,IGFBP4,INPP5F,FHL2,BHLHE40,PDZK1,CLIC3,FKBP5,IL17RB,RET,TSKU,KRT18,THSD4,NRIP1,EGR3,KRT15,ABCA3","Down"
"12","HALLMARK_ESTROGEN_RESPONSE_LATE",0.000694137750013923,0.00433836093758702,0.477270815362862,-0.41807302350445,-1.61357276887852,197,"AGR2,ID2,CA12,KCNK5,FRK,AREG,KLK11,ANXA9,TMPRSS3,FAM102A,SERPINA5,RAB31,FGFR3,PRSS23,SERPINA3,GPER1,UGDH,PERP,BTG3,GLA,SULT2B1,TOB1,TST,ALDH3B1,PAPSS2,TSPAN13,TJP3,ALDH3A2,IDH2,KLK10,ACOX2,NBL1,CYP4F11,KRT19,ADD3,MDK,BLVRB,LARGE1,ABHD2,ST14,TPD52L1,SERPINA1,CD44,MOCS2,OPN3,TFF3,AFF1,TFPI2,RABEP1,CAV1,ITPK1,WFS1,GALE,IGFBP4,ISG20,PDZK1,CLIC3,HOMER2,FKBP5,HPRT1,IL17RB,BATF,RET,PLK4,NRIP1","Down"
"13","HALLMARK_G2M_CHECKPOINT",0.00240762422564362,0.00859865794872723,0.431707695803346,0.358597712910393,1.50619134440818,187,"CUL4A,DMD,MARCKS,SQLE,KPNB1,HNRNPU,SLC7A5,ILF3,GINS2,TFDP1,SMC2,E2F4,WRN,TNPO2,DDX39A,NDC80,MT2A,XPO1,KIF15,BRCA2,SYNCRIP,EGF,RAD23B,CDC27,KMT5A,SLC7A1,MCM5,ODC1,CDC25A,CHAF1A,AURKB,CDC7,EWSR1,BIRC5,RBM14,SMC4,TGFB1,CBX1,CDC6,PURA,SLC38A1,NUSAP1,EXO1,CTCF,RAD21,ABL1,E2F3,BARD1,TOP2A,ORC6,POLQ,MCM2,SMARCC1,CHMP1A,NOLC1,G3BP1,SMC1A,CCNT1,FBXO5,KATNA1,FANCC,KIF23,SFPQ,CUL5,ODF2,NUMA1,STAG1","Up"
"14","HALLMARK_GLYCOLYSIS",0.00156557839941478,0.00652324333089493,0.45505986738723,-0.396988010429964,-1.53001075722632,195,"IGFBP3,CAPN5,CHST4,CITED2,GNE,STC2,B4GALT4,ELF3,EGLN3,VCAN,CTH,GAL3ST1,IL13RA1,DSC2,SOX9,ME2,HS2ST1,TGFBI,SRD5A3,BPNT1,SDHC,TGFA,DEPDC1,PFKP,HMMR,SDC1,PAM,VEGFA,ERO1A,DDIT4,PGK1,KDELR3,PC,MERTK,CD44,AGL,B3GNT3,PRPS1,TFF3,GLCE,ANGPTL4,IDH1,GALE,ISG20,PYGB,SAP30,ALDOA,GLRX,P4HA2,LHPP,B3GALT6,MET,PSMC4,KIF2A,ANG,SOD1","Down"
"15","HALLMARK_HYPOXIA",0.0072634609385824,0.0213631204075953,0.407017918923954,-0.377147482705842,-1.45080162367616,194,"PLAC8,IGFBP1,IGFBP3,CA12,CHST3,S100A4,CITED2,STC2,LXN,ERRFI1,SELENBP1,TGM2,PFKFB3,AKAP12,FBP1,MAP3K1,SULT2B1,HS3ST1,KLF6,CP,TGFBI,ANXA2,PRKCA,BNIP3L,GCNT2,PFKP,PAM,LARGE1,HOXB9,VEGFA,ERO1A,DDIT4,PGK1,KDELR3,ATP7A,ANGPTL4,CAV1,SLC2A1,ISG20,SAP30,ALDOA,GLRX,FOSL2,BHLHE40,P4HA2","Down"
