"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_COMPLEMENT",3.62887822351057e-06,1.20962607450352e-05,0.627256739718528,0.390725537432624,1.81769618562095,196,"7128,11216,4321,1075,23533,715,3684,4057,2534,1508,3309,10404,718,7076,2153,948,5646,5054,59345,6352,712,30819,3569,714,51548,7941,4973,7454,60489,1378,837,1284,3937,1012,2885,710,54331,341,3075,2335,4324,23348,164656,9986,1191,6714,5155,51734,842,2771,843,5547,27154,6935,725,1514,6810,978,146547,2793,4855,91133,2820,4317,4323,717,4179,959,5341,1368,1608,2159,6280,30818,5663,10938,3796,8942,2155,838,475,3172,88,80124,7511,151,3816,5359,3001,462,51440,966,4035","Up"
"2","HALLMARK_E2F_TARGETS",1.03437576422805e-05,3.04228165949426e-05,0.593325476396405,0.380650110153354,1.77786318273002,195,"9126,51747,7153,10492,54962,4683,993,898,55723,6749,29127,9212,23468,81624,8493,9232,24137,23594,146909,3184,7037,7083,6790,8243,7157,9787,9918,10714,204,84296,79075,9183,9133,5411,10527,1031,197335,7465,23649,10460,29028,6628,5902,83461,4174,10051,6839,6434,3014,3070,4288,3609,4292,3835,10274,7112,675,1033","Up"
"3","HALLMARK_APOPTOSIS",4.49302603320608e-05,0.000118237527189634,0.557332238758646,0.380269234715765,1.73192833013062,161,"6648,7153,1634,633,7076,3482,3459,5611,8878,665,894,8837,4092,6093,3569,90427,6304,7818,929,914,56172,599,4313,960,6709,552,10017,837,1676,51176,5159,5970,118,4170,2934,27250,10682,4739,5551,1191,5914,10018,8743,388,842,89941,5330,2026,3000,7465,5058,2944,1960,331,598,6041,10134,5664,1387,3082,1491,2232,3005,952,1499,4744,3553,3552,3456,2769,5663","Up"
"4","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000455318955288269,0.000989823815844063,0.49849310876659,0.427287912012143,1.72021449489044,87,"23533,5781,3594,948,3459,6772,23765,3569,1435,3572,1230,929,94,56034,960,3559,2885,6774,3581,3690,3561,1441,1439,7097,4055,867,10254,3676,5770,5196,952,1437,3553,64109,10148,1791,7040,55540,6773,10563,1438,7124,4050,83729,1271,3597,5771,3554,10456","Up"
"5","HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.08455407930127e-05,5.79042799805909e-05,0.575610261071129,0.369478872580926,1.71885447204405,196,"7128,6648,3575,5209,6515,56937,5806,3398,3383,8878,2683,5054,8837,11182,6352,6364,3569,1435,3572,604,10318,7185,4973,5328,9308,960,23308,57007,51561,1316,50486,22822,4814,5970,4170,5734,24145,7130,182,9314,1827,3433,6347,8553,3604,8613,388,694,8877,4792,5142,490,9945,1880,65986,4780,7097,7422,6372,1843,4088,24147,23135,1960","Up"
"6","HALLMARK_TGF_BETA_SIGNALING",0.00305012896366778,0.00491956284462546,0.431707695803346,0.47684774019336,1.71628701239533,52,"56937,9241,7057,3398,11031,6497,5054,4092,6711,2022,28996,1028,9612,6885,657,1025,4086,4088,331,51742,999,1499,324,387,57154,7040,4091,25937,659","Up"
"7","HALLMARK_PANCREAS_BETA_CELLS",0.00751892459484998,0.01105724205125,0.407017918923954,0.478860924335021,1.63766921092763,40,"6750,2641,1113,5063,4821,9935,4005,10000,7421,2645,10590,4760,5126,6833,3630","Up"
"8","HALLMARK_GLYCOLYSIS",0.000234094411411713,0.000557367646218364,0.518848077743792,0.347998518831562,1.61960209033966,197,"6781,1462,25796,23036,1634,2745,5352,1824,3309,4907,5768,8614,2683,5315,1289,9672,7167,4233,960,51129,54982,2582,55139,10461,10370,5478,6790,54541,6676,5091,7436,64132,4351,375790,8912,6383,7045,3099,5165,2026,7360,4200,4731,7422,10570,2817,10616,26229,9048,2023,229,3069,726,5207,2990,9080,5214,79586,2729,11015,3417,8789,1491,8996","Up"
"9","HALLMARK_COAGULATION",0.000869035674303056,0.00173807134860611,0.477270815362862,0.366827563180488,1.60683297050838,136,"2151,715,4318,7057,2534,1508,10404,718,22921,7076,5175,6271,5054,712,11098,4973,5328,4313,649,8609,2266,710,2934,10747,341,3075,3690,2335,2161,1369,4324,8858,164656,1191,733,5155,10603,842,7018","Up"
"10","HALLMARK_HEME_METABOLISM",0.000317645757288485,0.000721922175655648,0.49849310876659,0.343660685427754,1.60510049432961,195,"7351,10181,7716,25796,3321,1508,718,665,6521,84809,2730,10171,7145,23305,23568,55589,996,4005,7001,2994,4891,4354,119,26130,6007,118,56895,7037,2235,9091,7390,1497,51327,6622,5091,2057,23052,571,5909,360,831,644,9258,54498,759,9911,2038,2993,7779,8833,2908,5886,54855,64122,25901,2145,1193,51312,286","Up"
"11","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0011677543873804,0.00224568151419309,0.45505986738723,0.38321440805598,1.59683508938532,109,"7184,4869,7534,3309,8614,5611,79094,6734,6464,8140,55153,10775,1978,54541,9570,1938,50628,6347,56915,64924,22926,7422,55738,1977,22872,3014,64061,8570,29968,30827,2081,6509,9451,11015,4850,5394,23404,60559,9709","Up"
"12","HALLMARK_MYC_TARGETS_V2",0.00663493713457716,0.0100529350523896,0.407017918923954,0.427373843185335,1.57197859340042,56,"4869,3329,10171,8886,9064,11335,6949,56915,3099,81887,6573,54663,4174,23223,79050,51491,23082,3177,2193,23481,10514,9221,79711","Up"
"13","HALLMARK_XENOBIOTIC_METABOLISM",0.000666047503021302,0.00138759896462771,0.477270815362862,0.332901110388053,1.54869088546762,196,"586,4502,6472,1401,3398,9446,948,4836,3700,9060,8876,5054,5226,51733,5730,2326,22949,5467,6510,26999,2192,60481,316,55748,488,4814,2028,6999,1593,5091,53,2651,84913,57447,6533,5909,1592,1312,27232,6560,54498,3487,2203,957,4355,2099,3290,4121,978,7378,6747,218,2937,26998,8644,51181,9054,51,26007,2729,3417,2940,116285,873,65018,2328,7498,3083,2159,1528","Up"
