"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_CHOLESTEROL_HOMEOSTASIS",4.09540885919655e-09,3.34458390167718e-08,0.761460801445585,-0.69514818184212,-2.04044611771018,72,"TMEM97,MAL2,LGMN,SCD,ERRFI1,FDFT1,ANXA5,CD9,TP53INP1,ACTG1,LGALS3,CXCL16,LDLR,CPEB2,PLSCR1,ATF3,HMGCR,FDPS,HMGCS1,ETHE1,S100A11,IDI1,PDK3,SC5D,CTNNB1,GUSB,NSDHL,ANTXR2,ACSS2,FABP5","Down"
"2","HALLMARK_ANDROGEN_RESPONSE",1.6407941004403e-08,1.00498638651968e-07,0.73376198835648,-0.651317701412173,-1.9461095963531,94,"SCD,TPD52,STK39,SAT1,SORD,ABHD2,B2M,TMEM50A,INSIG1,UAP1,PDLIM5,TSC22D1,DBI,HMGCR,NCOA4,GNAI3,MYL12A,RPS6KA3,HMGCS1,ACTN1,CDC14B,SMS,INPP4B,AKAP12,DNAJB9,PLPP1,ACSL3,UBE2J1,NDRG1,ELOVL5,IDI1,SPCS3,ZBTB10,IQGAP2,ITGAV,HPGD,TMPRSS2,GPD1L,GSR,KRT19,VAPA","Down"
"3","HALLMARK_GLYCOLYSIS",1.55925755296569e-10,1.52807240190638e-09,0.826657301178302,-0.599901397845504,-1.83892126878781,195,"CXCR4,GFPT1,PPP2CB,IGFBP3,LDHA,B4GALT4,PGK1,BPNT1,TXN,TFF3,PAM,ELF3,IDH1,PPIA,IL13RA1,IER3,ERO1A,SOD1,PGM2,HK2,SRD5A3,P4HA1,GNE,SLC35A3,TGFA,SDC1,BIK,FAM162A,EXT1,ALDH9A1,MDH2,EGLN3,TALDO1,SDHC,ARPP19,AK3,SOX9,AGL,FUT8,CASP6,SLC25A13,SAP30,PDK3,TPI1,PGAM1,DDIT4,ALDOA,GUSB,VEGFA,NSDHL,GNPDA1,RBCK1,CDK1,MXI1,RPE,CYB5A,KDELR3,AKR1A1,CTH,B3GALT6,IRS2,ANG,DSC2,COPB2,KIF2A,HS2ST1,COL5A1,GCLC,MIF","Down"
"4","HALLMARK_ADIPOGENESIS",7.04638569962501e-09,4.93246998973751e-08,0.761460801445585,-0.575932093501664,-1.76555557397591,191,"G3BP2,HADH,IFNGR1,TOB1,PPM1B,CMBL,REEP5,IDH1,CMPK1,GHITM,TST,NDUFA5,COL4A1,SOD1,PHYH,UQCRQ,TANK,ATP1B3,SCP2,UQCR11,UBQLN1,CCNG2,NABP1,CYP4B1,DNAJC15,ELOVL6,PRDX3,HIBCH,MDH2,DRAM2,APLP2,TALDO1,COX6A1,GPD2,SDHC,DNAJB9,AK2,CHCHD10,STOM,MGST3,UBC,ALDH2,ACADM,RIOK3,MGLL,ALDOA,GRPEL1,PIM3,ETFB,ACOX1,COX7B,ECHS1,SAMM50,SORBS1,SOWAHC,ADIPOR2,PPP1R15B,GPX4,UQCR10,YWHAG,SPARCL1,MAP4K3,PGM1,NDUFAB1,ATL2,UQCRC1,NKIRAS1,CPT2,ESYT1,IMMT,DECR1,PTCD3,DHRS7,CD151,IDH3A,MRPL15,SSPN,PREB,PFKFB3,DBT,MTCH2,ACLY,JAGN1","Down"
"5","HALLMARK_FATTY_ACID_METABOLISM",7.2306888723705e-07,2.95253128955129e-06,0.659444398037935,-0.566401294016605,-1.72326370043835,154,"HSP90AA1,LDHA,HADH,CA2,IDH1,CRYZ,HSD17B11,ACSL1,S100A10,RDH11,HSPH1,ALDH9A1,HMGCS1,HIBCH,MDH2,METAP1,PDHB,HADHB,GPD2,SDHC,HSD17B4,SMS,ODC1,UGDH,MAOA,ACAA1,ELOVL5,IDI1,SUCLG2,ACADM,MGLL,AUH,ALDOA,NSDHL,HPGD,UROD,EHHADH,SUCLA2,ACOX1,SERINC1,ECHS1,PTS,ADSL,PTPRG,PPARA,ADIPOR2,APEX1,PSME1,PDHA1,ACSL5,HSDL2,ECI1,SDHD,MIF,HMGCS2,CPT2,DECR1,GSTZ1,RAP1GDS1,HCCS,HSD17B10,GABARAPL1,CYP1A1,MDH1,PRDX6,PCBD1,ERP29,GRHPR","Down"
"6","HALLMARK_APOPTOSIS",1.65633359512989e-06,5.79716758295461e-06,0.643551836150722,-0.557867158908331,-1.69951413580606,160,"ERBB3,SAT1,IFNGR1,BMP2,RHOB,IER3,HMGB2,LUM,LGALS3,SOD1,APP,EMP1,ATF3,BCL10,CASP7,TIMP2,XIAP,PTK2,BIK,DNAJC3,NEDD9,ANXA1,JUN,PPT1,PLAT,KRT18,CASP6,BID,SC5D,CDKN1B,CTNNB1,PAK1,TGFBR3,BCL2L11,CASP3,GCH1,VDAC2,DNAJA1,GPX1,GSR,HSPB1,RNASEL,TSPO,BTG2,ETF1,CTH,ADD1,PEA15,TXNIP,GPX4,PSEN1,ERBB2,SQSTM1,BNIP3L,IFITM3,LEF1,BTG3","Down"
"7","HALLMARK_HYPOXIA",5.92336262560754e-07,2.63858880595245e-06,0.659444398037935,-0.547709857251532,-1.67945840502958,194,"PLAC8,CXCR4,TPD52,IGFBP3,LDHA,TIPARP,PGK1,ERRFI1,PAM,IER3,SLC6A6,DUSP1,EFNA1,ERO1A,KLF6,PGM2,HK2,BTG1,P4HA1,ATF3,FOS,CCNG2,TES,IDS,FAM162A,BHLHE40,EXT1,SDC4,FOSL2,AKAP12,ANXA2,JUN,CASP6,SAP30,NDRG1,MAFF,PDK3,TPI1,CDKN1B,DDIT4,ALDOA,ZFP36,VEGFA,S100A4,WSB1,MXI1,KDELR3,PRDX5,CP,XPNPEP1,B3GALT6,ATP7A,BNIP3L,IRS2,GAPDH,F3,PDK1,PGM1,PIM1,COL5A1,MIF,GPC4,IGFBP1,AMPD3,JMJD6,MAP3K1,NFIL3,HK1","Down"
"8","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000245872869842964,0.00058181902758453,0.49849310876659,-0.559225299870644,-1.6703491926896,93,"B2M,CD47,PLSCR1,IFITM2,HLA-C,DDX60,IFITM1,LAP3,NMI,EIF2AK2,SAMD9,IFI27,IRF2,HERC6,CMPK2,IFI44L,TXNIP,PARP9,RSAD2,LPAR6,PSME1,NUB1,TRIM25,EPSTI1,IFITM3,TRIM5,MX1,GBP2,PSMB8,LAMP3,OAS1,PNPT1,ELF1,IRF9,LY6E,LGALS3BP,IFIH1,ISG20,SAMD9L,PROCR,BST2,IRF7,IL7,ISG15,IRF1,TRAFD1,TDRD7,CNP,ADAR,USP18,RTP4","Down"
"9","HALLMARK_ESTROGEN_RESPONSE_LATE",3.84048969238733e-06,1.25455996617986e-05,0.610526878385931,-0.534093365095188,-1.63661494996838,197,"TFF1,KLF4,CDH1,COX6C,AGR2,PERP,SORD,CA2,FDFT1,TFF3,ABHD2,TOB1,SERPINA1,CD9,TST,CHPT1,SCNN1A,CXCL14,DNAJC1,HPRT1,TSPAN13,FOS,ADD3,SFN,OVOL2,DYNLT3,IL6ST,TMPRSS3,FARP1,EMP2,AFF1,MYB,SERPINA3,DLG5,UGDH,SLC16A1,JAK1,ELOVL5,TJP3,MYOF,ZFP36,ITPK1,BAG1,NRIP1,KRT19,ETFB,IMPA2,MEST,RAB31,RBBP8,FABP5,SLC24A3,MAPK13,ASS1,SLC1A4,BTG3,ST14,HMGCS2,LLGL2,ST6GALNAC2,TFAP2C","Down"
"10","HALLMARK_ANGIOGENESIS",0.0109531360429262,0.0167719895657307,0.380730400722792,-0.602342626769439,-1.60689560695553,35,"COL3A1,TNFRSF21,LUM,POSTN,APP,COL5A2,PTK2,FSTL1,VEGFA,ITGAV,S100A4","Down"
