"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.634249606267e-08,8.89758118967587e-08,0.73376198835648,-0.685594433521545,-2.01840616346309,73,"27346,114569,5641,6319,54206,2222,308,928,94241,71,3958,58191,3949,132864,5359,467,3156,2224,3157,23474,6282,3422,5165,6309,1499,2990,50814,118429,55902,2171","Down"
"2","HALLMARK_ANDROGEN_RESPONSE",9.85890737974112e-09,6.03858077009143e-08,0.747739663149885,-0.65368191043511,-1.96208395512042,97,"6319,7163,27347,6303,6652,11057,567,23585,2982,3638,6675,10611,8848,1622,3156,8031,2773,10627,6197,3157,87,8555,6611,8821,9590,4189,8611,2181,51465,10397,60481,3422,60559,65986,10788,3685,3248,7113,23171,2936,3880,9218,25816,2547,6728,8554,9871,9510,54407,3005,6446","Down"
"3","HALLMARK_GLYCOLYSIS",9.82688449368059e-11,9.63034680380697e-10,0.839088935621274,-0.599325484267172,-1.83353184300647,197,"7852,2673,5516,3486,3939,8702,5230,10380,7295,7033,5066,1999,3417,5478,3597,8870,30001,6647,55276,3099,79644,5033,10020,23443,7039,6382,638,26355,2131,223,4191,112399,6888,6391,10776,50808,6662,178,2530,839,10165,8819,5165,7167,5223,54541,226,2990,7422,50814,10007,10616,983,4601,6120,1528,11015,10327,1491,126792,8660,283,1824,9276,7264,3796,9653,1289,2729,4282","Down"
"4","HALLMARK_ADIPOGENESIS",7.06050671305112e-09,5.57017266604968e-08,0.761460801445585,-0.5778312630611,-1.76777402015976,197,"9908,3033,3459,10140,5495,134147,7905,3417,51727,27069,7263,539,4698,1282,6647,5264,27089,10010,483,6342,10975,29979,901,64859,1580,29103,79071,10935,26275,4191,128338,334,6888,1337,2820,6391,130814,4189,204,400916,2040,4259,7316,217,34,8780,11343,226,80273,415116,2109,51,1349,1892,25813,10580,65124,79602,84919,2879,29796,7532,8404,54996,8491,5236,4706,64225,7384,28512,1376,23344,10989,1666,55037,51635,977,58472,3419,29088,8082,10113,5209,1629,23788,47,84522","Down"
"5","HALLMARK_FATTY_ACID_METABOLISM",2.83124102877306e-07,1.156090086749e-06,0.674962860011025,-0.572076521334236,-1.74012730550099,156,"3320,3939,3033,760,3015,3417,1429,51170,2180,6281,51109,10808,223,3157,26275,4191,23173,5162,3032,2820,6391,3295,6611,4953,7358,4128,30,60481,3422,8801,34,11343,549,226,50814,3248,7389,1962,8803,51,57515,1892,5805,158,5793,5465,79602,328,5720,5160,51703,84263,1632,6392,4282,3158,1376,1666,2954,5910,3052,3028,23710,1543,4190,9588,5092,10961,9380","Down"
"6","HALLMARK_APOPTOSIS",2.37022605568911e-06,8.29579119491189e-06,0.627256739718528,-0.55435793933426,-1.68603506675653,161,"2065,6303,3459,650,388,8870,3148,4060,3958,6647,351,2012,467,8915,840,7077,331,5747,638,5611,4739,301,3725,5538,5327,3875,839,637,6309,1027,1499,5058,7049,10018,836,2643,7417,3301,2876,2936,3315,6041,706,7832,2107,1491,118,8682,10628,2879,5663,2064,8878,665,10410,51176,10950","Down"
"7","HALLMARK_HYPOXIA",3.25045703926288e-07,1.22517226864524e-06,0.674962860011025,-0.546029725544164,-1.67004409102109,199,"51316,7852,7163,3486,3939,25976,5230,54206,5066,8870,6533,1843,1942,3491,30001,1316,55276,3099,694,5033,467,2353,901,26136,3423,26355,8553,2131,6385,2355,9590,302,3725,839,8819,10397,23764,5165,7167,1027,54541,226,7538,7422,6275,26118,4601,11015,25824,1356,7511,126792,538,665,8660,2597,2152,5163,5236,5292,1289,4282,2239,3484,272,23210,4214,4783,3098","Down"
"8","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000375844161335448,0.000876969709782711,0.49849310876659,-0.548951877648986,-1.64643685198465,95,"567,961,5359,10581,3107,55601,8519,51056,9111,5610,54809,3429,3660,55008,129607,10964,10628,83666,91543,10161,5720,51667,7706,94240,10410,85363,4599,2634,5696,27074,4938,87178,1997,10379,4061,3959,64135,3669,219285,10544,684,3665,3574,9636,3659,10906,23424,1267,103,11274,64108","Down"
"9","HALLMARK_ESTROGEN_RESPONSE_LATE",2.81156554546443e-06,9.18444744851714e-06,0.627256739718528,-0.534318497192588,-1.63501581140493,200,"7031,9314,999,1345,10551,64065,6652,760,2222,7033,11057,10140,5265,928,7263,56994,6337,9547,64215,3251,27075,2353,120,2810,58495,6990,3572,64699,10160,2013,4299,4602,12,9231,7358,6566,3716,60481,27134,26509,7538,3705,573,8204,3880,2109,3613,4232,11031,5932,2171,57419,5603,445,7264,6509,10950,6768,3158,3993,10610,7022,11145,6446,7466,2317,10874,2444,493,51599,51195,3669,7162","Down"
"10","HALLMARK_ANGIOGENESIS",0.00877545940594242,0.0138708874481025,0.380730400722792,-0.602342626769439,-1.61317471760416,35,"1281,27242,4060,10631,351,1290,5747,11167,7422,3685,6275","Down"
"11","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.89061718083819e-05,5.44942599182773e-05,0.575610261071129,-0.516680467534741,-1.58011172268186,198,"7031,9314,54463,25976,2222,7033,11057,10140,64798,55638,1999,4582,56994,6337,7357,8165,10125,2353,120,81875,2810,58495,6990,79083,3572,64699,8553,10160,4299,2274,4602,28966,3875,3983,124583,6566,60481,27134,26509,115,6505,10560,3705,22876,573,8204,3880,25800,23052,11031,5932,57419,55686,55191,79875,6509,26018,6840,64919,7022,11145,9467,7466,2317,1366","Down"
"12","HALLMARK_DNA_REPAIR",0.000686450896618459,0.0015289133606502,0.477270815362862,-0.505779320702055,-1.53728248247718,146,"23204,6386,6884,50484,10289,3251,7251,51164,5440,192670,1069,5111,65109,50808,10946,10959,1603,4090,124583,6809,5898,3615,9533,2959,9978,51082,53343,8721,1854,129607,6834,2879,8731,11130,353,25874,5432,51251,5423,6827,5437,404672,7372,6881,6119,2965,2967,84265,2958,4860,1716,5438,1642,22916,5434,6118,8480,79720","Down"
