"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.0119854700133749,0.106288728580149,0.380730400722792,-0.454868232380539,-1.4629417177447,100,"PSME2,PSMB8,PSME1,ABCC3,PSMB9,PSMB10,PSMA4,ERLIN1,ABCG1,ABCA7,PSMA6,ABCD3,PSMB5,PSMD10,PSMA3,PSMA5,ABCA6,PSME3,PSMB3,PSMC4,PSMC1,PSMC6,PSMD5,UBB,VCP,PSMD1,PSMA1,ABCC5,PSMB2,PSMD6,DERL1,RNF5,UBC,ABCD1","Down"
"2","REACTOME_ABC_TRANSPORTER_DISORDERS",0.0199569935883592,0.15119061185032,0.352487857583619,-0.481298823131723,-1.48090910705956,76,"PSME2,PSMB8,PSME1,PSMB9,PSMB10,PSMA4,ERLIN1,PSMA6,PSMB5,PSMD10,PSMA3,PSMA5,LMBRD1,PSME3,PSMB3,PSMC4,PSMC1,PSMC6,PSMD5,UBB,VCP,PSMD1,PSMA1,PSMB2,PSMD6,DERL1,RNF5,UBC,ABCD1","Down"
"3","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.0427455514946469,0.253644559236618,0.321775918075361,0.62425813173546,1.5003245159595,17,"CCND2,CDK6,CDKN1B,CDK4,E2F3,E2F1","Up"
"4","REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",0.0212281063649557,0.154334070599272,0.352487857583619,-0.538916521757097,-1.49434043348688,42,"ELOVL6,SQLE,DHCR7,SCD,HMGCS1,FDFT1,HMGCR,IDI1,HELZ2,TM7SF2,MVD,SC5D,MVK,GGPS1,MTF1","Down"
"5","REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.000539175212862743,0.0126120115008763,0.477270815362862,0.653888013204694,1.82512936549597,33,"CTRB2,CTRB1,COL18A1,CTSK,PRSS1,MMP11,TIMP2,MMP9,TPSAB1,PRSS2,MMP13,MMP2,MMP10","Up"
"6","REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7",0.0414436207375682,0.248787706388326,0.321775918075361,-0.810777769195131,-1.56599963727837,7,"CDK1,CCNB2,NEK6,CCNB1","Down"
"7","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",0.0308584914140205,0.205808285711691,0.352487857583619,0.454568296258434,1.41603179367458,60,"RPS4Y1,RPS23,RPS4Y2,EIF3L,RPS27,RPS28,EIF3M,EIF4B,EIF3A,RPS15A,EIF3F,RPS18,EIF3G,RPS17,EIF3K,RPS3A","Up"
"8","REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG",0.0158037374369775,0.131043236380109,0.352487857583619,-0.847639250921333,-1.63719678797242,7,"MGLL,DGAT1,PNPLA2,DGAT2","Down"
"9","REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",0.0377352600778435,0.235153319558453,0.321775918075361,-0.615906556466723,-1.51475615985621,22,"PLA2G10,LPCAT4,PLBD1,PLA2G2A,MBOAT2,LPCAT3,PLA2G3","Down"
"10","REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION",0.0204553553343869,0.152846960693057,0.352487857583619,-0.670930661031379,-1.5781362775261,18,"CYP3A5,MGST2,AKR7A3,ACY1,MGST1,AKR7A2,GGT6,ACY3","Down"
"11","REACTOME_ALPHA_OXIDATION_OF_PHYTANATE",0.0290656782948437,0.197109263730579,0.352487857583619,-0.832276796195804,-1.55320535463178,6,"SLC27A2,PECR,PHYH,HACL1,ALDH3A2","Down"
"12","REACTOME_ANCHORING_FIBRIL_FORMATION",1.55888121680956e-05,0.000662114285244904,0.575610261071129,0.845946915603618,1.98243553950988,15,"COL1A2,COL1A1,COL7A1,COL4A5,COL4A2,COL4A1,BMP1","Up"
"13","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",0.00212217401601236,0.0332542607946014,0.431707695803346,-0.535275218151895,-1.65950940019555,80,"FLNB,OAS1,OAS2,MX1,OAS3,MX2,ISG15,OASL,NUP37,MAPK3,NUP107,NDC1,KPNA2,UBA7,UBE2L6,STAT1,DDX58,PDE12,USP18,EIF4E2,SEC13,EIF4A2,IRF3,UBB,NUP85,EIF2AK2,EIF4A1,ABCE1,EIF4E3,NUP35,EIF4G2,PIN1,UBE2E1,EIF4A3","Down"
"14","REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",0.0442408303637728,0.260601095646457,0.321775918075361,0.349207521467284,1.25490346192706,163,"SCTR,VIP,LHB,YES1,GNG11,GNG7,FCGR2A,PTH1R,MC1R,MYH9,ADCY9,CD163,IL10,ITPR2,ADCY3,GNG4,GNB4,FGR,DPEP1,PTHLH,RAMP1,ITPR1,PLCG1,GGT5,POMC,FYN,DPEP2,GNAI1,GNG2,GNAI3,ADRB2,AHCYL1,GPBAR1,RAMP2,GPR45,ADCY7,GNB3,FCGR3A,HTR7,GNGT1,SCT","Up"
"15","REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A",0.0414646177313877,0.248787706388326,0.321775918075361,-0.597578894353916,-1.5054449127813,26,"UBE2C,CDC20,MAD2L1,BUB3,ANAPC10,NEK2,UBB,CDC26,UBE2E1,UBC,BUB1B","Down"
"16","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",0.000297609681227619,0.00766113047093073,0.49849310876659,-0.593393967628544,-1.79447296475738,72,"UBE2C,CDC20,PSME2,AURKA,PSMB8,PSME1,PSMB9,PSMB10,PSMA4,PTTG1,AURKB,PSMA6,PSMB5,PSMD10,PSMA3,PSMA5,ANAPC10,PSME3,PSMB3,PSMC4,PSMC1,PSMC6,PSMD5,UBB","Down"
"17","REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",8.69876926593505e-06,0.000438744174850599,0.593325476396405,-0.620503877565621,-1.94398561202998,86,"UBE2C,CDC20,PSME2,CDK1,MAD2L1,AURKA,CCNA2,PSMB8,PSME1,PSMB9,PSMB10,PSMA4,PTTG1,AURKB,BUB3,PSMA6,PSMB5,PSMD10,PSMA3,PSMA5,CCNB1,ANAPC10,PSME3,PSMB3,FBXO5,PSMC4,NEK2,PSMC1,PSMC6,PSMD5,UBB","Down"
"18","REACTOME_APOPTOSIS",0.000210071259305402,0.00594833355296349,0.518848077743792,-0.481597223674738,-1.6591003109855,169,"PSME2,SFN,TJP2,TNFRSF10A,CASP7,YWHAZ,PSMB8,PSME1,CDH1,GZMB,PRKCD,PSMB9,DAPK1,DSG2,PSMB10,PSMA4,MAPK3,STK26,GSDMD,TNFSF10,OMA1,CASP3,BID,APIP,PSMA6,CASP6,PSMB5,BAK1,LMNB1,PSMD10,BAX,BIRC2,PSMA3,PSMA5,DYNLL1,DBNL,YWHAB,HMGB2,MAPK1,PSME3,PSMB3,BCL2L1,PSMC4,NMT1,MAPK8,PSMC1,PSMC6,TICAM1,DIABLO,PSMD5,YWHAH,UBB,BMX,FADD,DFFA,BAD,TRAF2,PSMD1,CASP9,YWHAE,APAF1,GSN,STK24,PSMA1","Down"
"19","REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE",0.0125545895283274,0.109399097285312,0.380730400722792,-0.696323014190278,-1.63786315545743,18,"CASP7,MAPK3,GSDMD,CASP3,APIP,BAK1,BAX,MAPK1,DIABLO,CASP9,APAF1","Down"
