"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","KEGG_FOCAL_ADHESION",1.12504635082203e-12,2.09258621252898e-10,0.910119734774459,0.584289215154123,2.18832444519881,198,"COL6A2,MYL9,COL6A1,FLNC,COL5A1,COL1A1,COL1A2,LAMA4,COL5A2,COL6A3,FLNA,PDGFRA,COL3A1,COL4A2,PDGFRB,LAMB1,SPP1,COMP,TNC,LAMC1,CCND2,MYLK,ITGA10,THBS2,PDGFC,LAMB2,THBS3,ITGA11,ITGB5,THBS1,FYN,PARVB,PIK3R1,COL11A1,SHC1,COL4A1,ZYX,ILK,RELN,ACTN4,IGF1,VEGFC,PDGFD,VEGFB,LAMA2,ITGA9,DOCK1,CAV2,TLN1,PIP5K1C,CCND1,ITGA5,PARVG,BCL2,VTN,AKT1,THBS4,RAPGEF1,ROCK1,PARVA,PRKCA,SHC4,PGF,CAV1,PIK3CA,VAV3,MAPK10,LAMA5","Up"
"2","KEGG_ECM_RECEPTOR_INTERACTION",8.95103155320255e-12,8.32445934447837e-10,0.875325132024659,0.711025179714816,2.35114290089727,83,"COL6A2,COL6A1,COL5A1,COL1A1,COL1A2,LAMA4,COL5A2,COL6A3,COL3A1,COL4A2,LAMB1,SPP1,COMP,TNC,LAMC1,ITGA10,THBS2,LAMB2,THBS3,ITGA11,ITGB5,THBS1,SDC2,COL11A1,COL4A1,SV2B,RELN,LAMA2,ITGA9,AGRN,ITGA5,VTN,THBS4","Up"
"3","KEGG_PEROXISOME",0.000168841164124188,0.00765321171857583,0.518848077743792,-0.575513660620569,-1.8487971050373,78,"SLC27A2,IDH1,PRDX5,FAR2,PRDX1,ABCD3,ACAA1,PEX11A,SOD2,CAT,PEX2,PHYH,ACOX1,PECR,FAR1,SOD1,SCP2,DHRS4,ACSL5,PEX16,ACOT8,ACSL4,HACL1,AGPS,PEX13,ACSL3,PXMP2,PEX7,AMACR,GSTK1,ACOX3,XDH,PEX11B,HMGCL","Down"
"4","KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.000206354706412707,0.00765321171857583,0.518848077743792,-0.610848445929724,-1.90414179084773,61,"FBP1,HK2,ALDH3A1,ALDH2,PGAM1,ALDOB,ACSS2,PGK1,PFKP,PGAM4,LDHA,TPI1,ALDOC,GALM,ALDH3B1,PKM,DLAT,ADH1C,ENO1,ALDH9A1,GAPDH,ALDH3A2,PGM1,LDHC,PCK2","Down"
"5","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.000248442145853672,0.00765321171857583,0.49849310876659,0.748324820490009,1.93130720222304,22,"DSE,XYLT1,CHST15,CHST14,CHSY3,B3GALT6,CHST7,CSGALNACT1,CHST3,XYLT2,CHPF,UST,B3GAT3","Up"
"6","KEGG_O_GLYCAN_BIOSYNTHESIS",0.00028207803913612,0.00765321171857583,0.49849310876659,-0.725074360274893,-1.95415448036598,29,"GCNT3,ST6GALNAC1,GALNT5,GALNT12,B3GNT6,GCNT1,GALNT6,ST3GAL1,C1GALT1,B4GALT5,GALNT4","Down"
"7","KEGG_PROTEASOME",0.000288024096935649,0.00765321171857583,0.49849310876659,-0.650525489264814,-1.87864172592908,42,"PSME2,PSMB8,PSMB9,PSMA6,PSMB10,PSMA1,PSMB5,PSME1,PSMA4,PSMC6,PSMD6,PSMC4,PSMB3,PSMA5,PSMC1,PSMA3","Down"
"8","KEGG_ARGININE_AND_PROLINE_METABOLISM",0.000608483057905174,0.0141472310962953,0.477270815362862,-0.605880906415188,-1.84915651032993,53,"ASS1,CKMT1A,AOC1,CKMT1B,ALDH2,CPS1,OAT,ALDH18A1,P4HA1,GATM,GLUD1,SAT1,AMD1,ACY1,LAP3,SMS,GOT1,PYCR2,PYCR1,ASL,ALDH9A1","Down"
"9","KEGG_LINOLEIC_ACID_METABOLISM",0.000696647644715505,0.0143973846574538,0.477270815362862,-0.730810356101857,-1.9035788338815,26,"PLA2G10,AKR1B10,CYP2C18,CYP3A5,CYP2J2,PLA2G2A","Down"
"10","KEGG_FATTY_ACID_METABOLISM",0.00147843072860504,0.0274988115520538,0.45505986738723,-0.608922513799702,-1.75849718598201,42,"ALDH2,ACAT2,ACAA1,ACOX1,GCDH,ACADM,ECHS1,ACSL5,HADH,ECI1,ADH1C,ACAA2,ACSL4,ACAT1,ALDH9A1,ACSL3,ALDH3A2,CPT1A,CPT2,ACOX3,HADHA","Down"
"11","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.00217295698782071,0.0351352663860558,0.431707695803346,-0.611415538047127,-1.77090602454489,43,"HMGCS1,ALDH2,ACAT2,ACAA1,AUH,ACADM,PCCB,ECHS1,HADH,IVD,HMGCS2,ACAA2,BCKDHB,ACAD8,ACAT1,ALDH9A1,HIBCH,ALDH3A2,BCAT2,HSD17B10,HADHA,HMGCL,MCEE,DBT,DLD","Down"
"12","KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.00236914035670893,0.0351352663860558,0.431707695803346,-0.664572291757879,-1.83268339020748,32,"AKR1B10,FBP1,HK2,GMDS,ALDOB,PFKP,TPI1,ALDOC,GMPPB","Down"
"13","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.002455690661391,0.0351352663860558,0.431707695803346,-0.689136099709506,-1.79502778267667,26,"FUT3,B3GNT3,FUT6,FUT4,B3GALT5,FUT2,ST3GAL4,B4GALT4,B3GNT2","Down"
"14","KEGG_BUTANOATE_METABOLISM",0.00278706812990501,0.036429013325215,0.431707695803346,-0.625388995952418,-1.73099352685624,33,"AKR1B10,HMGCS1,ALDH2,ACAT2,AACS,ECHS1,HADH,HMGCS2,BDH1,ACAT1,ALDH9A1,GAD1,ALDH3A2,L2HGDH,HADHA,HMGCL","Down"
"15","KEGG_PYRIMIDINE_METABOLISM",0.00293782365525927,0.036429013325215,0.431707695803346,-0.488629418561011,-1.62098571628973,97,"PNP,DCK,NT5C3A,TK1,CDA,ENTPD8,TYMS,RRM1,CTPS1,CMPK1,POLD4,UCK2,POLR2B,POLR2H,NME2,RRM2,CANT1,POLR3A,NT5C2,POLR2L,POLE2,ENTPD6,POLR3K,TXNRD1,PRIM1,ENTPD4,DPYD,POLD3,NT5E,RRM2B,TK2,POLA2,NME1-NME2,NME1,UPRT,CMPK2,DUT,POLE3,DCTD,POLR2D,POLE4","Down"
"16","KEGG_OOCYTE_MEIOSIS",0.00388219214206428,0.0419041010993231,0.431707695803346,-0.457184711362448,-1.5492786640298,111,"CDC20,CDK1,MAD2L1,INS,YWHAZ,CCNB2,RPS6KA1,AURKA,PTTG1,YWHAB,PPP3CA,SLK,PPP1CA,MAPK3,CAMK2D,ANAPC10,BUB1,YWHAE,RPS6KA3,CDC26,CCNB1,CALML3,FBXO5,PPP2R1B,PPP2CB,PPP2R5A,SGO1,PPP2R5E","Down"
"17","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.00390326010313716,0.0419041010993231,0.431707695803346,0.449856088200009,1.55318228625153,108,"ACTG2,MYL9,CALD1,PLA2G1B,KCNMB1,MYH11,PPP1R14A,MYLK,MYL6B,ADCY9,ACTA2,PLCB1,RAMP1,GNA12,RAMP2,GNA13,CALM1,EDNRA,ITPR2,ROCK1,PRKCA,ADCY3,JMJD7-PLA2G4B,PLCB2,CACNA1C,PPP1CB,ARHGEF11,PRKCH,ROCK2,PRKCQ,PRKCB,CACNA1S,GNAS,RAF1,PLA2G5,ITPR1,ADRA1B,NPR2,KCNMB4,ARHGEF1","Up"
"18","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.00405523559025707,0.0419041010993231,0.407017918923954,-0.523163840702683,-1.66154352105523,73,"PLA2G10,CDS1,GPD1L,GPAT3,LYPLA1,CHPT1,LPCAT4,PLA2G2A,AGPAT2,PLPP2,LPCAT3,ETNK1,GPD2,MBOAT2,PTDSS1,LPCAT2,PLA2G3,PCYT2","Down"
