"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.00179652446650899,0.0228314211727993,0.45505986738723,-0.50272050602918,-1.67690640106948,100,"PSME2,PSMB8,PSMB9,PSMA6,PSMD10,ABCG1,ABCD3,PSMB10,ABCC3,ABCA7,PSMA1,PSMB5,PSME1,PSMA4,PSMC6,VCP,DERL1,PSMD6,PSMC4,DERL2,PSMB3,PSMA5,ERLIN1,PSMC1,PSMA3,PSMD5,PSMB2,UBB,PSMC3,ABCC5,UBC,PSME4,ABCB10","Down"
"2","REACTOME_ABC_TRANSPORTER_DISORDERS",0.00235648534535067,0.0275606329521448,0.431707695803346,-0.537580453573218,-1.70226442208885,76,"PSME2,PSMB8,PSMB9,PSMA6,PSMD10,PSMB10,PSMA1,PSMB5,PSME1,PSMA4,PSMC6,VCP,DERL1,PSMD6,PSMC4,DERL2,PSMB3,PSMA5,ERLIN1,PSMC1,PSMA3,ABCC8,PSMD5,PSMB2,UBB,PSMC3,UBC,PSME4","Down"
"3","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.0134291856770212,0.104205315782271,0.380730400722792,0.672965686474473,1.60192728455625,17,"CCND2,CDKN1B,CDK6,CCND1,CDK4,E2F1,E2F3,CDKN1C","Up"
"4","REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS",0.0279247336580724,0.170617711310589,0.352487857583619,0.81599195669104,1.44480272138329,5,"KCNMB1,KCNMA1","Up"
"5","REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.000432849063783713,0.00803009642467716,0.49849310876659,0.660835787451921,1.82446094349139,33,"PRSS1,CTRB2,COL18A1,CTRB1,CTSK,PRSS2,MMP11,MMP9,TIMP2,TPSAB1,FURIN,MMP2","Up"
"6","REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7",0.0152874074571775,0.113704496017901,0.380730400722792,-0.8410931921581,-1.62608407026608,7,"CDK1,CCNB2,NEK6,NEK7,CCNB1","Down"
"7","REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG",0.0298323621864019,0.174250366477109,0.352487857583619,-0.805300653643703,-1.55688641505345,7,"MGLL,DGAT1","Down"
"8","REACTOME_ALPHA_DEFENSINS",0.015628505798007,0.115179946840106,0.352487857583619,0.743111433665387,1.56618049338433,10,"PRSS2,DEFA5,CD4,PRSS3,DEFA6","Up"
"9","REACTOME_ALPHA_OXIDATION_OF_PHYTANATE",0.0227464579829533,0.148035416066479,0.352487857583619,-0.842485527520404,-1.58909517497332,6,"SLC27A2,PHYH,PECR,HACL1,ALDH3A2","Down"
"10","REACTOME_ANCHORING_FIBRIL_FORMATION",0.0019742954202623,0.0237799463306221,0.431707695803346,0.755803123190954,1.76157800010824,15,"COL1A1,COL1A2,COL4A2,COL7A1,COL4A1,BMP1","Up"
"11","REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",0.00190221881154764,0.0230840688859992,0.45505986738723,-0.484147777007509,-1.6139797415717,104,"PSME2,PSMB8,TAP1,PSMB9,PSMA6,PSMD10,HLA-F,MYD88,PSMB10,S100A8,HLA-B,B2M,PSMA1,TAP2,PSMB5,PSME1,PSMA4,PSMC6,S100A9,SNAP23,PSMD6,PSMC4,PSMB3,PSMA5,PSMC1,HLA-E,VAMP8,PSMA3,HLA-A,PSMD5,CYBA,PSMB2,UBB,TLR6,PSMC3,LNPEP,UBC,PSME4,CTSS,NCF2,CHUK,PSMB7,IKBKB","Down"
"12","REACTOME_ANTIMICROBIAL_PEPTIDES",0.00777388034507552,0.070489004926696,0.407017918923954,-0.464880893685454,-1.51553252798588,91,"PI3,ITLN1,LYZ,LCN2,BPIFB1,PLA2G2A,S100A8,S100A9,GNLY,CCR6","Down"
