"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.0240093325410104,0.157134348986299,0.352487857583619,0.655732549960126,1.58175905161947,17,"CDK6,CCND2,CCND1,E2F3,CDKN1B,CDK4","Up"
"2","REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.000415266745360425,0.0117586057370478,0.49849310876659,0.665969152001669,1.86307953045208,33,"CTRB2,PRSS1,CTRB1,COL18A1,PRSS2,TIMP2,CTSK,MMP11,TPSAB1,MMP2","Up"
"3","REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7",0.00376643511359406,0.0452202602499607,0.431707695803346,-0.871476065826608,-1.69432662736777,7,"CDK1,CCNB2,NEK6,CCNB1,NEK7,PLK1","Down"
"4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM",0.00750782533721304,0.0725606592470769,0.407017918923954,-0.31581957463123,-1.26882325273201,745,"COL17A1,CTSE,CDC20,HLA-DRB1,IFITM1,S100A8,CXADR,TUBB4B,UBE2C,S100A9,PSME2,PAK1,LYN,RACGAP1,HLA-DRB5,LRR1,FKBP1A,SYK,FCGR2B,UBE2A,TAP1,MYD88,AP1M2,BTNL8,CTSC,LMO7,NPDC1,NCK1,PSMB10,RIPK2,UBE2L6,KIF2C,SH3RF1,GRB2,ICAM2,PSME1,ANAPC10,HLA-B,UBE2D3,IFI30,FBXW7,CD79A,PSMB9,PSMB8,YWHAZ,CDH1,AP1S1,LILRA5,B2M,LY96,LGMN,TUBA4A,DNM2,PSMA5,KIF11,UBE2J1,CTSS,NCF2,HLA-A,PPP3CA,PSMD10,BCL10,HLA-F,VAMP8,DCTN5,HERC6,CDC42,SNAP23,PSMA6,TUBA1C,CYBA,SAR1B,UBA7,ICAM3,PSMB3,MICB,RNF19A,PSMA4,ITGB7,TUBA1B,CD1A,UBA6,FBXO6,KIF20A,ATG7,PSMD5,FBXL20,HECTD3,RAP1B,PSMA1,HERC4,YWHAB,PTPN6,RNF213,PSMB5,KIF5B,KRAS,PIK3CB,CYBB,HLA-G,KIF18A,SEC13,PPP2R5A,ITGB1,FBXW2,HCST,ICOS,UBE2E1,ORAI1,CLEC2B,TRIM21,PSMD6,LRRC41,KIR2DL4,NECTIN2,RPS27A,ACTR1A,PSMA3,TREM1,RNF138,UBA3,CDC26,GLMN,PPP2R1B,RNF19B,PPP2CB,SEC24B,CARD11,CTSA,FBXL15,KEAP1,TNFRSF14,BTBD6,CD300LF,TLR6,ASB16,TRIM11,PVR,DAPP1,NFKBIE,TUBA1A,TAP2,UBR4,CTSH,DYNLL1,BTBD1,ICAM1,SLAMF7,TREM2,UBE2Z,XDH,VCAM1,PSMC4,NRAS,CD3D,CD86,CAPZA1,KLHL9,LILRA3,CD300A,UBE2H,CD247,AP2B1,FBXW9,UBA1,HLA-E","Down"
"5","REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION",0.0226360115358688,0.152227177578718,0.352487857583619,0.388206828534057,1.35217409712774,130,"VIP,SCTR,LHB,ADCY9,GNG11,GNG4,PTH1R,IAPP,MC1R,GNG7,GCG,PRKAR1A,GPBAR1,ADCY3,GNAS,GNGT1,ADCYAP1,RAMP1,GNG2,GNAI1,PTHLH,ADCY7,RAMP2,POMC,CALCR,GNB4,GNAZ,ADCY1","Up"
"6","REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION",0.00459993740140101,0.052283795534234,0.407017918923954,-0.705541003201959,-1.66753553615474,18,"CYP3A5,MGST2,AKR7A3,MGST1,ACY1","Down"
"7","REACTOME_ANCHORING_FIBRIL_FORMATION",0.0163285150139435,0.125496301107166,0.352487857583619,0.675267172535844,1.58160083343497,15,"COL1A2,COL1A1,COL4A2,COL7A1,COL4A1,BMP1","Up"
"8","REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",0.0011299321834642,0.0219724161941111,0.45505986738723,-0.512736734946561,-1.68437038510945,104,"S100A8,S100A9,PSME2,TAP1,MYD88,PSMB10,PSME1,HLA-B,PSMB9,PSMB8,B2M,LY96,PSMA5,CTSS,NCF2,HLA-A,PSMD10,HLA-F,VAMP8,SNAP23,PSMA6,CYBA,PSMB3,PSMA4,PSMD5,PSMA1,PSMB5,CYBB,HLA-G,PSMD6,RPS27A,PSMA3,TLR6,TAP2,PSMC4,HLA-E,CHUK,PSMD13,PSMB2,LNPEP,TLR4,SEC61G,UBB,PSME3,NCF4","Down"
"9","REACTOME_ANTIMICROBIAL_PEPTIDES",0.0184344061735023,0.133422114636918,0.352487857583619,-0.446753320617571,-1.43520696559148,91,"PI3,ITLN1,LYZ,LCN2,S100A8,S100A9,BPIFB1,GNLY,PLA2G2A","Down"
"10","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",0.00116939597310241,0.0222047658892622,0.45505986738723,-0.536479664176936,-1.68620231353763,80,"OAS1,OAS3,OASL,ISG15,NDC1,UBE2L6,NUP37,FLNB,MX2,MX1,STAT1,KPNA2,EIF4G2,UBA7,ABCE1,PDE12,MAPK3,SEC13,UBE2E1,EIF4E2,NUP98,RPS27A,NUP155,DDX58,NUP107,SEH1L,USP18,NUP54,EIF4E3,OAS2,IRF3,EIF4A3,EIF4A1,UBB","Down"
