"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","AKT_UP.V1_DN",0.00461955333914686,0.0246235980904131,0.407017918923954,0.394689043152968,1.44484963572792,186,"PNLIPRP1,TIMP3,TNFRSF19,FAM20C,BEX4,PDGFRA,S1PR3,GAS1,HTRA1,CAP2,DPT,OGN,C1R,PTGIS,CAV2,EFEMP2,GHR,C1S,FHOD3,EFEMP1,SASH1,HEBP1,PPP1R3C,SLIT3,PLTP,IFFO1,MERTK,TCF21,ZC3H12C,RXRB,FMO3,GRAMD1A,PDLIM3,G6PC2,GALNT16,ADGRL1,IRS2,ITPKB,PKP1,TCF3,FMO2,SCARA3,CBS,LTC4S,KCTD12,SLC37A4,KCNK3,TNS2,TP53I13,ZNF213,PLPP3,RAMP1,SMARCD3,SLC7A5,GSPT2,PAQR7,BTBD2,LPL,FAH,TSPAN4,IBSP,MSL2,SIX5,SFRP2,CD248,SERPINF2,GATAD2B,PI16,CHST12,DNAJA3,SCARA5","Up"
"2","AKT_UP.V1_UP",2.07963606303929e-10,3.93051215914427e-08,0.826657301178302,-0.629074137337319,-2.20749931009942,160,"PSCA,GPX2,CD55,SLC2A1,VILL,TMPRSS4,LDLR,SLC6A14,TFRC,MAL2,ERO1A,ADORA2B,ATF3,FDFT1,BACE2,UBE2C,MSMO1,PAK1,PFKP,SPRR1A,S100A14,MPZL2,TESC,GIPC1,IDI1,TACSTD2,UGT8,PLAT,PREP,RIPK3,DHCR7,C3orf52,ADAM10,TOR3A,DHCR24,SGPL1,PLSCR1,CCNG2,CARD19,MICU1,LRG1,LGMN,SH3BGRL2,GCH1,ALDOC,ABCA7,AK4,IFIT3,MYO5B,GPX8,FBXO6,SGSM3,COMTD1,TRAF4","Down"
"3","AKT_UP_MTOR_DN.V1_DN",0.101910828025478,0.180010714923507,0.204294756516886,0.324305282649227,1.18216055008233,182,"PNLIPRP1,TNFRSF19,FAM20C,BEX4,NDRG4,SFRP5,COL5A2,S1PR3,GAS1,CAP2,DPT,KRBA1,OGN,C1R,CAV2,GNG11,EFEMP1,SASH1,PPP1R3C,MERTK,FMO3,MSX1,STAB1,GALNT16,ITPKB,PKP1,SARS2,CBS,KCTD12,SLC37A4,RTN1,ISYNA1,FKBP10,COIL,ZNF112,FBN1,PRKRIP1,KCNK3,TP53I13,CES2,PLPP3,HARS2,RAMP1,SMARCD3,SLC7A5,GSPT2,VCAN,LPL,TSPAN4,IBSP,MSL2,JPH3,CD248,SERPINF2,LANCL2,GATAD2B,PI16,CHST12,CD200,DNAJA3","Up"
"4","AKT_UP_MTOR_DN.V1_UP",1.29181494586519e-07,3.487900353836e-06,0.690132458796796,-0.574001843706955,-2.03015486971421,170,"PSCA,CXCL5,SPINK4,CD55,VILL,TMPRSS4,MAL2,ADORA2B,ATF3,S100A8,BACE2,PAK1,LAMC2,MPZL2,TESC,GIPC1,HBEGF,TACSTD2,DUSP1,PLAT,SLC44A1,DHCR7,C3orf52,ADAM10,TOR3A,DHCR24,SGPL1,CXCL1,PLSCR1,CARD19,MICU1,LRG1,LGMN,SH3BGRL2,GCH1,ALDOC,NFKB2,ABCA7,AK4,MVP,MYO5B,GPX8,FBXO6,JUNB,SLC39A8,SYT8,GPD2,PYGL,RNF19B,PLK2,FBXL15","Down"
"5","ALK_DN.V1_DN",0.0209392930769223,0.0706701141346128,0.352487857583619,-0.430812224828034,-1.49367302929739,133,"CEACAM6,GPX2,IFI27,CLCA1,FOXA1,IFI6,OAS1,OLFM4,FOS,IFI44L,BCO1,RTP4,GPA33,LPAR2,EGFL6,MX1,ATP2C2,KCNN4,AQP3,DIO2,TTC38,UNC93B1,ESRP1,DNAJA4,GRB7,PSORS1C1,SLC28A2,AP1G2","Down"
"6","ATF2_S_UP.V1_DN",0.025523157541124,0.0790799471356137,0.352487857583619,0.368961826731228,1.34195306561398,181,"SFRP4,SERPING1,SVEP1,COMP,RGS5,A2M,TAF1C,DES,GAS1,COL15A1,VASH1,IL1R1,PTGIS,VTN,COL7A1,SERPINA3,TENM4,CBX7,NPIPA1,PLN,EFEMP1,LAMA2,SORBS1,BMP6,FBLN2,CYP1B1,SLIT3,TCF21,NFIB,PLSCR4,COBLL1,PDLIM3,FMOD,ADARB1,CRIP2,HAPLN1,ABCA8,MN1,KCTD12,STMN2,ADORA3,SLC4A2,C1RL,COL16A1,IGFBP2,CSGALNACT1","Up"
"7","ATF2_S_UP.V1_UP",0.00812413935743202,0.0383865584638663,0.380730400722792,-0.400678946324349,-1.43314865370932,185,"CXCL8,PITX1,FGFBP1,MMP1,SCIN,ANXA3,GNA15,CDKN3,SPDEF,TOP2A,S100A9,SLC9A2,CD24,B3GNT3,ODAM,TK1,GALNT6,CST1,ENDOG,CXCL1,PSMB9,ITGA6,CLDN1,ETS2,CENPU,KIF20A,ABLIM3,IL32,NFE2L3,PIR,BARX1,IL20RA,GNA14,RDH16,ADAMTSL4,RSAD2","Down"
"8","ATF2_UP.V1_DN",0.0549115080914282,0.129179464189842,0.321775918075361,-0.370232535477556,-1.31276863725805,176,"ANXA10,CA9,PLS1,PTGS2,CEMIP,PLEK2,ERO1A,CCK,ADORA2B,RARRES1,TNFRSF11B,FOS,RNASE4,PLA2G2A,STXBP2,HKDC1,GALNT12,BHLHE40,ADAM15,PCSK7,PNMA2,SCD,CFB,GPRC5C,SLCO4A1,SPINT2,GSR,PKP2,AADAC,IL33,DNAJC12,GCH1,ABCC3,AK4,DENND2D","Down"
"9","ATF2_UP.V1_UP",0.0602636534839925,0.134653747506412,0.252961123069611,-0.360429139867128,-1.28581478769762,182,"PITX1,HPGD,FGFBP1,MMP1,INPP4B,GNA15,SERPINB2,SULT1B1,KRT7,PLBD1,TK1,GALNT6,ENDOG,ADAM28,KISS1,ICAM2,LILRA5,FAM102A,DNAJC15,NCAPG,G0S2,CLDN1,PLK4,CENPU,ABLIM3,MELK,CBX5,PCDH1,LTB,IL32","Down"
"10","ATM_DN.V1_DN",0.0715667311411992,0.145275968826732,0.234392647294686,-0.369692576159176,-1.28562017945035,143,"CEACAM6,IFI27,FGFBP1,CYP2J2,TMPRSS2,STK17B,ITPKA,ITGB4,CD69,DSG3,FMO5,PRRG2,GPSM2,PRSS21,WNT2,CYBB,ST3GAL1,SPTLC2,SEMA3A,GMIP,FCN1,EPHA1,SULT1E1,PLA2G3,ENTPD7","Down"
