"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","CAO_BLOOD_FLUMIST_AGE_05_14YO_CORRELATED_WITH_H3N2_VN_TITER_7DY_POSITIVE",0.0132168709077587,0.0697059642617488,0.380730400722792,-0.817296272523779,-1.6553502984581,9,"OAS1,OAS2,OASL,IFIT3,GBP1,GBP5,RSAD2,IFITM3","Down"
"2","CAO_BLOOD_FLUZONE_AGE_05_14YO_CORRELATED_WITH_H3N1_HI_TITER_1DY_POSITIVE",0.00223530775956126,0.0206584913548881,0.431707695803346,-0.905626337535538,-1.67187362690814,6,"IFI44L,ISG15,OASL,IFIT3,GBP1","Down"
"3","COLE_BLOOD_FLUMIST_QUADRIVALENT_AGE_03_17YO_7DY_UP",0.000630644132864915,0.0082442100176025,0.477270815362862,-0.957994123030975,-1.71820232633421,5,"IFI6,MX1,CXCL10,IFIT3,TNFSF10","Down"
"4","DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_DN",0.00794883310648922,0.0493819324326239,0.380730400722792,0.675263314213678,1.65623291220849,19,"RIN2,NOTCH3,PDK3,RBP1,MOXD1,CBS,APPBP2","Up"
"5","ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP",0.00329880990319869,0.0274865694170677,0.431707695803346,-0.337500706733242,-1.31307347064116,644,"IFI27,GSKIP,LYZ,LY6E,CKS2,PPA1,TFRC,IFI6,OAS1,OAS2,STK39,ADD3,OAS3,DDX60,SLC35A3,IFI44L,CHMP2B,RPS24,STAMBPL1,TYMS,RPL34,ISG15,EPSTI1,OASL,PRELID3B,RACGAP1,SUCLG2,ETNK1,RTP4,SAMD9,TPD52,TM9SF3,CHMP5,JCHAIN,BIRC3,DCK,RAB11A,MFSD6,PSMA4,GCH1,ASNS,RRM1,TRAM1,CD2AP,ZWINT,IMPA1,SLC30A1,SCOC,BUB3,SMC4,OMA1,RPS7,PLEKHA1,TMEM123,COX16,SNRPG,ABCD3,ERH,HNRNPA3,KLRC2,TOMM5,TFAM,SUN1,GBP1,CD69,AP5M1,TMEM135,TMX1,UQCRH,GZMA,UQCRQ,CENPK,BIRC2,RRM2,UQCRB,PSMA3,XAF1,ZRANB2,CBX3,CMC1,NEMF,USP1,TMED5,SRP9,VBP1,ARID4B,HSP90AA1,DUT,CLNS1A,API5,RAN,CSE1L,SRSF3,TMF1,CCNC,SAR1B,FAM3C,TDG,PCGF5,COX6C,HSPB11,SRSF10,STT3B,HMGB2,VEZT,FUBP1,ZNF518A,FBXO3,RBMX,SAMD9L,CDKN2AIP,TNFRSF17,IFI44,SLC44A1,CD47,ITGB1,NME2,SLC38A1,IFIT5,RNFT1,CETN3,PRPF40A,EIF4A2,RRAS2,EXOSC8,G3BP1,SLIRP,PSMC6,TTC14,RPL22L1,MRPL47,GCOM1,NAA16,NR2C1,TMEM87B,RBM15,TRIM22,AGPAT5,COX7A2,DBI,RSAD2,ARMT1,ZBTB8OS,PDHX,BORCS7","Down"
"6","ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP",4.39228033200878e-08,2.79391880631192e-06,0.719512826338911,-0.637934739846985,-2.08962882759021,111,"CEACAM1,IFI27,LY6E,ISG20,IFI6,ANKRD22,OAS1,IFITM1,OAS2,MX1,OAS3,BST2,DDX60,IFI44L,MX2,ISG15,EPSTI1,OASL,RTP4,SAMD9,IFI35,TDRD7,GCH1,ZBP1,CXCL10,IFIT3,PARP9,PARP12,HELZ2,FRMD3,TNFSF10,LGALS9,HERC6,LAP3,PLSCR1,RNF213,UBE2L6,GBP1,GBP4,TOR1B,STAT1,DDX58,USP18,XAF1,KIAA0319L,TNFSF13B,GALM,MOV10,SP140,NCOA7,CCL8,SAMD9L,IFI44,DDX60L,SCO2,PARP14,IFIT5,LAMP3,GBP5","Down"
"7","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP",5.15493779737407e-06,0.00016495800951597,0.610526878385931,-0.663856492725053,-2.04078540218667,72,"IFI27,LY6E,IFI6,OAS1,IFITM1,OAS2,MX1,OAS3,DDX60,IFI44L,MX2,ISG15,EPSTI1,OASL,RTP4,SAMD9,IFI35,ZBP1,CXCL10,IFIT3,PARP9,PARP12,TNFSF10,SHISA5,HERC6,LAP3,PLSCR1,RNF213,UBE2L6,GBP1,TOR1B,DDX58,USP18,XAF1,SAMD9L,IFI44,DDX60L,SCO2,PARP14,IFIT5,LAMP3,TRIM22,EIF2AK2,RSAD2,TRIM5,SPATS2L","Down"
"8","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.00550522786367413,0.0388310937837714,0.407017918923954,-0.598888469978361,-1.65038451080614,39,"OAS1,OAS2,OAS3,HSH2D,CXCL11,TNFSF10,STAT1,DDX58,XAF1,SAMD9L,IL15,LAMP3,EIF2AK2,CD38","Down"
"9","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.00559349351579433,0.0392811695959345,0.407017918923954,-0.61696584119864,-1.65698258318597,34,"OAS1,OAS2,OAS3,LYN,HSH2D,CXCL11,TNFSF10,CCRL2,DDX58,XAF1,SAMD9L,IL15,EIF2AK2,CD38","Down"
"10","FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN",0.00069061057696497,0.00889438214678836,0.477270815362862,0.382093814265184,1.43658584760107,251,"SERPINE1,SPP1,GREM1,RGCC,CYP1B1,TGFBI,VIM,HTRA1,FAM20C,LRP3,GPNMB,LIMS1,CSF1R,LGALS1,PLXDC2,PDGFRB,TYROBP,APOE,SLC1A3,SIRPA,FLRT2,C3,TNS3,TIMP2,CYP27A1,CAMSAP2,LPL,ABCA1,MMP9,RNF130,PDXK,PLIN2,HEBP1,RGL1,DAB2,GLMP,CPQ,APOC1,PTGS1,TPST1,RAI14,MPP1,CTSD,RXRA,S100A4,LRP1,CARD9,CORO1C,GCLC,ZYX,LHFPL2,HAVCR2,GLIPR1,GLIPR2,ZMIZ1,FGR,IGF2R,CD86,CEBPA,C1orf54,NPC2,ARAP3,GPC4,HMOX1,ZNF366,SPI1,CLEC5A,FGL2,FPR3,PLEKHO2,ZEB2,EVA1B,EGR2,FABP4,CHST13,STARD8,ITGAM,FTL,SLAMF8,CYTH4,LILRA2,C5AR1,CTSB,PIEZO1,HCST,CREG1,STAB1,TMEM158,AIF1,RASSF4,CD300C,CD33,CD84,DCSTAMP,VWF,PPM1M,EMP1","Up"
"11","FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP",6.61833650725072e-05,0.00135377424399293,0.538434096309916,-0.550693767444245,-1.82561975911326,121,"PHLDA2,IDO1,F3,PSME2,ASPHD2,MX1,OAS3,CXCL8,IFI44L,ISG15,EPSTI1,SERPINB1,DUSP5,IRF1,PSMB9,IER3,MMP1,ASNS,CXCL10,IFIT3,PARP9,APOL1,RIPK2,VNN1,TRIB3,IRF9,TRAF4,BATF,DDIT4,UBE2L6,GBP1,GBP4,STAT1,ACOT7,EDN1,SERPINA1,PYCR1,SERPINB2,GBP2,CCL20,NME2,LAMP3,LIF,GBP5,G0S2,NEU4,NAMPT,TRIM22,AQP9,EML2,PIM2,OSM,CHAC1,CD38","Down"
"12","FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN",0.00339797764763776,0.0280445405191408,0.431707695803346,0.388316694299011,1.4124805574106,176,"SERPINE1,SPP1,GREM1,RGCC,TGFBI,VIM,HTRA1,FAM20C,LRP3,GPNMB,LIMS1,CSF1R,PLXDC2,PDGFRB,APOE,SLC1A3,SIRPA,FLRT2,TNS3,TIMP2,LPL,FHL3,RNF130,PLIN2,DAB2,RAB34,GLMP,APOC1,PTGS1,MPP1,CTSD,S100A4,LRP1,CARD9,CORO1C,GCLC,LHFPL2,HAVCR2,GLIPR1,GLIPR2,ZMIZ1,IGF2R,CD86,CEBPA,C1orf54,GPC4,HMOX1,KLF9,ZNF366,FGL2,FPR3,EGR2,FABP4,FCN1,ITGAM,FTL,SLAMF8","Up"
"13","FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_UP",0.0199906560891157,0.0895801221312953,0.352487857583619,-0.438444668660917,-1.40477581753867,91,"CXCL5,PHLDA2,IDO1,CXCL8,DUSP5,IER3,MMP1,CEMIP,RGS16,PARP9,RIPK2,C15orf48,TRIB3,TRAF4,BATF,DDIT4,GBP1,GBP4,EDN1,SERPINA1,PYCR1,SERPINB2,GBP2,CCL20,LAMP3,GBP5,G0S2,NEU4,NAMPT,AQP9,PIM2,GLYR1,OSM,CHAC1","Down"
