"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN",0.0204636522062945,0.0991992657137844,0.352487857583619,0.431077618258473,1.45261157209799,83,"FBXL18,MYH9,ARID3A,WAS,PRRC2C,CREBBP,MAP7D1,LAPTM5,ARHGAP1,DVL3,SPEN,MSN,RABGEF1,ADD1,HARS2,STX2,HGS,CLASP1,SON,ARHGAP30,SH2D3C,IDH3B,MTMR3,DPEP2,TAF4,ARAP1,ZNF106,DPP8","Up"
"2","CAO_BLOOD_FLUMIST_AGE_05_14YO_30DY_DN",0.0843881856540084,0.22689112184088,0.224966093540314,-0.784410090852014,-1.44661185315023,6,"CBR1,SERPINA1","Down"
"3","CAO_BLOOD_FLUMIST_AGE_05_14YO_CORRELATED_WITH_H3N2_VN_TITER_7DY_POSITIVE",0.0341978408688428,0.132089703729935,0.321775918075361,-0.758024578412724,-1.55901489944771,9,"OAS1,OASL,IFIT3,GBP1,GBP5","Down"
"4","CAO_BLOOD_FLUZONE_AGE_05_14YO_CORRELATED_WITH_H3N1_HI_TITER_1DY_POSITIVE",0.0200424217778672,0.0981608187731036,0.352487857583619,-0.868104612839029,-1.60096158546774,6,"OASL,IFI44L,IFIT3,ISG15,GBP1","Down"
"5","COLE_BLOOD_FLUMIST_QUADRIVALENT_AGE_03_17YO_7DY_UP",0.0150217147656546,0.083581413591555,0.380730400722792,-0.868933267699156,-1.56807883465749,5,"IFI6,TNFSF10,CXCL10,IFIT3","Down"
"6","ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP",0.000275241456010003,0.00576570054035412,0.49849310876659,-0.363027036718373,-1.41976096420169,644,"GSKIP,JCHAIN,LYZ,IFI27,LY6E,PPA1,SLC35A3,TFRC,CKS2,RPL34,TPD52,IFI6,ETNK1,MZB1,STK39,CHMP2B,ADD3,SUCLG2,TM9SF3,STAMBPL1,SCOC,OAS1,PRELID3B,RTP4,DDX60,BIRC3,DCK,RPS24,CHMP5,RACGAP1,PSMA4,IMPA1,GCH1,OASL,SLC30A1,UQCRH,SAMD9,RRM1,OMA1,MFSD6,ZRANB2,ABCD3,OAS3,TMED5,PLEKHA1,SAR1B,TMEM123,KLRC2,TRAM1,CD2AP,HNRNPA3,CDKN2AIP,TMX1,RAB11A,USP1,COX16,EPSTI1,HSP90AA1,VEZT,SNRPG,TNFRSF17,ZWINT,CBX3,TDG,IFI44L,BAG4,ERH,SRSF3,AP5M1,TFAM,UQCRQ,EIF4A2,PSMA3,ISG15,BIRC2,TMEM135,ARID4B,IFIT5,SUN1,PCGF5,NME2,FBXO3,BUB3,API5,TMF1,TYMS,TMEM64,SLC44A1,CLNS1A,SERP1,CCNC,GBP1,HSPB11,RBMX,NEMF,RBM15,HIBCH,ABCE1,MTHFD2,PSMC6,PNRC2,STT3B,MRPL47,RRAS2,COPS4,CMC1,GCOM1,CD52,CCT2,RAN,SRP9,RPS7,DUT,TMEM126A,ACADM,CETN3,SPIN1,PCMTD1,TTC14,SRSF10,VBP1,CD47,ZNF518A,TOMM5,BORCS7,GZMA,TMEM87B,COX6C,SLC39A8,NRAS,G3BP1,FUBP1,ARAP2,EMC2,ASNS,HMGB2,TXNDC5,GBP3,PRPF40A,ARL5A,CSE1L,PGGT1B,AGPAT5,PIGK,C3orf38,DERL1,CMPK1,SLIRP,ZNF644,TRIM22,TMEM126B,NAA15,RNFT1,RRM2,IL7R,UQCRB,SARNP,PIGY,FDX1,ARMC1,SRP19,CLDND1,NAA16,MGAT4A,CENPK,TIA1,KLRC3,PCNP,RASGRP1,RPL22L1,ATAD1,NIPSNAP3A,CRY1,ZBTB21,ASF1A,ITK,PDHX,CMTR2,PRPS2,HAUS1,AQP3,CD69,EFR3A,ANKRD36B,CHD2,ARMT1,ITGB1,MANEA,RNF138,HSPD1,DBI,MRPS31,CCNG1","Down"
"7","ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP",3.44911372023085e-06,0.000199895301830268,0.627256739718528,-0.589668020106863,-1.94049267571937,111,"IFI27,ANKRD22,CEACAM1,ISG20,LY6E,IFI6,IFITM1,BST2,OAS1,RTP4,DDX60,TNFSF10,GALM,GCH1,OASL,SAMD9,FRMD3,OAS3,ZBP1,GBP4,CXCL10,KIAA0319L,IFI35,PARP9,LAP3,EPSTI1,MX2,IFI44L,TDRD7,LGALS9,IFIT3,SP140,UBE2L6,NCOA7,ISG15,IFIT5,PARP12,GBP1,MOV10,RNF213,SCO2,TNFSF13B,TOR1B,PLSCR1,USP18,GBP5,HERC6,MT1H,DDX58","Down"
"8","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_DN",0.0502008032128514,0.167482781318734,0.287857117255149,-0.85097610643737,-1.53567330301097,5,"PI3","Down"
"9","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP",0.000218149342731905,0.00488526547118557,0.518848077743792,-0.590665581839259,-1.8298964432491,72,"IFI27,LY6E,IFI6,IFITM1,OAS1,RTP4,DDX60,TNFSF10,OASL,SAMD9,OAS3,ZBP1,CXCL10,IFI35,PARP9,LAP3,EPSTI1,MX2,IFI44L,IFIT3,UBE2L6,ISG15,IFIT5,PARP12,SHISA5,GBP1,RNF213,SCO2,TOR1B,PLSCR1,USP18,HERC6,DDX58,TRIM22,TRIM5","Down"
"10","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.060952380952381,0.185127346034811,0.252961123069611,-0.518218405435175,-1.38906484315846,34,"LYN,OAS1,HSH2D,TNFSF10,CXCL11,OAS3,CD38,CCRL2,DDX58,IL15","Down"
