"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN",0.00593359985449173,0.0330305836083552,0.407017918923954,0.47067259771966,1.53962269333904,83,"FBXL18,CLASP1,ZNF106,ADD1,CREBBP,MTMR3,MYH9,STX2,SH2D3C,SPEN,DVL3,ARID3A,ARAP1,ACTB,PRRC2C,TAF4,MSN,HARS2,AFF4,WAS,HGS,LAPTM5,BANP,CACNA1S,MAP7D1,ARHGAP30,SON,MAST3,CBL,RASSF5,RABGEF1,IDH3B,RCSD1","Up"
"2","CAO_BLOOD_FLUMIST_AGE_05_14YO_CORRELATED_WITH_H3N2_VN_TITER_7DY_POSITIVE",0.0142555370196397,0.0595012899721676,0.380730400722792,-0.809395326427367,-1.64691099920397,9,"OAS1,OASL,GBP5,GBP1,IFIT3,RSAD2,OAS2,IFIT1,IFITM3","Down"
"3","CAO_BLOOD_FLUZONE_AGE_05_14YO_CORRELATED_WITH_H3N1_HI_TITER_1DY_POSITIVE",0.00749616820095566,0.0385601709429829,0.407017918923954,-0.892830933798402,-1.65987468009273,6,"IFI44L,OASL,ISG15,GBP1,IFIT3","Down"
"4","COLE_BLOOD_FLUMIST_QUADRIVALENT_AGE_03_17YO_7DY_UP",0.00244232957877285,0.0172617765350666,0.431707695803346,-0.936316778264849,-1.69035988115651,5,"IFI6,CXCL10,MX1,TNFSF10,IFIT3","Down"
"5","DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_DN",0.0137081538583085,0.058131479686053,0.380730400722792,0.675061797723139,1.65391886697266,19,"RBP1,NOTCH3,PDK3,APPBP2,MOXD1,RIN2,CBS,XPC,RBM6,GCLM","Up"
"6","ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP",5.04997738628847e-08,2.39460745880733e-06,0.719512826338911,-0.414612335410152,-1.65396879261149,644,"IFI27,GSKIP,TFRC,LYZ,CKS2,IFI6,LY6E,PPA1,OAS1,RPS24,MZB1,JCHAIN,EPSTI1,DDX60,RPL34,OAS3,SAMD9,SLC35A3,CHMP2B,IFI44L,RACGAP1,BIRC3,OASL,STK39,PRELID3B,CHMP5,TM9SF3,STAMBPL1,SLC44A1,TYMS,IFI44,RTP4,SUCLG2,ISG15,UQCRH,IMPA1,ZWINT,DCK,GZMA,TMED5,MFSD6,SCOC,TMX1,CD52,ZRANB2,STT3B,FBXW7,SLC30A1,PPA2,RRM1,UQCRB,CD2AP,ABCD3,RAN,ETNK1,RRAS2,BUB3,AQP3,TNFRSF17,DNAJC15,RAB11A,PRPS2,SRP9,SUB1,GCH1,GBP1,TMEM123,SNRPG,CD69,TSNAX,KLRC2,BIRC2,RPS7,ERH,MTHFD2,CMPK1,HSPB11,TRIM22,SMC4,MGAT2,UAP1,SAR1B,CCNC,TOMM5,OMA1,HNRNPA3,PSMA4,ABCE1,TMEM135,XAF1,UBA6,COPS4,CSE1L,NME1,NEMF,RAP1B,COX16,EXOSC8,VBP1,SLC39A8,RRM2,CMC1,MGAT4A,DUT,TMEM126B,ITGB1,FUBP1,SRSF3,TRAM1,RPL26,NAA15,GBP3,TMEM64,MRPL47,TMF1,CLEC2B,TXNDC5,G3BP1,AP5M1,UQCRQ,DPM1,TMEM126A,CLNS1A,PCGF5,PSMA3,PIGK,ARMT1,RNF138,API5,TMEM87B,PRDX4,COX7B,NME2,SRSF10,HAUS1,OSTC,MOB4,AGPAT5,CDKN2AIP,ACTR6,HSPE1,SLC39A6,BAG4,HIBCH,RBM15,RABGAP1L,RPL35,NUP54,CNIH4,RSAD2,RPL36A,ZBTB8OS,KLHL28,CENPK,SLAMF7,PLEKHA1,ACADM,NOP58,SLIRP,IFIT5,NRAS,C3orf38,CD3D,ABCB10,EIF1AX,RNFT1,PRKCI,TPD52,OAS2,FBXO3,ASNS,TIA1,BMI1,FAM3C,EMC2,LMAN1,NME1-NME2,TDG,TWF1,RPL22L1,GCOM1,RASGRP1,KLRC3,SEC11C,TFAM,CBX3,USO1,PNRC2,COX6C,XPOT,PCMTD1,COMMD8,MATR3,IER3IP1,B3GNT2,PTAR1,FKBP11,PRKACB,ZNF644,SEC61G,ATP8A1,CBWD3,ARL5A,SRP72,SNRPD2,SEC23A,MANEA,NIPSNAP3A,PIK3C2A,PDHX,CBWD1,THAP5,ATAD1,TMEM168,CMTR2,RTCA,ZNF207,SERP1,MTDH,AK3,ADD3,FAM169A,PRPF40A,HINT1,LRRC8C,SLC33A1,MBNL2,IFIT1,SLC38A1,CD28,DR1,CMPK2,VEZT,SLC25A46","Down"
"7","ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP",2.86258280924971e-10,2.8713907563551e-08,0.814035837847908,-0.686335258975607,-2.30226136453102,111,"CEACAM1,IFI27,IL1RN,ANKRD22,IFITM1,IFI6,LY6E,ISG20,OAS1,BST2,EPSTI1,DDX60,OAS3,SAMD9,IFI44L,OASL,IFI44,RTP4,ISG15,LAP3,ZBP1,CXCL10,TDRD7,UBE2L6,IFI35,PLSCR1,MX2,MX1,TNFSF10,GBP4,FRMD3,NCOA7,STAT1,GCH1,GBP5,GBP1,ZC3HAV1,GALM,PARP9,LGALS9,HERC6,TRIM22,IFIT3,SP140,DDX60L,XAF1,SCO2,TOR1B,FBXO6,TNFSF13B,RNF213,TRIM5,PARP12,LAMP3,DDX58,USP18,RSAD2,BATF2,IFIT5,HELZ2,KIAA0319L,OAS2","Down"
"8","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_DN",0.0185398263954396,0.0719521833918251,0.352487857583619,-0.877821776427034,-1.5847571549744,5,"PI3","Down"
"9","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP",5.03349515037147e-08,2.39460745880733e-06,0.719512826338911,-0.704955123029653,-2.21548644230761,72,"IFI27,IL1RN,IFITM1,IFI6,LY6E,OAS1,EPSTI1,DDX60,OAS3,SAMD9,IFI44L,OASL,IFI44,RTP4,ISG15,LAP3,ZBP1,CXCL10,UBE2L6,IFI35,PLSCR1,MX2,MX1,TNFSF10,GBP1,PARP9,HERC6,TRIM22,IFIT3,DDX60L,XAF1,SCO2,TOR1B,FBXO6,RNF213,TRIM5,PARP12,LAMP3,DDX58,SHISA5,USP18,RSAD2,IFIT5","Down"
"10","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.0267462141778757,0.0924831828415163,0.352487857583619,-0.571956316243511,-1.5981693700733,39,"OAS1,OAS3,CXCL11,HSH2D,TNFSF10,STAT1,CD38,CCL3,XAF1,LAMP3,DDX58,SLAMF7,OAS2,IL15,TLR3,IFNE,IFNA14,CCL7,SAMD9L,IFIH1","Down"
