"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_ADIPOGENESIS",0.0208297572927562,0.0416595145855124,0.352487857583619,-0.386433147508279,-1.36572471781619,199,"5468,7263,134147,79071,10140,11343,1717,54884,217,3417,9908,1537,8694,65124,51635,1580,58472,79602,51,1892,977,6647,29979,8780,483,1468,6888,5447,10449,5264,10162,1351,10313,6817,6623,2101,80273,4713,27089,10935,1666,7384,3033,35,847,6390,55177,4722,204,2109,1376,1147,128338,7351,27069,6576,6510,5211,2820,400916,4836,10113,1891,334,7086,4199,10124,8802,26275,6342,25979,10010,51805","Down"
"2","HALLMARK_ANDROGEN_RESPONSE",0.0320411769644216,0.0525627034960116,0.321775918075361,-0.435707376837206,-1.409946489487,99,"3248,3880,3856,23171,7113,8821,25803,27347,11057,3005,6319,3157,3156,7163,3422,1718,10788,9053,6197,5036,55839,5238,60559,2181,3638,6611,8554,51465,6303,567","Down"
"3","HALLMARK_ANGIOGENESIS",5.33752086481341e-06,2.96528936934078e-05,0.610526878385931,0.73503221589523,2.15258756371651,36,"4060,6696,10631,1290,1281,894,11167,1462,4023,6372,5104,3685,6781,6275,6578,8829,3764,182,7448","Up"
"4","HALLMARK_APICAL_JUNCTION",0.000646388869286285,0.00190114373319496,0.477270815362862,0.417374816903407,1.54356939991794,200,"72,2318,10398,1009,7045,51776,51466,83700,7122,9353,7070,1307,5010,140885,1462,2593,51148,7059,8515,4628,7216,8910,7248,6464,91624,4318,7106,2533,2200,80381,947,4627,9459,247,84552,6376,143903,1272,4478,57555,5871,5522,9379,7791,10174,6624,5089,794,942,6251,3680,4267,1265,1013,1297,4313,55742,649,5728,5921,5335,5310,11096","Up"
"5","HALLMARK_APICAL_SURFACE",0.179871520342612,0.209152930630945,0.151148761385484,0.405876280140679,1.21696636614724,44,"2619,8406,7070,27076,131566,6376,51458,55959,23054,3315,22854,51754,2947,9696,266727","Up"
"6","HALLMARK_APOPTOSIS",0.147887323943662,0.180350395053246,0.151148761385484,-0.336169289924387,-1.15916242868275,161,"638,3669,5058,467,7153,706,10682,54884,840,3005,6890,3659,3301,8870,330,2064,2643,994,301,8743,6647,836,637,2065,2769,5327,839,969,7465,581,1960,8915,51330,3148,6303,5663,6309,3725,598,1491,2026,56616,2936,650,10950,837","Down"
"7","HALLMARK_BILE_ACID_METABOLISM",0.00335795301893767,0.00799512623556587,0.431707695803346,-0.481969032556254,-1.57859836740372,112,"51703,51170,11001,5002,54884,3417,216,4306,8800,3422,1718,27284,8856,25824,55825,10133,6647,5825,5264,373156,5827,26061,8412,7276,847,23460,5194,5191,92960,8431,366,6342,6820,83752,8424,9409,10998","Down"
"8","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.000147870651630697,0.000462095786345928,0.518848077743792,-0.607776008153416,-1.87917974320656,74,"3949,5468,114569,467,6713,10682,1717,39,6319,3157,55902,2222,3156,5329,3422,50814,230,57761,5641,5359,5833,308,7108,118429,4597,51330,7869,6309,22809,1891,23474,4598","Down"
"9","HALLMARK_COAGULATION",0.0152101040334712,0.0316877167363983,0.380730400722792,0.390443570415368,1.38177341427603,138,"5054,6678,7078,1513,2,1311,5654,4485,11098,710,7057,715,1675,4320,718,716,4318,1519,10404,341,3249,1397,2200,3075,7018,1465,8237,4035,8309,3920,5328,344,4313,4319,6271,649,5627,2266,23479","Up"
"10","HALLMARK_COMPLEMENT",0.18739054290718,0.21294379875816,0.132147260608774,-0.32244330048237,-1.13957301127635,199,"283,760,1604,2152,725,7511,4067,840,5550,1847,4321,3002,3659,5580,5698,255738,5329,23764,10938,8942,629,8445,836,2885,51056,5641,5359,5327,3001,1848,5265,308,1075,3717,8754,5531,9986,808","Down"
"11","HALLMARK_DNA_REPAIR",0.0843585237258348,0.113998005034912,0.204294756516886,-0.367419742792941,-1.25020499521343,148,"4860,7298,51251,6809,2237,57804,23204,2959,124583,11130,3251,7251,5437,1603,5423,10309,30834,51160,6386,1479,10063,23649,1716,22916,353,1854,5557,7084,6749,29901,10959,978,6119,8721,3615,2987,5433,11047,6883,5985,2967,51292,5888,6895,50484,129607,10714,9328,5898,404672,25920,552900","Down"
"12","HALLMARK_E2F_TARGETS",1.29680777963869e-11,2.16134629939781e-10,0.875325132024659,-0.612646538476612,-2.16604318042124,197,"991,1164,7037,1033,51155,983,9787,7153,55143,4085,9833,6790,7083,9133,55723,29089,29127,1163,5885,3161,1633,3015,994,10606,9232,7283,10635,332,4171,11004,57122,9212,10051,10535,3838,4683,7884,10212,993,10733,7465,4001,5036,6427,79075,29980,79077,3070,6241,79019,23649,10460,3014,3925,7398,1111,580,4999,1854,55635,1503,147841,5901,4173,1434,9319,6749,10248,9918,204,6119,3148,29028,83461,3149,55646,11340,10664,24137,8914,83463,64785,3184,10527,1062,9221,2146,57405,6628","Down"
"13","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.7751461325845e-35,1.88757306629225e-33,1.54318309134871,0.755910620457379,2.79556996626613,200,"4060,2619,2697,1289,5054,115908,2882,6678,6876,1278,1296,7078,10398,3371,6696,1277,1009,1293,26585,10631,1292,1311,1303,1290,3486,1281,5118,1809,800,7045,30008,1294,1842,1000,7431,5654,6695,3915,10979,6387,9353,7057,6422,1284,3956,7070,4256,1307,2199,6424,4638,7058,5159,3678,11167,7169,10486,1462,2817,5217,5396,10409,1634,4015,10516,2191,5270,1282,23705,871,3693,8076,1301,4148,2316,1490,6372,4016,6591,2006,50863,59,2331,25878,4616,3908,1601,22795,5479,7456,7424,2200,3685,57692,7474,633,4837,10272,4035,813,2014,333,6586,5351,6444,5376,64175,4853,11010,7857,131578,5744,5645,2247,4313","Up"
"14","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.50059023505156e-05,7.50295117525778e-05,0.593325476396405,-0.49712267299587,-1.75760264369239,197,"7031,7033,79083,3880,11145,4582,1366,9314,6513,11001,3856,2317,221,2810,9022,10140,1999,11057,120,51195,2353,7357,1717,56994,6337,2222,771,9368,54020,8800,4477,2274,5655,3705,9249,8553,4602,25976,124583,84187,64699,55191,7739,23052,573,8645,58495,55540,6505,3717,9060,1960","Down"
"15","HALLMARK_ESTROGEN_RESPONSE_LATE",7.65097324687078e-08,6.37581103905898e-07,0.704975715167238,-0.556013041548584,-1.96690184893807,198,"7031,10551,10874,445,7033,3880,11145,760,9314,11001,6768,3669,991,7264,2582,7263,23650,2317,221,2810,9022,10140,11012,11057,120,7153,51195,2353,1717,2707,56994,6337,2222,999,771,9368,5655,3705,27075,4602,11187,6491,51659,64699,3251,10112,51599,10535,3158,10538,10733,29988,573,8645,58495,5265,55540,5603,57834,56521,3717,9060,1960","Down"
"16","HALLMARK_FATTY_ACID_METABOLISM",6.52930270825486e-05,0.000272054279510619,0.538434096309916,-0.512566027190873,-1.75331002270255,158,"3248,51703,760,51170,11343,5092,54884,39,3157,5720,8801,3417,216,3422,50814,1718,3015,873,30,3939,8876,79602,51,1892,5805,3158,4683,1743,10449,2639,9246,2110,218,84263,51109,1632,1666,594,10961,4128,3052,3320,3033,35,10005,5910,6611,549,1376,2169,6389,84532,2820,3155,1891,2026,224,50486,9380,7533,4199,23173,8802,26275,6281","Down"
"17","HALLMARK_G2M_CHECKPOINT",3.54593882332126e-06,2.21621176457579e-05,0.627256739718528,-0.519196226990334,-1.83370345221263,200,"11065,991,1164,1033,51155,983,9055,7153,4085,6713,6790,51203,890,9133,8318,55872,29127,1163,5885,3161,3832,3015,26255,994,10419,9232,6491,22974,332,4171,51659,11004,699,9585,602,9212,7272,9184,10051,3838,1058,6558,10212,993,10733,4001,6427,23649,10460,3014,4088,262,3925,1111,3799,580,7371,3312,9252,10772,22809,7150,26271,81539,3149,4751,10146,10664,24137,5976,3619,10293,10024,3184,1062,9221,2146,8438","Down"
