"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_KRAS_SIGNALING_UP",0.0119629285656256,0.0260063664470121,0.380730400722792,-0.395225019795424,-1.40622107870448,198,"ANXA10,PLEK2,MALL,TSPAN1,CA2,KLF4,HKDC1,F2RL1,TFPI,TMEM176A,PTPRR,ERO1A,TRIB1,PSMB8,PIGR,ITGA2,SLPI,PRELID3B,USH1C,HBEGF,PLAUR,RBP4,BIRC3,TSPAN13,ANO1,RGS16,IL2RG,CXCL10,YRDC,BTC,MPZL2,MAP7,SOX9,CFB,ADAM8,KCNN4,FUCA1,PLAT","Down"
"2","HALLMARK_ANDROGEN_RESPONSE",0.0278625988693343,0.050023992747174,0.352487857583619,-0.441181336958723,-1.42812305564534,96,"HPGD,KRT19,KRT8,GPD1L,TMPRSS2,INPP4B,SPDEF,STK39,ABHD2,SCD,HMGCS1,HMGCR,TPD52,IDI1,DHCR24,IQGAP2,MAP7,RPS6KA3,PA2G4,CENPN,PGM3,SPCS3,ACSL3,INSIG1,SMS,PIAS1,UBE2J1,SAT1,B2M","Down"
"3","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0494296577946768,0.0748934209010255,0.282013350011725,-0.502957949031761,-1.43610844036531,46,"NQO1,PFKP,TXN,PDLIM1,SOD1,MGST1,JUNB,CDKN2D,PRDX1,LAMTOR5,HMOX2,CAT,SRXN1,TXNRD1,NDUFB4,MBP,GSR,SBNO2,OXSR1,ATOX1","Down"
"4","HALLMARK_MYC_TARGETS_V1",0.00267074877750843,0.00667687194377107,0.431707695803346,-0.441070499676338,-1.5625634527433,194,"CDC20,MAD2L1,CCNA2,CDC45,TYMS,RPL34,PSMA4,CYC1,DDX21,RRM1,SRPK1,PGK1,LDHA,MCM2,PABPC1,HPRT1,BUB3,RPL6,KPNA2,EXOSC7,PSMA6,SNRPG,ERH,HNRNPA3,CSTF2,PA2G4,GNL3,SRSF2,COX5A,COPS5,SNRPA,CBX3,NOP16,PRDX3,USP1,VBP1,FAM120A,NCBP2,ORC2,DUT,CLNS1A,VDAC1,CTPS1,SNRPD3,SRSF7,RAN,NHP2,MCM4,SRSF3,AP3S1,PSMB3,PSMC4,HNRNPR,G3BP1,PSMC6,NCBP1,IMPDH2,PHB,RPS3,PPM1G,SNRPB2,HNRNPD,EIF4A1,NOLC1,SNRPA1,SNRPD2,ABCE1,SNRPD1,PSMD1,GLO1","Down"
"5","HALLMARK_PEROXISOME",0.00541897082814755,0.0129023114955894,0.407017918923954,-0.483898799627454,-1.58111768007353,104,"ACSL5,HSD17B11,SLC27A2,TOP2A,TSPO,RETSAT,IDH1,ALDH1A1,PEX11A,IDI1,DHCR24,PEX2,DHRS3,NR1I2,ACAA1,PRDX5,MVP,PABPC1,ACOX1,HSD11B2,SOD1,ABCD3,GSTK1,PRDX1,RDH11,VPS4B,UGT2B17,CTPS1,ACOT8,BCL10,TTR,CAT,FIS1,PEX13,HMGCL,SLC25A19,ECH1,IDE,YWHAH","Down"
"6","HALLMARK_BILE_ACID_METABOLISM",0.00568521948828137,0.0129209533824577,0.407017918923954,-0.481969032556254,-1.59666802159911,112,"ACSL5,HSD17B11,SLC27A2,SLC22A18,RETSAT,IDH1,ALDH1A1,NR3C2,PEX11A,IDI1,DHCR24,SULT1B1,NR1I2,PRDX5,PECR,OPTN,SOD1,ABCD3,PHYH,GSTK1,PXMP2,HACL1,BCAR3,TTR,CAT,ABCA6,PEX13,PEX7,PEX11G,NR0B2,AQP9,SCP2,SULT2B1,LONP2,BBOX1,PEX16,SLC27A5","Down"
"7","HALLMARK_XENOBIOTIC_METABOLISM",0.000376325430098765,0.00110683950029049,0.49849310876659,-0.451265050254425,-1.60518499325406,197,"CYP2S1,CYP2C18,FBP1,HSD17B2,CA2,NQO1,CYP2J2,EPHA2,SERTAD1,AKR1C3,RETSAT,ALDH2,ABCC3,IDH1,PTGR1,PSMB10,RBP4,GART,GCH1,GSS,DDC,CBR1,KYNU,DHRS1,DHRS7,SPINT2,VNN1,CFB,ACOX1,HPRT1,CYB5A,PTS,TMBIM6,ETS2,ABHD6,POR,CASP6,ETFDH,ALDH3A1,HACL1,PAPSS2,TMEM176B,MAOA,ALAS1,ACP2,ASL,AHCY,GSTO1,CAT,SAR1B,PGRMC1,IGFBP1,PYCR1,JUP,IRF8,CDA,DHPS,SLC1A5,BCAR1,NMT1,AP4B1,SLC35D1,ECH1,CYP4F2,ENTPD5,GSR","Down"
"8","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00032733688998426,0.00102292778120081,0.49849310876659,-0.477432173741421,-1.67144422867206,184,"RETSAT,CASP7,NDUFA7,IDH1,ETFA,ATP6V1D,GLUD1,ATP1B1,CYC1,ACAA1,OAT,LDHA,ATP6V0B,NDUFB6,ECHS1,CYB5A,NDUFA9,COX15,DLST,POR,ACAA2,PHYH,COX8A,SLC25A20,UQCRH,ETFDH,GRPEL1,NDUFB7,COX17,BAX,UQCRQ,COX5A,SLC25A5,UQCRB,ECI1,UQCRFS1,PRDX3,DECR1,UQCRC1,HCCS,VDAC1,ALAS1,NDUFA1,MRPL34,NDUFB8,SDHB,OXA1L,COX6C,NDUFS3,ETFB,MRPS30,NDUFA3,NDUFB4,SDHA,MRPL11,MTX2,ECH1,MRPS22,NDUFS1,COX7A2,PDHX,SUCLG1,PMPCA,NDUFA2,IDH3A,MRPS11,HSD17B10,TIMM10,ATP6V1H,FDX1,ATP6V1E1","Down"
"9","HALLMARK_GLYCOLYSIS",7.30942010935354e-05,0.000261050718191198,0.538434096309916,-0.477106480915483,-1.69710497836693,197,"CAPN5,TFF3,ANG,BIK,ISG20,GALE,PFKP,ELF3,PYGB,CDK1,ADORA2B,B3GNT3,ERO1A,B4GALT4,HK2,SLC35A3,ALDOB,AURKA,GNE,GFPT1,TXN,IDH1,NT5E,IER3,NSDHL,HMMR,BPNT1,PGAM1,PKP2,MET,PGK1,SOX9,LDHA,TGFA,AK4,DSC2,CYB5A,P4HA1,KIF20A,SOD1,GOT1,KDELR3,CENPA,SLC25A10,TALDO1,CASP6,DDIT4,LHPP,AKR1A1,FUT8,TPI1,QSOX1,STMN1,DEPDC1,GMPPB,SLC16A3,POLR3K,COPB2,PKM,GAL3ST1,IL13RA1,NANP,PSMC4,GLCE,CTH,ENO1,ENO2","Down"
"10","HALLMARK_TNFA_SIGNALING_VIA_NFKB",6.09843036766787e-05,0.000234555014141072,0.557332238758646,-0.483424847588576,-1.7184371687334,199,"LDLR,PHLDA2,KLF4,F3,ATF3,F2RL1,TRIB1,FOS,MXD1,KLF2,DUSP5,TAP1,HBEGF,IRF1,FUT4,PLAUR,CXCL11,PHLDA1,MAFF,EHD1,IER3,BIRC3,SLC2A6,FOSB,GCH1,BHLHE40,KYNU,TIPARP,CXCL10,NR4A2,YRDC,RIPK2,FOSL1,B4GALT5,TRIP10,NFKB2,DUSP4,CLCF1,BCL3,ETS2,SOCS3,JUNB,CCRL2,CD69,EDN1,DDX58,SERPINB8,BIRC2,SMAD3,DUSP1,EGR3,NFKBIE,RNF19B,DRAM1,SERPINB2,NFKBIA,SDC4,SAT1,KLF6,HES1,JUN,IER2,CCL20,TNFSF9,LIF,TNIP2,PLK2,G0S2,TNFAIP2,NAMPT,BMP2,BTG3,ZFP36,MAP2K3","Down"
