"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_HEME_METABOLISM",0.0240158922217491,0.0444738744847206,0.352487857583619,-0.391146965839255,-1.38368641169458,198,"1510,760,6513,7037,10158,3005,10098,7504,55030,26020,682,10553,440,7779,10133,54855,129642,23657,8780,3043,55034,56674,8991,23052,25897,6386,6535,51218,8850,51094,6917,10840,115201,8364,54165,847,23351,7351,3145,7150","Down"
"2","HALLMARK_ANDROGEN_RESPONSE",0.0320411769644216,0.0525627034960116,0.321775918075361,-0.435707376837206,-1.409946489487,99,"3248,3880,3856,23171,7113,8821,25803,27347,11057,3005,6319,3157,3156,7163,3422,1718,10788,9053,6197,5036,55839,5238,60559,2181,3638,6611,8554,51465,6303,567","Down"
"3","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0415430815277844,0.0649110648871632,0.321775918075361,-0.519665663547823,-1.49231851355896,47,"1728,5214,7295,55829,9124,6647,4257,3726,1032,5052,10542,3163,847,140809,7296,4710,4155,2936,22904,9943,475","Down"
"4","HALLMARK_XENOBIOTIC_METABOLISM",0.00107337240455761,0.00298159001266003,0.45505986738723,-0.443702407785436,-1.5670734774549,200,"29785,1562,2203,3294,760,1728,1573,1969,29950,8644,54884,217,8714,3417,22949,5699,5950,2618,2643,2937,1644,873,8942,115817,51635,10653,8876,629,51,3251,1528,5805,7009,2114,57406,5447,839,2110,218,26061,9060,28959,4128,211,53,435,191,9446,847,51128,10857,3484,5831,3728,3394,978,1725,6510,9564,4836,10717,23169,1891,8529,957,2936","Down"
"5","HALLMARK_PEROXISOME",0.00595693953735364,0.013538498948531,0.407017918923954,-0.483898799627454,-1.57688675267827,104,"51703,51170,11001,7153,706,54884,3417,216,8800,3422,1718,5828,9249,8856,30,25824,9961,26986,51,3291,6647,5825,373156,5052,51109,9525,7367,1503,10005,8915,7276,847,51024,5194,3155,60386,1891,3416,7533","Down"
"6","HALLMARK_BILE_ACID_METABOLISM",0.00335795301893767,0.00799512623556587,0.431707695803346,-0.481969032556254,-1.57859836740372,112,"51703,51170,11001,5002,54884,3417,216,4306,8800,3422,1718,27284,8856,25824,55825,10133,6647,5825,5264,373156,5827,26061,8412,7276,847,23460,5194,5191,92960,8431,366,6342,6820,83752,8424,9409,10998","Down"
"7","HALLMARK_MYC_TARGETS_V1",0.00137520283431606,0.00361895482714753,0.45505986738723,-0.446879758971149,-1.58084174019603,198,"991,4085,890,8318,7298,6164,5685,3015,1537,9188,6240,6732,5230,3939,4171,26986,3251,9184,6128,3838,23016,5687,6637,2079,220988,1478,5036,26354,6427,9377,10987,6626,11335,51491,10935,7398,7411,23196,22916,4999,1854,1207,7416,1503,6634,6432,5901,55651,4173,6428,1176,5691,3376,5704,10236,10146,5706,4686,3615,5245,6188,5496,6629,3184,1973,9221,6627,6633,6059,6632,5707,2739","Down"
"8","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0001295312204521,0.000431770734840332,0.518848077743792,-0.469739278737637,-1.66014367048416,199,"54884,840,4701,3417,2108,51382,2746,481,1537,30,4942,3939,533,4712,1892,1528,4704,1355,1743,5447,10449,5264,1351,788,522,7388,2110,80273,4713,10063,581,27089,9377,292,7381,1632,7386,10935,1666,7384,3052,7416,211,4694,64981,4714,6390,5018,10632,1345,4722,516,2109,10884,4696,4710,6389,65003,10651,1891,56945,4719,1347,8050,8802,23203,4695,506,3419,64963,3028,26519,51606,2230,529,10476,374291,4709,9551,34,6391,1329,539,3418,6832,37,513,4708,4717,51660,6834","Down"
"9","HALLMARK_TNFA_SIGNALING_VIA_NFKB",7.96243792573884e-05,0.000306247612528417,0.538434096309916,-0.481777760980007,-1.70154846584575,200,"3949,7262,9314,2152,467,2150,10221,2353,4084,10365,1847,6890,1839,3659,2526,5329,6373,22822,23764,10938,8870,330,11182,2354,2643,8553,8942,25976,3627,4929,79693,8767,8061,9334,9322,4791,1846,23529,602,2114,9021,3726,9034,969,1906,23586,5271,329,4088,1843,1960,4794,127544,55332,5055,4792,6385,6303,1316,3280,3725,9592,6364,8744,3976,79155,10769,50486,7127,10135,650,10950,7538,5606","Down"
"10","HALLMARK_GLYCOLYSIS",4.91992114724155e-05,0.00022363277942007,0.557332238758646,-0.483462554968717,-1.70864421366752,199,"726,7033,283,638,3669,7264,2582,5214,1999,5834,983,136,10331,30001,8702,3099,23443,229,6790,10020,2673,7295,3417,4907,8870,50814,3161,10380,5223,5318,4233,5230,6662,3939,7039,205,1824,1528,5033,10112,6647,2805,11015,1058,1468,6888,839,54541,64077,10327,2530,7167,5768,3925,55635,29925,9123,51728,9276,5315,9514,3597,140838,5704,26035,1491,2023,2026","Down"
