"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_ADIPOGENESIS",0.00337704802478264,0.0068491167847501,0.431707695803346,-0.415076786406484,-1.50234216314786,199,"5468,10140,7263,134147,79071,217,3417,54884,9908,10124,2109,10935,1717,6817,483,11343,6888,8780,1580,847,29979,5264,1468,51,1537,8694,58472,10162,334,51727,6647,6510,34,6342,26994,6623,65124,1892,4713,6391,10243,5447,3033,1351,3459,6390,2820,79602,1737,128338,51129,10449,80273,7351,204,5004,27069,29103,1666,26275,3419,4199,4722,10313,51635,2101,7086,8802,901,27089,51805,5236,4836,1376,5209","Down"
"2","HALLMARK_ANDROGEN_RESPONSE",0.00249945544545539,0.00568058055785316,0.431707695803346,-0.480689549853999,-1.58143447386129,99,"3880,3248,7113,23171,3157,8821,8848,11057,25803,27347,6319,3638,3856,1718,3156,2936,51465,6303,55839,9053,10788,3422,3005,567,6611,5238,10611,60559,6197,87,9218,7163,8554,2181,25816,8031,2005,3998","Down"
"3","HALLMARK_ANGIOGENESIS",0.000119475238780586,0.000373360121189331,0.538434096309916,0.687288275657809,1.95310729430094,36,"4060,1290,1281,6696,10631,5104,894,11167,6275,4023,6781,1462,7448,6578,8829,182,4487","Up"
"4","HALLMARK_APICAL_JUNCTION",0.00411941498932406,0.00792195190254628,0.407017918923954,0.389082447204976,1.45776669763949,200,"72,10398,2318,7122,7070,83700,7045,51148,51466,4318,4628,1009,8515,10174,51776,91624,7059,9353,2593,4267,8910,6464,7791,7248,81,9459,1004,3680,2533,4627,1462,247,84552,4313,649,6624,2200,140885,7216,2771,55742,6251,1297,9379,5089,57555,1272,5335,5310,8189,143903,11096,5010,7106,5216,4478,8449,1307,1041,8976,2770,23562,1013,5728","Up"
"5","HALLMARK_APOPTOSIS",0.0593869731800766,0.0805956297889365,0.257206466468838,-0.36001887172257,-1.27802387484186,161,"638,5058,3669,2769,7153,706,54884,467,10682,840,8870,6890,330,3659,2643,3301,2936,6648,2064,6309,5327,1499,6303,836,8878,5366,8915,834,3005,301,839,7465,6647,3553,8743,4170,3459,637,952,5611,4739,5663,1806,3958,837,960,842,2065,351,10059,7049,1491,7076,994,4000","Down"
"6","HALLMARK_BILE_ACID_METABOLISM",0.00520239680490585,0.00963406815723306,0.407017918923954,-0.460168105626804,-1.54366474051842,112,"11001,3417,54884,51170,27284,25824,216,1718,5825,8800,7276,847,4306,5264,55825,3422,366,6647,8424,6342,6820,51703,9409,2638,9023,223,26061,5194,5827,5191,1734,83752,8856,23600,373156,29842,3283","Down"
"7","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.000199728401206509,0.00056518683002436,0.518848077743792,-0.59525412656039,-1.8985509414811,74,"5468,114569,3949,3157,2222,6713,39,467,10682,55902,6319,5359,1717,5329,3156,230,71,6309,1499,3422,50814,5641,308,22809,27346,57761,5833,3958,2194,928,26270","Down"
"8","HALLMARK_COAGULATION",0.014196559589347,0.0236609326489116,0.380730400722792,0.388198973737061,1.38433436340527,138,"6678,5054,5654,1513,2,7078,710,1311,4485,1675,4320,4318,341,11098,7057,2534,716,1397,10404,3249,1465,5328,1519,4035,7018,22933,5045,4313,649,344,1508,715,8309,2200,5627,8237,5028","Up"
"9","HALLMARK_COMPLEMENT",0.059640766043813,0.0805956297889365,0.321775918075361,-0.355702490379649,-1.28744094185677,199,"2152,1604,283,725,760,8942,4067,5055,4321,629,255738,840,7511,10938,5550,5698,3002,5359,5329,3659,1368,8754,2885,2919,978,1075,1356,5327,23764,836,51056,834,8445,1848,5641,6280,308,5531,2820","Down"
"10","HALLMARK_E2F_TARGETS",9.22404462040258e-11,9.22404462040258e-10,0.839088935621274,-0.589903533871133,-2.13032523608069,197,"991,7037,1164,983,1033,4085,7153,1163,55143,29089,51155,1633,9787,9133,5885,29127,7083,6790,9232,7283,10606,9833,11004,3838,5901,55723,4173,79077,57122,4683,9918,10212,1503,4001,4609,79019,3015,10733,10535,7465,1111,1434,10635,7398,29028,6470,23468,6241,7884,10797,580,993,10527,9212,6427,9319,55646,3161,204,3014,332,55635,29980,10714,9221,9125,10664,64785,4999,11340,23649,6749,8914,4171,10051,9183,147841,3930,4830,5347,1031,994,6628,1854,5902,11200,3070,84844,7112,6119,10549,56655,8726,2547,1062,5983,3184,5395,2146,79075,23594,2935,25842,81624","Down"
