"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_MYC_TARGETS_V1",0.00290477260265785,0.00605160958887052,0.431707695803346,-0.424352240944288,-1.5298483710357,194,"CDC20,MAD2L1,RPL34,PGK1,CCNA2,TYMS,CYC1,CDC45,HPRT1,LDHA,CTPS1,RRM1,RAN,BUB3,PRPS2,KPNA2,SNRPG,ERH,SRSF7,EXOSC7,DDX21,SRPK1,NCBP2,RPS3,CSTF2,PSMA6,EIF4G2,PSMB3,HNRNPA3,PSMA4,ABCE1,SRSF2,PRDX3,NME1,PSMA1,VBP1,NOP16,COPS5,DUT,SRSF3,UBE2E1,HNRNPR,MCM4,NOLC1,COX5A,YWHAE,GNL3,G3BP1,VDAC3,CLNS1A,NCBP1,FAM120A,PRDX4,RPLP0,PA2G4,HSPE1,SNRPA,NHP2,HDGF,XRCC6,PSMC4,EIF1AX,MCM2,VDAC1,MRPL9,ORC2,POLE3,PSMB2,CBX3,XPOT,SNRPB2,EIF4A1","Down"
"2","HALLMARK_HYPOXIA",0.00121472203359859,0.00303680508399648,0.45505986738723,-0.436491611790649,-1.57361247765,194,"PLAC8,FBP1,SLC2A1,F3,ADM,HS3ST1,ERO1A,ADORA2B,ATF3,ISG20,HK2,CA12,PFKP,FOS,PGK1,PRDX5,XPNPEP1,P4HA1,PLAUR,IER3,BHLHE40,DUSP1,KDELR3,ILVBL,ANGPTL4,MAFF,ALDOB,CP,DDIT4,SELENBP1,LDHA,CCNG2,ANXA2,SLC2A5,GLRX,ALDOC,CASP6,AK4,TGM2,TES,NOCT,TIPARP,JUN,EFNA1,TPI1,ENO1,IGFBP1,MT1E,TPBG,STBD1,GRHPR,GAPDH,SDC4","Down"
"3","HALLMARK_ANDROGEN_RESPONSE",0.00495026036103354,0.00951973146352605,0.407017918923954,-0.481169529264277,-1.58692867695121,96,"HPGD,KRT19,INPP4B,TMPRSS2,SPDEF,GPD1L,ABHD2,SPCS3,HMGCS1,TSC22D1,KRT8,STK39,IDI1,SAT1,ACSL3,SCD,DHCR24,SORD,INSIG1,GSR,CENPN,B2M,UBE2J1,HMGCR,IQGAP2,PGM3,UAP1","Down"
"4","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0162684181709301,0.0280489968464313,0.352487857583619,-0.549439086215642,-1.58911910522351,46,"NQO1,PFKP,TXN,MGST1,SOD2,PRDX1,CDKN2D,GSR,GLRX,LAMTOR5,PDLIM1,SOD1,NDUFB4,GLRX2,JUNB,CAT,MBP,PRDX4,HMOX2","Down"
"5","HALLMARK_UV_RESPONSE_UP",0.00162967484114004,0.00370380645713645,0.45505986738723,-0.451150776492653,-1.59059560213324,155,"C4BPB,TFRC,CCK,ATF3,TST,LYN,FOS,DNAJB1,EPCAM,CLTB,TAP1,SOD2,CASP3,CA2,FOSB,FEN1,SULT1A1,IRF1,DGAT1,ACAA1,TUBA4A,GGH,AQP3,DNAJA1,GCH1,HLA-F,PPAT,DDX21,GRPEL1,POLR2H,SLC6A8,ALAS1,STARD3,JUNB,SIGMAR1,STIP1,CHRNA5,GRINA,SPR,TMBIM6,AMD1,RAB27A,BID,MAPK8IP2,BAK1,MAOA,ICAM1,MARK2","Down"
"6","HALLMARK_XENOBIOTIC_METABOLISM",0.000701428079547361,0.00207293522425614,0.477270815362862,-0.445668216659931,-1.61022302222453,197,"FBP1,CYP2C18,CYP2S1,CYP2J2,ALDH3A1,KYNU,NQO1,VNN1,PTGR1,AQP9,ALDH2,EPHA2,AKR1C3,HSD17B2,TMEM176B,CDA,IDH1,PTGES,IRF8,SERTAD1,GSS,CA2,CFB,HPRT1,PSMB10,RETSAT,SPINT2,GART,GSR,SLC1A5,DHRS1,CBR1,GCH1,AP4B1,CASP6,DHRS7,ABCC3,POR,PAPSS2,SAR1B,ETFDH,PTS,ETS2,ACP2,GSTO1,ALAS1,HACL1,ACOX3,CAT,PGRMC1,ACOX1,PYCR1,RBP4,ABHD6,TMBIM6,PDLIM5,IGFBP1,TMEM97","Down"
"7","HALLMARK_FATTY_ACID_METABOLISM",0.000770287984855654,0.00213968884682126,0.477270815362862,-0.464474765148955,-1.64180661783706,156,"HPGD,ALDH3A1,VNN1,HMGCS1,PCBD1,HSD17B11,IDI1,IDH1,ACAT2,RAP1GDS1,SUCLG2,CA2,RETSAT,DHCR24,UBE2L6,LDHA,PSME1,NSDHL,ACAA1,ALDH1A1,CBR1,IL4I1,SDHC,G0S2,HSDL2,ACSL5,DLST,ACAA2,ETFDH,PTS,MGLL,HMGCS2,ECHS1,HADH,ACOT8,HCCS,GCDH,ACOX1,HMGCL,CPT2,XIST,GPD2,NBN,ADIPOR2,FABP2,SDHA,ACSL4,OSTC,BCKDHB,SDHD,AUH,GRHPR,S100A10,RDH16,HIBCH,MAOA,ACADM,MIF,ALDH9A1,RDH11,SMS,HSD17B10,YWHAH,METAP1,ECI1,ALDOA,NTHL1","Down"
"8","HALLMARK_KRAS_SIGNALING_UP",4.54100885731057e-05,0.000162178887761092,0.557332238758646,-0.476126481766934,-1.71906827108503,198,"ANXA10,TSPAN1,SLPI,KLF4,PTGS2,MALL,PLEK2,ERO1A,TMEM176A,TFPI,TRIB1,PIGR,MPZL2,CCL20,BIRC3,TMEM176B,HKDC1,ITGA2,PLAUR,HBEGF,FUCA1,F2RL1,PRELID3B,TNFRSF1B,USH1C,ADAM8,PLAT,IL2RG,IRF8,CLEC4A,ANGPTL4,TMEM158,TSPAN13,CA2,CFB,CXCL10,RGS16,IL1B,PSMB8,WNT7A,LY96,KCNN4,YRDC,IL33,GLRX,CTSS,G0S2,BTC,MMP10,AVL9","Down"
"9","HALLMARK_OXIDATIVE_PHOSPHORYLATION",5.43070901646359e-05,0.00018102363388212,0.557332238758646,-0.483360684153439,-1.72031728200333,184,"ATP6V0B,CASP7,IDH1,ATP1B1,NDUFA7,CYC1,OAT,UQCRH,RETSAT,ETFA,LDHA,NDUFB6,UQCRB,ATP6V1D,ACAA1,GLUD1,SLC25A5,COX8A,SDHC,POR,GRPEL1,NDUFB4,DLST,MRPL34,ACAA2,ETFDH,COX15,MRPL11,NDUFB7,PHYH,ECHS1,PRDX3,ALAS1,HCCS,MRPL35,NDUFA1,SDHB,COX5A,NDUFA9,UQCRQ,VDAC3,NDUFS3,TIMM8B,NDUFA3,COX7B,DLAT,SDHA,SDHD,ETFB,NDUFC1,SLC25A20,ACADM,MRPS30,ACAT1,ATP6V1G1,MTX2,MPC1,VDAC1,IDH3A,IDH2,HSD17B10,MRPS11,CYB5A,UQCRC1,NDUFB3,ECI1,PMPCA,COX6C,ATP6V1E1,ALDH6A1,COX5B,PDHX,UQCRFS1,BAX,OXA1L,DECR1,COX7A2L","Down"
"10","HALLMARK_G2M_CHECKPOINT",2.08483286166792e-05,8.686803590283e-05,0.575610261071129,-0.48773096330251,-1.75316010948972,192,"CDC20,CKS2,CDKN3,CDK1,UBE2C,TOP2A,CKS1B,NUSAP1,MAD2L1,SQLE,CCNA2,PTTG3P,PTTG1,RACGAP1,PBK,CCNB2,PRC1,AURKA,CDC45,STIL,KIF2C,UCK2,HMMR,DDX39A,PRMT5,HSPA8,BUB3,BUB1,KIF11,RAD21,KPNA2,ATF5,SMC4,CHEK1,PLK4,TPX2,SRSF2,KIF20B,LMNB1,SLC12A2,KIF5B,CDC25B,HIF1A,AURKB,BCL3,NOLC1,BARD1,CENPA,G3BP1,NUP98,EXO1,AMD1,SRSF10,PLK1,BIRC5,NEK2,TTK,CDC25A,MCM2,CDKN2C,POLA2,E2F2,LBR,TACC3,RPS6KA5,RPA2,TMPO,TOP1,GINS2,MNAT1","Down"
"11","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.69836855734128e-05,7.71985707882399e-05,0.575610261071129,-0.488764634474394,-1.76133593046148,193,"TFF1,TFF3,SLC2A1,MUC1,KLF4,MLPH,CLIC3,KRT19,TMPRSS3,ELF3,FDFT1,CLDN7,RAPGEFL1,TOB1,CA12,SFN,ABHD2,KLK10,SLC27A2,FOS,UGCG,CHPT1,KRT8,SCNN1A,ALDH3B1,BHLHE40,PTGES,LAD1,PMAIP1,FHL2,DHCR7,PEX11A,SLC37A1,FLNB,KRT15,FAM102A,AQP3,TSKU,NXT1,PAPSS2,ZNF185,OVOL2,MICB,MYOF,SLC9A3R1,ABLIM1,TGM2,DHRS3","Down"
