"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","KEGG_O_GLYCAN_BIOSYNTHESIS",2.15984556949902e-06,0.000401731275926819,0.627256739718528,-0.818491276620447,-2.19175530366641,25,"ST6GALNAC1,GCNT3,GALNT5,C1GALT1,GALNT3,GCNT1,GALNT6,GALNT12,GALNT7,GALNT14,GALNT4,B4GALT5,C1GALT1C1","Down"
"2","KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",1.56017470997442e-05,0.0009903664842201,0.575610261071129,0.711533228554277,2.12661813421217,31,"GNMT,GAMT,CBS,GATM,PSAT1,GCAT,PHGDH,CTH,AMT,ALAS2,DMGDH,AOC3","Up"
"3","KEGG_RETINOL_METABOLISM",1.59736529712919e-05,0.0009903664842201,0.575610261071129,-0.664552108211589,-2.03089124456437,51,"UGT1A6,CYP2C18,DHRS9,UGT1A8,CYP3A7,CYP3A4,CYP2C9,DGAT1,CYP3A5,RETSAT,CYP26A1,CYP2B6,DGAT2,CYP2C19,RDH5,RDH10,ADH4","Down"
"4","KEGG_PROTEASOME",7.69160670377494e-05,0.00357659711725535,0.538434096309916,-0.6646440617689,-1.96094648612295,42,"PSMB9,PSMB8,PSMC4,PSMD1,PSMA5,PSME2,PSMA4,PSMB3,PSMC2,POMP,PSMB2,PSME3,PSMB10,PSMA3,PSMA2,PSMD11,PSME1,PSMA6,PSMD13,PSMB4,PSMD14,PSMD7,PSMA1,PSMC6,PSME4,PSMA7","Down"
"5","KEGG_CELL_CYCLE",0.000114468751435429,0.00425823755339797,0.538434096309916,-0.522620406842337,-1.80745493437635,115,"MAD2L1,SFN,BUB1,CCNB1,CHEK1,CDKN2A,TTK,PTTG2,CCNA2,CDC6,PTTG1,MCM4,YWHAZ,CDC25C,CDKN2B,BUB1B,BUB3,YWHAB,HDAC1,SMAD3,CDK7,CDC20,MCM2,YWHAH,PCNA,RAD21,GSK3B,CDC23,MCM6,MCM7,DBF4,E2F3,MAD1L1,CCNB2,MCM3,CCND3,CCND1,CDC25B,ATR,SKP2,CREBBP,WEE1,PKMYT1,ANAPC10,CHEK2,CDK4,TGFB1,CDK6,CCNE2,RB1,E2F5,E2F1","Down"
"6","KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG",0.00026312498084333,0.00729956073786872,0.49849310876659,0.719262585684009,2.04762751783493,25,"IAPP,ONECUT1,PAX6,MAFA,INS,HHEX,NR5A2,NKX2-2,NEUROG3,NEUROD1,SLC2A2,PAX4,MNX1,HNF1B","Up"
"7","KEGG_ECM_RECEPTOR_INTERACTION",0.000274714651425167,0.00729956073786872,0.49849310876659,-0.543133431143368,-1.78751724753672,83,"LAMB3,LAMC2,COL11A1,ITGB6,ITGB4,ITGA2,COL1A1,LAMA3,HMMR,ITGA3,ITGA11,THBS2,ITGA6,COMP,FN1,SDC1,COL1A2,COL5A2,COL3A1,IBSP,ITGA1,ITGB5,COL5A1","Down"
"8","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.000390014468321971,0.00906783638848583,0.49849310876659,-0.611036328437645,-1.86734541084273,51,"CDH1,EZR,TUBA3C,OCLN,TUBA4A,TUBAL3,ARPC1B,YWHAZ,KRT18,ACTB,ARPC2,ARPC5L,CTTN,ARPC3,NCK1,CLDN1,TUBA1B,ARPC5,ACTG1,ARPC4,TUBA1C,ARPC1A","Down"
"9","KEGG_PATHWAYS_IN_CANCER",0.00129204582089065,0.0235904298958613,0.45505986738723,-0.383493921197225,-1.48987243205509,319,"LAMB3,LAMC2,PPARG,SLC2A1,EGLN3,MMP1,WNT10A,RAD51,MET,CBLC,CDH1,ITGA2,LAMA3,JUP,ITGA3,WNT5A,WNT2,BMP4,ITGA6,BIRC5,CDKN2A,FN1,TGFA,GSTP1,MMP9,ERBB2,GLI1,FZD2,BIRC3,CDKN2B,PDGFRB,BID,LEF1,PML,GLI2,TRAF4,CKS1B,KITLG,CASP3,CTNNA1,HDAC1,PTGS2,FZD5,SMAD3,RALA,HHIP,BMP2,RAC1,RAC2,PIK3CB,NRAS,KRAS,RALB,RELA,STAT1,COL4A2,GSK3B,WNT7A,TRAF2,TCF7L2,WNT3A,WNT7B,CCDC6,FOS,MAP2K1,FADD,RUNX1,FAS,FGF20,E2F3,WNT1,BCL2L1,CSF2RA,AXIN1,BRCA2,RALBP1,TPM3,MAPK1,MSH2,DAPK1,CCND1,RARB,XIAP,TFG,HSP90AA1,CDC42,RHOA","Down"
"10","KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.00133084145256393,0.0235904298958613,0.45505986738723,-0.617277306459463,-1.8668330783755,47,"UGT1A6,UGT1A8,CYP3A7,CYP3A4,HSD17B2,HSD11B2,HSD17B6,SRD5A3,AKR1C3,CYP3A5,SULT2B1","Down"
"11","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.00139513295083051,0.0235904298958613,0.45505986738723,-0.710234042793194,-1.90186416715871,25,"B3GNT3,FUT3,FUT2,FUT5,B3GNT5,B4GALT4,B3GALT5,FUT4","Down"
"12","KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",0.0023033421485746,0.0357018033029063,0.431707695803346,0.671449447265313,1.87305697298691,23,"FXYD2,AQP1,ATP1A2,CA4,SLC4A4,GLS2,ATP1B2","Up"
"13","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.00298522359861641,0.0401159854679976,0.431707695803346,-0.535081840003041,-1.6692853244097,61,"UGT1A6,CYP2C18,UGT1A8,CYP3A7,CYP3A4,CYP2S1,CYP2C9,DHDH,GSTP1,AKR1C3,MGST2,CYP3A5,ALDH3A1,CYP2B6,GSTT1,CYP2C19,GSTO2,MGST3,GSTK1,GSTO1","Down"
"14","KEGG_ENDOCYTOSIS",0.00301948277716111,0.0401159854679976,0.431707695803346,-0.418248623037013,-1.52781214778363,171,"MET,CBLC,PRKCI,ASAP2,PARD6B,PIP5K1B,HLA-F,DNM2,CHMP4C,HLA-A,SH3KBP1,HLA-C,F2R,RAB11A,IL2RA,CLTB,HLA-B,TFRC,HSPA1A,CHMP2B,ARF6,EHD1,HLA-E,LDLR,ARAP2,AP2B1,VPS37B,RAB11FIP1,SRC,STAMBP,PSD4,CHMP5,PDCD6IP,IL2RG,RAB5C,RUFY1,SMURF1,ERBB3,AP2S1,RAB22A,TSG101,GRK5,CHMP1B,RAB5A,RAB31,WWP1,STAM2,CXCR4,EHD4,SH3GLB1,ACAP2,VPS4B,HSPA6,CDC42,EPN3,VPS25,VPS28,VPS36,EGFR,STAM,ASAP1,DNM1L","Down"
"15","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.00443131315461894,0.0549482831172748,0.407017918923954,-0.504731905377408,-1.64814450735299,77,"HLA-F,IFI30,TAP1,HLA-A,HLA-C,HLA-DRA,B2M,HLA-B,HSPA1A,CTSS,HLA-DRB4,HLA-E,HLA-DRB5,HLA-DRB1,PSME2,HLA-DPA1,HLA-DMA,CD74,HLA-DRB3,PDIA3,PSME3,HLA-DQA2,RFX5,PSME1,CTSB,HSP90AA1,HSPA6","Down"
"16","KEGG_LEISHMANIA_INFECTION",0.00518372228097129,0.0602607715162913,0.407017918923954,-0.530087956376524,-1.69247454878057,68,"FCGR3A,MARCKSL1,IFNGR2,HLA-DRA,NCF2,MYD88,ITGB2,PTGS2,HLA-DRB4,FCGR3B,ITGAM,HLA-DRB5,HLA-DRB1,MAPK13,RELA,STAT1,HLA-DPA1,HLA-DMA,HLA-DRB3,IL1B,IL1A,FOS,HLA-DQA2,MAPK1,FCGR2A,PTPN6,NCF4,JAK2,CYBA,IFNGR1,TGFB1,HLA-DQB1,NOS2,ITGB1,TLR2,NCF1,ELK1,NFKB1,MAPK14,TLR4,HLA-DQA1","Down"
