"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.00831018835035031,0.0812887514997903,0.380730400722792,-0.600055931851169,-1.67085140641918,30,"CHEK1,CDC6,MCM4,CDC25C,MCM10,MCM2,HUS1,MCM6,MCM3,MCM7,DBF4,RFC2,RPA3,ATR,CDC25A,CDK2,RFC5,MCM5,CLSPN,MCM8","Down"
"2","REACTOME_ACTIVATION_OF_C3_AND_C5",0.0133925662752282,0.111997937659162,0.380730400722792,0.831329398162712,1.61305899982127,6,"C3,C5,C4B,CFP","Up"
"3","REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG",0.00433230137592681,0.0525739430131268,0.407017918923954,-0.901539708265802,-1.63361555477941,5,"MGLL,PNPLA3,DGAT1,DGAT2,PNPLA2","Down"
"4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM",0.0160060539986129,0.124800826829764,0.352487857583619,-0.292089141255073,-1.24121452910484,725,"CTSE,COL17A1,UBE2C,BTNL8,CDH1,LMO7,TREM1,COL1A1,AP1S3,DAPP1,VASP,TUBA3C,HLA-F,TAP1,ITPR3,BCL10,KIF15,DNM2,TUBA4A,SH3KBP1,YWHAZ,HLA-A,IFI30,PAK1,PSMB9,KLHL25,HLA-C,NFKBIE,RACGAP1,AP1M2,YWHAB,KIF18A,UBC,CARD11,CXADR,PSMB8,PPL,BLNK,ERAP2,LCK,CD1A,KIF11,LAIR2,PSME2,SRC,KIF2C,LYN,CTSA,MYD88,KIF20A,IFITM1,SH3RF1,CTSS,TUBAL3,SPSB2,CTSH,ITGB5,VAMP8,PDIA3,SIGLEC12,PSMA5,HLA-DQB2,B2M,KIF23,WWP1,TRIM11,PPIA,RAC1,RELA,COL1A2,DTX3L,PSMB3,SAR1B,HERC6,HLA-DRA,AP2B1,PIK3CB,TREML2,PSMB10,TRIM21,DYNLL1,HLA-B,RIPK2,UBE2H,SYK,UBB,SIAH2,HLA-E,HLA-DRB4,SIPA1,COL3A1,UBE2K,CYBA,FBXO32,CAPZA1,PSMD1,CDC20,MICA,PRKACB,PSMA4,PPP2CA,PAK2,PPP3CA,FCGR3A,ZNRF2,PSMC4,PSMB2,KRAS,RNF19B,NRAS,TUBA1B,NCF2,ASB7,STX4,PSMB4,HLA-DRB3,UBA7,SMURF1,CTSC,RNF126,FBXL20,CD300LF,UBE2L6,PSMD11,PSME3,HLA-DQB1,ITGB2,PTPRJ,PSME1,CDC23,TUBA1C,BCAP31,HLA-DRB1,VAMP3,HLA-DMA,BTN1A1,SKP2,GAN,FBXO22,YES1,CD207,NCK1,SIAH1,CAPZB,KIF5B,PSMD13,SIGLEC8,RAB7A,PSMC2,CTSB,RNF7,KIF4A,TNFRSF14,UBE2A,FBXL12,VAV1,AP2S1,AP1G1,UBA3,UBE2Q1,XDH,UBE2D3,BTN3A2,ANAPC10,TYROBP,ASB12,RASGRP1,SIGLEC5,HLA-DRB5,IGHM,TUBA3D,HERC5,PSME4,LGMN,MKRN1,PPP2R5D,CD80,NFKB1,ICOS,ICOSLG,SEC31A,PTPN6,SH2D1B,CENPE,PSMA3,KLC2,PSMD14,HERC4,ZNRF1,PSMD12,ARF1,CD1B,ASB6,CD300E,PPP2R5B,HLA-G,ASB10,HLA-DPA1,HLA-DQA1,PTPN22","Down"
"5","REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY",0.0284005364448071,0.180491814317654,0.352487857583619,0.692732097615417,1.50246019713021,10,"ADCY4,ADCY3,ADCY9,ADCY1,ADCY5","Up"
"6","REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY",0.0258326321947841,0.173003603163409,0.352487857583619,0.657444499152229,1.53097746976902,13,"ADCY4,ADCY3,ADCY9,ADCY1,ADCY5,GNAI1","Up"
"7","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",0.0182070053845622,0.134798654544419,0.352487857583619,-0.578498536816522,-1.60465034815829,28,"CDH3,CDH1,CDH17,JUP,CDH11,ACTB,CTNNA1,ANG,ACTG1,CTNNB1,CTNND1,CDH13","Down"
"8","REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION",0.000392804659956348,0.00932333413484625,0.49849310876659,0.450247260497242,1.69169552795024,129,"IAPP,VIP,ADCYAP1R1,GNG11,ADRB2,ADCYAP1,PRKAR2B,IL6,VIPR2,ADCY4,POMC,CRH,GNG4,GPHA2,ADCY3,GNAZ,RAMP3,SCTR,GNG7,RAMP1,HTR7,CALCRL,ADCY9,GNAS,GHRH,ADCY1,RAMP2,PTGER4,PTH1R,ADCY5,GNAI1,PRKAR1A,GPR20,GNG2,MC2R,ADORA2A,GNG10","Up"
"9","REACTOME_ADRENOCEPTORS",0.0362171923400252,0.209514510526167,0.321775918075361,0.704689548774629,1.50715214028397,9,"ADRB2,ADRA2C,ADRA1B","Up"
"10","REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS",0.0274077993243559,0.176944752438042,0.352487857583619,0.721721084239689,1.54357827314365,9,"NR4A1,FOXO1,AKT3,FOXO3,AKT2","Up"
"11","REACTOME_ALPHA_DEFENSINS",0.0261964174890781,0.173995958137334,0.352487857583619,0.724802143068409,1.5501678762052,9,"PRSS3,PRSS2,CD4","Up"
"12","REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION",0.0304171249656333,0.186666310625597,0.352487857583619,0.825558462604186,1.55452542668335,5,"CFD,C3,CFP","Up"
"13","REACTOME_ANCHORING_FIBRIL_FORMATION",0.0146759111588904,0.120380409842614,0.380730400722792,-0.685844653091736,-1.64159328609017,15,"LAMC2,LAMB3,COL1A1,LAMA3","Down"
"14","REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",0.000880208895930202,0.01632939262105,0.477270815362862,-0.692566494969249,-1.86788490050095,25,"HLA-F,TAP1,HLA-A,HLA-C,ERAP2,PDIA3,B2M,SAR1B,HLA-B,HLA-E","Down"
"15","REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",0.00578256384411599,0.0671443024777209,0.407017918923954,-0.448926128452973,-1.55215516977965,100,"HLA-F,TAP1,HLA-A,PSMB9,HLA-C,UBC,PSMB8,PSME2,MYD88,CTSS,ITGB5,VAMP8,PDIA3,PSMA5,B2M,PSMB3,PSMB10,HLA-B,UBB,HLA-E,CYBA,PSMD1,PSMA4,PSMC4,PSMB2,NCF2,STX4,PSMB4,PSMD11,PSME3,PSME1,VAMP3,CD207,PSMD13,PSMC2","Down"
"16","REACTOME_ANTIMICROBIAL_PEPTIDES",0.035591092607852,0.208130519815482,0.321775918075361,0.427597919317784,1.41993588302458,62,"REG3G,REG3A,PRSS3,CLU,CTSG,PRSS2,PLA2G2A,CHGA","Up"
