"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.0013016332625029,0.0192737255566944,0.45505986738723,-0.662497089272652,-1.83221282107378,30,"CHEK1,CDC6,MCM4,CDC25C,MCM10,MCM2,HUS1,MCM6,MCM7,DBF4,RFC2,MCM3,RPA3,ATR,RFC5,RFC4,RAD1","Down"
"2","REACTOME_ACTIVATION_OF_C3_AND_C5",0.00560352424962836,0.0558967436193478,0.407017918923954,0.84050097585002,1.65371640642476,6,"C5,C4B,C3,CFB,CFP","Up"
"3","REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG",0.0163682244173776,0.114862235694119,0.352487857583619,-0.861426141094677,-1.56190491723841,5,"MGLL,PNPLA3,DGAT1,DGAT2","Down"
"4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM",0.000285428731889543,0.00555038522011713,0.49849310876659,-0.341028960450002,-1.40565608489362,725,"CTSE,COL17A1,BTNL8,UBE2C,TREM1,LMO7,CDH1,COL1A1,AP1S3,DAPP1,KIF15,TUBA3C,ITPR3,PSMB9,HLA-F,DNM2,RACGAP1,FCGR3A,COL1A2,KLHL25,BCL10,IFI30,TAP1,HLA-A,SH3KBP1,PPL,TUBA4A,KIF18A,PAK1,TUBAL3,VASP,COL3A1,HLA-C,PSMB8,KIF11,HLA-DRA,CARD11,YWHAZ,AP1M2,VAMP8,ITGB5,NCF2,B2M,CTSA,IFITM1,MICA,LCK,CXADR,YWHAB,CD1A,MYD88,KIF23,ITGB2,HLA-B,BLNK,SPSB2,KIF20A,NFKBIE,UBC,CTSS,HLA-DRB4,SH3RF1,SIGLEC12,LYN,HLA-E,HERC6,CD300LF,DYNLL1,PSMC4,PSMD1,RAC1,LAIR2,SYK,KIF2C,DTX3L,PIK3CB,TYROBP,NCK1,HLA-DRB5,AP2B1,CTSK,SIAH2,SRC,NRAS,PSMA5,KRAS,CDC20,HLA-DRB1,SAR1B,PSME2,CTSH,PPIA,VAV1,TRIM11,TUBA1B,FBXO32,RELA,HERC5,UBE2H,HLA-DQB2,PSMA4,ERAP2,PSMB3,TREML2,ASB7,SIPA1,UBE2E1,TRIM21,UBE2K,VAMP3,RIPK2,HLA-DPA1,UBB,PSMC2,HLA-DMA,CD74,HLA-DRB3,CDC23,SIGLEC5,PSMB2,PPP3CA,SMURF1,TRAIP,PDIA3,AP2S1,UBE2L6,PJA1,BTN3A3,ZNRF2,TRIM36,CAPZA1,PSME3,PPP2CA,FBXO22,CYBB,TUBA1C,FBXL20,PAK2,PSMB10,UBE2A,UBE2Q1,STX4,SIAH1,HECTD1,UBA7,DCTN5,CAPZB,CTSC,HLA-DQA2,LCP2,CD207,PSMA3,PSMA2,WWP1,SEC24A,CD1C,RNF7,PSMD11,HERC4,ERAP1,CENPE,PSME1,RNF19B,PTPN6,KIF4A,GAN,CD274,YES1,CTSB,SH2D1B,PSMA6,NCF4,PAG1,LAIR1,FBXW10,CDC42,TREM2,FCGR1B,PSMD13,CYBA,CSK,TNFRSF14,RNF126,SKP2,RAB7A,BCAP31,PSMB4,BTN1A1,UBA3,PTPRJ,PSMD14,UBE2D1,PRKACB,TLR6,SIGLEC10,UBE2D3,KIF2A,ASB12,TUBA8,ANAPC10,REL,ICOS,CLEC2B,PSMD7,UBE2L3,KIF5B,PSMA1,PTPN22,UBE2D2,PSMC6,CUL2,PSMD10,PSME4,AP2M1,HLA-DQB1,ZNRF1,BTN3A2,RNF25,PSMA7,TLR1,PPP2R5D,PIK3CA,CD300A,SNAP23,BTK,XDH,ITGAV,CD300C,TRAF7,ITGB1,SMURF2,TLR2,MICB,NCF1,LGMN,RNF123,SEC23A,NFKB1,FBXL12,SEC31A,AP1G1,NPDC1,BTLA,CD1B,FKBP1A,ANAPC11,RNF111,UBA6,UBE2N","Down"
"5","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",0.0101323273494481,0.084712343160871,0.380730400722792,-0.601368580733348,-1.64847422353776,28,"CDH3,CDH17,CDH1,JUP,CDH11,CTNNA1,ACTB,CDH13,ACTG1,ANG,CTNND1","Down"
"6","REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION",0.00109764851696937,0.0167963753984246,0.45505986738723,0.417518842886152,1.62651489977134,129,"VIP,IAPP,ADCYAP1R1,GNG11,ADCYAP1,IL6,VIPR2,GNAZ,GNG13,PRKAR2B,SCTR,GPHA2,POMC,GNG7,ADRB2,GNG4,ADCY4,GPR20,GNAS,RAMP3,GPR150,GHRH,RAMP1,ADCY1,ADCY9,ADCY3,HRH2,HTR7,MC2R,ADCY5,AVP","Up"
"7","REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS",0.0166059372201195,0.116025899018498,0.352487857583619,0.735011782941728,1.59916435219482,9,"NR4A1,FOXO3,FOXO1,AKT3,AKT2","Up"
"8","REACTOME_ANCHORING_FIBRIL_FORMATION",0.00916870894438559,0.0804255230230345,0.380730400722792,-0.715605183424844,-1.70375217583517,15,"LAMB3,LAMC2,COL1A1,LAMA3,COL1A2","Down"
"9","REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",0.00167969743244144,0.0235741883126999,0.45505986738723,-0.674041473117749,-1.79234583597043,25,"HLA-F,TAP1,HLA-A,HLA-C,B2M,HLA-B,HLA-E,SAR1B,ERAP2,PDIA3,SEC24A,ERAP1,BCAP31","Down"
"10","REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",0.000164229730430887,0.00339829211430065,0.518848077743792,-0.528824134650174,-1.80742999865655,100,"PSMB9,HLA-F,TAP1,HLA-A,HLA-C,PSMB8,VAMP8,ITGB5,NCF2,B2M,MYD88,HLA-B,UBC,CTSS,HLA-E,PSMC4,PSMD1,PSMA5,PSME2,PSMA4,PSMB3,VAMP3,UBB,PSMC2,PSMB2,PDIA3,PSME3,CYBB,PSMB10,STX4,CD207,PSMA3,PSMA2,PSMD11,PSME1,PSMA6,NCF4,FCGR1B,PSMD13,CYBA,PSMB4,PSMD14,TLR6,PSMD7,PSMA1,PSMC6,PSMD10,PSME4,PSMA7,TLR1,SNAP23,BTK,ITGAV,TLR2,NCF1","Down"
"11","REACTOME_ANTIMICROBIAL_PEPTIDES",0.0274346653461385,0.154823600939397,0.352487857583619,0.411171422480081,1.40293282670387,62,"REG3G,REG3A,PRSS3,CLU,PRSS2,PLA2G2A,CTSG,DEFB1,CHGA,LTF,CD4","Up"
"12","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",1.26537598435143e-05,0.000400454282106512,0.593325476396405,-0.604611116869861,-1.99335063541923,77,"OASL,OAS1,ISG15,MX1,USP18,OAS3,MX2,OAS2,IFIT1,KPNA2,UBC,NUP37,FLNB,USP41,HERC5,DDX58,STAT1,UBE2E1,RNASEL,UBB,UBE2L6,EIF2AK2,EIF4E2,UBA7,KPNA1,KPNA4","Down"
"13","REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",0.021899611651688,0.135946050791632,0.352487857583619,0.332814915975463,1.34090214534315,165,"VIP,IAPP,ADCYAP1R1,GNG11,ADCYAP1,IL6,VIPR2,GNAZ,GNG13,PRKAR2B,SCTR,GPHA2,POMC,GNG7,ADRB2,GNG4,ITPR1,ADCY4,GGT1,GPR20,GNAS,RAMP3,GPR150,GHRH,RAMP1,ADCY1,ADCY9,ADCY3,AHCYL1,HRH2,HTR7,MC2R,ADCY5,AVP,IGHV1-69","Up"
"14","REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A",0.00110310767796345,0.0167963753984246,0.45505986738723,-0.694845274220742,-1.84267368126533,24,"UBE2C,MAD2L1,NEK2,BUB1B,BUB3,UBC,CDC20,UBE2E1,UBB,CDC23","Down"
"15","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B",0.0188345416910418,0.124077348119761,0.352487857583619,-0.631036408355492,-1.63666856070664,21,"UBE2C,CCNB1,UBC,CDC20,UBE2E1,UBB,CDC23","Down"
"16","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",1.06670091991862e-05,0.000358678184322634,0.593325476396405,-0.611273904027833,-1.99562880066758,70,"UBE2C,PSMB9,PTTG1,PSMB8,UBC,PSMC4,PSMD1,PSMA5,CDC20,PSME2,PSMA4,PSMB3,UBE2E1,UBB,PSMC2,CDC23,PSMB2,PSME3,AURKA,PSMB10,PSMA3,PSMA2,PSMD11,PSME1,PSMA6,PSMD13,SKP2,PSMB4,PSMD14,UBE2D1,ANAPC10,PSMD7,PSMA1,PSMC6,PSMD10,PSME4,PSMA7,RB1","Down"
