"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","AKT_UP.V1_DN",0.00224229488571701,0.0115147729772287,0.431707695803346,0.395986423773679,1.54706129055038,175,"PNLIPRP1,DPT,GNMT,OGN,PI16,EFEMP1,MYOC,FMO2,SCARA5,FKBP11,GSTA4,PLTP,SLIT3,POLI,SMARCD3,CBS,TPD52L1,GAS1,FXYD1,SATB1,GHR,SASH1,BEX4,ADHFE1,MERTK,ITIH5,KCNK3,ZC3H12C,HEBP1,SH3BGR,C1S,RECK,LPL,ANGPTL4,PDGFRA,PPP1R3C,RAMP1,C1R,KRT5,CHST12,TIMP3,G6PC2,IFFO1,CAP2,CSDC2,RXRB,KCTD12,TSPAN4","Up"
"2","AKT_UP.V1_UP",1.76766413001251e-07,4.77269315103378e-06,0.690132458796796,-0.556863594036118,-2.03067873766611,145,"TMPRSS4,VILL,GPX2,S100A14,PSCA,SLC2A1,KCNE3,SLC6A14,UBE2C,MAL2,ANXA13,TACSTD2,PLAT,TESC,MYO5B,CD55,KRT23,SYT8,SPRR1A,RIPK3,DHCR7,MPZL2,ADAM10,UGT8,TJP3,TRAF4,GPD2,PAK1,BACE2,UNC5B,GDPD2,CYP51A1,PFKP,TFRC,FDFT1,ADORA2B,LDLR,TNFRSF12A,SH3BGRL2,PREP,SLC6A6,EDN1,PDZD11,BID,SEC14L2,HOXB9,CDKN2B,C3orf52,GAK,IFIT1,IDI1,DHCR24,IFIT3,SGPL1","Down"
"3","AKT_UP_MTOR_DN.V1_DN",0.0164720846909887,0.0539350630385122,0.352487857583619,0.350167327474227,1.3699477192834,173,"PNLIPRP1,DPT,GNMT,OGN,PI16,EFEMP1,GNG11,FKBP11,GSTA4,PSAT1,SFRP5,POLI,SMARCD3,KRBA1,CBS,CHRDL1,GAS1,RTN1,FXYD1,SATB1,STAB1,SASH1,BEX4,ADHFE1,MERTK,ADORA1,KCNK3,SH3BGR,LPL,ANGPTL4,PPP1R3C,RAMP1,C1R,NDRG4,CHST12,CD200,POLM,ISYNA1,TMEM97,CAP2","Up"
"4","AKT_UP_MTOR_DN.V1_UP",2.27821062339473e-05,0.00035881817318467,0.575610261071129,-0.483202140518931,-1.7787483196228,157,"TMPRSS4,VILL,LAMC2,PSCA,MAL2,SPINK4,CXCL5,ANXA13,TACSTD2,PLAT,TESC,MYO5B,CD55,KRT23,SYT8,HOXB5,DHCR7,MPZL2,ADAM10,EFNB2,TJP3,TGIF1,GPD2,PAK1,BACE2,GDPD2,MVP,ADORA2B,TNFRSF12A,SLC44A1,HOXB3,SH3BGRL2,SLC6A6,HLA-DQB2,EDN1,PDZD11,SEC14L2,CDKN2B,C3orf52,PFDN2,GAK,IFIT1,RNF19B,DHCR24,SGPL1,DAZL,HBEGF,KCNK5","Down"
"5","ALK_DN.V1_DN",0.00256633403784639,0.0124368495680248,0.431707695803346,-0.450346411728957,-1.60581308162177,124,"CEACAM6,MIA,IFI27,GPX2,KCNN4,OLFM4,ATP2C2,OAS1,FOXA1,ZBED2,CEACAM7,MX1,RTP4,IFI6,GPA33,AGRP,PSORS1C1,IFI44L,VPS37B,GCKR,SEMA7A,UNC93B1,CLCA1","Down"
"6","ATF2_S_UP.V1_DN",0.0361430541873716,0.0898820689659635,0.321775918075361,0.345351783564171,1.35063300778359,172,"DES,CCL2,ABCA8,SERPINA3,EFEMP1,IL33,DNAJC12,CLGN,CRLF1,PLA2G2A,CYP1B1,PID1,SLIT3,RGS2,ID4,GAS1,GPRASP1,CBX7,SLC39A8,ITPR1,LAMA2,NFIB,SORBS1,FGF7,ITIH5,COL15A1,CCL11,SVEP1,SERPING1,PLN,A2M,CSGALNACT1,IGFBP2,ANGPTL4,PLSCR4,IL1R1,VTN,CD302,FGF9,CHI3L1,BMP6,FBLN2,VCAM1,PDE4DIP,RGS5,RARRES1,KCTD12,ST6GALNAC2,NPFF","Up"
"7","ATF2_UP.V1_DN",0.0270175899190345,0.0750930072749635,0.352487857583619,0.350565067515989,1.35967989523008,167,"CXCL12,PTX3,CCL2,ABCA8,SERPINA3,EFEMP1,SCRG1,MFAP4,IL33,DNAJC12,REV3L,CRLF1,PLA2G2A,CYP1B1,PID1,SLIT3,ID4,GAS1,ARNT2,SLC39A8,NFIB,FGF7,MYH3,ATP8B4,ITIH5,CTH,CFH,CCL11,GOLGA8A,SVEP1,PLN,CSGALNACT1,IGFBP2,PLSCR4,IL1R1,VTN,CD302,FGF9,CHI3L1,FBLN2,CD200,PTGFR,VCAM1,PDE4DIP","Up"
"8","ATF2_UP.V1_UP",0.0477001703577513,0.112691652470187,0.271288554688953,-0.349341638973708,-1.297164209954,175,"MMP1,FGFBP1,HPGD,PITX1,SULT1B1,KRT7,S100A4,TK1,GALNT6,RAD51,ADAM28,PLAU,LTB,NCAPG,INPP4B,SERPINB2,PCDH1,DTL,MELK,PLCB3,DNAJC15,STRA6,PRKCD,SCUBE3,FOXM1,RNF43,CA14,PAFAH1B3,ISLR,GINS2,FRMD1,TRIM14,FGF20,ABLIM3,FANCF,CLDN1,GPR63,IL32,FAM102A","Down"
"9","BMI1_DN.V1_UP",8.25356028996058e-05,0.00103994859653503,0.538434096309916,-0.486291155581909,-1.76024905359127,137,"DKK1,LAMB3,SLC2A1,GPRC5A,ITGB6,CCL20,INHBA,PLAT,MMP7,KRT17,BMP4,ANXA3,SLCO4A1,EPHA2,ITGA3,HAPLN1,VNN1,TAP1,CDCP1,CSF2,CD82,FZD5,PANX1,TNFAIP6,FLNB,CTSS,GREM1,CHST11,NT5E,EDN1,ASPH,ACTA2,LRP5,SLC19A1,MICA,PROP1,BST1,LRRC15,HBEGF,VANGL1,CLDN1,SLC1A5,LIF","Down"
"10","BMI1_DN_MEL18_DN.V1_DN",0.030665948435082,0.0793954007428836,0.352487857583619,0.363729290792882,1.38097840551821,135,"KCNJ16,LMO3,PCSK1,GPX3,OGDHL,ITGA7,DIRAS3,TMOD1,GAS2,TCEAL2,PCP4,METTL7A,CRLF1,COL14A1,COL9A3,REEP2,ID4,SLC4A4,SOCS2,VAV3,PDCD4,PCDH8,CHL1,SERPINI1,LEPR,PPARGC1A,NEFH,SEC31B,ACOX2,A2M,DLK1,C1orf54,IL1R1","Up"
"11","BMI1_DN_MEL18_DN.V1_UP",0.00112631435967774,0.0072792965085224,0.45505986738723,-0.444964536260696,-1.61189600403039,136,"LAMB3,KCNN4,ITGB6,INHBA,MGLL,PLAUR,PLAT,MMP7,ANXA3,ITGA3,HAPLN1,VNN1,TUFT1,CSF2,CDC42EP2,BIRC3,ARNTL2,EHD1,ADM,TNFAIP6,ZC3H12A,GREM1,CHST11,NT5E,EDN1,ASPH,KLF7,SLC19A1,MICA,BST1,VEGFA,ABLIM3,LRRC15,HBEGF,ARL4C,CLDN1,LIF,TNFRSF9,GDF5,CDH13,DUSP10,ARL4A","Down"
"12","BRCA1_DN.V1_UP",0.00401223585947431,0.0172343767600147,0.407017918923954,0.407831834587929,1.52321651596153,120,"CILP,KCNJ16,APOH,SLC43A1,CCKBR,TRPV6,CDH22,TIMP4,CD34,LHX6,NKX2-2,OSR2,CMKLR1,SGCA,RNF122,FCGBP,LDB2,TTLL7,DAGLA,TNC,ISYNA1,KCNB2,IQCA1,ARHGAP15","Up"
