"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","AKT_UP.V1_DN",0.0143332474347291,0.0392606342777363,0.380730400722792,0.330228971262238,1.33850761243533,175,"PNLIPRP1,GNMT,DPT,PI16,OGN,MYOC,CBS,SATB1,SLIT3,FKBP11,SMARCD3,GSTA4,SCARA5,EFEMP1,BEX4,SH3BGR,FXYD1,ITIH5,FMO2,TPD52L1,ADHFE1,KCNK3,SASH1,POLI,PLTP,CHST12,CSDC2,SLC37A4,PPP1R3C,PDE9A,RAMP1,ZC3H12C,SCARA3,GAS1,HEBP1,RORC,CAP2,RXRB,GHR,MERTK,PDLIM3,TIMP3,LTC4S,TSPAN4,RECK,TNFRSF19,GATAD2B,ZEB1","Up"
"2","AKT_UP.V1_UP",5.18925379024165e-09,1.63461494392612e-07,0.761460801445585,-0.592889868036073,-2.13522261994312,145,"TMPRSS4,VILL,GPX2,S100A14,SLC2A1,PSCA,KCNE3,UBE2C,MAL2,SLC6A14,PLAT,TACSTD2,ANXA13,KRT23,SYT8,MYO5B,TESC,UNC5B,CD55,RIPK3,MPZL2,GDPD2,GPD2,ADAM10,ADORA2B,PFKP,PAK1,TJP3,IFIT1,SPRR1A,UGT8,SEC14L2,DHCR7,IFIT3,CDKN2B,BID,TRAF4,CYP51A1,TFRC,BACE2,FDFT1,C3orf52,TNFRSF12A,IFIT2,PREP,SH3BGRL2,LDLR,PLK2,SLC6A6,SGPL1,HCK,PDZD11,GPX8,ADH4,DUSP10,TMCC3,CCNG2,DHCR24","Down"
"3","AKT_UP_MTOR_DN.V1_DN",0.13997113997114,0.198906356801094,0.139599673451922,-0.32531676197868,-1.18827498432708,173,"COL17A1,PLEK2,PHLDA2,KCNN4,HPGD,TNNC2,MLPH,AQP5,KRT6C,ITLN1,ITGA6,TM4SF1,STEAP1,IL7,COL5A2,ACY1,IBSP,MOCOS,MYB,VCAN,IRS1,CDH16,CES2,SPATA5,AP2B1,BDH1,MRPS6,MMAA,LRRC1,MGAT4B,PLA2G4A,FRAT2,AGPAT5,IL13RA1,HARS2,MCM6,MTHFD1,NAT8,CENPQ,PROM1,FAS","Down"
"4","AKT_UP_MTOR_DN.V1_UP",9.57408293533405e-07,2.26187709347267e-05,0.643551836150722,-0.531668454321658,-1.92278856414522,157,"TMPRSS4,VILL,LAMC2,PSCA,SPINK4,MAL2,PLAT,TACSTD2,CXCL5,ANXA13,KRT23,SYT8,MYO5B,TESC,CD55,EFNB2,HOXB5,MPZL2,GDPD2,GPD2,ADAM10,ADORA2B,PAK1,TJP3,IFIT1,TGIF1,MVP,DAZL,SEC14L2,DHCR7,CDKN2B,SLC44A1,HBEGF,HOXB3,BACE2,C3orf52,TNFRSF12A,SH3BGRL2,PLK2,SLC6A6,HLA-DQB2,SGPL1,HCK,APOC2,PDZD11,GPX8,DUSP10,TMCC3,DHCR24,PFDN2,SYT17,PLSCR1,GAK","Down"
"5","ALK_DN.V1_DN",0.00219627393571202,0.0105013387507569,0.431707695803346,-0.465080759086715,-1.63252237953423,124,"CEACAM6,MIA,IFI27,GPX2,ZBED2,OAS1,ATP2C2,KCNN4,FOXA1,RTP4,MX1,IFI6,CEACAM7,GPA33,IFI44L,OLFM4,AGRP,PSORS1C1,CLCA1,SEMA7A,SLC28A2,GCKR,VPS37B,DNAJA4,DIO2,VAV1,UNC93B1","Down"
"6","ATF2_S_UP.V1_DN",0.103448275862069,0.165692577440093,0.16440575583821,-0.337054433338875,-1.23230825316912,172,"ANXA10,PLEK2,COL11A1,CCK,TREM1,SLC7A7,JUP,HAPLN1,SPINT2,COMP,PARD6B,PTGER2,ABCC3,CSTA,GALNT12,TNFRSF11B,PPL,TMEM176A,IL1RAP,KRT8,DPP4,CCL17,AADAC,TPD52,KBTBD11,PTGS2,RNF39,TNFAIP6","Down"
"7","ATF2_S_UP.V1_UP",0.0562770562770563,0.110795454545455,0.227987202850442,-0.356138957774084,-1.30085831388853,173,"B3GNT3,FGFBP1,MMP1,PITX1,ANXA3,PLAU,TK1,S100A4,CST1,OVOL1,ITGA6,SPDEF,EFNB2,GALNT6,PSMB9,SCIN,RSAD2,NFE2L3,GALNT14,FOXM1,TNFSF4,CDKN3,TOP2A,PML,GRHL2,KIF23,KIF20A,PRKCD","Down"
"8","ATF2_UP.V1_DN",0.0590778097982709,0.115110371668796,0.222056046145248,-0.355754452231136,-1.2940934420035,167,"ANXA10,PLEK2,PLS1,CCK,CA9,HKDC1,TREM1,JUP,HAPLN1,SPINT2,COMP,SLCO4A1,ABCC3,GALNT12,TNFRSF11B,ADORA2B,PPL,HOXB2,SP1,IL1RAP,EDIL3,AADAC,TPD52,BHLHE40,GSTT1,PTGS2,ZC3H12A,SCD,CD68,EDNRA,RNASE4,RAB11FIP1,DENND2D,ITGBL1,ERAP2,CDH13,SMAD6,PDPN,PLA2G4A","Down"
"9","ATF2_UP.V1_UP",0.0360750360750361,0.0774793388429752,0.287857117255149,-0.368191608408499,-1.34643878623551,175,"FGFBP1,HPGD,MMP1,PITX1,RAD51,KRT7,SULT1B1,PLAU,TK1,S100A4,GALNT6,NCAPG,ADAM28,SERPINB2,MELK,DTL,LTB,STRA6,INPP4B,PCDH1,FOXM1,ISLR,PLCB3,ASPN,GINS2,PRKCD,PAFAH1B3,CLDN1,DNAJC15,FAM102A,TRIM14,G0S2,SCUBE3,ABLIM3,NEO1,CARD9,GNA15,FOXL2,RNF43","Down"
"10","ATM_DN.V1_DN",0.0247972456820138,0.0608659666740339,0.352487857583619,-0.390034354071017,-1.38848541677057,136,"CEACAM6,IFI27,FGFBP1,ITPKA,ITGB4,RETN,WNT2,DSG3,CYP2J2,TMPRSS2,SPTLC2,EPHA1,HHLA2,GMIP,MDFI,RNASE2,GRM8,SULT1E1,FMO5,STK17B,MS4A2,GPSM2,PLA2G3,ENTPD7","Down"
