"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN",0.108661417322835,0.241182107555704,0.16823816568964,-0.38369078006677,-1.26352210865707,76,"YWHAZ,LASP1,CAP1,STK24,ACTB,ANTXR2,SORL1,HARS2,ARPC4,PPP1CA,WDR1,PGD,LAPTM5,MYH9,TAF4,RALY,SEC16A,CREBBP,DPF2,VPS8,STK4,GALNT10,MAP7D1,RASSF5,ARF1,SEC23B,FLII,ARHGAP30,CTCF,RAB5B,RIC8A,UBA1,ARHGAP1,ACLY,DVL3,GBA","Down"
"2","BUCASAS_PBMC_FLUARIX_FLUVIRIN_CAUCASIAN_MALE_AGE_18_40YO_HIGH_RESPONDERS_1DY_3DY_POSITIVE_PREDICTIVE_OF_TITER",0.0688259109311741,0.181494414265422,0.245041785430996,-0.757074778961056,-1.46222620685325,6,"HLA-E,STAT1,CD74,TNFSF13B","Down"
"3","CAO_BLOOD_FLUMIST_AGE_05_14YO_7DY_DN",0.0921843687374749,0.216286784376672,0.208955027549354,0.6920734008261,1.40620871265101,7,"FGFBP3,TBC1D17,MYBPH,BMF,PPP1R8","Up"
"4","CAO_BLOOD_FLUMIST_AGE_05_14YO_CORRELATED_WITH_H3N2_VN_TITER_7DY_POSITIVE",0.000991391251464241,0.00894653420006485,0.45505986738723,-0.870596315240766,-1.80773402395688,9,"OASL,OAS1,RSAD2,OAS2,IFIT1,IFIT3,IFITM3,GBP1","Down"
"5","CAO_BLOOD_FLUZONE_AGE_05_14YO_CORRELATED_WITH_H3N1_HI_TITER_1DY_POSITIVE",0.0028908137791414,0.0202789682264717,0.431707695803346,-0.893835789900218,-1.7263685872736,6,"OASL,ISG15,IFI44L,IFIT1,IFIT3,GBP1","Down"
"6","COLE_BLOOD_FLUMIST_QUADRIVALENT_AGE_03_17YO_7DY_UP",0.021438635394199,0.0854269841223391,0.352487857583619,-0.851397893030794,-1.57077493007372,5,"MX1,IFI6,IFIT3,TNFSF10,CXCL10","Down"
"7","ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP",0.00854702551225739,0.0447334981081742,0.380730400722792,-0.323896691945016,-1.32242379253601,582,"IFI27,OASL,LYZ,OAS1,ZWINT,CKS2,ISG15,RTP4,IFI6,DDX60,SAMD9,CENPK,AMIGO2,PRKCI,IFI44L,EPSTI1,SAMD9L,OAS3,XAF1,RACGAP1,LY6E,TYMS,RSAD2,RRM2,STK39,OAS2,STAMBPL1,GBP3,IFIT1,ZDHHC20,ETNK1,HMGB2,TMEM123,CD2AP,RAB11A,HSPH1,TPD52,BIRC3,GIMAP2,BUB3,LEF1,SLC44A1,CNIH4,FAM3C,SLC35A3,TFRC,IFIH1,CHMP2B,HSPE1,PPA1,ARAP2,TM9SF3,DR1,TMEM87B,NRAS,DNAJC15,SAR1B,CHMP5,IFI44,HERC5,CD52,VEZT,PSMA4,ERAP2,DCK,CDKN2AIP,PCNA,MFSD6,DBI,ADD3,AGPAT5,PSMC2,RRM1,CMPK1,GBP1,CHML,DERL1,CD47,SMARCA5,PGGT1B,DEK,CBX3,CMC1,MRPL47,DBF4,BTN3A3,SLC39A10,ARHGAP5,BAG4,FIGNL1,NME2,MGAT2,SMC4,RAP2C,UQCRH,NME1,PLEKHA1,PSMA3,PSMA2,ZBTB1,WWP1,SEC24A,TIMM17A,SNRPG,C3orf38,ERAP1,RPAP3,SLC25A46,OXR1,MITD1,COX7A2,TWF1,ZNF600,DNAJC10,ZNF518A,HSP90AA1,ATR,CPOX,B3GNT2,HSPB11,TMEM161B,FDX1,SCOC,CACYBP,IMPA1,PPP4R2,BCL11B,IFIT5,TNFAIP8,CHORDC1,PSMD14,COX6C,MAN2A1,PRKACB,G3BP1,PNPT1,ZNHIT6,CPSF6,KIF2A,NUDT21,MTDH,CLEC2B,TRAM1,PSMC6,NR1D2,NIPSNAP3A,DUT,EIF1AY,CD69,CCT2,PRRC1,ANP32E,TMEM135,ZCCHC10,DDX3Y,EED,UQCRQ,BZW1,HS3ST3B1,ITGAV,SSB,ELK3,TMED5,ITGB1,CSE1L,VBP1,LEPROTL1,RABGAP1L,CETN3,CCAR1,SEC23A,NAE1,CBWD6","Down"
"8","ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP",3.09121915628977e-10,2.40653718197126e-08,0.814035837847908,-0.657649859179476,-2.26218316836745,106,"IFI27,OASL,OAS1,ANKRD22,ISG15,CEACAM1,RTP4,MX1,ISG20,IFI6,DDX60,SAMD9,USP18,IFI44L,EPSTI1,SAMD9L,IL1RN,OAS3,MX2,XAF1,ETV7,LY6E,RSAD2,OAS2,IFIT1,TOR1B,IFITM1,DDX60L,IFIT3,PARP12,PML,IFIH1,PARP9,IRF7,LAMP3,HERC6,TNFAIP6,IFIT2,BATF2,GBP4,LGALS9,IFI44,IFI16,HERC5,DDX58,STAT1,TNFSF10,GBP1,TNFSF13B,TREX1,TDRD7,MOV10,UBE2L6,EIF2AK2,LAP3,PLSCR1","Down"
"9","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_DN",0.0345902423320893,0.119643702920542,0.321775918075361,0.527466933275044,1.53745876122729,28,"ITM2A,TP53INP1,SGK1,GRAMD1C,CAMK1D,STEAP4,CEP68,RRAGD,ABAT","Up"
"10","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP",2.37766580952084e-11,2.38498170431936e-09,0.863415391606693,-0.748120036010027,-2.45605060461064,70,"IFI27,OASL,OAS1,ISG15,RTP4,MX1,IFI6,DDX60,SAMD9,USP18,IFI44L,EPSTI1,SAMD9L,IL1RN,OAS3,MX2,XAF1,ETV7,LY6E,RSAD2,OAS2,IFIT1,TOR1B,IFITM1,DDX60L,IFIT3,PARP12,IFIH1,PARP9,IRF7,LAMP3,HERC6,TNFAIP6,IFIT2,IFI44,HERC5,DDX58,TNFSF10,TRIM14,GBP1,UBE2L6,EIF2AK2,LAP3,PLSCR1,MS4A4A,IFI35,CXCL10","Down"
"11","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.000542849450574129,0.00550876018325808,0.477270815362862,-0.658315543353047,-1.88497564361841,35,"OAS1,SAMD9L,OAS3,XAF1,OAS2,IFNE,IFIH1,HSH2D,IRF7,LAMP3,IFIT2,TLR3,DDX58,STAT1,TNFSF10,CCL7,EIF2AK2","Down"
"12","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NON_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_DN",0.0679245283018868,0.18011913554786,0.237793834423688,-0.641006970978165,-1.48977693133651,14,"C1QB,C1QA,TYROBP,CCL7,FOS,TLR8,CEBPB,SPI1,TLR4,NLRC4,CLEC7A","Down"
"13","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NON_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",0.0941619585687382,0.219165004861463,0.199915231309662,-0.570092624855839,-1.39263525579505,18,"SAMD9L,XAF1,HSH2D,IFIT2,TLR3,DDX58,TNFSF10,PF4","Down"
"14","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",1.57655406790271e-05,0.000281620069115771,0.575610261071129,-0.75094540805653,-2.07438616662854,31,"OAS1,SAMD9L,OAS3,XAF1,NOD2,OAS2,CCRL2,IFIH1,HSH2D,IRF7,LYN,IFIT2,CD68,TLR3,DDX58,TNFSF10","Down"
