"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_ADIPOGENESIS",0.0403028424618338,0.0806056849236675,0.321775918075361,0.319981394398298,1.2622479831174,184,"CD36,GPX3,SPARCL1,ITGA7,FABP4,ACADL,LEP,C3,LIFR,EPHX2,HSPB8,FZD4,PDCD4,SORBS1,DNAJB9,MCCC1,ITIH5,COL15A1,CIDEA,LPL,ANGPTL4,CD302,PHLDB1,STOM,ANGPT1,PEMT,GPAM,VEGFB,PHYH,OMD,MRAP,DLD,RNF11,MYLK,ADIPOQ,PTGER3,HADH,PGM1,ENPP2,ACADM,LTC4S,LIPE,LAMA4,CRAT,UCK1","Up"
"2","HALLMARK_ALLOGRAFT_REJECTION",0.10958904109589,0.176756517896597,0.175204047558551,-0.317450065126374,-1.19802988303239,194,"INHBA,LY75,CAPG,MMP9,LTB,TAP1,BCL10,IL18,GCNT1,TPD52,IL7,HLA-A,EREG,IFNGR2,IL2RG,LCK,PF4,IRF7,CDKN2A,IGSF6,LYN,GBP2,CTSS,ELF4,B2M,STAT1,IRF8,HLA-DRA,PSMB10,RIPK2,HLA-E,TIMP1,CCL7,TRAF2,CD47,TLR3,NME1,IL2RA,LIF,ITGB2,F2R,NOS2","Down"
"3","HALLMARK_ANDROGEN_RESPONSE",0.140035906642729,0.212175616125347,0.157402899305283,-0.351866448280344,-1.21405341376112,95,"KRT19,HPGD,SPDEF,STK39,SORD,TMPRSS2,INPP4B,KRT8,TPD52,HMGCS1,ABHD2,SCD,SAT1,HMGCR,B2M,DBI,ACTN1,ACSL3,IDI1,DHCR24,SMS,IQGAP2,UBE2I,NKX3-1,CCND1,PMEPA1,TSC22D1,TNFAIP8,TMEM50A,MAP7,B4GALT1,NDRG1,INSIG1","Down"
"4","HALLMARK_APICAL_JUNCTION",0.000526631645673653,0.00202550632951405,0.477270815362862,-0.424479856377126,-1.59900692097636,190,"COL17A1,CLDN18,CDH3,LAMC2,LAMB3,CDH1,ITGA2,ITGB4,JUP,CLDN4,ITGA3,LAMA3,VASP,MMP9,LIMA1,CALB2,MDK,MPZL2,CLDN7,AMIGO2,PDZD3,PCDH1,RHOF,ADAM9,CRB3,IRS1,SKAP2,CDH11,SRC,ACTB,CTNNA1,TNFRSF11B,RAC2,VCAN,MPZL1,VCL,ACTN1,YWHAH,RRAS,ARPC2,PIK3CB,SYK","Down"
"5","HALLMARK_APOPTOSIS",0.0321804011890481,0.0731372754296548,0.321775918075361,-0.374285111098812,-1.38521915875403,158,"BIK,LGALS3,PLAT,ISG20,TAP1,ERBB2,BCL10,EBP,IL18,PSEN1,BIRC3,PAK1,LEF1,KRT18,EREG,TNFRSF12A,SAT1,RETSAT,TOP2A,CASP3,PMAIP1,HMGB2,SOD1,BID,BMP2,RELA,TSPO,IER3,TIMP1,CASP6,ERBB3,GPX1,IFITM3,CASP1,RARA,CASP8,ANXA1,PDGFRB,CTNNB1,DNAJA1,HSPB1,TXNIP,TNFSF10,ENO2,F2R,IRF1,LMNA,BCAP31,GNA15,SLC20A1,GPX4,CCND1,BCL2L1,RNASEL,CASP7,MGMT,CYLD,CASP2","Down"
"6","HALLMARK_BILE_ACID_METABOLISM",0.0782997762863535,0.133706467661692,0.241339976815091,0.330829548797311,1.22244515217708,112,"GNMT,SERPINA6,ABCA8,RBP1,GC,ABCA6,ABCA5,EPHX2,TTR,CYP39A1,AR,ABCA9,BBOX1,NR1H4,PEX6,ABCA3,BMP6,ALDH1A1,HACL1,PHYH,MLYCD,SLC27A5,CYP7B1,FDXR","Up"
"7","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00157523070881811,0.00562582396006469,0.45505986738723,-0.52461928781219,-1.70599037409985,72,"PPARG,MAL2,LGALS3,ANXA13,PLAUR,S100A11,SQLE,ETHE1,EBP,DHCR7,HMGCS1,SCD,CYP51A1,FDFT1,LDLR,TNFRSF12A,HMGCR,STARD4,NSDHL,ANTXR2,PCYT2,ACSS2,IDI1,ACTG1,ANXA5,CTNNB1","Down"
"8","HALLMARK_COAGULATION",0.00705530430519621,0.020750895015283,0.407017918923954,-0.413169749607412,-1.49277270292983,136,"CTSE,MMP11,KLK8,MMP1,PLAT,HMGCS2,ITGA2,MMP7,F12,MMP9,OLR1,PLAU,FN1,GDA,SERPINB2,COMP,ADAM9,PROC,MMP10,DUSP6,PF4,DPP4,MMP14,APOC1,CTSH,GNG12,PREP,KLF7,RAC1,ANG,TIMP1,CAPN5,CAPN2,ANXA1,MAFF,SPARC","Down"
"9","HALLMARK_COMPLEMENT",0.0188290395497381,0.0448310465469954,0.352487857583619,-0.36059457300212,-1.36085363203144,194,"MMP12,LGALS3,PLAUR,PLAT,CD55,C4BPB,OLR1,PCSK9,FN1,PRSS36,F5,KYNU,CA2,SERPINB2,PSEN1,GPD2,PSMB9,ADAM9,CDA,EHD1,CR2,ERAP2,DUSP6,LCK,PRKCD,IRF7,DPP4,MMP14,DYRK2,CP,SRC,LYN,CASP3,APOC1,CTSS,PPP4C,CTSH,PREP,HSPA1A,CASP10,PLA2G7,ANG,TIMP1,CASP1,MAFF,ITGAM,STX4,ANXA5,CTSC,SERPINA1,ATOX1,IRF1,CASP5,RHOG,CDH13,APOA4","Down"
"10","HALLMARK_E2F_TARGETS",3.18055871290363e-08,5.30093118817272e-07,0.719512826338911,-0.537069907797484,-2.01399493438949,183,"CKS2,MAD2L1,CDCA8,TK1,E2F8,UBE2T,HMMR,DLGAP5,BIRC5,CHEK1,PTTG1,SPC25,SPAG5,RRM2,MELK,RACGAP1,TFRC,MCM4,BUB1B,CDKN2A,KIF18B,TOP2A,KIF2C,CDKN3,RAD51AP1,CKS1B,HMGB2,AURKA,LMNB1,TMPO,SPC24,ATAD2,KPNA2,MCM2,NOLC1,CDC20,CCNB2,CIT,PAICS,DEPDC1,MKI67,CDCA3,SMC6,CENPM,DEK,SLBP,PCNA,TACC3,NME1,HUS1,ASF1B,MYBL2,BRCA2,EZH2,CSE1L,TUBB,LYAR,RAD21,MCM6,NUDT21,DIAPH3,MCM3,ZW10,RNASEH2A,HMGA1,DCTPP1,KIF4A,DUT,DCK,XPO1,TRIP13,SNRPB,SMC4,STMN1,AK2,WEE1,POLD3,PLK4,ANP32E,RAD50,MCM7,CENPE,GINS1,TCF19,RBBP7","Down"
"11","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0058063540132826,0.0181448562915081,0.407017918923954,-0.382094334662804,-1.44469892203853,195,"COL11A1,DKK1,LAMC2,MMP1,INHBA,ECM1,CAPG,PLAUR,ITGA2,MXRA5,AREG,CTHRC1,COL1A1,NTM,LAMA3,WNT5A,SDC1,POSTN,MATN3,FN1,LOXL2,IGFBP3,COMP,THBS2,COL8A2,PCOLCE2,COL12A1,SDC4,MMP14,TNFRSF12A,SAT1,CDH11,COL5A2,FUCA1,TNFRSF11B,TGM2,ITGB5,SPP1,GREM1,NT5E,VCAN,ACTA2,TPM4,COL1A2,OXTR,COL3A1,TIMP1,COL5A1,QSOX1,LOXL1,VEGFA,LRRC15,EDIL3,SPARC,PDGFRB","Down"
"12","HALLMARK_ESTROGEN_RESPONSE_EARLY",6.23711360254982e-05,0.000346506311252768,0.538434096309916,-0.458370534022157,-1.72888110201911,189,"KLK10,TFF1,MUC1,SLC2A1,KRT19,CLIC3,LAD1,TFF3,P2RY2,MLPH,ELF3,SFN,RAPGEFL1,AREG,FHL2,OVOL2,SLC37A1,CALB2,DHCR7,CLDN7,KRT8,CELSR1,TJP3,ZNF185,SLC27A2,ABHD2,MYB,BHLHE40,KRT18,SLC1A1,TSKU,FDFT1,SLC16A1,TMPRSS3,CHPT1,SCNN1A,SULT2B1,FLNB,PMAIP1,TGM2,KRT15,OPN3,AKAP1,RHOD,SEC14L2,KLF4,DYNLT3,SIAH2,MYOF,NBL1,MSMB,TTC39A,NADSYN1,RARA,ENDOD1,TIPARP,WWC1,CANT1,KCNK5,SYT12,FAM102A,HR,TFAP2C,WFS1,TOB1,FRK,HES1,RBBP8","Down"
