"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_ALLOGRAFT_REJECTION",0.0153471284983652,0.0306942569967304,0.380730400722792,-0.37348272888155,-1.38743222214344,194,"INHBA,LY75,CAPG,IL18,CDKN2A,GCNT1,IL7,LTB,BCL10,CCL13,TAP1,IGSF6,HLA-A,MMP9,TIMP1,IFNGR2,HLA-DRA,EREG,F2R,B2M,TPD52,LCK,IL2RA,ITGB2,CTSS,IRF7,LYN,HLA-E,IRF8,TLR3,NCK1,ELF4,IL2RG,STAT1,RIPK2,GBP2,HLA-DMA,CD74,IL1B,TRAF2,CD47,CCL7,PF4,KRT1,FAS,LIF,BRCA1,PSMB10,NME1,LCP2,PTPN6,CCND3,LY86,NCF4,GALNT1,JAK2,CSK,IFNGR1,UBE2D1,EGFR,TLR6,GPR65","Down"
"2","HALLMARK_APICAL_JUNCTION",5.84720832110878e-05,0.000243633680046199,0.557332238758646,-0.468889115238359,-1.7384424264482,190,"COL17A1,CLDN18,LAMB3,LAMC2,CDH3,ITGB4,CLDN4,CDH1,ITGA2,LAMA3,JUP,LIMA1,ITGA3,CALB2,CDH11,AMIGO2,MDK,CLDN7,MPZL2,TNFRSF11B,MMP9,ADAM9,PCDH1,VASP,SKAP2,PDZD3,VCAN,IRS1,RHOF,CRB3,CAP1,CTNNA1,ACTB,VCL,ARPC2,MPZL1,SYK,RAC2,PIK3CB,SRC,YWHAH,MAPK13,RRAS,ACTG1,ACTN1,TJP1,CNN2","Down"
"3","HALLMARK_APOPTOSIS",0.00172249243494246,0.005066154220419,0.45505986738723,-0.435722307736009,-1.58537229130213,158,"BIK,PLAT,LGALS3,ISG20,IL18,BCL10,TAP1,ANXA1,ERBB2,PAK1,EBP,TIMP1,PMAIP1,PSEN1,HMGB2,LUM,EREG,F2R,RETSAT,GPX1,BIRC3,PDGFRB,BID,TOP2A,LEF1,KRT18,TXNIP,CASP3,CASP6,SAT1,TNFRSF12A,CASP1,BMP2,TSPO,IFITM3,CASP7,RELA,TNFSF10,DNAJA1,RNASEL,IER3,SOD1,SLC20A1,IL1B,ERBB3,GNA15,IL1A,GPX4,FAS,BRCA1,IRF1,BCL2L1,LMNA,HSPB1,CCND1,CDC25B,XIAP,BGN,CYLD,DDIT3,BCAP31,IFNGR1,SMAD7,CREBBP,WEE1,PTK2","Down"
"4","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00353141829380885,0.00882854573452213,0.431707695803346,-0.513308734815118,-1.65374925332564,72,"PPARG,MAL2,LGALS3,PLAUR,ANXA13,SQLE,S100A11,ETHE1,EBP,HMGCS1,DHCR7,STARD4,CYP51A1,SCD,FDFT1,ANTXR2,TNFRSF12A,NSDHL,LDLR,HMGCR,JAG1,ACTG1,GPX8,ADH4,ACSS2,HSD17B7,PCYT2,PLSCR1","Down"
"5","HALLMARK_COAGULATION",0.001039602195031,0.00324875685947187,0.45505986738723,-0.46200277871632,-1.63657990408468,136,"CTSE,MMP11,KLK8,PLAT,MMP1,HMGCS2,F12,PLAU,ITGA2,MMP7,COMP,FN1,OLR1,DUSP6,SERPINB2,ANXA1,GDA,SPARC,MMP9,ADAM9,TIMP1,DPP4,CAPN2,C1QA,KLF7,PROC,GNG12,RAC1,PREP,F3,APOC1,CTSK,CTSH,MAFF,ANG,APOC2,MMP14,ARF4,CAPN5,WDR1,PF4,MMP10,SERPINA1","Down"
"6","HALLMARK_COMPLEMENT",0.00486185668235253,0.0115758492436965,0.407017918923954,-0.39589665375426,-1.47069658536106,194,"PLAT,MMP12,LGALS3,PLAUR,PCSK9,C4BPB,CD55,FN1,OLR1,PSMB9,DUSP6,SERPINB2,GPD2,ADAM9,TIMP1,CDA,CA2,KYNU,F5,PSEN1,DYRK2,DPP4,PLA2G7,LCK,CASP3,HSPA1A,CTSS,IRF7,LYN,C1QA,PRKCD,EHD1,PPP4C,CASP1,PREP,PRSS36,ITGAM,F3,APOC1,CASP7,SRC,CTSH,CASP10,ERAP2,MAFF,CDH13,PLA2G4A,COL4A2,ANG,ATOX1,MMP14,C1QC,SERPINA1,LAP3,PLSCR1,STX4,IRF1,CP,CTSC,FCN1,LCP2,RHOG,MMP13,IRF2,GNAI3,DOCK9,LRP1,CTSB,ANXA5,GNGT2,JAK2,FDX1,VCPIP1,SIRT6,FCER1G,C9,KIF2A,CD46,DUSP5","Down"
"7","HALLMARK_E2F_TARGETS",1.19320729555629e-11,2.98301823889073e-10,0.875325132024659,-0.590942524341703,-2.18388736911895,183,"CKS2,MAD2L1,CDCA8,TK1,HMMR,E2F8,CHEK1,UBE2T,BIRC5,CDKN2A,DLGAP5,SPC25,RACGAP1,MELK,RRM2,PTTG1,SPAG5,MCM4,KIF18B,HMGB2,RAD51AP1,CDKN3,CIT,BUB1B,TOP2A,KPNA2,CKS1B,ATAD2,TFRC,TMPO,SLBP,KIF2C,EZH2,CDC20,MCM2,DEPDC1,LMNB1,HUS1,SPC24,CENPM,MKI67,DCK,SMC6,PCNA,RAD21,NOLC1,STMN1,MCM6,MCM7,DEK,RAD50,CDCA3,DSCC1,DCTPP1,SMC4,BRCA1,AURKA,RFC2,NME1,LYAR,DIAPH3,SNRPB,BRCA2,CCNB2,TCF19,MCM3,CENPE,MSH2,KIF4A,XPO1,CDC25B,RPA3,DONSON,ASF1B,HELLS,PAICS,TUBB,NUP107,WEE1,RBBP7,TACC3,GINS1,NUDT21,ZW10,CHEK2,CDK4,GSPT1,RAD1,DUT,POP7,BARD1,UNG,ANP32E,PRIM2,EED,PLK4,TRIP13","Down"
"8","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000140947522535741,0.000542105855906696,0.518848077743792,-0.458321916847394,-1.70265820854134,195,"DKK1,LAMC2,COL11A1,AREG,MMP1,INHBA,CTHRC1,PLAUR,CAPG,ITGA2,ECM1,POSTN,COL1A1,LAMA3,MATN3,MXRA5,WNT5A,THBS2,CDH11,PCOLCE2,NTM,COMP,FN1,LOXL2,COL8A2,COL12A1,SDC1,COL1A2,COL5A2,IGFBP3,TNFRSF11B,SPARC,TIMP1,COL3A1,EDIL3,LUM,VCAN,ITGB5,COL5A1,TGM2,PDGFRB,NT5E,ACTA2,SAT1,SDC4,TNFRSF12A,QSOX1,MEST,GREM1,FUCA1","Down"
"9","HALLMARK_ESTROGEN_RESPONSE_EARLY",6.32238814435241e-06,4.5159915316803e-05,0.610526878385931,-0.494981336920641,-1.83812901271363,189,"KLK10,TFF1,MUC1,SLC2A1,KRT19,CLIC3,TFF3,LAD1,AREG,P2RY2,MLPH,FHL2,SFN,ELF3,CALB2,RAPGEFL1,OVOL2,SLC37A1,CELSR1,MSMB,CLDN7,ZNF185,KRT15,SCNN1A,TJP3,KLF4,PMAIP1,KRT8,MYB,TSKU,SLC27A2,MYOF,CHPT1,SEC14L2,DHCR7,SLC1A1,TGM2,ABHD2,KRT18,SULT2B1,BHLHE40,RHOD,OPN3,DYNLT3,TMPRSS3,FDFT1,SLC16A1,TIPARP,FRK,FLNB,ENDOD1,SIAH2,FAM102A,NADSYN1,NBL1,CANT1","Down"
"10","HALLMARK_ESTROGEN_RESPONSE_LATE",1.49792193289989e-05,9.36201208062428e-05,0.593325476396405,-0.483344669436934,-1.79561731333376,195,"AGR2,NMU,KLK10,TFF1,LAMC2,KRT19,CLIC3,TFF3,BATF,AREG,PKP3,KLK11,HMGCS2,SFN,CDH1,LSR,TRIM29,ISG20,ST14,RAPGEFL1,CXCL14,OVOL2,GALE,MDK,SORD,TST,SCNN1A,CDC6,CA2,GJB3,TJP3,KLF4,MYB,PERP,SLC27A2,MYOF,CHPT1,DHCR7,ABHD2,TOP2A,SULT2B1,OPN3,KIF20A,DYNLT3,EMP2,TMPRSS3,GINS2,TPSAB1,FDFT1,SLC16A1,MEST,FRK,FLNB,SIAH2,LLGL2,CDC20,FAM102A,MAPK13,NBL1,STIL","Down"
